ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84700;;Tucano Urbano Thermodecke Scooty R017;;;;;;;;;;Z5801-017-03;Z5801-017-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84714;;Tucano Urbano Thermodecke Motorrad R118;;;;;;;;;;Z5801-118-03;Z5801-118-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84717;;Tucano Urbano Thermodecke Scooty R161;;;;;;;;;;Z5801-161-03;Z5801-161-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84715;;Tucano Urbano Thermodecke Motorrad R119;;;;;;;;;;Z5801-119-03;Z5801-119-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84702;;Tucano Urbano Thermodecke Scooty R029F;;;;;;;;;;Z5801-029-03F;Z5801-029-03F;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84703;;Tucano Urbano Thermodecke Scooty R066;;;;;;;;;;Z5801-066-03;Z5801-066-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84704;;Tucano Urbano Thermodecke Scooty R072;;;;;;;;;;Z5801-072-03;Z5801-072-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84706;;Tucano Urbano Thermodecke Scooty R074;;;;;;;;;;Z5801-074-03;Z5801-074-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84711;;Tucano Urbano Thermodecke Scooty R079;;;;;;;;;;Z5801-079-03;Z5801-079-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84707;;Tucano Urbano Thermodecke Scooty R075;;;;;;;;;;Z5801-075-03;Z5801-075-03;;;;;;;;;;;;;;;;Thermodecke Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter.;Wasserdicht beschichtetes Nylon mit isolierendem Kunstfaser-Futter. Einfache Montage durch Riemen- und Klett-Befestigung.<br><ul><li>Aussentaschen</li><li>Reflektierende Streifen</li><li>S.G.A.S. (patentiertes Anti-Flatter-System für höhere Geschwindigkeiten)</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
