ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
82900;1;Motul Kart 2T Grand Prix 1L;314,460;26.85185185;1;16.11111111;0;;;;;EM-650002941;EM-650002941;Hostettler;Motul;;;;;;;;2;;;;;;Lubrifiant 100% synthèse spécialement développé pour les Karts de compétition.;Lubrifiant 100% synthèse spécialement développé pour les Karts de compétition. Moteurs 2 Temps de compétition à très hauts régimes de rotation, graissés par mélange: ROTAX, ATK, PARILLA, PCR, YAMAHA, Ital System, TM... HOMOLOGATION FIA - CIK Normes: API TC;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650002941.jpg;1;Type d'huile:Huile 2-temps:1;0;new;0;0;0;2;0;0;0;0
82901;1;Motul, huile de cardan et de transmission Gear 300 SAE 75W-90 1L;314,460;24.02777778;1;14.41666667;0;;;;;EM-650003399;EM-650003399;Hostettler;Motul;;;;;;;;2;;;;;;Huile de boite fluide entièrement synthétique pour boîtes de vitesses et cardan soumis à rude épreuve. Sa légère viscosité permet un bon fonctionnement de sélection même à basse température.;Huile de boîte de vitesses antifriction 100% synthétique pour boîtes manuelles et trains arrière extrêmement sollicités. L?indice de viscosité antifriction permet des changements de vitesses confortables même à basses températures. Spécifications: API GL 4 et 5, MIL-L-2105D;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650003399.jpg;1;Type d'huile:Huile à engrenages:1;0;new;0;0;0;2;0;0;0;0
82902;1;Motul Dexron IID;314,460;28.7037037;1;17.22222222;0;;;;;EM-650003405;EM-650003405;Hostettler;Motul;;;;;;;;2;;;;;;Liquide hydraulique à base d?huile minérale, développé pour les boîtes automatiques et directions assistées. ;Utilisable dans tous les systèmes pour lesquels sont prescrits DEXRON, DEXRON B et DEXRON IID.;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650001838.jpg;1;Type d'huile:Huile à engrenages:1;0;new;0;0;0;2;0;0;0;0
82903;1;Motul Huile de boîte de vitesses Transoil SAE 10W-30 1L;314,460;12.03703704;1;7.222222222;0;;;;;EM-650004389;EM-650004389;Hostettler;Motul;;;;;;;;2;;;;;;Huile de boite spéciale à base minérale pour les machines 2-temps avec lubrification séparée de boîte à vitesse et embrayage humide. Elle correspond aux recommandations Yamaha pour ses boîtes à vitesses.;Huile de boîte de vitesses multigrade spéciale à base minérale pour les machines 2-temps avec lubrification séparée de la boîte de vitesses. Respecte la recommandation de YAMAHA pour ces boîtes de vitesses. Spécifications: API GL4.;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650004389.jpg;1;Type d'huile:Huile à engrenages:1;0;new;0;0;0;2;0;0;0;0
82904;1;Motul Tech Grease 300 Graisse 200gr.;314,460;13.88888889;1;8.333333333;0;;;;;EM-650004815;EM-650004815;Hostettler;Motul;;;;;;;;2;;;;;;Graisse synthétique au lithium utilisable sur tous les véhicules (recommandation NLGI2 excellemte pour la lubrification des galets variomatique des scooters. Point de goutte 260°C.;Graisse multiusage synthétique à base de lithium pour des pressions très élevées. Domaines d?application sur tous les véhicules pour lesquels NLGI 2 est recommandé. Point de goutte 260° C.;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650004815.jpg;1;Type d'huile:Nettoyage & entretien:1;0;new;0;0;0;2;0;0;0;0
82905;1;Motul Top Grease 200 NLGI 2 400gr;314,460;11.11111111;1;6.666666667;0;;;;;EM-650004839;EM-650004839;Hostettler;Motul;;;;;;;;2;;;;;;Graissage multi-usage à base de lithium pour applications sur tous les véhicules dans lesquels la norme NLGI 2 est recommandée Point de goutte: 190 ° C.;Graisse multiusage synthétique à base de lithium pour tous les véhicules pour lesquels NLGI 2 est recommandé. Point de goutte : 190° C. Températures d?application: -20°C / -20,00°C à +130°C / +266°F. En cartouches et boîtes de 400 g.;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650004839.jpg;1;Type d'huile:Nettoyage & entretien:1;0;new;0;0;0;2;0;0;0;0
82906;1;Motul Grease 100;314,460;69.44444444;1;41.66666667;0;;;;;EM-650004853;EM-650004853;Hostettler;Motul;;;;;;;;2;;;;;;Graisse multiusage synthétique à base de lithium pour les domaines d?application sur tous les véhicules pour lesquels NLGI 2 est recommandé. Point de goutte 180° C, température d?utilisation: de -30°C / -22°F à +120°C / +248°F;Graisse multiusage synthétique à base de lithium pour les domaines d?application sur tous les véhicules pour lesquels NLGI 2 est recommandé. Point de goutte 180° C, température d?utilisation: de -30°C / -22°F à +120°C / +248°F;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650010090.jpg;1;Type d'huile:Nettoyage & entretien:1;0;new;0;0;0;2;0;0;0;0
82907;1;Motul Liquide de frein RBF 600 Factory line  500ml;314,460;17.59259259;1;10.55555556;0;;;;;EM-650005027;EM-650005027;Hostettler;Motul;;;;;;;;2;;;;;;Liquide de frein entièrement synthétique à base de polyglycol. Convient à tous les systèmes de freinage (disques de frein acier, céramique ou carbone) qui existent actuellement dans le racing.;"Liquide de frein 100% synthétique à base de polyglycol. Approprié pour tous les systèmes de freinage (disques de frein en acier, céramique ou carbone) qui existent actuellement en compétition. Surclasse les liquides de frein conventionnels à base de polyglycol (DOT3, DOT4, DOT5.1) ou de silicone (DOT5). Point d?ébullition à sec très élevé: 312° C; Point d´ébullition humide 205° C
Spécifications: FMVSS 116 DOT 4, SAE J1703 + J1704, ISO 4925";;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650005027.jpg;1;Type d'huile:Liquide de frein et d'embrayage:1;0;new;0;0;0;2;0;0;0;0
82908;1;Motul Liquide de frein DOT 5.1 ;314,460;14.81481481;1;8.888888889;0;;;;;EM-650005041;EM-650005041;Hostettler;Motul;;;;;;;;2;;;;;;Liquide de frein entièrement synthétique à base de polyglycol pour système de freinage à disque et tambour.;Liquide de frein 100% synthétique à base de polyglycol pour systèmes de freinage à disques et à tambour. Spécifiquement pour les véhicules avec ABS. Normes: DOT 3, DOT 4, DOT 5.1, SAE J 1703, ISO 4925;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650005041.jpg;1;Type d'huile:Liquide de frein et d'embrayage:1;0;new;0;0;0;2;0;0;0;0
82909;1;Motul Huile de boîte de vitesses Transoil Expert SAE 10W-40 1L;314,460;15.74074074;1;9.444444444;0;;;;;EM-650005126;EM-650005126;Hostettler;Motul;;;;;;;;2;;;;;;Huile de boite spéciale multigrade à base de technosynthèse, renforcée esters, pour moteur 2-temps à lubrification séparée de boîte à vitesse et embrayage humide.;Huile de boîte de vitesses spéciale multigrade sur la base de la technosynthèse®. Cette huile de boîte de vitesses est renforcée aux esters et a été développée spécialement pour le moteur à deux temps. Lubrification séparée de la boîte de vitesses. Spécifications: API GL4;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-06-08;2016-06-08;1;http://shop.motochic.ch/shopimages/super/EM-650005126.jpg;1;Type d'huile:Huile à engrenages:1;0;new;0;0;0;2;0;0;0;0
