Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
82931;;Taille:select:0;1 Kg:2;EM-650010038;EM-650010038;;;;;;2;;;;;;;;;;;
82902;;Taille:select:0;1 L:4;EM-650003405;EM-650003405;;;;;;2;;;;;;;;;;;
82912;;Taille:select:0;1 L:4;EM-650005447;EM-650005447;;;;;;2;;;;;;;;;;;
82914;;Taille:select:0;1 L:4;EM-650005577;EM-650005577;;;;;;2;;;;;;;;;;;
82939;;Taille:select:0;1 L:4;EM-650013985;EM-650013985;;;;;;2;;;;;;;;;;;
82940;;Taille:select:0;1 L:4;EM-650014050;EM-650014050;;;;;;2;;;;;;;;;;;
82950;;Taille:select:0;1 L:4;EM-650017563;EM-650017563;;;;;;2;;;;;;;;;;;
82955;;Taille:select:0;1 L:4;EM-650018157;EM-650018157;;;;;;0;;;;;;;;;;;
82958;;Taille:select:0;1 L:4;EM-650018270;EM-650018270;;;;;;2;;;;;;;;;;;
82999;;Taille:select:0;1 L:4;EM-650246772;EM-650246772;;;;;;2;;;;;;;;;;;
83010;;Taille:select:0;1 L:4;EM-650247304;EM-650247304;;;;;;2;;;;;;;;;;;
83017;;Taille:select:0;1 L:4;EM-650247632;EM-650247632;;;;;;2;;;;;;;;;;;
83018;;Taille:select:0;1 L:4;EM-650247724;EM-650247724;;;;;;2;;;;;;;;;;;
83019;;Taille:select:0;1 L:4;EM-650247755;EM-650247755;;;;;;2;;;;;;;;;;;
83022;;Taille:select:0;1 L:4;EM-650255484;EM-650255484;;;;;;2;;;;;;;;;;;
83023;;Taille:select:0;1 L:4;EM-650255507;EM-650255507;;;;;;2;;;;;;;;;;;
82911;;Taille:select:0;100 ml:1;EM-650005195;EM-650005195;;;;;;2;;;;;;;;;;;
82902;;Taille:select:0;2 L:5;EM-650001838;EM-650001838;;;;;;2;;;;;;;;;;;
82912;;Taille:select:0;20 L:8;EM-650005454;EM-650005454;;;;;;0;;;;;;;;;;;
83017;;Taille:select:0;20 L:8;EM-650247694;EM-650247694;;;;;;2;;;;;;;;;;;
82951;;Taille:select:0;25 L:9;EM-650017631;EM-650017631;;;;;;0;;;;;;;;;;;
83039;;Taille:select:0;2XL:5;EM-650900210;EM-650900210;;;;;;2;;;;;;;;;;;
83040;;Taille:select:0;2XL:5;EM-650900205;EM-650900205;;;;;;0;;;;;;;;;;;
83041;;Taille:select:0;2XL:5;EM-650900215;EM-650900215;;;;;;0;;;;;;;;;;;
83042;;Taille:select:0;2XL:5;EM-650900323;EM-650900323;;;;;;2;;;;;;;;;;;
83041;;Taille:select:0;3XL:6;EM-650900216;EM-650900216;;;;;;2;;;;;;;;;;;
83042;;Taille:select:0;3XL:6;EM-650900324;EM-650900324;;;;;;2;;;;;;;;;;;
82914;;Taille:select:0;4 L:6;EM-650005584;EM-650005584;;;;;;2;;;;;;;;;;;
82939;;Taille:select:0;4 L:6;EM-650013992;EM-650013992;;;;;;2;;;;;;;;;;;
