Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
83795;;Taille:select:0;S:2;BE7049872;BE7049872;;;;;;0;;;;;;;;;;;
83795;;Taille:select:0;M:3;BE7049873;BE7049873;;;;;;0;;;;;;;;;;;
83795;;Taille:select:0;L:4;BE7049874;BE7049874;;;;;;0;;;;;;;;;;;
83795;;Taille:select:0;XL:5;BE7049875;BE7049875;;;;;;0;;;;;;;;;;;
83796;;Taille:select:0;S:2;BE7049884;BE7049884;;;;;;0;;;;;;;;;;;
83796;;Taille:select:0;M:3;BE7049885;BE7049885;;;;;;0;;;;;;;;;;;
83796;;Taille:select:0;L:4;BE7049886;BE7049886;;;;;;0;;;;;;;;;;;
83796;;Taille:select:0;XL:5;BE7049887;BE7049887;;;;;;0;;;;;;;;;;;
83797;;Taille:select:0;M:3;BE7049891;BE7049891;;;;;;0;;;;;;;;;;;
83797;;Taille:select:0;L:4;BE7049892;BE7049892;;;;;;0;;;;;;;;;;;
83797;;Taille:select:0;XL:5;BE7049893;BE7049893;;;;;;0;;;;;;;;;;;
83798;;Taille:select:0;S:2;BE7049926;BE7049926;;;;;;0;;;;;;;;;;;
83798;;Taille:select:0;M:3;BE7049927;BE7049927;;;;;;0;;;;;;;;;;;
83798;;Taille:select:0;L:4;BE7049928;BE7049928;;;;;;0;;;;;;;;;;;
83798;;Taille:select:0;XL:5;BE7049929;BE7049929;;;;;;0;;;;;;;;;;;
83799;;Taille:select:0;M:3;BE7050008;BE7050008;;;;;;0;;;;;;;;;;;
83799;;Taille:select:0;L:4;BE7050009;BE7050009;;;;;;0;;;;;;;;;;;
83800;;Taille:select:0;XS:1;BE7050012;BE7050012;;;;;;0;;;;;;;;;;;
83800;;Taille:select:0;S:2;BE7050013;BE7050013;;;;;;1;;;;;;;;;;;
83800;;Taille:select:0;M:3;BE7050014;BE7050014;;;;;;1;;;;;;;;;;;
83800;;Taille:select:0;L:4;BE7050015;BE7050015;;;;;;1;;;;;;;;;;;
83800;;Taille:select:0;XL:5;BE7050016;BE7050016;;;;;;1;;;;;;;;;;;
83800;;Taille:select:0;XXL:6;BE7050017;BE7050017;;;;;;0;;;;;;;;;;;
83801;;Taille:select:0;S:2;BE7050019;BE7050019;;;;;;0;;;;;;;;;;;
83801;;Taille:select:0;M:3;BE7050020;BE7050020;;;;;;1;;;;;;;;;;;
83801;;Taille:select:0;L:4;BE7050021;BE7050021;;;;;;1;;;;;;;;;;;
83801;;Taille:select:0;XL:5;BE7050022;BE7050022;;;;;;1;;;;;;;;;;;
