id;Active (0/1);Name *;Categories;Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);SKU;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);image url;Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
45174;1;Stylmartin Bottes Rocket Brown Vintage;213;304.63;1;170.5928;;;10;;;SM1005;SM1005;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir plein fleur</li><li>membrane thermique</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>hauteur de la tige env. 26 cm</li><li>avec zip de fermeture</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
45175;1;Stylmartin Bottes Indian Black;213;276.85;1;155.036;;;10;;;SM1010;SM1010;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir plein fleur</li><li>membrane thermique</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>semelle antidérapante vibram®</li><li>hauteur de la tige env. 24 cm</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
45176;1;Stylmartin Bottes Indian Brown Vintage;213;276.85;1;155.036;;;10;;;SM1011;SM1011;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir plein fleur avec effet vintage</li><li>membrane thermique</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>semelle antidérapante vibram®</li><li>hauteur de la tige env. 24 cm</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
45177;1;Stylmartin Redrock Brown;213;267.59;1;149.8504;;;10;;;SM1015;SM1015;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir plein fleur avec effet vintage</li><li>membrane thermique</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>semelle antidérapante vibram®</li><li>hauteur de la tige env. 18cm</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
45178;1;Stylmartin Bottes Oxford;213;295.37;1;165.4072;;;10;;;SM1025;SM1025;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir Full Grain hydrofuge</li><li>doublure imperméable et respirante</li><li>protections malléole</li><li>protection en cuir pour le sélecteur de vitesse amovible</li><li>zip sur le côté intérieur</li><li>semelle à l'intérieur anatomique, respirante et remplaçable</li><li>semelle caoutchouc imperméable et résistant à l'abrasion</li><li>hauteur de la tige env. 23 cm</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
45179;1;Stylmartin Bottes Kansas;213;202.78;1;113.5568;;;10;;;SM1220;SM1220;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir et textile robuste</li><li>membrane thermique</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>semelle antidérapante</li><li>inserts réfléchissants</li><li>hauteur de la tige env. 17 cm</li><li>1 paire de lacets en plus</li><li>homologué pour moto</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;Couleur:Bleu:2;1;new;0;0;0;2;0;0;0;0
45180;1;Stylmartin Bottes Raptor;213;202.78;1;113.5568;;;10;;;SM1221;SM1221;Freidig;Stylmartin;;;;;;;;0;;both;;;;;;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;Couleur:Noir:2;1;new;0;0;0;2;0;0;0;0
45181;0;Stylmartin Bottes Philadelphia;213;230.56;1;129.1136;;;10;;;SM1240;SM1240;Freidig;Stylmartin;;;;;;;;0;;both;;;;;"<ul><li>Cet article n'est plus livrable.
Alternative: Marshall SM1243

Cuir pleine fleur</li><li>membrane thermique</li><li>renforcements aux chevilles et pour le sélecteur
de vitesse</li><li>semelle antidérapante</li><li>hauteur de la tige env. 17 cm</li><li>1 paire de lacets en plus</li><li>homologué pour moto</li></ul>";;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;Couleur:Rouge:2;1;new;0;0;0;2;0;0;0;0
45182;1;Stylmartin Bottes Seattle;213;230.56;1;129.1136;;;10;;;SM1241;SM1241;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir vintage hydrofuge</li><li>doublure imperméable et respirante</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>semelle antidérapante</li><li>inserts réfléchissants</li><li>hauteur de la tige env. 15 cm</li><li>1 paire de lacets en plus</li><li>homologué pour moto</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
45183;1;Stylmartin Bottes Chester;213;230.56;1;129.1136;;;10;;;SM1242;SM1242;Freidig;Stylmartin;;;;;;;;0;;both;;;;;<ul><li>Cuir pleine fleur</li><li>renforcements aux chevilles et pour le sélecteur de vitesse</li><li>semelle antidérapante</li><li>hauteur de la tige env. 17 cm</li><li>homologué pour moto</li></ul>;;;;;;En Stock;Disponibilité : Délai sur demande;1;2016-08-11;2016-08-11;1;;0;;1;new;0;0;0;2;0;0;0;0
