ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84778;;Windstopper Gilet SLIM WTS schwarz;;;;;;;;;;F33001-003;F33001-003;;;;;;;;;;;;;;;;Winddichtes und wasserabstossendes Gilet für den Winter.;Das WTS Gilet steht für das neue Ziel bei der Bekämpfung von Kälte. Mithilfe der Brainy Position Technologie werden drei verschiedene Materialien zu einem Produkt vermischt. Die Winter Barrier (winddichte und wasserabstossende Faser) schützt den der kalten Luft ausgesetzten Vorderbereich vor dem Eindringen der Kälte und hält den Körper warm und trocken. In den Bereichen, in denen man stärker schwitzt, sorgt Carbon Underwear® für totale Atmungsaktivität und Wärmeregulierung, während ein Mikro-Polar-Fleece-Gewebe wärmt und den Körper in den Zwischenbereichen in der richtigen Körperwärme hält. Empfohlen als Zwischenschicht, über der SIXS Underwear und unter anderen technischen Überkleidungsstücken.<br><br><b>Technische Details:</b><br><ul><li>Comfort Fit</li><li>Aerofit</li></ul><b>Zusammensetzung:</b><br>80 % Polyester, 15 % Polypropylene, 2 % Elastomer, 2 % Carbonfaser<br><b><br>Grössen:</b><br>XS - 3XL;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84779;;Windstopper Shirt FULL WTJ schwarz;;;;;;;;;;F33002-003;F33002-003;;;;;;;;;;;;;;;;Winddichtes und wasserabstossendes Jersey für den Winter.;Das WTJ Trikot steht für das neue Ziel bei der Bekämpfung von Kälte. Mithilfe der Brainy Position Technologie werden drei verschiedene Materialien zu einem Produkt vermischt. Die Winter Barrier (winddichte und wasserabstossende Faser) schützt den der kalten Luft ausgesetzten Vorderbereich vor dem Eindringen der Kälte und hält den Körper warm und trocken. In den Bereichen, in denen man stärker schwitzt, sorgt Carbon Underwear® für totale Atmungsaktivität und Wärmeregulierung, während ein Mikro-Polar-Fleece-Gewebe wärmt und den Körper in den Zwischenbereichen in der richtigen Körperwärme hält. Empfohlen als Zwischenschicht, über der SIXS Underwear und unter anderen technischen Überkleidungsstücken.<br><br><b>Technische Details:</b><br><ul><li>Comfort Fit</li><li>Aerofit</li></ul><b>Zusammensetzung:</b><br>80 % Polyester, 15 % Polypropylene, 2 % Elastomer, 2 % Carbonfaser<br><b><br>Grössen:</b><br>XS - 3XL;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84780;;Windstopper Hose WTP schwarz;;;;;;;;;;F33021-003;F33021-003;;;;;;;;;;;;;;;;Lange Funktionsunterhose für den Winter.;Die WTP Langen Unterhosen stehen für das neue Ziel bei der Bekämpfung von Kälte. Mithilfe der Brainy Position Technologie werden drei verschiedene Materialien zu einem Produkt vermischt. Die Winter Barrier (winddichte und wasserabstossende Faser) schützt den der kalten Luft ausgesetzten Vorderbereich vor dem Eindringen der Kälte und hält den Körper warm und trocken. In den Bereichen, in denen man stärker schwitzt, sorgt Carbon Underwear® für totale Atmungsaktivität und Wärmeregulierung, während ein Mikro-Polar-Fleece-Gewebe wärmt und den Körper in den Zwischenbereichen in der richtigen Körperwärme hält. Empfohlen als Zwischenschicht, über der SIXS Underwear und unter anderen technischen Überkleidungsstücken.<br><br><b>Technische Details:</b><ul><li>Comfort Fit</li><li>Aerofit</li></ul><b>Zusammensetzung:</b><br>80 % Polyester, 15 % Polypropylene, 2 % Elastomer, 2 % Carbonfaser<br><br><b>Grössen:</b><br>XS - 3XL;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84781;;Funktionskombi STX schwarz-carbon;;;;;;;;;;F33261-003;F33261-003;;;;;;;;;;;;;;;;Ein absolutes Muss für jeden Motorradfahrer, der ein Lederkombi trägt!;Der SIXS Carbon Underwear® Unterzieher ist ein absolutes Muss für jeden Motorradfahrer, der ein Lederkombi trägt. Er erleichtert nicht nur das Tragen einer Oberkleidung (z. B. einteiliges Lederkombi), sondern bietet dank des SIXS Carbon Underwear® Materials eine natürliche Wärmeregulierung und schützt die Haut selbst an Hitzetagen vor Schweissbildung. Damit werden unerwünschte Frost- oder Kälteanfälle verhindert, weil die Feuchtigkeit vom Körper ferngehalten wird. Dieses Produkt kann auch bei anderen Sportarten, bei denen eine einteilige Überbekleidung verwendet wird, getragen werden (z. B. Taucheranzug oder Skikombi).<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><b>Zusammensetzung:</b><br>77 % Polypropylen, 15 % Polyamid, 5 % Elastomer, 3 % Carbonfaser<br><br><b>Grössen:</b><br>XS - 2XL;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84782;;Funktionskombi STXL schwarz-carbon;;;;;;;;;;F33262-003;F33262-003;;;;;;;;;;;;;;;;Superlight Carbon Underwear® Einteiliger Unterzieher.;Der SuperLight Carbon Underwear® Unterzieher wurde für die warme Jahreszeit entwickelt, wenn einem Hitze und Feuchtigkeit zu schaffen machen. Bei diesen Bedingungen braucht es ein Kleidungsstück, das für die richtige Körpertemperatur des Sportlers sorgt und den Schweiss (und auch die Hitze) ohne Absorption nach aussen transportiert. Das Ergebnis ist ein angenehmes Gefühl von Trockenheit und Frische auf der Haut, für das unser SuperLight Carbon Underwear® Material (36 % leichter als Carbon Underwear®) sorgt. Zudem lassen sich Oberbekleidungen wie beispielsweise ein Lederkombi besser überziehen.<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><b>Zusammensetzung:</b><br>77 % Polypropylen, 15 % Polyamid, 5 % Elastomer, 3 % Carbonfaser<br><br><b>Grössen:</b><br>XS - 2XL;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84783;;Funktions T-Shirt TS1 weiss;;;;;;;;;;F33351-001;F33351-001;;;;;;;;;;;;;;;;Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet.;Das SIXS Carbon Underwear® Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet. Anders als das ärmellose Modell umhüllen die Ärmel den Oberarm (Achselhöhle), der starker Schweissbildung ausgesetzt ist, und halten die Haut trocken. Die leichteste und atmungsaktivste Polypropylenfaser, die auf dem Markt erhältlich ist, kombiniert mit einem echten Kohlegarn mit Wärmetransmission und antistatischen Eigenschaften, die den Körper vor elektrischer Ladung durch das Aneinanderreiben verschiedener synthetischer Materialien (typische Eigenschaft von Sportbekleidung) schützen.<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><p><b>Zusammensetzung:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone</p><p><b>Grössen:<br></b>XS - 2XL<b><br></b></p>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84784;;Funktions T-Shirt TS1 schwarz;;;;;;;;;;F33351-003;F33351-003;;;;;;;;;;;;;;;;Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet.;Das SIXS Carbon Underwear® Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet. Anders als das ärmellose Modell umhüllen die Ärmel den Oberarm (Achselhöhle), der starker Schweissbildung ausgesetzt ist, und halten die Haut trocken. Die leichteste und atmungsaktivste Polypropylenfaser, die auf dem Markt erhältlich ist, kombiniert mit einem echten Kohlegarn mit Wärmetransmission und antistatischen Eigenschaften, die den Körper vor elektrischer Ladung durch das Aneinanderreiben verschiedener synthetischer Materialien (typische Eigenschaft von Sportbekleidung) schützen.<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><p><b>Zusammensetzung:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone</p><p><b>Grössen:<br></b>XS - 2XL<b><br></b></p>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84785;;Funktions T-Shirt TS1 rot;;;;;;;;;;F33351-200;F33351-200;;;;;;;;;;;;;;;;Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet.;"Das SIXS Carbon Underwear® Kurzarm-Rundhals-T-Shirt ist ein 
Multi-Sport-Produkt, das sich für alle Bedingungen eignet. Anders als 
das ärmellose Modell umhüllen die Ärmel den Oberarm (Achselhöhle), der 
starker Schweissbildung ausgesetzt ist, und halten die Haut trocken. Die
 leichteste und atmungsaktivste Polypropylenfaser, die auf dem Markt 
erhältlich ist, kombiniert mit einem echten Kohlegarn mit 
Wärmetransmission und antistatischen Eigenschaften, die den Körper vor 
elektrischer Ladung durch das Aneinanderreiben verschiedener 
synthetischer Materialien (typische Eigenschaft von Sportbekleidung) 
schützen.<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><p><b>Zusammensetzung:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone</p><p><b>Grössen:<br></b>XS - 2XL<b><br></b></p>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84786;;Funktions T-Shirt TS1 pink;;;;;;;;;;F33351-222;F33351-222;;;;;;;;;;;;;;;;Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet.;"Das SIXS Carbon Underwear® Kurzarm-Rundhals-T-Shirt ist ein 
Multi-Sport-Produkt, das sich für alle Bedingungen eignet. Anders als 
das ärmellose Modell umhüllen die Ärmel den Oberarm (Achselhöhle), der 
starker Schweissbildung ausgesetzt ist, und halten die Haut trocken. Die
 leichteste und atmungsaktivste Polypropylenfaser, die auf dem Markt 
erhältlich ist, kombiniert mit einem echten Kohlegarn mit 
Wärmetransmission und antistatischen Eigenschaften, die den Körper vor 
elektrischer Ladung durch das Aneinanderreiben verschiedener 
synthetischer Materialien (typische Eigenschaft von Sportbekleidung) 
schützen.<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><p><b>Zusammensetzung:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone</p><p><b>Grössen:<br></b>XS - 2XL<b><br></b></p>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84787;;Funktions T-Shirt TS1 hellblau;;;;;;;;;;F33351-400;F33351-400;;;;;;;;;;;;;;;;Kurzarm-Rundhals-T-Shirt ist ein Multi-Sport-Produkt, das sich für alle Bedingungen eignet.;"Das SIXS Carbon Underwear® Kurzarm-Rundhals-T-Shirt ist ein 
Multi-Sport-Produkt, das sich für alle Bedingungen eignet. Anders als 
das ärmellose Modell umhüllen die Ärmel den Oberarm (Achselhöhle), der 
starker Schweissbildung ausgesetzt ist, und halten die Haut trocken. Die
 leichteste und atmungsaktivste Polypropylenfaser, die auf dem Markt 
erhältlich ist, kombiniert mit einem echten Kohlegarn mit 
Wärmetransmission und antistatischen Eigenschaften, die den Körper vor 
elektrischer Ladung durch das Aneinanderreiben verschiedener 
synthetischer Materialien (typische Eigenschaft von Sportbekleidung) 
schützen.<br><br><b>Technische Details:</b><br><ul><li>Nahtlostechnologie</li><li>Antistatiksystem</li></ul><p><b>Zusammensetzung:</b><br>77 % Polypropylène, 15 % Polyamide, 5 % Élastomère, 3 % Carbone</p><p><b>Grössen:<br></b>XS - 2XL<b><br></b></p>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
