Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
84780;;Taille:select:0;2XL:8;F33021-003-2XL;F33021-003-2XL;;;;0;;1;;;;;;;;;;;
84780;;Taille:select:0;XL:7;F33021-003-XL;F33021-003-XL;;;;0;;1;;;;;;;;;;;
84782;;Taille:select:0;L:4;F33262-003-L;F33262-003-L;;;;0;;1;;;;;;;;;;;
84784;;Taille:select:0;L:4;F33351-003-L;F33351-003-L;;;;0;;1;;;;;;;;;;;
84784;;Taille:select:0;XS:1;F33351-003-XS;F33351-003-XS;;;;0;;1;;;;;;;;;;;
84792;;Taille:select:0;2XL:8;F33352-003-2XL;F33352-003-2XL;;;;0;;1;;;;;;;;;;;
84793;;Taille:select:0;2XL:8;F33352-200-M;F33352-200-M;;;;0;;1;;;;;;;;;;;
84798;;Taille:select:0;M:3;F33352-700-M;F33352-700-M;;;;0;;1;;;;;;;;;;;
84797;;Taille:select:0;M:3;F33352-600-M;F33352-600-M;;;;0;;1;;;;;;;;;;;
84797;;Taille:select:0;L:4;F33352-600-L;F33352-600-L;;;;0;;1;;;;;;;;;;;
84792;;Taille:select:0;XL:7;F33352-003-XL;F33352-003-XL;;;;0;;1;;;;;;;;;;;
84792;;Taille:select:0;L:4;F33352-003-L;F33352-003-L;;;;0;;1;;;;;;;;;;;
84792;;Taille:select:0;S:2;F33352-003-S;F33352-003-S;;;;0;;1;;;;;;;;;;;
84814;;Taille:select:0;L:4;F33372-003-L;F33372-003-L;;;;0;;1;;;;;;;;;;;
84815;;Taille:select:0;M:3;F33372-222-M;F33372-222-M;;;;0;;1;;;;;;;;;;;
84823;;Pointure:select:0;35/38:1;F33410-003-35/38;F33410-003-35/38;;;;0;;1;;;;;;;;;;;
84825;;Pointure:select:0;47/49:4;F33411-003-47/49;F33411-003-47/49;;;;0;;1;;;;;;;;;;;
84828;;Pointure:select:0;39/42:2;F33414-003-39/42;F33414-003-39/42;;;;0;;1;;;;;;;;;;;
84828;;Pointure:select:0;35/38:1;F33414-003-35/38;F33414-003-35/38;;;;0;;1;;;;;;;;;;;
84778;;Taille:select:0;2XL:8;F33001-003-2XL;F33001-003-2XL;;;;0;;1;;;;;;;;;;;
84778;;Taille:select:0;XL:7;F33001-003-XL;F33001-003-XL;;;;0;;1;;;;;;;;;;;
