ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84860;1;Rev'it Bottes Pioneer OutDry;213;305.462963;1;183.28;1;;;;;FBR033-1010;FBR033-1010;REV'IT;REV'IT;;;;;;;;0;;;;;;Les bottes Pioneer OutDry se démarquent des autres modèles du marché dédiés à l'aventure grâce à leurs équipements dernière génération. La membrane stratifiée OutDry® garantit une étanchéité parfaite et élimine tout risque d'absorption d'eau. La révolutionnaire semelle Vibram® Apex est le résultat de la rencontre entre le savoir-faire de nos designers et l'expérience de la société italienne Vibram®. Cette semelle est conçue pour l'aventure à moto mais elle offre le confort d'une chaussure de randonnée. Grâce à la fermeture Boa®, rapide et pratique, la coupe s'ajuste en tournant un simple bouton. Les zones renforcées de la pointe, du talon, de la cheville, secondées par des matériaux résistants à l'abrasion et des absorbeurs de chocs autour du tibia se chargent de la protection sans nuire au confort.Tailles 38-47;"Les bottes Pioneer OutDry se démarquent des autres modèles du marché dédiés à l'aventure grâce à leurs équipements dernière génération. La membrane stratifiée OutDry® garantit une étanchéité parfaite et élimine tout risque d'absorption d'eau. La révolutionnaire semelle Vibram® Apex est le résultat de la rencontre entre le savoir-faire de nos designers et l'expérience de la société italienne Vibram®. Cette semelle est conçue pour l'aventure à moto mais elle offre le confort d'une chaussure de randonnée. Grâce à la fermeture Boa®, rapide et pratique, la coupe s'ajuste en tournant un simple bouton. Les zones renforcées de la pointe, du talon, de la cheville, secondées par des matériaux résistants à l'abrasion et des absorbeurs de chocs autour du tibia se chargent de la protection sans nuire au confort.Tailles 38-47<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>daim;caoutchouc;cuir pleine fleur;Cordura® 500D <br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li>OutDry® </li></ul><br><strong>Coupe:</strong><ul><li>coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée;Protection SEESOFT™ sur la languette</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li>Système de fermeture Boa®</li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>Semelle Vibram® Apex;Semelle intermédiaire antichoc en mousse EVA à densité variable;Stabilisateur de talon en TPU;renfort sélecteur en caoutchouc;lit plantaire anatomique;semelle interne PP à tige intégrée;coque de cheville anatomique;languette à soufflet;pointe renforcée;col confort;Doublure filet 3D antibactérienne aux ions d'argent;languette pour enfilage facilité;Semelle Vibram® Apex interchangeable</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR033_1010UF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Oui:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84861;1;Rev'it Bottes Discovery OutDry;213;351.7592593;1;211.06;1;;;;;FBR034-1010;FBR034-1010;REV'IT;REV'IT;;;;;;;;0;;;;;;Le modèle Discovery OutDry s'adresse aux pilotes qui ont besoin de la stabilité et de la sécurité d'une botte tout-terrain, des équipements et de l'aspect pratique d'une botte touring et du confort d'une chaussure de randonnée. La semelle Vibram® Apex fournit du grip, de la stabilité et du contrôle, une couche EVA à densité variable se charge d'absorber les chocs, tandis que le lit plantaire anatomique offre un confort incroyable. L'astucieuse fermeture Boa® réduit le poids de la botte de manière significative et permet d'ajuster la coupe à l'aide d'un simple bouton. La membrane stratifiée OutDry® garde les pieds au sec et les zones renforcées apportent une protection de haute volée sans pour autant réduire le niveau de confort. Tailles 38-47;"Le modèle Discovery OutDry s'adresse aux pilotes qui ont besoin de la stabilité et de la sécurité d'une botte tout-terrain, des équipements et de l'aspect pratique d'une botte touring et du confort d'une chaussure de randonnée. La semelle Vibram® Apex fournit du grip, de la stabilité et du contrôle, une couche EVA à densité variable se charge d'absorber les chocs, tandis que le lit plantaire anatomique offre un confort incroyable. L'astucieuse fermeture Boa® réduit le poids de la botte de manière significative et permet d'ajuster la coupe à l'aide d'un simple bouton. La membrane stratifiée OutDry® garde les pieds au sec et les zones renforcées apportent une protection de haute volée sans pour autant réduire le niveau de confort. Tailles 38-47<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>daim;caoutchouc;Cordura® 500D ;cuir pleine fleur<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li>OutDry® </li></ul><br><strong>Coupe:</strong><ul><li>Protection SEESOFT™ sur le tibia et la languette;coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée;protège-tibia thermoformé</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li>Système de fermeture Boa®;fermeture par boucles et crochets réglable</li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>Semelle Vibram® Apex;Semelle intermédiaire antichoc en mousse EVA à densité variable;Stabilisateur de talon en TPU;renfort sélecteur en caoutchouc;lit plantaire anatomique;semelle interne PP à tige intégrée;coque de cheville anatomique;languette à soufflet;talon renforcé;pointe renforcée;col confort;Doublure filet 3D antibactérienne aux ions d'argent;languette pour enfilage facilité;Semelle Vibram® Apex interchangeable;bordure protectrice en caoutchouc</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR034_1010UF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Oui:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84862;1;Rev'it Chaussures Emerald Ladies;214,441;166.5740741;1;99.94;1;;;;;FBR037-1010;FBR037-1010;REV'IT;REV'IT;;;;;;;;0;;;;;;La basket est la meilleure des alliés en terme de confort. Voilà pourquoi la raison d'être des chaussures Emerald Ladies est d'offrir un confort semblable à celui d'une paire de baskets tout en permettant le pilotage d'une moto. La souplesse de son cuir de vachette pleine fleur de grande qualité permet de retrouver la sensation familière d'une basket. Mais, ne vous y trompez pas, cette enveloppe résistante à l'abrasion intègre des renforts au talon et à la pointe ainsi qu'une coque de cheville ergonomique. Le lit plantaire anatomique s'occupe de votre confort alors que vous pilotez votre machine ou que vous déambulez avec la satisfaction d'être protégé en cas d'imprévu.Tailles 35-42;"La basket est la meilleure des alliés en terme de confort. Voilà pourquoi la raison d'être des chaussures Emerald Ladies est d'offrir un confort semblable à celui d'une paire de baskets tout en permettant le pilotage d'une moto. La souplesse de son cuir de vachette pleine fleur de grande qualité permet de retrouver la sensation familière d'une basket. Mais, ne vous y trompez pas, cette enveloppe résistante à l'abrasion intègre des renforts au talon et à la pointe ainsi qu'une coque de cheville ergonomique. Le lit plantaire anatomique s'occupe de votre confort alors que vous pilotez votre machine ou que vous déambulez avec la satisfaction d'être protégé en cas d'imprévu.Tailles 35-42<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>cuir pleine fleur<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li></li></ul><br><strong>Coupe:</strong><ul><li>coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li></li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>talon renforcé;pointe renforcée;lit plantaire anatomique;coque de cheville anatomique;languette à soufflet</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR037_1010LF_300RGB08.jpg;0;Genre:Femme:2,Gore-Tex:Non:3,Etanchéité:Non:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84863;1;Rev'it Chaussures Emerald Ladies;214,441;166.5740741;1;99.94;1;;;;;FBR037-7560;FBR037-7560;REV'IT;REV'IT;;;;;;;;0;;;;;;La basket est la meilleure des alliés en terme de confort. Voilà pourquoi la raison d'être des chaussures Emerald Ladies est d'offrir un confort semblable à celui d'une paire de baskets tout en permettant le pilotage d'une moto. La souplesse de son cuir de vachette pleine fleur de grande qualité permet de retrouver la sensation familière d'une basket. Mais, ne vous y trompez pas, cette enveloppe résistante à l'abrasion intègre des renforts au talon et à la pointe ainsi qu'une coque de cheville ergonomique. Le lit plantaire anatomique s'occupe de votre confort alors que vous pilotez votre machine ou que vous déambulez avec la satisfaction d'être protégé en cas d'imprévu.Tailles 35-42;"La basket est la meilleure des alliés en terme de confort. Voilà pourquoi la raison d'être des chaussures Emerald Ladies est d'offrir un confort semblable à celui d'une paire de baskets tout en permettant le pilotage d'une moto. La souplesse de son cuir de vachette pleine fleur de grande qualité permet de retrouver la sensation familière d'une basket. Mais, ne vous y trompez pas, cette enveloppe résistante à l'abrasion intègre des renforts au talon et à la pointe ainsi qu'une coque de cheville ergonomique. Le lit plantaire anatomique s'occupe de votre confort alors que vous pilotez votre machine ou que vous déambulez avec la satisfaction d'être protégé en cas d'imprévu.Tailles 35-42<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>cuir pleine fleur<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li></li></ul><br><strong>Coupe:</strong><ul><li>coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li></li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>talon renforcé;pointe renforcée;lit plantaire anatomique;coque de cheville anatomique;languette à soufflet</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR037_7560LF_300RGB08.jpg;0;Genre:Femme:2,Gore-Tex:Non:3,Etanchéité:Non:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84864;1;Rev'it Chaussures Grand;214;166.5740741;1;99.94;1;;;;;FBR038-1010;FBR038-1010;REV'IT;REV'IT;;;;;;;;5;;;;;;Difficile de trouver aussi confortable qu'une paire de baskets. Nous avons fait en sorte que vous pourrez flâner dans les rues ou bien rejoindre votre prochaine destination à moto avec l'assurance que vos pieds sont protégés. Le modèle Grand est rendu compatible avec la pratique du deux-roues grâce à l'utilisation d'un cuir de vachette pleine fleur de haute qualité et d'une grande souplesse qui donne l'illusion de marcher avec des baskets mais qui retrouve sa robustesse en cas d'imprévu. Le talon et la pointe renforcés ou la coque de cheville sont là pour vous protéger sans se faire remarquer. Son lit plantaire anatomique vous offre le confort de marche d'une basket sans vous obliger à trahir votre style, que vous soyez ou non au guidon de votre machine.Tailles 39-46 ;"Difficile de trouver aussi confortable qu'une paire de baskets. Nous avons fait en sorte que vous pourrez flâner dans les rues ou bien rejoindre votre prochaine destination à moto avec l'assurance que vos pieds sont protégés. Le modèle Grand est rendu compatible avec la pratique du deux-roues grâce à l'utilisation d'un cuir de vachette pleine fleur de haute qualité et d'une grande souplesse qui donne l'illusion de marcher avec des baskets mais qui retrouve sa robustesse en cas d'imprévu. Le talon et la pointe renforcés ou la coque de cheville sont là pour vous protéger sans se faire remarquer. Son lit plantaire anatomique vous offre le confort de marche d'une basket sans vous obliger à trahir votre style, que vous soyez ou non au guidon de votre machine.Tailles 39-46 <br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>cuir pleine fleur<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li></li></ul><br><strong>Coupe:</strong><ul><li>coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li></li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>talon renforcé;pointe renforcée;lit plantaire anatomique;coque de cheville anatomique;languette à soufflet</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR038_1010MF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Non:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84865;1;Rev'it Chaussures Grand;214;166.5740741;1;99.94;1;;;;;FBR038-7560;FBR038-7560;REV'IT;REV'IT;;;;;;;;5;;;;;;Difficile de trouver aussi confortable qu'une paire de baskets. Nous avons fait en sorte que vous pourrez flâner dans les rues ou bien rejoindre votre prochaine destination à moto avec l'assurance que vos pieds sont protégés. Le modèle Grand est rendu compatible avec la pratique du deux-roues grâce à l'utilisation d'un cuir de vachette pleine fleur de haute qualité et d'une grande souplesse qui donne l'illusion de marcher avec des baskets mais qui retrouve sa robustesse en cas d'imprévu. Le talon et la pointe renforcés ou la coque de cheville sont là pour vous protéger sans se faire remarquer. Son lit plantaire anatomique vous offre le confort de marche d'une basket sans vous obliger à trahir votre style, que vous soyez ou non au guidon de votre machine.Tailles 39-46 ;"Difficile de trouver aussi confortable qu'une paire de baskets. Nous avons fait en sorte que vous pourrez flâner dans les rues ou bien rejoindre votre prochaine destination à moto avec l'assurance que vos pieds sont protégés. Le modèle Grand est rendu compatible avec la pratique du deux-roues grâce à l'utilisation d'un cuir de vachette pleine fleur de haute qualité et d'une grande souplesse qui donne l'illusion de marcher avec des baskets mais qui retrouve sa robustesse en cas d'imprévu. Le talon et la pointe renforcés ou la coque de cheville sont là pour vous protéger sans se faire remarquer. Son lit plantaire anatomique vous offre le confort de marche d'une basket sans vous obliger à trahir votre style, que vous soyez ou non au guidon de votre machine.Tailles 39-46 <br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>cuir pleine fleur<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li></li></ul><br><strong>Coupe:</strong><ul><li>coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li></li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>talon renforcé;pointe renforcée;lit plantaire anatomique;coque de cheville anatomique;languette à soufflet</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR038_7560MF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Non:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84866;1;Rev'it Chaussures Marshall WR;214;212.8703704;1;127.72;1;;;;;FBR039-0700;FBR039-0700;REV'IT;REV'IT;;;;;;;;10;;;;;;Ces chaussures se devaient de briller et c'est exactement ce qu'elles font. Différentes cires sont appliquées sur le cuir de vachette pleine fleur pour offrir un revêtement déperlant au look unique. La Marshall profite de tous les accessoires de sécurité qui équipent nos chaussures de ville, comme le talon et la pointe renforcés ou la coque de cheville anatomique. Son originalité saura vous mettre en valeur que vous soyez à la recherche d'un style soigné ou plus décontracté. La présence d'un lit plantaire anatomique garantit un bon confort aussi bien à pied qu'à moto et l'astucieuse languette à soufflet bloque les projections d'eau de la roue avant. Une fine bande réfléchissante à l'arrière souligne votre présence dès que le soleil se couche. Tailles 39-46 ;"Ces chaussures se devaient de briller et c'est exactement ce qu'elles font. Différentes cires sont appliquées sur le cuir de vachette pleine fleur pour offrir un revêtement déperlant au look unique. La Marshall profite de tous les accessoires de sécurité qui équipent nos chaussures de ville, comme le talon et la pointe renforcés ou la coque de cheville anatomique. Son originalité saura vous mettre en valeur que vous soyez à la recherche d'un style soigné ou plus décontracté. La présence d'un lit plantaire anatomique garantit un bon confort aussi bien à pied qu'à moto et l'astucieuse languette à soufflet bloque les projections d'eau de la roue avant. Une fine bande réfléchissante à l'arrière souligne votre présence dès que le soleil se couche. Tailles 39-46 <br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>Cuir de vachette pleine fleur Pull Up WP ciré<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li></li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li>imperméable</li></ul><br><strong>Coupe:</strong><ul><li>coque de talon thermoformée;coque de pointe thermoformée;coque de cheville injectée</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion au talon<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li></li></ul><br><strong>Réglages:</strong><ul><li></li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>talon renforcé;pointe renforcée;protège-sélecteur;coque de cheville anatomique;languette à soufflet</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FBR039_0700UF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Non:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84867;1;Rev'it Gants Stratos GTX;217;138.7962963;1;83.28;1;;;;;FGW075-0010;FGW075-0010;REV'IT;REV'IT;;;;;;;;10;;;;;;Les gants Stratos GTX succèdent aux gants Oceanus GTX. Un design modernisé, une coupe améliorée : le nouveau Stratos GTX mérite sa place au sein de notre collection de gants pour l'hiver. Un modèle qui affiche sa différence grâce à son poing 3D SEESOFT™ et son système de fermeture unique d'un seul geste.Tailles S-XZL;"Les gants Stratos GTX succèdent aux gants Oceanus GTX. Un design modernisé, une coupe améliorée : le nouveau Stratos GTX mérite sa place au sein de notre collection de gants pour l'hiver. Un modèle qui affiche sa différence grâce à son poing 3D SEESOFT™ et son système de fermeture unique d'un seul geste.Tailles S-XZL<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>peau de chèvre teintée au tonneau et imperméabilisée;PWR | shell 330D;PU floqué;toile à sangles<br><strong>Doublure:</strong><ul><li>doublure tricot<br><strong>Isolation:</strong><ul><li>3M™ Thinsulate® G</li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li>membrane GORE-TEX®</li></ul><br><strong>Coupe:</strong><ul><li>jointures SEESOFT™ 3D;mousse EVA;PWR | shield</li></ul><br><strong>Visibilité :</strong><ul><li>bandes réfléchissantes stratifiées<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li>coupe touring</li></ul><br><strong>Réglages:</strong><ul><li>système de fermeture rapide de manchette</li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>élastique;raclette à visière;manchette standard</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FGW075_0010UF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Oui:3,Etanchéité:Oui:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84868;1;Rev'it Gants Trocadero H2O;217;111.0185185;1;66.61;1;;;;;FGW076-0010;FGW076-0010;REV'IT;REV'IT;;;;;;;;5;;;;;;Vos mains sont souvent les premières à souffrir du froid. Voilà pourquoi les gants Trocadero H2O sont équipés d'une doublure Thinsulate® en G avec une épaisse fourrure synthétique et un revêtement tripolaire si doux que vous aurez envie de le caresser une fois arrivé à destination. L'enveloppe se compose d'un mélange de cuir de chèvre et de polyamide associé à une membrane hydratex® 100 % étanche et respirante garante de votre confort par mauvais temps. Côté protection, ce modèle dispose de renforts visco-élastiques sur les phalanges et d'inserts en PWR | Shield et SEESOFT™ au niveau de la paume. Les dispositifs réfléchissants sur le dos de la main participent à renforcer la visibilité du pilote. En plus de vous protéger des rigueurs de l'hiver, le gant Trocadero H2O vous offre la possibilité de manipuler un écran tactile sans vous déséquiper grâce à ses empreintes conductrices.Tailles S-XZL;"Vos mains sont souvent les premières à souffrir du froid. Voilà pourquoi les gants Trocadero H2O sont équipés d'une doublure Thinsulate® en G avec une épaisse fourrure synthétique et un revêtement tripolaire si doux que vous aurez envie de le caresser une fois arrivé à destination. L'enveloppe se compose d'un mélange de cuir de chèvre et de polyamide associé à une membrane hydratex® 100 % étanche et respirante garante de votre confort par mauvais temps. Côté protection, ce modèle dispose de renforts visco-élastiques sur les phalanges et d'inserts en PWR | Shield et SEESOFT™ au niveau de la paume. Les dispositifs réfléchissants sur le dos de la main participent à renforcer la visibilité du pilote. En plus de vous protéger des rigueurs de l'hiver, le gant Trocadero H2O vous offre la possibilité de manipuler un écran tactile sans vous déséquiper grâce à ses empreintes conductrices.Tailles S-XZL<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>peau de chèvre teintée au tonneau;PWR IOxford;Empreinte cuir conductrice;toile à sangles<br><strong>Doublure:</strong><ul><li>doublure tricot<br><strong>Isolation:</strong><ul><li>3M™ Thinsulate® G;doublure en fourrure à poils longs</li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li>hydratex® | Z-liner</li></ul><br><strong>Coupe:</strong><ul><li>Phalanges visco-élastiques;SEESOFT™ à la paume;PWR | shield</li></ul><br><strong>Visibilité :</strong><ul><li>réflexion<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li>coupe ville</li></ul><br><strong>Réglages:</strong><ul><li>sangle de réglage;patte de réglage</li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li>élastique;manchette standard;bout du doigt conducteur</li></ul><br><strong>Poches:</strong><ul><li>";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FGW076_0010UF_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Oui:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
84869;1;Rev'it Veste Woodbury;196;240.6481481;1;144.39;1;;;;;FJT210-0010;FJT210-0010;REV'IT;REV'IT;;;;;;;;10;;;;;;Nous pensons qu'avoir des moyens modestes ne doit pas signifier pour autant se contenter d'un équipement moto qui ne correspond pas à son style. Le tissu brillant de la veste courte Woodbury cache une membrane étanche hydratex®, des protections de membres SEESMART™ homologuées CE et l'enveloppe peut être équipée d'un insert dorsal SEESOFT™ CE-niveau 2. Profitez de la polyvalence offerte par sa doublure thermique amovible et ses nombreuses poches très pratiques – comme la poche téléphone intérieure. Reconnaissable entre toutes, la Woodbury intègre en prime des dispositifs réfléchissants dans le dos pour être reconnu de jour comme de nuit.Tailles S-XXL;"Nous pensons qu'avoir des moyens modestes ne doit pas signifier pour autant se contenter d'un équipement moto qui ne correspond pas à son style. Le tissu brillant de la veste courte Woodbury cache une membrane étanche hydratex®, des protections de membres SEESMART™ homologuées CE et l'enveloppe peut être équipée d'un insert dorsal SEESOFT™ CE-niveau 2. Profitez de la polyvalence offerte par sa doublure thermique amovible et ses nombreuses poches très pratiques – comme la poche téléphone intérieure. Reconnaissable entre toutes, la Woodbury intègre en prime des dispositifs réfléchissants dans le dos pour être reconnu de jour comme de nuit.Tailles S-XXL<br><p><strong>EQUIPEMENT PROTECTION:</strong></p><br><br><strong>Couche externe:</strong><ul><li>Polyester 600D<br><strong>Doublure:</strong><ul><li><br><strong>Isolation:</strong><ul><li>doublure thermique amovible</li></ul><br><strong>Imperméabilité et respirabilité:</strong><ul><li>hydratex® | G-liner</li></ul><br><strong>Coupe:</strong><ul><li>protection SEESMART™ homologuée CE nivel 1;insert de protection dorsale SEESOFT™ CE niveau 2 – type RV</li></ul><br><strong>Visibilité :</strong><ul><li>bandes réfléchissantes stratifiées<br><p><strong>EQUIPEMENT CONFORT:</strong></p><br></li></ul><br><strong>Coupe:</strong><ul><li>coupe ville;forme standard</li></ul><br><strong>Réglages:</strong><ul><li>patte de réglage</li></ul><br><strong>Ventilation:</strong><ul><li></li></ul><br><strong>Equipement:</strong><ul><li></li></ul><br><strong>Poches:</strong><ul><li>poches fendues;poche à documents;poche téléphone";;;;;;Produit sur commande / 15-30 jours;Disponibilité: Délais sur demande;1;2016-11-11;2016-11-11;1;https://www.motogoodeal.ch/img/import/revit/FJT210_0010UF_300RGB08.jpg,https://www.motogoodeal.ch/img/import/revit/FJT210_0010UB_300RGB08.jpg;0;Genre:Hommes:2,Gore-Tex:Non:3,Etanchéité:Non:4,Ventilé:Non:5,;0;new;0;0;0;2;0;0;0;0
