ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84860;;Rev'it Stiefel Pioneer OutDry;;;;;;;;;;FBR033-1010;;;;;;;;;;;;;;;;;Ausgestattet mit den allerneusten Entwicklungen, unterscheidet sich der Pioneer OutDry Stiefel von allen anderen Abenteuerstiefeln auf dem Markt. Das laminierte OutDry® sorgt für hundertprozentige Wasserdichtheit und verhindert jegliche Feuchtigkeitsaufnahme. Das kombinierte Fachwissen der italienischen Firma Vibram® und unserer eigenen Spezialisten erbrachte die revolutionäre Vibram® Apex Sohle. Diese Sohle wurde eigens für Abenteuer-;"Ausgestattet mit den allerneusten Entwicklungen, unterscheidet sich der Pioneer OutDry Stiefel von allen anderen Abenteuerstiefeln auf dem Markt. Das laminierte OutDry® sorgt für hundertprozentige Wasserdichtheit und verhindert jegliche Feuchtigkeitsaufnahme. Das kombinierte Fachwissen der italienischen Firma Vibram® und unserer eigenen Spezialisten erbrachte die revolutionäre Vibram® Apex Sohle. Diese Sohle wurde eigens für Abenteuer-Motorradstiefel entwickelt und bietet den Komfort eines Wanderstiefels. Der schnelle und bequeme Boa® Verschluss stellt mit einem einfachen Dreh an einem Knopf den perfekten Sitz sicher. Verstärkungen an Ferse, Zehen und Knöchel, kombiniert mit aufprallgeschützten Bereichen am Schienbein und abriebfesten Außenmaterialien ergeben einen sehr sicheren und dennoch überaus bequemen Stiefel.Größen 38-47<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>veloursleder;gummi;vollnarbenleder;Cordura® 500D <br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>OutDry® </li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung;SEESOFT™ Protektoren an Zunge</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li>Boa® Verschlusssystem </li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>Vibram® Apex Sohle;Stoßabsorbierende Mittelsohle aus EVA in variierender Dichte;TPU Fersenstabilisator;Gummi-Schaltverstärkung;anatomisch geformtes Fußbett;PP Einlegesohle mit integrierter Verstärkung;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung;verstärkte Spitze;komfortkragen;Antibakterielles Silber-Ionen 3D Mesh-Futter;Anziehschlaufe;Austauschbare Vibram® Apex Sohle</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84861;;Rev'it Stiefel Discovery OutDry;;;;;;;;;;FBR034-1010;;;;;;;;;;;;;;;;;Der Discovery OutDry Stiefel wurde für die Motorradfahrer entwickelt, die die Stabilität und Sicherheit eines Offroad-Stiefels wollen, die Eigenschaften und Benutzerfreundlichkeit eines Tourenstiefels und die Bequemlichkeit eines Wanderschuhs. Die Vibram® Apex Sohle steht für Grip, Stabilität und Kontrolle, die zusätzliche Schicht aus EVA-Kunststoff in verschiedenen Di;"Der Discovery OutDry Stiefel wurde für die Motorradfahrer entwickelt, die die Stabilität und Sicherheit eines Offroad-Stiefels wollen, die Eigenschaften und Benutzerfreundlichkeit eines Tourenstiefels und die Bequemlichkeit eines Wanderschuhs. Die Vibram® Apex Sohle steht für Grip, Stabilität und Kontrolle, die zusätzliche Schicht aus EVA-Kunststoff in verschiedenen Dichten absorbiert Stöße, das anatomisch geformte Fußbett macht den Stiefel äußerst bequem. Der clevere Boa® Verschluss reduziert das Gewicht des Stiefels deutlich und sorgt für einen optimalen Sitz nur durch das Drehen an einem Knopf. Daneben hält die laminierte OutDry® Membran die Füße trocken, verstärkte Bereiche liefern Protektion auf höchstem Niveau ohne Einschränkungen im Komfort. Größen 38-47<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>veloursleder;gummi;Cordura® 500D ;vollnarbenleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>OutDry® </li></ul><br><strong>Schutz:</strong><ul><li>SEESOFT™ Protektoren an Schienbein und Zunge;thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung;thermogeformter Schienbeinschutz</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li>Boa® Verschlusssystem ;einstellbarer Klettverschluss</li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>Vibram® Apex Sohle;Stoßabsorbierende Mittelsohle aus EVA in variierender Dichte;TPU Fersenstabilisator;Gummi-Schaltverstärkung;Anatomisch geformtes Fußbett;PP Einlegesohle mit integrierter Verstärkung;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung;verstärkte Ferse;verstärkte Spitze;komfortkragen;Antibakterielles Silber-Ionen 3D Mesh-Futter;Anziehschlaufe;Austauschbare Vibram® Apex Sohle;gummischutzkante</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84862;;Rev'it Schuhe Emerald Ladies;;;;;;;;;;FBR037-1010;;;;;;;;;;;;;;;;;Auf der Suche nach höchstem Komfort kann ein Sneaker Ihr bester Freund sein. Genau so einen haben wir mit dem Emerald Damenschuh geschaffen mit dem Tragekomfort eines Sneakers und der Sicherheit eines Motorradschuhs. Dieser Schuh besteht aus erstklassigem Vollnarben-Rindleder das für das typisch ;"Auf der Suche nach höchstem Komfort kann ein Sneaker Ihr bester Freund sein. Genau so einen haben wir mit dem Emerald Damenschuh geschaffen mit dem Tragekomfort eines Sneakers und der Sicherheit eines Motorradschuhs. Dieser Schuh besteht aus erstklassigem Vollnarben-Rindleder das für das typisch bequeme Sneaker-Gefühl besonders weich ist. Doch lassen Sie sich nicht täuschen, das abriebfeste Material verbirgt topmoderne Schutzdetails wie Verstärkungen an Zehen und Ferse sowie eine anatomisch geformte Knöchelabdeckung. So sind Sie geschützt im Falle eines Falles. Das ebenfalls anatomisch geformte Fußbett kümmert sich um das Wohlbefinden Ihrer Füße, ob Sie nun gehen oder fahren. Größen 35-42<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>vollnarbenleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li></li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li></li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>verstärkte Ferse;verstärkte Spitze;anatomisch geformtes Fußbett;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84863;;Rev'it Schuhe Emerald Ladies;;;;;;;;;;FBR037-7560;;;;;;;;;;;;;;;;;Auf der Suche nach höchstem Komfort kann ein Sneaker Ihr bester Freund sein. Genau so einen haben wir mit dem Emerald Damenschuh geschaffen mit dem Tragekomfort eines Sneakers und der Sicherheit eines Motorradschuhs. Dieser Schuh besteht aus erstklassigem Vollnarben-Rindleder das für das typisch ;"Auf der Suche nach höchstem Komfort kann ein Sneaker Ihr bester Freund sein. Genau so einen haben wir mit dem Emerald Damenschuh geschaffen mit dem Tragekomfort eines Sneakers und der Sicherheit eines Motorradschuhs. Dieser Schuh besteht aus erstklassigem Vollnarben-Rindleder das für das typisch bequeme Sneaker-Gefühl besonders weich ist. Doch lassen Sie sich nicht täuschen, das abriebfeste Material verbirgt topmoderne Schutzdetails wie Verstärkungen an Zehen und Ferse sowie eine anatomisch geformte Knöchelabdeckung. So sind Sie geschützt im Falle eines Falles. Das ebenfalls anatomisch geformte Fußbett kümmert sich um das Wohlbefinden Ihrer Füße, ob Sie nun gehen oder fahren. Größen 35-42<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>vollnarbenleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li></li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li></li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>verstärkte Ferse;verstärkte Spitze;anatomisch geformtes Fußbett;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84864;;Rev'it Schuhe Grand;;;;;;;;;;FBR038-1010;;;;;;;;;;;;;;;;;Etwas Bequemeres zu finden als ein richtig gutes Paar Sneakers ist nahezu unmöglich. Wir haben dafür gesorgt, dass Sie von jetzt an ebenso bequem wie sicher über die Straßen laufen bzw. Motorradfahren können. Beim Grand Motorradschuh sorgt weiches erstklassiges Vollnarben-Rindleder für das echte und bequeme Sneaker-Feeling. Dennoch ist e;"Etwas Bequemeres zu finden als ein richtig gutes Paar Sneakers ist nahezu unmöglich. Wir haben dafür gesorgt, dass Sie von jetzt an ebenso bequem wie sicher über die Straßen laufen bzw. Motorradfahren können. Beim Grand Motorradschuh sorgt weiches erstklassiges Vollnarben-Rindleder für das echte und bequeme Sneaker-Feeling. Dennoch ist er stark genug, um Verletzungen bei einem Sturz zu vermeiden. Verstärkungen an Zehen und Ferse sowie die integrierte Knöchelabdeckung schützen Sie ohne aufzufallen. Und um den Sneaker-Komfort auf die Spitze zu treiben, haben wir ein anatomisch geformtes Fußbett eingebaut. So können Sie sich auf der Straße mit oder ohne Motorrad rundum wohlfühlen und Ihren persönlichen Stil zelebrieren.Größen 39-46 <br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>vollnarbenleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li></li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li></li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>verstärkte Ferse;verstärkte Spitze;anatomisch geformtes Fußbett;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84865;;Rev'it Schuhe Grand;;;;;;;;;;FBR038-7560;;;;;;;;;;;;;;;;;Etwas Bequemeres zu finden als ein richtig gutes Paar Sneakers ist nahezu unmöglich. Wir haben dafür gesorgt, dass Sie von jetzt an ebenso bequem wie sicher über die Straßen laufen bzw. Motorradfahren können. Beim Grand Motorradschuh sorgt weiches erstklassiges Vollnarben-Rindleder für das echte und bequeme Sneaker-Feeling. Dennoch ist e;"Etwas Bequemeres zu finden als ein richtig gutes Paar Sneakers ist nahezu unmöglich. Wir haben dafür gesorgt, dass Sie von jetzt an ebenso bequem wie sicher über die Straßen laufen bzw. Motorradfahren können. Beim Grand Motorradschuh sorgt weiches erstklassiges Vollnarben-Rindleder für das echte und bequeme Sneaker-Feeling. Dennoch ist er stark genug, um Verletzungen bei einem Sturz zu vermeiden. Verstärkungen an Zehen und Ferse sowie die integrierte Knöchelabdeckung schützen Sie ohne aufzufallen. Und um den Sneaker-Komfort auf die Spitze zu treiben, haben wir ein anatomisch geformtes Fußbett eingebaut. So können Sie sich auf der Straße mit oder ohne Motorrad rundum wohlfühlen und Ihren persönlichen Stil zelebrieren.Größen 39-46 <br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>vollnarbenleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li></li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li></li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>verstärkte Ferse;verstärkte Spitze;anatomisch geformtes Fußbett;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84866;;Rev'it Schuhe Marshall WR;;;;;;;;;;FBR039-0700;;;;;;;;;;;;;;;;;Bei manchen Schuhen muss es zur Oberflächenbehandlung einfach Wachs sein. Also haben wir das vollnarbige Rindleder des Marshall gewachst, das macht ihn wasserabweisend und verleiht ihm ein ganz spezielles Aussehen. Sämtliche Sicherheitseigenschaften, die unsere urbane Schuhkollektion auszeichnen, finden sich auch in diesem Exemplar wieder, beispielsweise die Verstärkungen im Zehen- und Fersenbereich oder die anatomisch geformte Knöchelabdeckung. Das markan;"Bei manchen Schuhen muss es zur Oberflächenbehandlung einfach Wachs sein. Also haben wir das vollnarbige Rindleder des Marshall gewachst, das macht ihn wasserabweisend und verleiht ihm ein ganz spezielles Aussehen. Sämtliche Sicherheitseigenschaften, die unsere urbane Schuhkollektion auszeichnen, finden sich auch in diesem Exemplar wieder, beispielsweise die Verstärkungen im Zehen- und Fersenbereich oder die anatomisch geformte Knöchelabdeckung. Das markante Design wirkt sich auf jeden Fall positiv auf Ihren Auftritt aus, ob der nun leger oder edel ausfällt. Das anatomisch geformte Fußbett sorgt für einen enormen Tragekomfort mit und ohne Motorrad, und die vernähte Zunge lässt kein vom Vorderrad aufgewirbeltes Spritzwasser in den Schuh. Schließlich sorgt ein dezenter reflektierender Streifen für Ihre Sichtbarkeit nach Sonnenuntergang. Größen 39-46 <br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Gewachstes vollnarbiges Pull-up-Rindleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>wasserabweisend</li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchelabdeckung</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion an der Ferse</li></ul><br><strong>Passform:</strong><ul><li><br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li></li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>verstärkte Ferse;verstärkte Spitze;schaltverstärkung;anatomisch geformte Knöchelabdeckung;zunge mit innerer Abdeckung</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84867;;Rev'it Handschuhe Stratos GTX;;;;;;;;;;FGW075-0010;;;;;;;;;;;;;;;;;Als Nachfolger des Oceanus GTX präsentiert sich der Stratos GTX Handschuh. Sein aktualisiertes Design und seine verbesserte Passform sichern diesem Modell seinen festen Platz in der REV’IT! Winterhandschuh-Kollektion. Seine einzigartige SEESOFT™ 3D Knöchelabdeckung und sein Ein-Griff-Verschlusssystem heben ihn von allen anderen Winterhandschuhen ab. Größen S-XZL;"Als Nachfolger des Oceanus GTX präsentiert sich der Stratos GTX Handschuh. Sein aktualisiertes Design und seine verbesserte Passform sichern diesem Modell seinen festen Platz in der REV’IT! Winterhandschuh-Kollektion. Seine einzigartige SEESOFT™ 3D Knöchelabdeckung und sein Ein-Griff-Verschlusssystem heben ihn von allen anderen Winterhandschuhen ab. Größen S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder, wasserabweisend behandelt;PWR | shell 330D;flock PU;webbing<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</strong><ul><li>3M™ Thinsulate® G</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>GORE-TEX® Membran</li></ul><br><strong>Schutz:</strong><ul><li>3D SEESOFT™ Knöchelpolster;EVA Schaum;PWR | shield Gewebe </li></ul><br><strong>Sichtbarkeit:</strong><ul><li>laminierte Reflektoren</li></ul><br><strong>Passform:</strong><ul><li>tour-Passform<br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li>ein-Griff-Verschlusssystem an der Stulpe</li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>elastisch;visierwischer;normale Stulpe</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84868;;Rev'it Handschuhe Trocadero H2O;;;;;;;;;;FGW076-0010;;;;;;;;;;;;;;;;;Unter sinkenden Temperaturen leiden Ihre Hände als erstes. Deshalb besitzt der Trocadero H2O Handschuh eine Thinsulate® G Isolierung, einen synthetischen High Loft Pelz und ein Tri Fleece Futter das so weich ist, dass Sie ihn kaum noch ausziehen wollen. Außen besteht er aus einer Kombination aus weichem Ziegenleder und Polyamid sowie unserer 100 Prozent wasserdichten und atmungsaktiven hydratex® Membran. So bleiben Ihre Hände bei schlechtem Wetter nicht nur warm, sondern auch trock;"Unter sinkenden Temperaturen leiden Ihre Hände als erstes. Deshalb besitzt der Trocadero H2O Handschuh eine Thinsulate® G Isolierung, einen synthetischen High Loft Pelz und ein Tri Fleece Futter das so weich ist, dass Sie ihn kaum noch ausziehen wollen. Außen besteht er aus einer Kombination aus weichem Ziegenleder und Polyamid sowie unserer 100 Prozent wasserdichten und atmungsaktiven hydratex® Membran. So bleiben Ihre Hände bei schlechtem Wetter nicht nur warm, sondern auch trocken. Die sichere Seite des Handschuhs bilden ein viskoelastischer Knöchelschützer sowie PWR | shield Strickgewebe und SEESOFT™ auf der Handfläche. Bei Dunkelheit sorgen Reflektoren auf dem Handrücken für mehr Sichtbarkeit. Außerdem verfügt der wintertaugliche Trocadero H2O über leitfähige Fingerspitzen, damit können Sie einen Touch Screen bedienen ohne de Handschuh ausziehen zu müssen. Größen S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;PWR I Oxford;Leitfähige Lederfingerspitzen;webbing<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</strong><ul><li>3M™ Thinsulate® G;high-loft Pelzfutter</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>hydratex® | Z-Liner</li></ul><br><strong>Schutz:</strong><ul><li>Viskoelastische Knöchelschale;SEESOFT™ an der Handfläche;PWR | shield Gewebe </li></ul><br><strong>Sichtbarkeit:</strong><ul><li>reflektion</li></ul><br><strong>Passform:</strong><ul><li>City-Passform<br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li>einstellbarer Riemen;einstellbarer Verschluss</li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li>elastisch;normale Stulpe;leitfähige Fingerspitze</li></ul><br><strong>Taschen:</strong><ul><li>";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
84869;;Rev'it Jacke Woodbury;;;;;;;;;;FJT210-0010;;;;;;;;;;;;;;;;;Wir wissen, dass ein einfacher Anspruch an eine Motorradjacke nicht einhergehen sein muss mit Anspruchslosigkeit beim Stil. Die glänzende Textiljacke Woodbury kombiniert eine mit einer wasserdichten hydratex® Membran ausgestattete Außenhaut mit unseren angenehm zu tragenden CE-geprüften SEESMART™ Gelenkprotektoren. Die Rückentasche bietet;"Wir wissen, dass ein einfacher Anspruch an eine Motorradjacke nicht einhergehen sein muss mit Anspruchslosigkeit beim Stil. Die glänzende Textiljacke Woodbury kombiniert eine mit einer wasserdichten hydratex® Membran ausgestattete Außenhaut mit unseren angenehm zu tragenden CE-geprüften SEESMART™ Gelenkprotektoren. Die Rückentasche bietet Platz für einen nachrüstbaren CE-Level 2 SEESOFT™ Rückenprotektor-Einsatz. Das Thermofutter kann bei steigenden Temperaturen herausgenommen werden und die vielen Taschen (inklusive einer Innentasche fürs Smartphone) organisieren Raum für Ihre persönlichen Dinge. Laminierte Reflektoren auf dem Rücken machen Sie in der kurzen unverwechselbaren Woodbury Jacke bei Tag und Nacht sichtbar. Größen S-XXL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>polyester 600D<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li>herausnehmbares Thermofutter</li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>hydratex® | G-Liner</li></ul><br><strong>Schutz:</strong><ul><li>SEESMART™ CE-Level 1 protektoren;SEESOFT™ CE-Level 2 Rückenprotektor-Einsatz – Typ RV</li></ul><br><strong>Sichtbarkeit:</strong><ul><li>laminierte Reflektoren</li></ul><br><strong>Passform:</strong><ul><li>City-Passform;normale Form<br><p><strong>ERGONOMIE MERKMALE:</strong></p><br></li></ul><br><strong>Verstellmöglichkeiten:</strong><ul><li>einstellbarer Verschluss</li></ul><br><strong>Belüftung:</strong><ul><li></li></ul><br><strong>Merkmale:</strong><ul><li></li></ul><br><strong>Taschen:</strong><ul><li>einschubtaschen;Dokumententasche;Telefonasche";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
