Product ID*;REF;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
84860;;Pointure:select:0;38:14;FBR033-1010-38;FBR033-1010-38;8700001219266;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;39:15;FBR033-1010-39;FBR033-1010-39;8700001219273;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;40:16;FBR033-1010-40;FBR033-1010-40;8700001219280;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;41:17;FBR033-1010-41;FBR033-1010-41;8700001219297;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;42:18;FBR033-1010-42;FBR033-1010-42;8700001219303;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;43:19;FBR033-1010-43;FBR033-1010-43;8700001219310;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;44:20;FBR033-1010-44;FBR033-1010-44;8700001219327;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;45:21;FBR033-1010-45;FBR033-1010-45;8700001219334;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;46:22;FBR033-1010-46;FBR033-1010-46;8700001219341;;;;;0;;;;;;;;;;;
84860;;Pointure:select:0;47:23;FBR033-1010-47;FBR033-1010-47;8700001219358;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;38:14;FBR034-1010-38;FBR034-1010-38;8700001219761;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;39:15;FBR034-1010-39;FBR034-1010-39;8700001219778;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;40:16;FBR034-1010-40;FBR034-1010-40;8700001219785;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;41:17;FBR034-1010-41;FBR034-1010-41;8700001219792;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;42:18;FBR034-1010-42;FBR034-1010-42;8700001219808;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;43:19;FBR034-1010-43;FBR034-1010-43;8700001219815;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;44:20;FBR034-1010-44;FBR034-1010-44;8700001219822;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;45:21;FBR034-1010-45;FBR034-1010-45;8700001219839;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;46:22;FBR034-1010-46;FBR034-1010-46;8700001219846;;;;;0;;;;;;;;;;;
84861;;Pointure:select:0;47:23;FBR034-1010-47;FBR034-1010-47;8700001219853;;;;;0;;;;;;;;;;;
84862;;Pointure:select:0;35:11;FBR037-1010-35;FBR037-1010-35;8700001225717;;;;;0;;;;;;;;;;;
