ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84890;1;100 % Lunettes Racecraft Abyss noir;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-001-02;Z5570-100-001-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-001-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84891;1;100 % Lunettes Racecraft Cobalt bleu;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-002-02;Z5570-100-002-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-002-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84892;1;100 % Lunettes Racecraft Fire red;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-003-02;Z5570-100-003-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-003-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84893;1;100 % Lunettes Racecraft Attack Yellow;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-026-02;Z5570-100-026-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-026-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84894;1;100 % Lunettes Racecraft Lindstrom;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-129-02;Z5570-100-129-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-129-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84895;1;100 % Lunettes Racecraft Legacy;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-130-02;Z5570-100-130-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-130-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84896;1;100 % Lunettes Racecraft Paradise;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-131-02;Z5570-100-131-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-131-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84897;1;100 % Lunettes Racecraft Simbad;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-132-02;Z5570-100-132-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-132-02.jpg;;;0;new;0;0;0;2;0;0;0;0
84898;1;100 % Lunettes Racecraft Derestricted;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-150-02;Z5570-100-150-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-150-02.jpg,http://shop.motochic.ch/shopimages/super/Z5570-100-150-02_01.jpg;;;0;new;0;0;0;2;0;0;0;0
84899;1;100 % Lunettes Racecraft Alchemy;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-151-02;Z5570-100-151-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-151-02.jpg,http://shop.motochic.ch/shopimages/super/Z5570-100-151-02_01.jpg;;;0;new;0;0;0;2;0;0;0;0
84900;1;100 % Lunettes Racecraft Glitch;202,360;69.44444444;1;49.60;0;;5;;;Z5570-100-152-02;Z5570-100-152-02;Motochic;100%;;;;;;;;;;;;;;MX Lunettes , le modèle haut de gamme à 100% en différentes couleurs.;C'est le nec plus ultra de la marque mythique. La lunette Racecraft est équipée de trois couches de mousse. Elle est munie d?une élastique extra large de 4.5 cm recouvert de silicium pour une excellente tenue sur votre casque. La monture est faite en uréthane, flexible et résistante à toute épreuve. Elle est équipée d'un protège nez amovible.<br><br><b>Caractéristiques:</b><ul><li>Fixation du bandeau sur stabilisateur extérieur, pour éviter à l'écran de bouger, et pour plaquer au mieux la lunette sur le visage</li><li>Protège nez incorporé dans les lignes de la lunette pour une protection optimale et un look discret</li><li>Triple mousse pour une absorption de la sueur et un confort 100% Top </li><li>Ecran anti-rayures et anti-buée pour garder une visibilité 100% claire</li><li>Bandeau 4.5 cm de large avec du silicon anti-dérapant</li><li>Système d'aération breveté pour une ventilation optimum et empêcher l'humidité ou le sable de pénétrer</li><li>Inclus un protège nez amovible et 1 sachet de 20 tear offs</ul></li>;;;;;;En Stock;Disponibilité: Délais sur demande;1;2016-11-28;2016-11-28;1;http://shop.motochic.ch/shopimages/super/Z5570-100-152-02.jpg,http://shop.motochic.ch/shopimages/super/Z5570-100-152-02_01.jpg;;;0;new;0;0;0;2;0;0;0;0
