ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
84890;;100 % Brille Racecraft Abyss black;;;;;;;;;;Z5570-100-001-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84891;;100 % Brille Racecraft Cobalt blue;;;;;;;;;;Z5570-100-002-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84892;;100 % Brille Racecraft Fire red;;;;;;;;;;Z5570-100-003-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84893;;100 % Brille Racecraft Attack Yellow;;;;;;;;;;Z5570-100-026-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84894;;100 % Brille Racecraft Lindstrom;;;;;;;;;;Z5570-100-129-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84895;;100 % Brille Racecraft Legacy;;;;;;;;;;Z5570-100-130-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84896;;100 % Brille Racecraft Paradise;;;;;;;;;;Z5570-100-131-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84897;;100 % Brille Racecraft Simbad;;;;;;;;;;Z5570-100-132-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84898;;100 % Brille Racecraft Derestricted;;;;;;;;;;Z5570-100-150-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
84899;;100 % Brille Racecraft Alchemy;;;;;;;;;;Z5570-100-151-02;;;;;;;;;;;;;;;;;Racecraft Brille, inkl. Nasenschutz und klarem Antifog Brillenglas;Die Racecraft MX Brille ist das Top Modell von 100%. Hervorragender Tragekomfort sowie ein modernes Design.<br><br><b>Eigenschaften:</b><ul><li>Dreilagiger, schweißabsorbierender Schaum</li><li>Rahmen aus flexiblem und dennoch strapazierfähigem Urethan</li><li>Komfortable Passform durch optimale Krümmung und seitliche Stabilisatoren</li><li>Patentierte Belüftung</li><li>45mm breites, silikonbeschichtetes Brillenband</li><li>Inkl. klarem Anti-Fog, kratzfestem Lexan-Brillenglas für uneingeschränkte Sicht</li></ul><br>Im Lieferumfang enthalten: 1 abnehmbarer Nasenschutz und ein 20er Set Abreissfolien.;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
