Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85020;;Taille:select:0;S:1;Z5574-013-001-10;Z5574-013-001-10;;;;;;1;;;;;;;;;;;
85020;;Taille:select:0;M:2;Z5574-013-001-11;Z5574-013-001-11;;;;;;1;;;;;;;;;;;
85020;;Taille:select:0;L:3;Z5574-013-001-12;Z5574-013-001-12;;;;;;1;;;;;;;;;;;
85020;;Taille:select:0;XL:4;Z5574-013-001-13;Z5574-013-001-13;;;;;;1;;;;;;;;;;;
85020;;Taille:select:0;XXL:5;Z5574-013-001-14;Z5574-013-001-14;;;;;;1;;;;;;;;;;;
85027;;Taille:select:0;S:1;Z5579-001-001-10;Z5579-001-001-10;;;;;;1;;;;;;;;;;;
85027;;Taille:select:0;M:2;Z5579-001-001-11;Z5579-001-001-11;;;;;;1;;;;;;;;;;;
85027;;Taille:select:0;L:3;Z5579-001-001-12;Z5579-001-001-12;;;;;;1;;;;;;;;;;;
85027;;Taille:select:0;XL:4;Z5579-001-001-13;Z5579-001-001-13;;;;;;1;;;;;;;;;;;
85027;;Taille:select:0;XXL:5;Z5579-001-001-14;Z5579-001-001-14;;;;;;1;;;;;;;;;;;
85028;;Taille:select:0;S:1;Z5579-002-001-10;Z5579-002-001-10;;;;;;1;;;;;;;;;;;
85028;;Taille:select:0;M:2;Z5579-002-001-11;Z5579-002-001-11;;;;;;1;;;;;;;;;;;
85028;;Taille:select:0;L:3;Z5579-002-001-12;Z5579-002-001-12;;;;;;1;;;;;;;;;;;
85028;;Taille:select:0;XL:4;Z5579-002-001-13;Z5579-002-001-13;;;;;;1;;;;;;;;;;;
85029;;Taille:select:0;S:1;Z5579-004-001-10;Z5579-004-001-10;;;;;;1;;;;;;;;;;;
85029;;Taille:select:0;M:2;Z5579-004-001-11;Z5579-004-001-11;;;;;;1;;;;;;;;;;;
85029;;Taille:select:0;L:3;Z5579-004-001-12;Z5579-004-001-12;;;;;;1;;;;;;;;;;;
85029;;Taille:select:0;XL:4;Z5579-004-001-13;Z5579-004-001-13;;;;;;1;;;;;;;;;;;
85030;;Taille:select:0;M:2;Z5579-004-003-11;Z5579-004-003-11;;;;;;1;;;;;;;;;;;
85030;;Taille:select:0;L:3;Z5579-004-003-12;Z5579-004-003-12;;;;;;1;;;;;;;;;;;
85030;;Taille:select:0;XL:4;Z5579-004-003-13;Z5579-004-003-13;;;;;;1;;;;;;;;;;;
85031;;Taille:select:0;S:1;Z5579-004-059-10;Z5579-004-059-10;;;;;;1;;;;;;;;;;;
85031;;Taille:select:0;M:2;Z5579-004-059-11;Z5579-004-059-11;;;;;;1;;;;;;;;;;;
85031;;Taille:select:0;L:3;Z5579-004-059-12;Z5579-004-059-12;;;;;;1;;;;;;;;;;;
85031;;Taille:select:0;XL:4;Z5579-004-059-13;Z5579-004-059-13;;;;;;1;;;;;;;;;;;
85031;;Taille:select:0;XXL:5;Z5579-004-059-14;Z5579-004-059-14;;;;;;1;;;;;;;;;;;
85032;;Taille:select:0;S:1;Z5579-004-090-10;Z5579-004-090-10;;;;;;1;;;;;;;;;;;
85032;;Taille:select:0;M:2;Z5579-004-090-11;Z5579-004-090-11;;;;;;1;;;;;;;;;;;
85032;;Taille:select:0;L:3;Z5579-004-090-12;Z5579-004-090-12;;;;;;1;;;;;;;;;;;
85032;;Taille:select:0;XL:4;Z5579-004-090-13;Z5579-004-090-13;;;;;;1;;;;;;;;;;;
85032;;Taille:select:0;XXL:5;Z5579-004-090-14;Z5579-004-090-14;;;;;;1;;;;;;;;;;;
85033;;Taille:select:0;S:1;Z5579-005-001-10;Z5579-005-001-10;;;;;;1;;;;;;;;;;;
85033;;Taille:select:0;M:2;Z5579-005-001-11;Z5579-005-001-11;;;;;;1;;;;;;;;;;;
85033;;Taille:select:0;L:3;Z5579-005-001-12;Z5579-005-001-12;;;;;;1;;;;;;;;;;;
85033;;Taille:select:0;XL:4;Z5579-005-001-13;Z5579-005-001-13;;;;;;1;;;;;;;;;;;
85033;;Taille:select:0;XXL:5;Z5579-005-001-14;Z5579-005-001-14;;;;;;1;;;;;;;;;;;
85034;;Taille:select:0;S:1;Z5579-007-001-10;Z5579-007-001-10;;;;;;1;;;;;;;;;;;
85034;;Taille:select:0;M:2;Z5579-007-001-11;Z5579-007-001-11;;;;;;1;;;;;;;;;;;
85034;;Taille:select:0;L:3;Z5579-007-001-12;Z5579-007-001-12;;;;;;1;;;;;;;;;;;
85034;;Taille:select:0;XL:4;Z5579-007-001-13;Z5579-007-001-13;;;;;;1;;;;;;;;;;;
85035;;Taille:select:0;M:2;Z5579-009-005-11;Z5579-009-005-11;;;;;;1;;;;;;;;;;;
85035;;Taille:select:0;XL:4;Z5579-009-005-13;Z5579-009-005-13;;;;;;1;;;;;;;;;;;
85035;;Taille:select:0;XXL:5;Z5579-009-005-14;Z5579-009-005-14;;;;;;1;;;;;;;;;;;
85036;;Taille:select:0;S:1;Z5579-010-001-10;Z5579-010-001-10;;;;;;1;;;;;;;;;;;
85036;;Taille:select:0;M:2;Z5579-010-001-11;Z5579-010-001-11;;;;;;1;;;;;;;;;;;
85036;;Taille:select:0;L:3;Z5579-010-001-12;Z5579-010-001-12;;;;;;1;;;;;;;;;;;
85036;;Taille:select:0;XL:4;Z5579-010-001-13;Z5579-010-001-13;;;;;;1;;;;;;;;;;;
85036;;Taille:select:0;XXL:5;Z5579-010-001-14;Z5579-010-001-14;;;;;;1;;;;;;;;;;;
85037;;Taille:select:0;S:1;Z5579-011-001-10;Z5579-011-001-10;;;;;;1;;;;;;;;;;;
85037;;Taille:select:0;M:2;Z5579-011-001-11;Z5579-011-001-11;;;;;;1;;;;;;;;;;;
85037;;Taille:select:0;L:3;Z5579-011-001-12;Z5579-011-001-12;;;;;;1;;;;;;;;;;;
85037;;Taille:select:0;XL:4;Z5579-011-001-13;Z5579-011-001-13;;;;;;1;;;;;;;;;;;
85037;;Taille:select:0;XXL:5;Z5579-011-001-14;Z5579-011-001-14;;;;;;1;;;;;;;;;;;
85038;;Taille:select:0;S:1;Z5579-011-018-10;Z5579-011-018-10;;;;;;1;;;;;;;;;;;
85038;;Taille:select:0;M:2;Z5579-011-018-11;Z5579-011-018-11;;;;;;1;;;;;;;;;;;
