ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock; 
85040;;REV'IT Stiefel Quest OutDry Damen - Schwarz;;;;;;;;;;FBR040-0010;;;;;;;;;;;;;;;;;Der Quest OutDry Ladies Damenstiefel beweist unsere Absicht, ernstzunehmende Produkte für jeden Tourenfahrer anzubieten, ob weiblich oder männlich;"Der Quest OutDry Ladies Damenstiefel beweist unsere Absicht, ernstzunehmende Produkte für jeden Tourenfahrer anzubieten, ob weiblich oder männlich. Die spezielle Vibram® Mile Sohle bietet Ihnen Sicherheit, Komfort und Kontrolle, seien Sie mit dem Motorrad oder zu Fuß unterwegs. Die atmungsaktive, wasserdichte OutDry® Barriere ist direkt auf das Außenmaterial laminiert, das kann so weder Wasser aufnehmen noch kann welches eindringen. Weiterhin haben wir einen äußerst langlebigen und belastbaren Reißverschluss integriert. 3D Mesh-Gewebe und Elastikeinsätze an Wade und Fußgelenk unterstreichen den großartigen Tragekomfort, den Sie in diesem Stiefel finden. Größen 36-42<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>Omega-Rindleder;beschichtetes Rindleder<br><strong>Isolierung:</strong><ul><li><br><strong>Futter:</strong><ul><li></li></ul><br><strong>Wasserdichtigkeit & Atmungsaktivität:</strong><ul><li>OutDry® </li></ul><br><strong>Schutz:</strong><ul><li>thermogeformte Fersenkappe ;thermogeformte Zehenkappe;eingespritzte Knöchela";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85041;;REV'IT Schuhe Taylor - Grau;;;;;;;;;;FBR041-0150;;;;;;;;;;;;;;;;;Dank unseres neuen Taylor Schuhs müssen Sie sich nicht mehr zwischen Sicherheit oder lässigem Look entscheiden;"Dank unseres neuen Taylor Schuhs müssen Sie sich nicht mehr zwischen Sicherheit oder lässigem Look entscheiden. Dieser motorradgerechte Sneaker besteht aus einer ausgewogenen Mischung aus vollnarbigem weichem Rindleder und belüftetem Dynax Mesh-Gewebe, das prädestiniert ihn geradezu für den Sommer. Doch um den Taylor für Motorradfahrer tauglich zu machen, haben wir ihn an Schlüsselstellen unsichtbar ausgerüstet. Thermogeformte Kunststoffkappen umschließen Zehen und Ferse, eingespritzte Abdeckungen schützen den Fußknöchel innen und außen. Mit seinem anatomisch geformten Fußbett fühlt sich Taylor beim Gehen wie ein ganz normaler Schuh an, auf dem Motorrad bietet er den Schutz und Komfort, den Sie von einem motorradtauglichen Schuh erwarten.
Grö?en 39-46<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>vollnarbiges weiches Rindleder;dynax mesh;Ra";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85042;;REV'IT Schuhe Taylor - Dunkelgrün;;;;;;;;;;FBR041-0810;;;;;;;;;;;;;;;;;Dank unseres neuen Taylor Schuhs müssen Sie sich nicht mehr zwischen Sicherheit oder lässigem Look entscheiden;"Dank unseres neuen Taylor Schuhs müssen Sie sich nicht mehr zwischen Sicherheit oder lässigem Look entscheiden. Dieser motorradgerechte Sneaker besteht aus einer ausgewogenen Mischung aus vollnarbigem weichem Rindleder und belüftetem Dynax Mesh-Gewebe, das prädestiniert ihn geradezu für den Sommer. Doch um den Taylor für Motorradfahrer tauglich zu machen, haben wir ihn an Schlüsselstellen unsichtbar ausgerüstet. Thermogeformte Kunststoffkappen umschließen Zehen und Ferse, eingespritzte Abdeckungen schützen den Fußknöchel innen und außen. Mit seinem anatomisch geformten Fußbett fühlt sich Taylor beim Gehen wie ein ganz normaler Schuh an, auf dem Motorrad bietet er den Schutz und Komfort, den Sie von einem motorradtauglichen Schuh erwarten.
Grö?en 39-46<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>vollnarbiges weiches Rindleder;dynax mesh;Ra";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85043;;REV'IT Handschuhe Cooper - Schwarz;;;;;;;;;;FGS119-0010;;;;;;;;;;;;;;;;;Der Cooper folgt dem Credo der Tailored Technology, das macht ihn ebenso stilvoll wie sicher;Der Cooper folgt dem Credo der Tailored Technology, das macht ihn ebenso stilvoll wie sicher. Deshalb verfügt er über schützende Eigenschaften wie den viskoelastischen Knöchelprotektor und Temperfoam® auf Fingern und Unterhand. Unser bekanntes PWR | shield auf der Unterhand verbessert die Abriebfestigkeit in diesem kritischen Bereich. Den Tragekomfort besorgen ein elastischer Zug am Handgelenk, ein Grip-Patch auf der Innenhand und eine Verstelllasche an der Stulpe. So lässt sich der kurzstulpige, citytaugliche Cooper einfach anziehen und bequem tragen. Grö?en S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85044;;REV'IT Handschuhe Cooper - Braun;;;;;;;;;;FGS119-0700;;;;;;;;;;;;;;;;;Der Cooper folgt dem Credo der Tailored Technology, das macht ihn ebenso stilvoll wie sicher;Der Cooper folgt dem Credo der Tailored Technology, das macht ihn ebenso stilvoll wie sicher. Deshalb verfügt er über schützende Eigenschaften wie den viskoelastischen Knöchelprotektor und Temperfoam® auf Fingern und Unterhand. Unser bekanntes PWR | shield auf der Unterhand verbessert die Abriebfestigkeit in diesem kritischen Bereich. Den Tragekomfort besorgen ein elastischer Zug am Handgelenk, ein Grip-Patch auf der Innenhand und eine Verstelllasche an der Stulpe. So lässt sich der kurzstulpige, citytaugliche Cooper einfach anziehen und bequem tragen. Grö?en S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85045;;REV'IT Handschuhe Palmer - Schwarz;;;;;;;;;;FGS120-0010;;;;;;;;;;;;;;;;;Sie sind auf der Suche nach einem sicheren Sommerhandschuh mit kurzer Stulpe im Vintage-Style? Dann sollte der Palmer ihr neuer Partner sein;Sie sind auf der Suche nach einem sicheren Sommerhandschuh mit kurzer Stulpe im Vintage-Style? Dann sollte der Palmer ihr neuer Partner sein. Das weiche Rindleder im Rusted-Stil verleiht ihm sein robustes Aussehen und gleichzeitig das angenehme Griffgefühl, das ein Sommerhandschuh einfach haben muss. Der viskoelastische Knöchelprotektor und Temperfoam® auf der Unterhand gewährleisten den Aufprallschutz. Grö?en  S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85046;;REV'IT Handschuhe Palmer - Braun;;;;;;;;;;FGS120-0700;;;;;;;;;;;;;;;;;Sie sind auf der Suche nach einem sicheren Sommerhandschuh mit kurzer Stulpe im Vintage-Style? Dann sollte der Palmer ihr neuer Partner sein;Sie sind auf der Suche nach einem sicheren Sommerhandschuh mit kurzer Stulpe im Vintage-Style? Dann sollte der Palmer ihr neuer Partner sein. Das weiche Rindleder im Rusted-Stil verleiht ihm sein robustes Aussehen und gleichzeitig das angenehme Griffgefühl, das ein Sommerhandschuh einfach haben muss. Der viskoelastische Knöchelprotektor und Temperfoam® auf der Unterhand gewährleisten den Aufprallschutz. Grö?en  S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><;;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85047;;REV'IT Handschuhe Sand 3 - Schwarz;;;;;;;;;;FGS121-1010;;;;;;;;;;;;;;;;;Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss;"Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss. Er bildet die stimmige Ergänzung zum Sand 3 Abenteueranzug, eignet sich aber dank seiner ausgewogenen Mischung aus Tragekomfort und Schutz für fast jeden anderen Einsatzzweck. Belüftete, flexible TPR-Protektoren an Hand- und Fingerknöcheln sowie am Daumen stehen gleichzeitig für Schutz und uneingeschränkte Bewegungsfreiheit. An der Innenhand finden sich PWR | shield für erhöhte Abriebfestigkeit und ein TPR-Schleifer für ein kontrolliertes Rutschen über den Asphalt bei einem Sturz.
Größen S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;air Stretch Mesh;PWR | shell 500D Stretch;Leitfähige Lederfingerspitzen;automan stretch<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</stron";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85048;;REV'IT Handschuhe Sand 3 - Schwarz-Silber;;;;;;;;;;FGS121-1170;;;;;;;;;;;;;;;;;Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss;"Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss. Er bildet die stimmige Ergänzung zum Sand 3 Abenteueranzug, eignet sich aber dank seiner ausgewogenen Mischung aus Tragekomfort und Schutz für fast jeden anderen Einsatzzweck. Belüftete, flexible TPR-Protektoren an Hand- und Fingerknöcheln sowie am Daumen stehen gleichzeitig für Schutz und uneingeschränkte Bewegungsfreiheit. An der Innenhand finden sich PWR | shield für erhöhte Abriebfestigkeit und ein TPR-Schleifer für ein kontrolliertes Rutschen über den Asphalt bei einem Sturz.
Größen S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;air Stretch Mesh;PWR | shell 500D Stretch;Leitfähige Lederfingerspitzen;automan stretch<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</stron";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85049;;REV'IT Handschuhe Sand 3 - Schwarz-Rot;;;;;;;;;;FGS121-1200;;;;;;;;;;;;;;;;;Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss;"Ziehen Sie einmal den Sand 3 an und Sie wissen, wie sich ein Sommerhandschuh anfühlen muss. Er bildet die stimmige Ergänzung zum Sand 3 Abenteueranzug, eignet sich aber dank seiner ausgewogenen Mischung aus Tragekomfort und Schutz für fast jeden anderen Einsatzzweck. Belüftete, flexible TPR-Protektoren an Hand- und Fingerknöcheln sowie am Daumen stehen gleichzeitig für Schutz und uneingeschränkte Bewegungsfreiheit. An der Innenhand finden sich PWR | shield für erhöhte Abriebfestigkeit und ein TPR-Schleifer für ein kontrolliertes Rutschen über den Asphalt bei einem Sturz.
Größen S-XZL<br><p><strong>SCHUTZ MERKMALE:</strong></p><br><br><strong>Oberstoff:</strong><ul><li>trommelgefärbtes Ziegenleder;air Stretch Mesh;PWR | shell 500D Stretch;Leitfähige Lederfingerspitzen;automan stretch<br><strong>Isolierung:</strong><ul><li>Tri-Fleece Futter<br><strong>Futter:</stron";;;;;;Produkt auf Bestellung / 15-30 Tage;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
