Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85040;;Pointure:select:0;36:1;FBR040-0010-36;FBR040-0010-36;8700001230773;;;;;0;;;;;;;;;;;
85040;;Pointure:select:0;37:2;FBR040-0010-37;FBR040-0010-37;8700001230780;;;;;0;;;;;;;;;;;
85040;;Pointure:select:0;38:3;FBR040-0010-38;FBR040-0010-38;8700001230797;;;;;0;;;;;;;;;;;
85040;;Pointure:select:0;39:4;FBR040-0010-39;FBR040-0010-39;8700001230803;;;;;0;;;;;;;;;;;
85040;;Pointure:select:0;40:5;FBR040-0010-40;FBR040-0010-40;8700001230810;;;;;0;;;;;;;;;;;
85040;;Pointure:select:0;41:6;FBR040-0010-41;FBR040-0010-41;8700001230827;;;;;0;;;;;;;;;;;
85040;;Pointure:select:0;42:7;FBR040-0010-42;FBR040-0010-42;8700001230834;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;39:4;FBR041-0150-39;FBR041-0150-39;8700001232012;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;40:5;FBR041-0150-40;FBR041-0150-40;8700001232029;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;41:6;FBR041-0150-41;FBR041-0150-41;8700001232036;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;42:7;FBR041-0150-42;FBR041-0150-42;8700001232043;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;43:8;FBR041-0150-43;FBR041-0150-43;8700001232050;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;44:9;FBR041-0150-44;FBR041-0150-44;8700001232067;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;45:10;FBR041-0150-45;FBR041-0150-45;8700001232074;;;;;0;;;;;;;;;;;
85041;;Pointure:select:0;46:11;FBR041-0150-46;FBR041-0150-46;8700001232081;;;;;0;;;;;;;;;;;
85042;;Pointure:select:0;39:4;FBR041-0810-39;FBR041-0810-39;8700001232098;;;;;0;;;;;;;;;;;
85042;;Pointure:select:0;40:5;FBR041-0810-40;FBR041-0810-40;8700001232104;;;;;0;;;;;;;;;;;
85042;;Pointure:select:0;41:6;FBR041-0810-41;FBR041-0810-41;8700001232111;;;;;0;;;;;;;;;;;
85042;;Pointure:select:0;42:7;FBR041-0810-42;FBR041-0810-42;8700001232128;;;;;0;;;;;;;;;;;
85042;;Pointure:select:0;43:8;FBR041-0810-43;FBR041-0810-43;8700001232135;;;;;0;;;;;;;;;;;
