Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85121;;Taille:select:0;XS:3;RPGARIN11601101;RPGARIN11601101;;;;;;4;;;;;;;;;;;
85121;;Taille:select:0;S:4;RPGARIN11601102;RPGARIN11601102;;;;;;1;;;;;;;;;;;
85121;;Taille:select:0;M:5;RPGARIN11601103;RPGARIN11601103;;;;;;3;;;;;;;;;;;
85121;;Taille:select:0;L:7;RPGARIN11601104;RPGARIN11601104;;;;;;3;;;;;;;;;;;
85121;;Taille:select:0;XL:8;RPGARIN11601105;RPGARIN11601105;;;;;;10;;;;;;;;;;;
85122;;Taille:select:0;XS:3;RPGARIN11601301;RPGARIN11601301;;;;;;4;;;;;;;;;;;
85122;;Taille:select:0;S:4;RPGARIN11601302;RPGARIN11601302;;;;;;4;;;;;;;;;;;
85122;;Taille:select:0;M:5;RPGARIN11601303;RPGARIN11601303;;;;;;10;;;;;;;;;;;
85122;;Taille:select:0;L:7;RPGARIN11601304;RPGARIN11601304;;;;;;5;;;;;;;;;;;
85122;;Taille:select:0;XL:8;RPGARIN11601305;RPGARIN11601305;;;;;;11;;;;;;;;;;;
85122;;Taille:select:0;XXL:10;RPGARIN11601306;RPGARIN11601306;;;;;;15;;;;;;;;;;;
85123;;Taille:select:0;XS:3;RPGARIN11603301;RPGARIN11603301;;;;;;5;;;;;;;;;;;
85123;;Taille:select:0;S:4;RPGARIN11603302;RPGARIN11603302;;;;;;9;;;;;;;;;;;
85123;;Taille:select:0;M:5;RPGARIN11603303;RPGARIN11603303;;;;;;11;;;;;;;;;;;
85123;;Taille:select:0;L:7;RPGARIN11603304;RPGARIN11603304;;;;;;6;;;;;;;;;;;
85123;;Taille:select:0;XL:8;RPGARIN11603305;RPGARIN11603305;;;;;;11;;;;;;;;;;;
85123;;Taille:select:0;XXL:10;RPGARIN11603306;RPGARIN11603306;;;;;;12;;;;;;;;;;;
85124;;Taille:select:0;XS:3;RPGARIN11605501;RPGARIN11605501;;;;;;1;;;;;;;;;;;
85124;;Taille:select:0;S:4;RPGARIN11605502;RPGARIN11605502;;;;;;5;;;;;;;;;;;
85124;;Taille:select:0;M:5;RPGARIN11605503;RPGARIN11605503;;;;;;4;;;;;;;;;;;
85124;;Taille:select:0;L:7;RPGARIN11605504;RPGARIN11605504;;;;;;10;;;;;;;;;;;
85124;;Taille:select:0;XL:8;RPGARIN11605505;RPGARIN11605505;;;;;;8;;;;;;;;;;;
85124;;Taille:select:0;XXL:10;RPGARIN11605506;RPGARIN11605506;;;;;;1;;;;;;;;;;;
85125;;Taille:select:0;XL:8;RPGARIN13301005;RPGARIN13301005;;;;;;3;;;;;;;;;;;
85126;;Taille:select:0;XS:3;RPGARIN13301401;RPGARIN13301401;;;;;;2;;;;;;;;;;;
85126;;Taille:select:0;XL:8;RPGARIN13301405;RPGARIN13301405;;;;;;1;;;;;;;;;;;
85126;;Taille:select:0;XXL:10;RPGARIN13301406;RPGARIN13301406;;;;;;1;;;;;;;;;;;
85127;;Taille:select:0;XS:3;RPGARIN13303301;RPGARIN13303301;;;;;;5;;;;;;;;;;;
85128;;Taille:select:0;XL:8;RPGARIN13319805;RPGARIN13319805;;;;;;4;;;;;;;;;;;
85129;;Taille:select:0;XS:3;RPGARIN13347401;RPGARIN13347401;;;;;;5;;;;;;;;;;;
85130;;Taille:select:0;XL:8;RPGARIN13353505;RPGARIN13353505;;;;;;3;;;;;;;;;;;
85131;;Taille:select:0;XS:3;RPGARIN13376201;RPGARIN13376201;;;;;;5;;;;;;;;;;;
85131;;Taille:select:0;S:4;RPGARIN13376202;RPGARIN13376202;;;;;;4;;;;;;;;;;;
85131;;Taille:select:0;M:5;RPGARIN13376203;RPGARIN13376203;;;;;;3;;;;;;;;;;;
85132;;Taille:select:0;XS:3;RPGARIN13377201;RPGARIN13377201;;;;;;2;;;;;;;;;;;
85132;;Taille:select:0;S:4;RPGARIN13377202;RPGARIN13377202;;;;;;3;;;;;;;;;;;
85132;;Taille:select:0;L:7;RPGARIN13377204;RPGARIN13377204;;;;;;1;;;;;;;;;;;
85133;;Taille:select:0;XS:3;RPGARIN16101001;RPGARIN16101001;;;;;;1;;;;;;;;;;;
85133;;Taille:select:0;S:4;RPGARIN16101002;RPGARIN16101002;;;;;;9;;;;;;;;;;;
85133;;Taille:select:0;L:7;RPGARIN16101004;RPGARIN16101004;;;;;;6;;;;;;;;;;;
85133;;Taille:select:0;XL:8;RPGARIN16101005;RPGARIN16101005;;;;;;9;;;;;;;;;;;
85133;;Taille:select:0;XXL:10;RPGARIN16101006;RPGARIN16101006;;;;;;6;;;;;;;;;;;
85134;;Taille:select:0;XS:3;RPGARIN16103301;RPGARIN16103301;;;;;;6;;;;;;;;;;;
85134;;Taille:select:0;S:4;RPGARIN16103302;RPGARIN16103302;;;;;;1;;;;;;;;;;;
85134;;Taille:select:0;XL:8;RPGARIN16103305;RPGARIN16103305;;;;;;11;;;;;;;;;;;
85134;;Taille:select:0;XXL:10;RPGARIN16103306;RPGARIN16103306;;;;;;6;;;;;;;;;;;
85135;;Taille:select:0;XS:3;RPGARIN16116201;RPGARIN16116201;;;;;;6;;;;;;;;;;;
85135;;Taille:select:0;S:4;RPGARIN16116202;RPGARIN16116202;;;;;;7;;;;;;;;;;;
85135;;Taille:select:0;M:5;RPGARIN16116203;RPGARIN16116203;;;;;;10;;;;;;;;;;;
85135;;Taille:select:0;L:7;RPGARIN16116204;RPGARIN16116204;;;;;;8;;;;;;;;;;;
85135;;Taille:select:0;XL:8;RPGARIN16116205;RPGARIN16116205;;;;;;4;;;;;;;;;;;
85136;;Taille:select:0;XS:3;RPGARIN16116501;RPGARIN16116501;;;;;;7;;;;;;;;;;;
85136;;Taille:select:0;S:4;RPGARIN16116502;RPGARIN16116502;;;;;;9;;;;;;;;;;;
85136;;Taille:select:0;M:5;RPGARIN16116503;RPGARIN16116503;;;;;;5;;;;;;;;;;;
85136;;Taille:select:0;L:7;RPGARIN16116504;RPGARIN16116504;;;;;;10;;;;;;;;;;;
85136;;Taille:select:0;XL:8;RPGARIN16116505;RPGARIN16116505;;;;;;12;;;;;;;;;;;
85136;;Taille:select:0;XXL:10;RPGARIN16116506;RPGARIN16116506;;;;;;2;;;;;;;;;;;
85179;;Taille:select:0;S:4;RPGIXLS15180202;RPGIXLS15180202;;;;;;2;;;;;;;;;;;
85179;;Taille:select:0;M:5;RPGIXLS15180203;RPGIXLS15180203;;;;;;4;;;;;;;;;;;
85179;;Taille:select:0;L:7;RPGIXLS15180204;RPGIXLS15180204;;;;;;4;;;;;;;;;;;
85179;;Taille:select:0;XL:8;RPGIXLS15180205;RPGIXLS15180205;;;;;;4;;;;;;;;;;;
85179;;Taille:select:0;2XL:11;RPGIXLS15180206;RPGIXLS15180206;;;;;;2;;;;;;;;;;;
85179;;Taille:select:0;3XL:12;RPGIXLS15180207;RPGIXLS15180207;;;;;;1;;;;;;;;;;;
85180;;Taille:select:0;S:4;RPGIXLS15181202;RPGIXLS15181202;;;;;;1;;;;;;;;;;;
85180;;Taille:select:0;M:5;RPGIXLS15181203;RPGIXLS15181203;;;;;;1;;;;;;;;;;;
85180;;Taille:select:0;L:7;RPGIXLS15181204;RPGIXLS15181204;;;;;;2;;;;;;;;;;;
85180;;Taille:select:0;XL:8;RPGIXLS15181205;RPGIXLS15181205;;;;;;3;;;;;;;;;;;
85180;;Taille:select:0;2XL:11;RPGIXLS15181206;RPGIXLS15181206;;;;;;2;;;;;;;;;;;
85180;;Taille:select:0;3XL:12;RPGIXLS15181207;RPGIXLS15181207;;;;;;2;;;;;;;;;;;
85180;;Taille:select:0;4XL:13;RPGIXLS15181208;RPGIXLS15181208;;;;;;1;;;;;;;;;;;
85170;;Taille:select:0;S:4;RPGIXBC14601102;RPGIXBC14601102;;;;;;2;;;;;;;;;;;
85170;;Taille:select:0;XL:8;RPGIXBC14601105;RPGIXBC14601105;;;;;;1;;;;;;;;;;;
85170;;Taille:select:0;XXL:10;RPGIXBC14601106;RPGIXBC14601106;;;;;;1;;;;;;;;;;;
85170;;Taille:select:0;3XL:12;RPGIXBC14601107;RPGIXBC14601107;;;;;;2;;;;;;;;;;;
85170;;Taille:select:0;4XL:13;RPGIXBC14601108;RPGIXBC14601108;;;;;;1;;;;;;;;;;;
85171;;Taille:select:0;S:4;RPGIXBM12101102;RPGIXBM12101102;;;;;;1;;;;;;;;;;;
85171;;Taille:select:0;L:7;RPGIXBM12101104;RPGIXBM12101104;;;;;;1;;;;;;;;;;;
85171;;Taille:select:0;XXL:10;RPGIXBM12101106;RPGIXBM12101106;;;;;;5;;;;;;;;;;;
85171;;Taille:select:0;3XL:12;RPGIXBM12101107;RPGIXBM12101107;;;;;;2;;;;;;;;;;;
85171;;Taille:select:0;4XL:13;RPGIXBM12101108;RPGIXBM12101108;;;;;;1;;;;;;;;;;;
85172;;Taille:select:0;S:4;RPGIXBM15115102;RPGIXBM15115102;;;;;;1;;;;;;;;;;;
85172;;Taille:select:0;M:5;RPGIXBM15115103;RPGIXBM15115103;;;;;;2;;;;;;;;;;;
85183;;Taille:select:0;S:4;RPGIXVM15101102;RPGIXVM15101102;;;;;;2;;;;;;;;;;;
85183;;Taille:select:0;M:5;RPGIXVM15101103;RPGIXVM15101103;;;;;;3;;;;;;;;;;;
85183;;Taille:select:0;L:7;RPGIXVM15101104;RPGIXVM15101104;;;;;;2;;;;;;;;;;;
85183;;Taille:select:0;XL:8;RPGIXVM15101105;RPGIXVM15101105;;;;;;2;;;;;;;;;;;
85183;;Taille:select:0;XXL:10;RPGIXVM15101106;RPGIXVM15101106;;;;;;2;;;;;;;;;;;
85183;;Taille:select:0;3XL:12;RPGIXVM15101107;RPGIXVM15101107;;;;;;1;;;;;;;;;;;
85172;;Taille:select:0;XL:8;RPGIXBM15115105;RPGIXBM15115105;;;;;;2;;;;;;;;;;;
85172;;Taille:select:0;XXL:10;RPGIXBM15115106;RPGIXBM15115106;;;;;;5;;;;;;;;;;;
85172;;Taille:select:0;3XL:12;RPGIXBM15115107;RPGIXBM15115107;;;;;;1;;;;;;;;;;;
85173;;Taille:select:0;M:5;RPGIXBM15127103;RPGIXBM15127103;;;;;;1;;;;;;;;;;;
85173;;Taille:select:0;L:7;RPGIXBM15127104;RPGIXBM15127104;;;;;;2;;;;;;;;;;;
85173;;Taille:select:0;XL:8;RPGIXBM15127105;RPGIXBM15127105;;;;;;2;;;;;;;;;;;
85173;;Taille:select:0;XXL:10;RPGIXBM15127106;RPGIXBM15127106;;;;;;2;;;;;;;;;;;
85173;;Taille:select:0;3XL:12;RPGIXBM15127107;RPGIXBM15127107;;;;;;1;;;;;;;;;;;
85182;;Taille:select:0;XS:3;RPGIXPW15304101;RPGIXPW15304101;;;;;;3;;;;;;;;;;;
85182;;Taille:select:0;S:4;RPGIXPW15304102;RPGIXPW15304102;;;;;;4;;;;;;;;;;;
85182;;Taille:select:0;M:5;RPGIXPW15304103;RPGIXPW15304103;;;;;;6;;;;;;;;;;;
85182;;Taille:select:0;L:7;RPGIXPW15304104;RPGIXPW15304104;;;;;;5;;;;;;;;;;;
85182;;Taille:select:0;XL:8;RPGIXPW15304105;RPGIXPW15304105;;;;;;7;;;;;;;;;;;
85182;;Taille:select:0;XXL:10;RPGIXPW15304106;RPGIXPW15304106;;;;;;6;;;;;;;;;;;
85182;;Taille:select:0;3XL:12;RPGIXPW15304107;RPGIXPW15304107;;;;;;4;;;;;;;;;;;
85182;;Taille:select:0;4XL:13;RPGIXPW15304108;RPGIXPW15304108;;;;;;1;;;;;;;;;;;
85181;;Taille:select:0;S:4;RPGIXPL15313102;RPGIXPL15313102;;;;;;1;;;;;;;;;;;
85181;;Taille:select:0;M:5;RPGIXPL15313103;RPGIXPL15313103;;;;;;4;;;;;;;;;;;
85181;;Taille:select:0;L:7;RPGIXPL15313104;RPGIXPL15313104;;;;;;3;;;;;;;;;;;
85181;;Taille:select:0;XL:8;RPGIXPL15313105;RPGIXPL15313105;;;;;;4;;;;;;;;;;;
85181;;Taille:select:0;XXL:10;RPGIXPL15313106;RPGIXPL15313106;;;;;;4;;;;;;;;;;;
85181;;Taille:select:0;3XL:12;RPGIXPL15313107;RPGIXPL15313107;;;;;;3;;;;;;;;;;;
85176;;Taille:select:0;S:4;RPGIXGL11101102;RPGIXGL11101102;;;;;;2;;;;;;;;;;;
85176;;Taille:select:0;M:5;RPGIXGL11101103;RPGIXGL11101103;;;;;;4;;;;;;;;;;;
85176;;Taille:select:0;L:7;RPGIXGL11101104;RPGIXGL11101104;;;;;;7;;;;;;;;;;;
85176;;Taille:select:0;XL:8;RPGIXGL11101105;RPGIXGL11101105;;;;;;5;;;;;;;;;;;
85176;;Taille:select:0;2XL:11;RPGIXGL11101106;RPGIXGL11101106;;;;;;4;;;;;;;;;;;
85176;;Taille:select:0;3XL:12;RPGIXGL11101107;RPGIXGL11101107;;;;;;3;;;;;;;;;;;
85176;;Taille:select:0;4XL:13;RPGIXGL11101108;RPGIXGL11101108;;;;;;1;;;;;;;;;;;
85177;;Taille:select:0;S:4;RPGIXGL11115102;RPGIXGL11115102;;;;;;4;;;;;;;;;;;
85177;;Taille:select:0;M:5;RPGIXGL11115103;RPGIXGL11115103;;;;;;8;;;;;;;;;;;
85177;;Taille:select:0;L:7;RPGIXGL11115104;RPGIXGL11115104;;;;;;4;;;;;;;;;;;
85177;;Taille:select:0;XL:8;RPGIXGL11115105;RPGIXGL11115105;;;;;;6;;;;;;;;;;;
85177;;Taille:select:0;2XL:11;RPGIXGL11115106;RPGIXGL11115106;;;;;;10;;;;;;;;;;;
85177;;Taille:select:0;3XL:12;RPGIXGL11115107;RPGIXGL11115107;;;;;;2;;;;;;;;;;;
85177;;Taille:select:0;4XL:13;RPGIXGL11115108;RPGIXGL11115108;;;;;;1;;;;;;;;;;;
85178;;Taille:select:0;S:4;RPGIXGT11101202;RPGIXGT11101202;;;;;;10;;;;;;;;;;;
85178;;Taille:select:0;M:5;RPGIXGT11101203;RPGIXGT11101203;;;;;;21;;;;;;;;;;;
85178;;Taille:select:0;L:7;RPGIXGT11101204;RPGIXGT11101204;;;;;;6;;;;;;;;;;;
85178;;Taille:select:0;XL:8;RPGIXGT11101205;RPGIXGT11101205;;;;;;10;;;;;;;;;;;
85178;;Taille:select:0;XXL:10;RPGIXGT11101206;RPGIXGT11101206;;;;;;14;;;;;;;;;;;
85178;;Taille:select:0;3XL:12;RPGIXGT11101207;RPGIXGT11101207;;;;;;11;;;;;;;;;;;
85174;;Pointure:select:0;39:10;RPGIXCR14158139;RPGIXCR14158139;;;;;;2;;;;;;;;;;;
85174;;Pointure:select:0;40:11;RPGIXCR14158140;RPGIXCR14158140;;;;;;4;;;;;;;;;;;
85174;;Pointure:select:0;41:12;RPGIXCR14158141;RPGIXCR14158141;;;;;;2;;;;;;;;;;;
85174;;Pointure:select:0;42:13;RPGIXCR14158142;RPGIXCR14158142;;;;;;5;;;;;;;;;;;
85174;;Pointure:select:0;43:14;RPGIXCR14158143;RPGIXCR14158143;;;;;;7;;;;;;;;;;;
85174;;Pointure:select:0;44:15;RPGIXCR14158144;RPGIXCR14158144;;;;;;6;;;;;;;;;;;
85174;;Pointure:select:0;46:17;RPGIXCR14158146;RPGIXCR14158146;;;;;;2;;;;;;;;;;;
85174;;Pointure:select:0;47:18;RPGIXCR14158147;RPGIXCR14158147;;;;;;1;;;;;;;;;;;
