ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85121;1;Arai Axces Ii Blanc;290;369.4444444;1;195;0;;25;;;RPGARIN116011;RPGARIN116011;Redpoint;Arai;;;;;;;;;;;;;;"Niveau sécurité, l'Axces d'Arai vous permettra de rouler, en ville ou sur route, en toute sérénité grâce à sa coque en Superfibre, à laquelle vient s'ajouter le renforcement Hyper Ridge (bas de coque extérieure renforcé). 
La triple densité de la calotte interne garantira en prime, une absorption optimale du choc en cas de chute.";"<p><strong>Construction</strong></p><ul><li>Matériau : multicouches de fibres CLC</li><li>Hyper Ridge : renforcement sur le bas de la coque pour plus de résistance et de dureté</li><li>Doublure EPS en mousse hybride multi densité en une seule pièce</li><li>Intérieur : fixe et lavable</li><li>Mousses de joues : démontables et lavables</li><li>Ecran : incolore et anti-rayure, pré-équipé Pinlock (pinlock disponible en option)</li><li>LRS : Changement de visière facilité sans outils</li><li>Conduits d’air avec extracteurs supérieurs</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315""src=""https://www.youtube.com/embed/xqTSjJ0YmCg?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/116011_01.jpg,https://www.motogoodeal.ch/img/import/arai/116011_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Non:4,Cache-Nez:Non:5,Double écran solaire:Non:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,Visière Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85122;1;Arai Axces Ii Pearl Noir;290;369.4444444;1;195;0;;25;;;RPGARIN116013;RPGARIN116013;Redpoint;Arai;;;;;;;;;;;;;;"Niveau sécurité, l'Axces d'Arai vous permettra de rouler, en ville ou sur route, en toute sérénité grâce à sa coque en Superfibre, à laquelle vient s'ajouter le renforcement Hyper Ridge (bas de coque extérieure renforcé). 
La triple densité de la calotte interne garantira en prime, une absorption optimale du choc en cas de chute.";"<p><strong>Construction</strong></p><ul><li>Matériau : multicouches de fibres CLC</li><li>Hyper Ridge : renforcement sur le bas de la coque pour plus de résistance et de dureté</li><li>Doublure EPS en mousse hybride multi densité en une seule pièce</li><li>Intérieur : fixe et lavable</li><li>Mousses de joues : démontables et lavables</li><li>Ecran : incolore et anti-rayure, pré-équipé Pinlock (pinlock disponible en option)</li><li>LRS : Changement de visière facilité sans outils</li><li>Conduits d’air avec extracteurs supérieurs</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315""src=""https://www.youtube.com/embed/xqTSjJ0YmCg?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/3101.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Non:4,Cache-Nez:Non:5,Double écran solaire:Non:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,Visière Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85123;1;Arai Axces Ii Frost Noir;290;369.4444444;1;195;0;;25;;;RPGARIN116033;RPGARIN116033;Redpoint;Arai;;;;;;;;;;;;;;"Niveau sécurité, l'Axces d'Arai vous permettra de rouler, en ville ou sur route, en toute sérénité grâce à sa coque en Superfibre, à laquelle vient s'ajouter le renforcement Hyper Ridge (bas de coque extérieure renforcé). 
La triple densité de la calotte interne garantira en prime, une absorption optimale du choc en cas de chute.";"<p><strong>Construction</strong></p><ul><li>Matériau : multicouches de fibres CLC</li><li>Hyper Ridge : renforcement sur le bas de la coque pour plus de résistance et de dureté</li><li>Doublure EPS en mousse hybride multi densité en une seule pièce</li><li>Intérieur : fixe et lavable</li><li>Mousses de joues : démontables et lavables</li><li>Ecran : incolore et anti-rayure, pré-équipé Pinlock (pinlock disponible en option)</li><li>LRS : Changement de visière facilité sans outils</li><li>Conduits d’air avec extracteurs supérieurs</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315""src=""https://www.youtube.com/embed/xqTSjJ0YmCg?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/116033_01.jpg,https://www.motogoodeal.ch/img/import/arai/116033_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Non:4,Cache-Nez:Non:5,Double écran solaire:Non:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,Visière Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85124;1;Arai Axces Ii Field Bleu;290;499.0740741;1;209;0;;40;;;RPGARIN116055;RPGARIN116055;Redpoint;Arai;;;;;;;;;;;;;;"Niveau sécurité, l'Axces d'Arai vous permettra de rouler, en ville ou sur route, en toute sérénité grâce à sa coque en Superfibre, à laquelle vient s'ajouter le renforcement Hyper Ridge (bas de coque extérieure renforcé). 
La triple densité de la calotte interne garantira en prime, une absorption optimale du choc en cas de chute.";"<p><strong>Construction</strong></p><ul><li>Matériau : multicouches de fibres CLC</li><li>Hyper Ridge : renforcement sur le bas de la coque pour plus de résistance et de dureté</li><li>Doublure EPS en mousse hybride multi densité en une seule pièce</li><li>Intérieur : fixe et lavable</li><li>Mousses de joues : démontables et lavables</li><li>Ecran : incolore et anti-rayure, pré-équipé Pinlock (pinlock disponible en option)</li><li>LRS : Changement de visière facilité sans outils</li><li>Conduits d’air avec extracteurs supérieurs</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315""src=""https://www.youtube.com/embed/xqTSjJ0YmCg?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/116055_01.jpg,https://www.motogoodeal.ch/img/import/arai/116055_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Non:4,Cache-Nez:Non:5,Double écran solaire:Non:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,Visière Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85125;1;Arai Rx-7 Gp Diamond Blanc;290;925;1;369;0;;45;;;RPGARIN133010;RPGARIN133010;Redpoint;Arai;;;;;;;;;;;;;;"La référence du casque racing. 
Très facilement reconnaissable par son spoiler arrière réglable, le casque intégral Arai RX-7 GP, successeur du RX-7 Corsair, est un condensé d'innovations technologiques du fabricant japonais. ";"<p><strong>Composition</strong></p><ul><li>Matériau : composite multifibres</li><li>Coque ""PB-SNC"" - ""Structural Net Composite"" brevetée, technologie utilisant un filet de renforcement entre les différentes couches de la coque intérieure</li><li>Doublure EPS en mousse hybride multidensité en une seule pièce</li><li>Hyper Ridge : renforcement supplémentaire sur le bas de la coque, y compris dans la zone située autour des sorties d’air arrière, pour plus de résistance et de dureté</li><li>Intérieur : entièrement démontable et lavable, en tissu à séchage rapide Dry Cool</li><li>Ecran : incolore, traité anti-rayure et UV, avec Pinlock (empêche la buée et le brouillard de se fixer sur l'écran). Ouverture encore plus large, pour un plus grand confort de conduite et une meilleure sécurité</li><li>Ecran avec entrées d'air à 2 positions avec filtre à charbon intégré</li><li>LRS : Système de dégagement à levier. Changement de visière en quelques secondes sans outils</li><li>Système de fermeture d'écran De-Mist</li><li>Système de ventilation top diffuseur</li><li>Système d'évacuation d'air latéral FFS : combinaison de la plaquette de joue, du rouleau de nuque et du déflecteur du menton réduisant le bruit et augmentant l’évacuation de l’air</li><li>Déflecteur de nez démontable</li><li>Aérateur buccal démontable</li><li>Bavette flexible pour minimiser les vibrations et le bruit</li><li>Système Emergency : permet d'enlever les joues, facilitant ainsi le retrait du casque sans tirer sur les vertèbres du pilote</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xPF_3xzf9y0?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/133010_01.jpg,https://www.motogoodeal.ch/img/import/arai/133010_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Oui (avec écran pinlock):4,Cache-Nez:Oui:5,Double écran solaire:Oui:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,écran Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85126;1;Arai Rx-7 Gp Diamond Noir;290;925;1;369;0;;45;;;RPGARIN133014;RPGARIN133014;Redpoint;Arai;;;;;;;;;;;;;;"La référence du casque racing. 
Très facilement reconnaissable par son spoiler arrière réglable, le casque intégral Arai RX-7 GP, successeur du RX-7 Corsair, est un condensé d'innovations technologiques du fabricant japonais. ";"<p><strong>Composition</strong></p><ul><li>Matériau : composite multifibres</li><li>Coque ""PB-SNC"" - ""Structural Net Composite"" brevetée, technologie utilisant un filet de renforcement entre les différentes couches de la coque intérieure</li><li>Doublure EPS en mousse hybride multidensité en une seule pièce</li><li>Hyper Ridge : renforcement supplémentaire sur le bas de la coque, y compris dans la zone située autour des sorties d’air arrière, pour plus de résistance et de dureté</li><li>Intérieur : entièrement démontable et lavable, en tissu à séchage rapide Dry Cool</li><li>Ecran : incolore, traité anti-rayure et UV, avec Pinlock (empêche la buée et le brouillard de se fixer sur l'écran). Ouverture encore plus large, pour un plus grand confort de conduite et une meilleure sécurité</li><li>Ecran avec entrées d'air à 2 positions avec filtre à charbon intégré</li><li>LRS : Système de dégagement à levier. Changement de visière en quelques secondes sans outils</li><li>Système de fermeture d'écran De-Mist</li><li>Système de ventilation top diffuseur</li><li>Système d'évacuation d'air latéral FFS : combinaison de la plaquette de joue, du rouleau de nuque et du déflecteur du menton réduisant le bruit et augmentant l’évacuation de l’air</li><li>Déflecteur de nez démontable</li><li>Aérateur buccal démontable</li><li>Bavette flexible pour minimiser les vibrations et le bruit</li><li>Système Emergency : permet d'enlever les joues, facilitant ainsi le retrait du casque sans tirer sur les vertèbres du pilote</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xPF_3xzf9y0?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/133014_01.jpg,https://www.motogoodeal.ch/img/import/arai/133014_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Oui (avec écran pinlock):4,Cache-Nez:Oui:5,Double écran solaire:Oui:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,écran Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85127;1;Arai Rx-7 Gp Noir Frost;290;925;1;369;0;;45;;;RPGARIN133033;RPGARIN133033;Redpoint;Arai;;;;;;;;;;;;;;"La référence du casque racing. 
Très facilement reconnaissable par son spoiler arrière réglable, le casque intégral Arai RX-7 GP, successeur du RX-7 Corsair, est un condensé d'innovations technologiques du fabricant japonais. ";"<p><strong>Composition</strong></p><ul><li>Matériau : composite multifibres</li><li>Coque ""PB-SNC"" - ""Structural Net Composite"" brevetée, technologie utilisant un filet de renforcement entre les différentes couches de la coque intérieure</li><li>Doublure EPS en mousse hybride multidensité en une seule pièce</li><li>Hyper Ridge : renforcement supplémentaire sur le bas de la coque, y compris dans la zone située autour des sorties d’air arrière, pour plus de résistance et de dureté</li><li>Intérieur : entièrement démontable et lavable, en tissu à séchage rapide Dry Cool</li><li>Ecran : incolore, traité anti-rayure et UV, avec Pinlock (empêche la buée et le brouillard de se fixer sur l'écran). Ouverture encore plus large, pour un plus grand confort de conduite et une meilleure sécurité</li><li>Ecran avec entrées d'air à 2 positions avec filtre à charbon intégré</li><li>LRS : Système de dégagement à levier. Changement de visière en quelques secondes sans outils</li><li>Système de fermeture d'écran De-Mist</li><li>Système de ventilation top diffuseur</li><li>Système d'évacuation d'air latéral FFS : combinaison de la plaquette de joue, du rouleau de nuque et du déflecteur du menton réduisant le bruit et augmentant l’évacuation de l’air</li><li>Déflecteur de nez démontable</li><li>Aérateur buccal démontable</li><li>Bavette flexible pour minimiser les vibrations et le bruit</li><li>Système Emergency : permet d'enlever les joues, facilitant ainsi le retrait du casque sans tirer sur les vertèbres du pilote</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xPF_3xzf9y0?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/133033_01.jpg,https://www.motogoodeal.ch/img/import/arai/133033_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Oui (avec écran pinlock):4,Cache-Nez:Oui:5,Double écran solaire:Oui:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,écran Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85128;1;Arai Rx-7 Gp Hayden Drive;290;1017.592593;1;349;0;;50;;;RPGARIN133198;RPGARIN133198;Redpoint;Arai;;;;;;;;;;;;;;"La référence du casque racing. 
Très facilement reconnaissable par son spoiler arrière réglable, le casque intégral Arai RX-7 GP, successeur du RX-7 Corsair, est un condensé d'innovations technologiques du fabricant japonais. ";"<p><strong>Composition</strong></p><ul><li>Matériau : composite multifibres</li><li>Coque ""PB-SNC"" - ""Structural Net Composite"" brevetée, technologie utilisant un filet de renforcement entre les différentes couches de la coque intérieure</li><li>Doublure EPS en mousse hybride multidensité en une seule pièce</li><li>Hyper Ridge : renforcement supplémentaire sur le bas de la coque, y compris dans la zone située autour des sorties d’air arrière, pour plus de résistance et de dureté</li><li>Intérieur : entièrement démontable et lavable, en tissu à séchage rapide Dry Cool</li><li>Ecran : incolore, traité anti-rayure et UV, avec Pinlock (empêche la buée et le brouillard de se fixer sur l'écran). Ouverture encore plus large, pour un plus grand confort de conduite et une meilleure sécurité</li><li>Ecran avec entrées d'air à 2 positions avec filtre à charbon intégré</li><li>LRS : Système de dégagement à levier. Changement de visière en quelques secondes sans outils</li><li>Système de fermeture d'écran De-Mist</li><li>Système de ventilation top diffuseur</li><li>Système d'évacuation d'air latéral FFS : combinaison de la plaquette de joue, du rouleau de nuque et du déflecteur du menton réduisant le bruit et augmentant l’évacuation de l’air</li><li>Déflecteur de nez démontable</li><li>Aérateur buccal démontable</li><li>Bavette flexible pour minimiser les vibrations et le bruit</li><li>Système Emergency : permet d'enlever les joues, facilitant ainsi le retrait du casque sans tirer sur les vertèbres du pilote</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xPF_3xzf9y0?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/133198_01.jpg,https://www.motogoodeal.ch/img/import/arai/133198_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Oui (avec écran pinlock):4,Cache-Nez:Oui:5,Double écran solaire:Oui:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,écran Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85129;1;Arai Rx7-Gp Haslam Track S E;290;1017.592593;1;399;0;;45;;;RPGARIN133474;RPGARIN133474;Redpoint;Arai;;;;;;;;;;;;;;"La référence du casque racing. 
Très facilement reconnaissable par son spoiler arrière réglable, le casque intégral Arai RX-7 GP, successeur du RX-7 Corsair, est un condensé d'innovations technologiques du fabricant japonais. ";"<p><strong>Composition</strong></p><ul><li>Matériau : composite multifibres</li><li>Coque ""PB-SNC"" - ""Structural Net Composite"" brevetée, technologie utilisant un filet de renforcement entre les différentes couches de la coque intérieure</li><li>Doublure EPS en mousse hybride multidensité en une seule pièce</li><li>Hyper Ridge : renforcement supplémentaire sur le bas de la coque, y compris dans la zone située autour des sorties d’air arrière, pour plus de résistance et de dureté</li><li>Intérieur : entièrement démontable et lavable, en tissu à séchage rapide Dry Cool</li><li>Ecran : incolore, traité anti-rayure et UV, avec Pinlock (empêche la buée et le brouillard de se fixer sur l'écran). Ouverture encore plus large, pour un plus grand confort de conduite et une meilleure sécurité</li><li>Ecran avec entrées d'air à 2 positions avec filtre à charbon intégré</li><li>LRS : Système de dégagement à levier. Changement de visière en quelques secondes sans outils</li><li>Système de fermeture d'écran De-Mist</li><li>Système de ventilation top diffuseur</li><li>Système d'évacuation d'air latéral FFS : combinaison de la plaquette de joue, du rouleau de nuque et du déflecteur du menton réduisant le bruit et augmentant l’évacuation de l’air</li><li>Déflecteur de nez démontable</li><li>Aérateur buccal démontable</li><li>Bavette flexible pour minimiser les vibrations et le bruit</li><li>Système Emergency : permet d'enlever les joues, facilitant ainsi le retrait du casque sans tirer sur les vertèbres du pilote</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xPF_3xzf9y0?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/133474_01.jpg,https://www.motogoodeal.ch/img/import/arai/133474_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Oui (avec écran pinlock):4,Cache-Nez:Oui:5,Double écran solaire:Oui:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,écran Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
85130;1;Arai Rx-7 Gp Fiction;290;1017.592593;1;469;0;;35;;;RPGARIN133535;RPGARIN133535;Redpoint;Arai;;;;;;;;;;;;;;"La référence du casque racing. 
Très facilement reconnaissable par son spoiler arrière réglable, le casque intégral Arai RX-7 GP, successeur du RX-7 Corsair, est un condensé d'innovations technologiques du fabricant japonais. ";"<p><strong>Composition</strong></p><ul><li>Matériau : composite multifibres</li><li>Coque ""PB-SNC"" - ""Structural Net Composite"" brevetée, technologie utilisant un filet de renforcement entre les différentes couches de la coque intérieure</li><li>Doublure EPS en mousse hybride multidensité en une seule pièce</li><li>Hyper Ridge : renforcement supplémentaire sur le bas de la coque, y compris dans la zone située autour des sorties d’air arrière, pour plus de résistance et de dureté</li><li>Intérieur : entièrement démontable et lavable, en tissu à séchage rapide Dry Cool</li><li>Ecran : incolore, traité anti-rayure et UV, avec Pinlock (empêche la buée et le brouillard de se fixer sur l'écran). Ouverture encore plus large, pour un plus grand confort de conduite et une meilleure sécurité</li><li>Ecran avec entrées d'air à 2 positions avec filtre à charbon intégré</li><li>LRS : Système de dégagement à levier. Changement de visière en quelques secondes sans outils</li><li>Système de fermeture d'écran De-Mist</li><li>Système de ventilation top diffuseur</li><li>Système d'évacuation d'air latéral FFS : combinaison de la plaquette de joue, du rouleau de nuque et du déflecteur du menton réduisant le bruit et augmentant l’évacuation de l’air</li><li>Déflecteur de nez démontable</li><li>Aérateur buccal démontable</li><li>Bavette flexible pour minimiser les vibrations et le bruit</li><li>Système Emergency : permet d'enlever les joues, facilitant ainsi le retrait du casque sans tirer sur les vertèbres du pilote</li><li>Livré avec sa housse de transport</li><li>Jugulaire : boucle double D</li><li>Poids : 1500 gr (+/- 50 gr)</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/xPF_3xzf9y0?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;;;;;En Stock;Plus disponible;1;2016-12-02;2016-12-02;1;https://www.motogoodeal.ch/img/import/arai/133535_01.jpg,https://www.motogoodeal.ch/img/import/arai/133535_02.jpg;0;Type de Casque:Intégral:1,Genre:Unisex:2,Coque:Fibre composites:3,écran anti-buée:Oui (avec écran pinlock):4,Cache-Nez:Oui:5,Double écran solaire:Oui:6,Intérieur démontable et lavable:Oui:7,Jugulaire:Boucle Double D:8,écran Anti-rayures:Oui:9;0;new;0;0;0;0;0;0;0;0
