Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85233;;Taille:select:0;XL:6;RPGASCC1510105;RPGASCC1510105;;;;;;1;;;;;;;;;;;
85302;;Taille:select:0;S:2;RPGASSC1510102;RPGASSC1510102;;;;;;1;;;;;;;;;;;
85222;;Pointure:select:0;45:10;RPGASBT1410245;RPGASBT1410245;;;;;;1;;;;;;;;;;;
85222;;Pointure:select:0;46:11;RPGASBT1410246;RPGASBT1410246;;;;;;1;;;;;;;;;;;
85215;;Pointure:select:0;43:8;RPGASBR1512143;RPGASBR1512143;;;;;;1;;;;;;;;;;;
85216;;Pointure:select:0;41:6;RPGASBR15125141;RPGASBR15125141;;;;;;1;;;;;;;;;;;
85217;;Pointure:select:0;43:8;RPGASBR15132143;RPGASBR15132143;;;;;;1;;;;;;;;;;;
85217;;Pointure:select:0;44:9;RPGASBR15132144;RPGASBR15132144;;;;;;1;;;;;;;;;;;
85213;;Pointure:select:0;44:9;RPGASBR1510444;RPGASBR1510444;;;;;;1;;;;;;;;;;;
85206;;Pointure:select:0;48:13;RPGASBR14100148;RPGASBR14100148;;;;;;1;;;;;;;;;;;
85207;;Pointure:select:0;39:4;RPGASBR1410139;RPGASBR1410139;;;;;;1;;;;;;;;;;;
85207;;Pointure:select:0;40:5;RPGASBR1410140;RPGASBR1410140;;;;;;2;;;;;;;;;;;
85207;;Pointure:select:0;41:6;RPGASBR1410141;RPGASBR1410141;;;;;;2;;;;;;;;;;;
85207;;Pointure:select:0;42:7;RPGASBR1410142;RPGASBR1410142;;;;;;1;;;;;;;;;;;
85207;;Pointure:select:0;43:8;RPGASBR1410143;RPGASBR1410143;;;;;;4;;;;;;;;;;;
85208;;Pointure:select:0;41:6;RPGASBR1412141;RPGASBR1412141;;;;;;1;;;;;;;;;;;
85208;;Pointure:select:0;42:7;RPGASBR1412142;RPGASBR1412142;;;;;;1;;;;;;;;;;;
85208;;Pointure:select:0;44:9;RPGASBR1412144;RPGASBR1412144;;;;;;1;;;;;;;;;;;
85208;;Pointure:select:0;45:10;RPGASBR1412145;RPGASBR1412145;;;;;;1;;;;;;;;;;;
85209;;Pointure:select:0;42:7;RPGASBR1412242;RPGASBR1412242;;;;;;1;;;;;;;;;;;
85211;;Pointure:select:0;45:10;RPGASBR1510145;RPGASBR1510145;;;;;;1;;;;;;;;;;;
85212;;Pointure:select:0;39:4;RPGASBR1510239;RPGASBR1510239;;;;;;2;;;;;;;;;;;
85218;;Pointure:select:0;44:9;RPGASBT0910144;RPGASBT0910144;;;;;;1;;;;;;;;;;;
