Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85336;;Taille:select:0;2XL:7;RPGIXBC12127106;RPGIXBC12127106;;;;;;1;;;;;;;;;;;
85336;;Taille:select:0;3XL:8;RPGIXBC12127107;RPGIXBC12127107;;;;;;2;;;;;;;;;;;
85334;;Taille:select:0;2XL:7;RPGIXBC11108106;RPGIXBC11108106;;;;;;1;;;;;;;;;;;
85334;;Taille:select:0;L:4;RPGIXBC11108104;RPGIXBC11108104;;;;;;1;;;;;;;;;;;
85334;;Taille:select:0;XL:5;RPGIXBC11108105;RPGIXBC11108105;;;;;;2;;;;;;;;;;;
85385;;Taille:select:0;L:4;RPGIXPC12115104;RPGIXPC12115104;;;;;;1;;;;;;;;;;;
85385;;Taille:select:0;XL:5;RPGIXPC12115105;RPGIXPC12115105;;;;;;1;;;;;;;;;;;
85396;;Taille:select:0;3XL:8;RPGIXPM12101307;RPGIXPM12101307;;;;;;1;;;;;;;;;;;
85396;;Taille:select:0;M:3;RPGIXPM12101303;RPGIXPM12101303;;;;;;1;;;;;;;;;;;
85400;;Taille:select:0;3XL:8;RPGIXVM12101107;RPGIXVM12101107;;;;;;1;;;;;;;;;;;
85400;;Taille:select:0;L:4;RPGIXVM12101104;RPGIXVM12101104;;;;;;1;;;;;;;;;;;
85339;;Taille:select:0;L:4;RPGIXBC14101104;RPGIXBC14101104;;;;;;2;;;;;;;;;;;
85392;;Taille:select:0;4XL:9;RPGIXPM10101104;RPGIXPM10101104;;;;;;1;;;;;;;;;;;
85330;;Taille:select:0;M:3;RPGIXBA15101103;RPGIXBA15101103;;;;;;2;;;;;;;;;;;
85332;;Taille:select:0;M:3;RPGIXBA15115203;RPGIXBA15115203;;;;;;1;;;;;;;;;;;
85332;;Taille:select:0;XL:5;RPGIXBA15115205;RPGIXBA15115205;;;;;;1;;;;;;;;;;;
85384;;Taille:select:0;3XL:8;RPGIXPA15101107;RPGIXPA15101107;;;;;;1;;;;;;;;;;;
85384;;Taille:select:0;L:4;RPGIXPA15101104;RPGIXPA15101104;;;;;;1;;;;;;;;;;;
85384;;Taille:select:0;XL:5;RPGIXPA15101105;RPGIXPA15101105;;;;;;1;;;;;;;;;;;
85344;;Taille:select:0;XXL:6;RPGIXBM16127106;RPGIXBM16127106;;;;;;1;;;;;;;;;;;
85344;;Taille:select:0;4XL:9;RPGIXBM16127108;RPGIXBM16127108;;;;;;1;;;;;;;;;;;
85344;;Taille:select:0;L:4;RPGIXBM16127104;RPGIXBM16127104;;;;;;1;;;;;;;;;;;
85344;;Taille:select:0;M:3;RPGIXBM16127103;RPGIXBM16127103;;;;;;2;;;;;;;;;;;
85344;;Taille:select:0;XL:5;RPGIXBM16127105;RPGIXBM16127105;;;;;;1;;;;;;;;;;;
85402;;Taille:select:0;L:4;RPGIXVM13101104;RPGIXVM13101104;;;;;;1;;;;;;;;;;;
85390;;Taille:select:0;C-4XL:12;RPGIXPL13304204;RPGIXPL13304204;;;;;;1;;;;;;;;;;;
85389;;Taille:select:0;3XL:8;RPGIXPL13304107;RPGIXPL13304107;;;;;;1;;;;;;;;;;;
85389;;Taille:select:0;M:3;RPGIXPL13304103;RPGIXPL13304103;;;;;;3;;;;;;;;;;;
85389;;Taille:select:0;XL:5;RPGIXPL13304105;RPGIXPL13304105;;;;;;1;;;;;;;;;;;
85347;;Taille:select:0;2XL:7;RPGIXBW13115106;RPGIXBW13115106;;;;;;1;;;;;;;;;;;
85347;;Taille:select:0;5XL:10;RPGIXBW13115109;RPGIXBW13115109;;;;;;1;;;;;;;;;;;
85347;;Taille:select:0;S:2;RPGIXBW13115102;RPGIXBW13115102;;;;;;3;;;;;;;;;;;
85349;;Taille:select:0;L:4;RPGIXBW14116104;RPGIXBW14116104;;;;;;1;;;;;;;;;;;
85351;;Taille:select:0;S:2;RPGIXBW15177102;RPGIXBW15177102;;;;;;1;;;;;;;;;;;
85346;;Taille:select:0;L:4;RPGIXBW11168104;RPGIXBW11168104;;;;;;1;;;;;;;;;;;
85346;;Taille:select:0;S:2;RPGIXBW11168102;RPGIXBW11168102;;;;;;1;;;;;;;;;;;
85350;;Taille:select:0;XS:1;RPGIXBW15119101;RPGIXBW15119101;;;;;;1;;;;;;;;;;;
85342;;Taille:select:0;M:3;RPGIXBC15108103;RPGIXBC15108103;;;;;;1;;;;;;;;;;;
85340;;Taille:select:0;M:3;RPGIXBC14119103;RPGIXBC14119103;;;;;;1;;;;;;;;;;;
85386;;Taille:select:0;L:4;RPGIXPC1311504;RPGIXPC1311504;;;;;;1;;;;;;;;;;;
85337;;Taille:select:0;S:2;RPGIXBC12214102;RPGIXBC12214102;;;;;;1;;;;;;;;;;;
85338;;Taille:select:0;XL:5;RPGIXBC13119105;RPGIXBC13119105;;;;;;1;;;;;;;;;;;
85399;;Taille:select:0;M:3;RPGIXSR15808103;RPGIXSR15808103;;;;;;3;;;;;;;;;;;
85403;;Taille:select:0;XXL:6;RPGIXVM13101206;RPGIXVM13101206;;;;;;1;;;;;;;;;;;
85395;;Taille:select:0;M:3;RPGIXPM12101203;RPGIXPM12101203;;;;;;1;;;;;;;;;;;
85397;;Taille:select:0;C-4XL:12;RPGIXPW08112204;RPGIXPW08112204;;;;;;1;;;;;;;;;;;
85397;;Taille:select:0;C-5XL:13;RPGIXPW08112205;RPGIXPW08112205;;;;;;1;;;;;;;;;;;
85397;;Taille:select:0;C-6XL:14;RPGIXPW08112206;RPGIXPW08112206;;;;;;1;;;;;;;;;;;
85331;;Taille:select:0;2XL:7;RPGIXBA15112106;RPGIXBA15112106;;;;;;2;;;;;;;;;;;
85331;;Taille:select:0;L:4;RPGIXBA15112104;RPGIXBA15112104;;;;;;1;;;;;;;;;;;
85401;;Taille:select:0;XXL:6;RPGIXVM12101206;RPGIXVM12101206;;;;;;2;;;;;;;;;;;
85401;;Taille:select:0;3XL:8;RPGIXVM12101207;RPGIXVM12101207;;;;;;4;;;;;;;;;;;
85401;;Taille:select:0;XL:5;RPGIXVM12101205;RPGIXVM12101205;;;;;;2;;;;;;;;;;;
85401;;Taille:select:0;XS:1;RPGIXVM12101201;RPGIXVM12101201;;;;;;1;;;;;;;;;;;
85405;;Taille:select:0;XXL:6;RPGIXVM15101406;RPGIXVM15101406;;;;;;1;;;;;;;;;;;
85405;;Taille:select:0;L:4;RPGIXVM15101404;RPGIXVM15101404;;;;;;2;;;;;;;;;;;
85405;;Taille:select:0;S:2;RPGIXVM15101402;RPGIXVM15101402;;;;;;1;;;;;;;;;;;
85405;;Taille:select:0;XL:5;RPGIXVM15101405;RPGIXVM15101405;;;;;;1;;;;;;;;;;;
85404;;Taille:select:0;M:3;RPGIXVM15101203;RPGIXVM15101203;;;;;;1;;;;;;;;;;;
85404;;Taille:select:0;XL:5;RPGIXVM15101205;RPGIXVM15101205;;;;;;1;;;;;;;;;;;
