ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85184;1;Blouson Alpinestars T-GP PLUS R AIR - Noir/Blanc;461;212.037037;1;116.62;0;;25;;;MGDRPGASBA14123;MGDRPGASBA14123;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars est un fabricant italien d'équipement de protection pour la moto, la course automobile, ainsi que les sports d'action: comme le VTT, BMX, le surf, le wakeboard et le snow mobile.;<p>Alpinestars vous présente le blouson moto T GP PLUS R Air:</p><ul><li>Polyester 450/600 deniers hautement endurant et résistant à l'abrasion pour durer dans le temps.</li><li>Panneaux en mesh sur la poitrine et les bras offrant une circulation de l'air élevée pendant la conduite pour un confort extraordinaire par temps chaud.</li><li>Doublure intérieure mesh pour augmenter la circulation de l'air.</li><li>Protections coudes et épaules Bio Armor légères et Homologuée CE.</li><li>Poche avec rembourrage de protection en mousse PE sur poitrine et dos (protection poitrine Bio Armor Homologuée CE en option).</li><li>Toutes les protections sont perforées  pour augmenter considérablement la circulation de l'air du vêtement.</li><li>Coupe sportive avec une coupe préformée aux coudes pour réduire la fatigue et augmenter le confort pendant la conduite.</li><li>Empiècements extensibles en polyester et en accordéon pour un ajustement performant et une flexibilité excellente sur les coudes.</li><li>Col et bordure de la manchette en tissu mesh 3D pour d'avantage de confort et de respirabilité.</li><li>Réglage boucles en D et velcro à la taille pour un ajustement  personnalisé.</li><li>Profil postérieur plus long pour couvrir la zone lombaire et empêcher à la veste de remonter en dessus du pantalon.</li><li>Poche intérieure étanche.</li><li>Poches extérieures avec large ouverture zippée.</li><li>Multiples poches intérieurs avec Velcro.</li><li>Raccord blouson/pantalon.</li><li>Divers Réfléchissants</li></ul>;;Blouson Alpinestars T-GP PLUS R AIR - Noir/Blanc Motogoodeal - Spécialiste moto en suisse;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/330061412.jpg;1;Couleur:Noir/Blanc:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Polyester:4,Saisonnalité:été:5,Ventilé:Oui:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85185;1;Blouson Alpinestars AVANT PERFORATED - Noir;461;369.4444444;1;203.19;0;;25;;;MGDRPGASBC13101;MGDRPGASBC13101;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars est un fabricant italien d'équipement de protection pour la moto, la course automobile, ainsi que les sports d'action: comme le VTT, BMX, le surf, le wakeboard et le snow mobile.;<ul><li>Construction en cuir (épaisseur 1.1 mm) pour une excellente résistance dans le temps et a l'abrasion</li><li>Soufflets d'aisance en cuir stretch au niveau des coudes</li><li>Panneaux en microfibre stretch sous les bras et dans le dos pour une excellente mobilité</li><li>Panneaux perforés sur le devant et dans le dos</li><li>Protections coudes et épaules Bio Armor amovibles et certifiées CE</li><li>Poche pour protection dorsale Bionic Back Protector certifiée CE (non fournie)</li><li>Emplacement pour protection pectorale Bionic Chest Pad (non fournie)</li><li>Doublure entièrement en mesh pour augmenter le confort et la ventilation</li><li>Poches internes avec fermeture de sécurité Velcro®</li><li>Zone densément perforée sur le devant, le dos, les bras et les épaules pour un rafraichissement efficace</li><li>Réglages des manchettes par Velcro® et fermetures éclair semi autobloquantes pour améliorer l'ajustement et le confort</li><li>Réglages a la taille par Velcro et boucle en D pour un ajustement hautement personnalisé</li><li>Détails réfléchissants sur le devant et sur le dos pour une meilleure visibilité du motard</li><li>Zip pour raccorder le blouson à certains modèles spécifiques de pantalon en cuir ou textile Alpinestars</li><li>Logos brodes sur le devant et sur les manches</li></ul>;;Blouson Alpinestars AVANT PERFORATED - Noir Motogoodeal - Spécialiste moto suisse;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310171310.jpg;1;Couleur:Noir:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:été:5,Ventilé:Oui:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85186;1;Blouson Alpinestars GP PRO - Noir;461;545.3703704;1;299.95;0;;30;;;MGDRPGASBC14101;MGDRPGASBC14101;Redpoint;Alpinestars;;;;;;;;0;;;;;;La veste GP-PRO noir est également disponibe sur demande dans les tailles 62 et 64;<ul><li>Construction en cuir pleine fleur (1.3mm) particulièrement résistante à l'abrasion</li><li>Protections CE amovible en polyuréthane aux coudes et aux épaules (meilleure résistance)</li><li>Bosse aérodynamique et perforée à 2 densités</li><li>Différentes zones de stretch sont présentes pour une meilleure aisance dans le dos et sur les manches</li><li>La taille s'ajuste grâce aux pattes de serrage</li><li>Doublure multi-panneau amovible avec empiècements en Mesh 3D pour améliorer le confort</li><li>Un zip permet de raccorder votre blouson aux pantalons Alpinestars</li></ul>;;Blouson Alpinestars GP PRO - Noir Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310501410.jpg;1;Couleur:Noir:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Oui:8;0;new;0;0;0;0;0;0;0;0
85187;1;Blouson Alpinestars HADES - Noir;461;665.7407407;1;366.16;0;;35;;;MGDRPGASBC14104;MGDRPGASBC14104;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars vous présente le blouson cuir appartenant à sa gamme Black Shadow.;<ul><li>Construction en cuir pleine fleur (1.3 mm) extrêmement souple et résistante à l'abrasion</li><li>Les panneaux antérieurs et postérieurs densément perforés sont rembourrés</li><li>Amples panneaux en stretch renforcé avec aramide sous les aisselles et à la taille pour une excellente liberté de mouvement</li><li>Empiècements extensibles et flexibles en cuir en accordéon sur dos et coudes pour un ajustement près du corps et un confort sans égal</li><li>Nouveau système de protection d'épaule révolutionnaire équipé, au niveau de la clavicule et des épaules, de sliders en mélange de fibre de carbone à double densité stratégiquement placés et insérés fermement à l'intérieur d'une coque en silicone intégrée et moulée par injection pour une résistance à l'abrasion et aux chocs ainsi qu'une intégrité structurelle sans égal</li><li>Nouvelle protection des coudes avec sliders au niveau des coudes en mélange de fibre de carbone à double densité insérés dans une coque renforcée en silicone pour une résistance à l'abrasion et aux chocs ainsi qu'une intégrité structurelle accrues</li><li>Protections des coudes et des épaules amovibles et certifiées CE</li><li>Compartiments sur la poitrine pour utiliser les protections poitrine Bionic Alpinestars, disponibles en option pour un complément de protection</li><li>Compartiment sur le dos pour pouvoir utiliser l'insert de protection dorsale Bio-Armor, certifié CE, disponible en option</li><li>Nouveau système de connexion polyvalent avec boutons pression montés sur Velcro® pour intégrer différents types de protection dorsale Alpinestars, y compris la protection dorsale certifiée CE Bionic Race</li><li>Petite bosse pour favoriser la ventilation et les performances en termes d'aérodynamique</li><li>Le col bas, aux bords arrondis pour un meilleur confort, intègre du tissu mesh 3D rembourré pour une excellente respirabilité</li><li>Doublure amovible multi-panneau intégrant des empiècements en mesh 3D pour améliorer l'ajustement et la ventilation La doublure peut être lavée</li><li>Deux poches extérieures avec fermeture éclair et poche intérieure étanche</li><li>Manchettes avec Velcro et fermetures éclair semi autobloquantes pour une liberté de mouvement et un confort accrus</li><li>Profil postérieur plus long et innovant système de réglage à la taille intégrant boucles en D et sangles Velcro</li><li>Détails réfléchissants sur dos et bras pour améliorer la visibilité du motard</li><li>Fermeture éclair de connexion à l'intérieur de la taille pour raccorder ce blouson aux pantalons Alpinestars</li><li>Languettes des fermetures éclair renforcées en cuir</li><li>Taille: 44 - 60</li></ul>;;Blouson Alpinestars HADES - Noir Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310821410.jpg;1;Couleur:Noir:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85188;1;Blouson Alpinestars HUNTSMAN - Noir;461;462.037037;1;254.12;0;;30;;;MGDRPGASBC14105;MGDRPGASBC14105;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars vous présente le blouson cuir appartenant à sa gamme Black Shadow, Huntsman.;<ul><li>Réalisé à partir d'un cuir pleine fleur souple, « vieilli » et de très haute qualité pour une résistance à l'abrasion et un confort excellents</li><li>Protections des coudes et des épaules amovibles et certifiées CE pour une protection contre les chocs hors pair</li><li>Manches préformées pour contribuer à la réduction de la fatigue</li><li>Coutures renforcées sur les régions les plus sensibles des épaules et des coudes pour une meilleure résistance dans le temps</li><li>La poche portefeuille intérieure avec fermeture éclair est thermo-soudée pour garantir une étanchéité à 100%</li><li>Doublure en mélange de coton pour davantage de confort et partie intérieure des manches en polyester pour enfiler et enlever aisément le blouson</li><li>Col bas avec bouton pression pour le fermer rapidement et en toute sécurité</li><li>Manchettes avec fermeture éclair pour une fermeture adaptable et sûre</li><li>Deux amples poches extérieures avec fermeture éclair et poche portefeuille intérieure étanche</li><li>Fermetures éclair YKK effet vintage sur l'ensemble du blouson en parfaite harmonie avec le style rétro</li><li>Logo avec détails raffinés ton sur ton sur le devant et le derrière</li><li>Système de réglage à la taille avec bouton pression pour favoriser l'ajustement sur mesure</li></ul>;;Blouson Alpinestars HUNTSMAN - Noir Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310831410_01.jpg,https://www.motogoodeal.ch/img/import/astar/310831410_02.jpg;1;Couleur:Noir:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85189;1;Blouson Alpinestars STELLA VIKA - Noir;461;486.1111111;1;267.36;0;;30;;;MGDRPGASBC14106;MGDRPGASBC14106;Redpoint;Alpinestars;;;;;;;;0;;;;;;VIKA est la nouvelle collection d'équipement moto femme Alpinestars. S'inspirant des dernières tendances des podiums, la collection VIKA offre une excellente protection tout en soulignant la silhouette féminine. Avec une coque souple en cuir et des manches préformées pour un confort extraordinaire.;"<ul><li>Fabriqué en cuir pleine fleur souple et résistant</li><li>Panneaux en Kevlar stretch stratégiquement placés pour allonger et souligner les formes féminines</li><li>Protections légères anatomiques et certifiées CE au niveau des coudes et des épaules</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/sD9wOU3Lkiw?controls=0&amp;showinfo=0"" frameborder=""0"" allowfullscreen></iframe>";;Blouson Alpinestars STELLA VIKA - Noir Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/311551410.jpg;1;Couleur:Noir:1,Genre:Femme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Mi-saison:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85190;1;Blouson Alpinestars STELLA GP-PLUS R - Noir/Blanc;461;462.037037;1;254.12;0;;30;;;MGDRPGASBC14121;MGDRPGASBC14121;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars est un fabricant italien d'équipement de protection pour la moto, la course automobile, ainsi que les sports d'action: comme le VTT, BMX, le surf, le wakeboard et le snow mobile.;<ul><li>Cuir 1,3 mm pour une résistance à l'abrasion.</li><li>Coutures renforcées pour une résistance à la déchirure en cas de choc.</li><li>Ajustement optimisant la silhouette féminine.</li><li>Protections épaules et coudes Bio-Armor Homologué CE.</li><li>Poche sur la poitrine et le dos avec rembourrage PE (protections poitrine Bionic Chest Pad Alpinestars et dorsale Back Armor disponibles en option pour un complément de protection).</li><li>Polyester extensible et en accordéon sur le dos pour réduire le poids et favoriser un ajustement parfait.</li><li>Panneaux extensibles en accordéon sur les coudes pour une liberté de mouvement.</li><li>Manches préformées pour réduire la fatigue pendant la conduite et prévenir les bosses dans le tissu.</li><li>Manchette avec une fermeture velcro et fermeture éclair.</li><li>Boucles de réglage en D avec fermeture par velcro à la taille pour garantir ajustement personnalisé.</li><li>Les prises d'air de ventilation Dynamic Flow Control (DFC, Contrôle Dynamique de la Circulation) sur les épaules, sont pourvues de fermetures éclair pour garantir une régulation efficace.</li><li>Col en tissu mesh 3D souple et bordures des manchettes en mesh 3D pour davantage de confort et de respirabilité.</li><li>Doublure en tissu mesh pour améliorer la respirabilité, le confort et  la ventilation.</li><li>Poches extérieures avec une large ouverture pourvue de fermeture éclair.</li><li>Multiples poches intérieurs avec une fermeture velcro.</li><li>Poche intérieure étanche.</li><li>Raccord blouson/pantalon</li><li>Réfléchissants</li></ul>;;Blouson Alpinestars STELLA GP-PLUS R - Noir/Blanc Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/311051412.jpg;1;Couleur:Noir/Blanc:1,Genre:Femme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Oui:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85191;1;Blouson Alpinestars PHANTOM - Brun;461;712.037037;1;391.62;0;;35;;;MGDRPGASBC14961;MGDRPGASBC14961;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars vous présente le blouson cuir appartenant à sa gamme Black Shadow, Phantom.;<ul><li>Construction en cuir pleine fleur (1.3 mm) extrêmement souple et résistante à l'abrasion</li><li>Les panneaux antérieurs et postérieurs densément perforés sont rembourrés</li><li>Amples panneaux en stretch renforcé avec aramide sous les aisselles et à la taille pour une excellente liberté de mouvement</li><li>Empiècements extensibles et flexibles en cuir en accordéon sur dos et coudes pour un ajustement près du corps et un confort sans égal</li><li>Nouveau système de protection d'épaule révolutionnaire équipé, au niveau de la clavicule et des épaules, de sliders en mélange de fibre de carbone à double densité stratégiquement placés et insérés fermement à l'intérieur d'une coque en silicone intégrée et moulée par injection pour une résistance à l'abrasion et aux chocs ainsi qu'une intégrité structurelle sans égal</li><li>Nouvelle protection des coudes avec sliders au niveau des coudes en mélange de fibre de carbone à double densité insérés dans une coque renforcée en silicone pour une résistance à l'abrasion et aux chocs ainsi qu'une intégrité structurelle accrues</li><li>Protections des coudes et des épaules amovibles et certifiées CE</li><li>Compartiments sur la poitrine pour utiliser les protections poitrine Bionic Alpinestars, disponibles en option pour un complément de protection</li><li>Compartiment sur le dos pour pouvoir utiliser l'insert de protection dorsale Bio-Armor, certifié CE, disponible en option</li><li>Nouveau système de connexion polyvalent avec boutons pression montés sur Velcro® pour intégrer différents types de protection dorsale Alpinestars, y compris la protection dorsale certifiée CE Bionic Race</li><li>Petite bosse pour favoriser la ventilation et les performances en termes d'aérodynamique</li><li>Le col bas, aux bords arrondis pour un meilleur confort, intègre du tissu mesh 3D rembourré pour une excellente respirabilité</li><li>Doublure amovible multi-panneau intégrant des empiècements en mesh 3D pour améliorer l'ajustement et la ventilation La doublure peut être lavée</li><li>Deux poches extérieures avec fermeture éclair et poche intérieure étanche</li><li>Manchettes avec Velcro et fermetures éclair semi autobloquantes pour une liberté de mouvement et un confort accrus</li><li>Profil postérieur plus long et innovant système de réglage à la taille intégrant boucles en D et sangles Velcro</li><li>Détails réfléchissants sur dos et bras pour améliorer la visibilité du motard</li><li>Fermeture éclair de connexion à l'intérieur de la taille pour raccorder ce blouson aux pantalons Alpinestars</li><li>Languettes des fermetures éclair renforcées en cuir</li><li>Taille: 44 - 60</li></ul>;;Blouson Alpinestars PHANTOM - Brun Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310801496.jpg;1;Couleur:Brun:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Oui (petit):8;0;new;0;0;0;0;0;0;0;0
85192;1;Blouson Alpinestars HADES - Brun;461;665.7407407;1;366.16;0;;35;;;MGDRPGASBC14962;MGDRPGASBC14962;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars vous présente le blouson cuir appartenant à sa gamme Black Shadow.;<ul><li>Construction en cuir pleine fleur (1.3 mm) extrêmement souple et résistante à l'abrasion</li><li>Les panneaux antérieurs et postérieurs densément perforés sont rembourrés</li><li>Amples panneaux en stretch renforcé avec aramide sous les aisselles et à la taille pour une excellente liberté de mouvement</li><li>Empiècements extensibles et flexibles en cuir en accordéon sur dos et coudes pour un ajustement près du corps et un confort sans égal</li><li>Nouveau système de protection d'épaule révolutionnaire équipé, au niveau de la clavicule et des épaules, de sliders en mélange de fibre de carbone à double densité stratégiquement placés et insérés fermement à l'intérieur d'une coque en silicone intégrée et moulée par injection pour une résistance à l'abrasion et aux chocs ainsi qu'une intégrité structurelle sans égal</li><li>Nouvelle protection des coudes avec sliders au niveau des coudes en mélange de fibre de carbone à double densité insérés dans une coque renforcée en silicone pour une résistance à l'abrasion et aux chocs ainsi qu'une intégrité structurelle accrues</li><li>Protections des coudes et des épaules amovibles et certifiées CE</li><li>Compartiments sur la poitrine pour utiliser les protections poitrine Bionic Alpinestars, disponibles en option pour un complément de protection</li><li>Compartiment sur le dos pour pouvoir utiliser l'insert de protection dorsale Bio-Armor, certifié CE, disponible en option</li><li>Nouveau système de connexion polyvalent avec boutons pression montés sur Velcro® pour intégrer différents types de protection dorsale Alpinestars, y compris la protection dorsale certifiée CE Bionic Race</li><li>Petite bosse pour favoriser la ventilation et les performances en termes d'aérodynamique</li><li>Le col bas, aux bords arrondis pour un meilleur confort, intègre du tissu mesh 3D rembourré pour une excellente respirabilité</li><li>Doublure amovible multi-panneau intégrant des empiècements en mesh 3D pour améliorer l'ajustement et la ventilation La doublure peut être lavée</li><li>Deux poches extérieures avec fermeture éclair et poche intérieure étanche</li><li>Manchettes avec Velcro et fermetures éclair semi autobloquantes pour une liberté de mouvement et un confort accrus</li><li>Profil postérieur plus long et innovant système de réglage à la taille intégrant boucles en D et sangles Velcro</li><li>Détails réfléchissants sur dos et bras pour améliorer la visibilité du motard</li><li>Fermeture éclair de connexion à l'intérieur de la taille pour raccorder ce blouson aux pantalons Alpinestars</li><li>Languettes des fermetures éclair renforcées en cuir</li><li>Taille: 44 - 60</li></ul>;;Blouson Alpinestars HADES - Brun Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310821496.jpg;1;Couleur:Brun:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
85193;1;Blouson Alpinestars MONTY - Noir;461;545.3703704;1;299.95;0;;30;;;MGDRPGASBC15101;MGDRPGASBC15101;Redpoint;Alpinestars;;;;;;;;0;;;;;;Alpinestars est un fabricant italien d'équipement de protection pour la moto, la course automobile, ainsi que les sports d'action: comme le VTT, BMX, le surf, le wakeboard et le snow mobile.;<ul><li>En cuir pleine fleur de première qualité finie à la main lavée et cirée pour assurer un look et un style vintage</li><li>Zones perforées en cuir sur manches et buste pour augmenter la ventilation du blouson et le confort</li><li>Protections coudes et épaules de première qualité, amovibles et certifiées CE</li><li>Poche intérieure pour protection dorsale donnant la possibilité d'insérer optionnellement une dorsale</li><li>Réglage à la taille par zip pour un ajustement personnalisé</li><li>Doublure complète amovible, en flanelle de coton</li><li>Poches intérieures et extérieures avec zip</li><li>Détails, bordures, boutons pression et rivets uniques en style OSCAR pour compléter le look vintage</li></ul>;;Blouson Alpinestars MONTY - Noir Motogoodeal.ch;;Soldes Alpinestars - Les meilleures prix de la saison!;;En Stock;Plus en Stock;1;;;1;https://www.motogoodeal.ch/img/import/astar/310891510.jpg;1;Couleur:Noir:1,Genre:Homme:2,Etanchéité:Non:3,Matière:Cuir:4,Saisonnalité:Toutes saisons:5,Ventilé:Non:6,Gore-Tex:Non:7,Bosse Aérodynamique:Non:8;0;new;0;0;0;0;0;0;0;0
