ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85409;1;Casque Shark S900C ;461;219.72;1;0;;;;;;HE0380EWRK;HE0380EWRK;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</p>;<p>o Mousse de joues gonflables pour un ajustement parfait <br /> o Système EASYFIT pour une utilisation confortable avec des lunettes<br /> o Coque thermoplastique injectée<br /> o Écran solaire intégré<br /> o Écran 2,2mm avec double traitement « Total vision »<br /> o Intérieur entièrement démontable et lavable</p>;;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/12/casque-shark-s900c-signature.jpg;1;"Type de casque:Intégral:1;Couleur:blanc rouge noir:2;Genre:Unisexe:3;Coque:Polycarbonate:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Non:10;Jugulaire:Boucle micrométrique:11";0;Neuf;0;0;0;0;0;0;0;0
85410;1;Casque Shark Signature Steel;461;193.89;1;0;;;;;;HE0385ETKK;HE0385ETKK;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p><span>o Mousse de joues gonflables pour un ajustement parfait </span><br /><span>o Système EASYFIT pour une utilisation confortable avec des lunettes</span><br /><span>o Coque thermoplastique injectée</span><br /><span>o Écran solaire intégré</span><br /><span>o Écran 2,2mm avec double traitement « Total vision »</span><br /><span>o Intérieur entièrement démontable et lavable</span></p>;<p><span>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</span></p>;;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/458/casque-shark-signature-steel.jpg,http://www.motogoodeal.ch/459/casque-shark-signature-steel.jpg,http://www.motogoodeal.ch/460/casque-shark-signature-steel.jpg;1;"Couleur:Gris:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;Neuf;0;0;0;0;0;0;0;0
85411;1;Casque Shark S700S Squad;461;224.17;1;0;;;;;;HE0415EYKW;HE0415EYKW;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p>Le petit frère du S 900 C, le S 700 S, reçoit certaines fonctions du très plébiscité S 900 original, auxquelles s'ajoute l'écran<br />solaire intégré.</p>;<p>o Écran solaire intégré.<br />o Nouvelle ventilation pour une ergonomie optimisée avec les gants.<br />o Coque thermoplastique injectée.</p>;;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/8935/shark-s700s-squad-helm.jpg;1;"Type de casque:Intégral:1;Couleur:jaune:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Jugulaire:Boucle micrométrique:11";0;Neuf;0;0;0;0;0;0;0;0
85412;1;Casque Shark S700S Legion Mat;461;200.69;1;0;;;;;;HE0427EKKW;HE0427EKKW;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<p><span>Le petit frère du S900C, le S700S, est upgradé pour 2014. Il reçoit certaines fonctions du très plébiscité S900 original, auxquelles s'ajoute l'</span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/425-casque-shark-s700s-guintoli.html#"">écran</a><span> solaire intégré</span><";"<ul><li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/427-casque-s700s-jost-lumi-mat.html#"">Écran</a> solaire intégré</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Coque thermoplastique injectée</li> </";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/107338/casque-shark-s700s-legion-mat.jpg;1;"Couleur:noir-mat-blanc:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;Neuf;0;0;0;0;0;0;0;0
85413;1;Casque Shark S700S Lab;461;147.18;1;0;;;;;;HE0442EWKR;HE0442EWKR;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<ul><li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/427-casque-s700s-jost-lumi-mat.html#"">Écran</a> solaire intégré</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Coque thermoplastique injectée</li> </";"<p><span>Le petit frère du S900C, le S700S, est upgradé pour 2014. Il reçoit certaines fonctions du très plébiscité S900 original, auxquelles s'ajoute l'</span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/425-casque-shark-s700s-guintoli.html#"">écran</a><span> solaire intégré</span><";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/479/casque-shark-s700s-lab.jpg,http://www.motogoodeal.ch/480/casque-shark-s700s-lab.jpg,http://www.motogoodeal.ch/481/casque-shark-s700s-lab.jpg;1;"Couleur:Deco:1;Genre:Homme:2;Coque:Polycarbonate:3;Fabricant:Shark:4";0;Neuf;0;0;0;0;0;0;0;0
85414;1;Casque Shark S700S Nasty;461;184.44;1;0;;;;;;HE0450EKVW;HE0450EKVW;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<p><span>Le petit frère du S900C, le S700S, est upgradé pour 2014. Il reçoit certaines fonctions du très plébiscité S900 original, auxquelles s'ajoute l'</span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/425-casque-shark-s700s-guintoli.html#"">écran</a><span> solaire intégré</span><";"<ul><li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/427-casque-s700s-jost-lumi-mat.html#"">Écran</a> solaire intégré</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Coque thermoplastique injectée</li> </";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/407/casque-s700s-nasty.jpg;1;"Couleur:noir-rose:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;Neuf;0;0;0;0;0;0;0;0
85415;1;Casque Shark S700S Nasty;461;207.5;1;0;;;;;;HE0450EKYW;HE0450EKYW;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<p><span>Le petit frère du S900C, le S700S, est upgradé pour 2014. Il reçoit certaines fonctions du très plébiscité S900 original, auxquelles s'ajoute l'</span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/425-casque-shark-s700s-guintoli.html#"">écran</a><span> solaire intégré</span><";"<ul><li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/427-casque-s700s-jost-lumi-mat.html#"">Écran</a> solaire intégré</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Coque thermoplastique injectée</li> </";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/9006/casque-s700s-nasty.jpg;1;"Couleur:noir-rose:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;Neuf;0;0;0;0;0;0;0;0
85416;1;Casque Shark S700S Full Mat;461;207.5;1;0;;;;;;HE0456EKMA;HE0456EKMA;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<p><span>Le petit frère du S900C, le S700S, est upgradé pour 2014. Il reçoit certaines fonctions du très plébiscité S900 original, auxquelles s'ajoute l'</span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/425-casque-shark-s700s-guintoli.html#"">écran</a><span> solaire intégré</span><";"<ul><li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/427-casque-s700s-jost-lumi-mat.html#"">Écran</a> solaire intégré</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Coque thermoplastique injectée</li> </";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/615/casque-shark-s700s-full-mat.jpg;1;"Type de casque:Intégral:1;Couleur:noir-mat:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Oui:5;Double écran solaire:Oui:6;Intérieur démontable et lavable:Oui:7;Livré avec une housse:Oui:8;Ecran anti-rayures:Oui:9;Jugulaire:Boucle micrométrique:10";0;Neuf;0;0;0;0;0;0;0;0
85417;1;Casque Shark S900C Code;461;193.89;1;0;;;;;;HE0963EKWR;HE0963EKWR;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<ul><li>Mousses de joues gonflables pour un ajustement parfait</li> <li>Système EASYFIT pour une utilisation confortable avec les lunettes</li> <li>Coque thermoplastique injectée</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/423-casque-shark-s900c-glow3.html#"">Écran</a> solaire intégré</li> <li>Écran 2,2mm avec <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/casques/9-casque-shark-s900c-creed.html#"">double</a> traitement ""Total <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/423-casque-shark-s900c-glow3.html#"">Vision</a>""</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Bavette anti-remous</li> <li>Intérieur entièrement démontable et lavable</";"<p><span>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/casques/10-casque-shark-s900c-dual-black-mat.html#"">sécurité</a><span>, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</span><";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/473/shark-s900c-coade-helm.jpg,http://www.motogoodeal.ch/474/shark-s900c-coade-helm.jpg,http://www.motogoodeal.ch/475/shark-s900c-coade-helm.jpg;1;"Couleur:Deco:1;Coque:Polycarbonate:2";0;Neuf;0;0;0;0;0;0;0;0
85418;1;Casque Shark S900C Foret;461;200.28;1;0;;;;;;HE0973EBLK;HE0973EBLK;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<p><span>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/casques/10-casque-shark-s900c-dual-black-mat.html#"">sécurité</a><span>, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</span><";"<ul><li>Mousses de joues gonflables pour un ajustement parfait</li> <li>Système EASYFIT pour une utilisation confortable avec les lunettes</li> <li>Coque thermoplastique injectée</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/423-casque-shark-s900c-glow3.html#"">Écran</a> solaire intégré</li> <li>Écran 2,2mm avec <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/casques/9-casque-shark-s900c-creed.html#"">double</a> traitement ""Total <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/423-casque-shark-s900c-glow3.html#"">Vision</a>""</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Bavette anti-remous</li> <li>Intérieur entièrement démontable et lavable</";;;;;;En Stock;Plus disponible;1;;;1;http://www.motogoodeal.ch/1112/shark-s900c-foret-helm.jpg;1;"Couleur:noir-mat:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;Neuf;0;0;0;0;0;0;0;0
