ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85409;;Shark S900C SIGNATURE Helm;;;;;;;;;;HE0380EWRK;;;;;;;;;;;;;;;;;"<p class=""p1"">Der neue Shark S 900 C ist die nächste Generation unseres unglaublich vielseitigen S900. Der aggressive, aber perfekt ausbalancierte Helm hat alle praktischen Funktionen, den Komfort und die Sicherheit des S900 plus für 2012 noch mehr Komfort mit unserem neuen Air-Pump System für die perfekte Anpassung an Ihren Kopf.</p>";"<p class=""p1"">o ""Air Comfort"", integrierte Pumpe zur Anpassung der Wangenpolster für perfekten Sitz</p> <p class=""p1"">o EASYFIT System für einen komfortablen Gebrauch mit Brille</p> <p class=""p1"">o Thermoplastisch geformte Außenschale</p> <p class=""p1"">o Integriertes Sonnenvisier mit UVA Schutz</p> <p class=""p1"">o 2,2 mm starkes Visier mit ""Total Vision"", kratzfest und anti-beschlag</p> <p class=""p1"">o Neue Belüftungen für eine einfachere Handhabung mit Handschuhen</p>";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85410;;Shark S900C SIGNATURE Helm;;;;;;;;;;HE0385ETKK;;;;;;;;;;;;;;;;;"<p class=""p1"">o ""Air Comfort"", integrierte Pumpe zur Anpassung der Wangenpolster für perfekten Sitz</p> <p class=""p1"">o EASYFIT System für einen komfortablen Gebrauch mit Brille</p> <p class=""p1"">o Thermoplastisch geformte Außenschale</p> <p class=""p1"">o Integriertes Sonnenvisier mit UVA Schutz</p> <p class=""p1"">o 2,2 mm starkes Visier mit ""Total Vision"", kratzfest und anti-beschlag</p> <p class=""p1"">o Neue Belüftungen für eine einfachere Handhabung mit Handschuhen</p>";<p><span>Der neue Shark S 900 C ist die nächste Generation unseres unglaublich vielseitigen S900. Der aggressive, aber perfekt ausbalancierte Helm hat alle praktischen Funktionen, den Komfort und die Sicherheit des S900 plus für 2012 noch mehr Komfort mit unserem neuen Air-Pump System für die perfekte Anpassung an Ihren Kopf.</span></p>;;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85411;;Shark S700S Squad Helm;;;;;;;;;;HE0415EYKW;;;;;;;;;;;;;;;;;"<p>Der kleine Bruder des S 900 C, der S 700 S, mit all den Funktionen aufgerüstet, die den ersten S900 so erfolgreich gemacht haben; serienmässig ist jetzt das integrierte Sonnenvisier.</p>";<p>o Integriertes Sonnenvisier mit UVA Schutz.<br />o Neue Belüftungen für eine einfachere Handhabung mit Handschuhen.<br />o Thermoplastisch geformte Aussenschale.</p>;;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85412;;Shark S700S Legion Mat Helm;;;;;;;;;;HE0427EKKW;;;;;;;;;;;;;;;;;"<p><span>Der kleine Bruder des S900C, der S700S, wurde für 2014 mit all den Funktionen aufgerüstet, die den ersten S900 so erfolgreich gemacht haben; serienmässig ist </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">jetzt</a><span> das integrierte Sonnenvisier</span><";"<ul><li>Integriertes Sonnenvisier mit UVA Schutz</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">Neue</a> Belüftungen für eine einfachere Handhabung mit Handschuhen</li> <li>Thermoplastisch geformte Aussenschale</li> </";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85413;;Casque Shark S700S Lab;;;;;;;;;;HE0442EWKR;;;;;;;;;;;;;;;;;;;;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85414;;Shark S700S Nasty Helm;;;;;;;;;;HE0450EKVW;;;;;;;;;;;;;;;;;"<p><span>Der kleine Bruder des S900C, der S700S, wurde für 2014 mit all den Funktionen aufgerüstet, die den ersten S900 so erfolgreich gemacht haben; serienmässig ist </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">jetzt</a><span> das integrierte Sonnenvisier</span><";"<ul><li>Integriertes Sonnenvisier mit UVA Schutz</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">Neue</a> Belüftungen für eine einfachere Handhabung mit Handschuhen</li> <li>Thermoplastisch geformte Aussenschale</li> </";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85415;;Shark S700S Nasty Helm;;;;;;;;;;HE0450EKYW;;;;;;;;;;;;;;;;;"<p><span>Der kleine Bruder des S900C, der S700S, wurde für 2014 mit all den Funktionen aufgerüstet, die den ersten S900 so erfolgreich gemacht haben; serienmässig ist </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">jetzt</a><span> das integrierte Sonnenvisier</span><";"<ul><li>Integriertes Sonnenvisier mit UVA Schutz</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">Neue</a> Belüftungen für eine einfachere Handhabung mit Handschuhen</li> <li>Thermoplastisch geformte Aussenschale</li> </";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85416;;Shark S700S Full Mat Helm;;;;;;;;;;HE0456EKMA;;;;;;;;;;;;;;;;;"<p><span>Der kleine Bruder des S900C, der S700S, wurde für 2014 mit all den Funktionen aufgerüstet, die den ersten S900 so erfolgreich gemacht haben; serienmässig ist </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">jetzt</a><span> das integrierte Sonnenvisier</span><";"<ul><li>Integriertes Sonnenvisier mit UVA Schutz</li> <li><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/425-casque-shark-s700s-guintoli.html#"">Neue</a> Belüftungen für eine einfachere Handhabung mit Handschuhen</li> <li>Thermoplastisch geformte Aussenschale</li> </";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85417;;Shark S900C Code Helm;;;;;;;;;;HE0963EKWR;;;;;;;;;;;;;;;;;"<ul><li>""Air <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/helme/9-casque-shark-s900c-creed.html#"">Comfort</a>"" integrierte Pumpe zur Anpassung der Wagenpolster für perfekten Sitz</li> <li>EASYFIT <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/423-casque-shark-s900c-glow3.html#"">System</a> für einen komfortablen Gebrauch mit Brille</li> <li>Thermoplastisch geformten Aussenschale</li> <li>Integriertes Sonnenvisier mit UVA Schutz</li> <li>2,2mm starkes Visier mit ""Total Vision"", kratzfest und anti-beschlage</li> <li>Neue Belüftung für eine einfachere Handhabung mit Handschuhen</li> <li>Anti-Luftwirbel-Schutz</li>";"<p><span>Der neue <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/helme/9-casque-shark-s900c-creed.html#"">Shark</a> S900C ist die nächste Generation unseres unglaublich vielseitigen S900. Der <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/423-casque-shark-s900c-glow3.html#"">aggressive</a>, aber perfekt ausbalancierte Helm hat alle praktischen Funktionen, den Komfort und die Sicherheit des S900 plus noch mehr Komfort mit unserem neuen Air-Pump </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/helme/10-casque-shark-s900c-dual-black-mat.html#"">System</a><span> für die perfekte Anpassung an Ihren Kop</";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
85418;;Shark S900C Foret Helm;;;;;;;;;;HE0973EBLK;;;;;;;;;;;;;;;;;"<p class=""p1""><span>Der neue <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/helme/9-casque-shark-s900c-creed.html#"">Shark</a> S900C ist die nächste Generation unseres unglaublich vielseitigen S900. Der <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/423-casque-shark-s900c-glow3.html#"">aggressive</a>, aber perfekt ausbalancierte Helm hat alle praktischen Funktionen, den Komfort und die Sicherheit des S900 plus noch mehr Komfort mit unserem neuen Air-Pump </span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/helme/10-casque-shark-s900c-dual-black-mat.html#"">System</a><span> für die perfekte Anpassung an Ihren Kopf</";"<ul><li>""Air Comfort"" integrierte Pumpe zur Anpassung der Wagenpolster für perfekten Sitz</li> <li>EASYFIT <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/home/423-casque-shark-s900c-glow3.html#"">System</a> für einen komfortablen Gebrauch mit Brille</li> <li>Thermoplastisch geformten Aussenschale</li> <li>Integriertes Sonnenvisier mit UVA Schutz</li> <li>2,2mm starkes Visier mit ""Total <a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/de/helme/9-casque-shark-s900c-creed.html#"">Vision</a>"", kratzfest und anti-beschlage</li> <li>Neue Belüftung für eine einfachere Handhabung mit Handschuhen</li> <li>Anti-Luftwirbel-Schutz</li> <li>Innenleben komplettausnehmbar und waschbar</li>";;;;;;Auf Lager;Nicht auf Lager;;;;;;;;;;;;;;;;;
