Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85409;;Taille:select:0;XL:5;HE0380EWRKXL;HE0380EWRKXL;;;;;;3;;;;;;;;;;;
85410;;Taille:select:0;XL:5;HE0385ETKKXL;HE0385ETKKXL;;;;;;2;;;;;;;;;;;
85411;;Taille:select:0;L:4;HE0415EYKWL;HE0415EYKWL;;;;;;4;;;;;;;;;;;
85411;;Taille:select:0;M:3;HE0415EYKWM;HE0415EYKWM;;;;;;4;;;;;;;;;;;
85411;;Taille:select:0;S:2;HE0415EYKWS;HE0415EYKWS;;;;;;1;;;;;;;;;;;
85411;;Taille:select:0;XL:5;HE0415EYKWXL;HE0415EYKWXL;;;;;;2;;;;;;;;;;;
85411;;Taille:select:0;XS:1;HE0415EYKWXS;HE0415EYKWXS;;;;;;1;;;;;;;;;;;
85412;;Taille:select:0;XS:1;HE0427EKKWXS;HE0427EKKWXS;;;;;;1;;;;;;;;;;;
85413;;Taille:select:0;XL:5;HE0442EWKRXL;HE0442EWKRXL;;;;;;2;;;;;;;;;;;
85414;;Taille:select:0;M:3;HE0450EKVWM;HE0450EKVWM;;;;;;5;;;;;;;;;;;
85415;;Taille:select:0;L:4;HE0450EKYWL;HE0450EKYWL;;;;;;3;;;;;;;;;;;
85415;;Taille:select:0;XL:5;HE0450EKYWXL;HE0450EKYWXL;;;;;;2;;;;;;;;;;;
85416;;Taille:select:0;L:4;HE0456EKMAL;HE0456EKMAL;;;;;;2;;;;;;;;;;;
85416;;Taille:select:0;XS:1;HE0456EKMAXS;HE0456EKMAXS;;;;;;2;;;;;;;;;;;
85417;;Taille:select:0;XL:5;HE0963EKWRXL;HE0963EKWRXL;;;;;;2;;;;;;;;;;;
85417;;Taille:select:0;XS:1;HE0963EKWRXS;HE0963EKWRXS;;;;;;9;;;;;;;;;;;
85418;;Taille:select:0;XL:5;HE0973EBLKXL;HE0973EBLKXL;;;;;;3;;;;;;;;;;;
85419;;Taille:select:0;XL:5;HE2215EOKWXL;HE2215EOKWXL;;;;;;1;;;;;;;;;;;
85419;;Taille:select:0;XS:1;HE2215EOKWXS;HE2215EOKWXS;;;;;;1;;;;;;;;;;;
85420;;Taille:select:0;M:3;HE2345EKPKM;HE2345EKPKM;;;;;;2;;;;;;;;;;;
85421;;Taille:select:0;S:2;HE2805EKMAS;HE2805EKMAS;;;;;;1;;;;;;;;;;;
85422;;Taille:select:0;XS:1;HE2830EWXKXS;HE2830EWXKXS;;;;;;1;;;;;;;;;;;
85423;;Taille:select:0;L:4;HE3005EGSGL;HE3005EGSGL;;;;;;1;;;;;;;;;;;
85423;;Taille:select:0;S:2;HE3005EGSGS;HE3005EGSGS;;;;;;2;;;;;;;;;;;
85423;;Taille:select:0;XL:5;HE3005EGSGXL;HE3005EGSGXL;;;;;;1;;;;;;;;;;;
85424;;Taille:select:0;XL:5;HE3017EKWKXL;HE3017EKWKXL;;;;;;1;;;;;;;;;;;
85425;;Taille:select:0;XS:1;HE4402EKMAXS;HE4402EKMAXS;;;;;;1;;;;;;;;;;;
