Id du produit;Actif;Titre;ID de la catégorie par défaut;Prix vente HT;ID taxe;Prix d'achat HT;En Solde;Montant de réduction;Pourcentage de réduction;Date de début de réduction (aaaa-mm-jj);Date de fin de réduction (aaaa-mm-jj);Référence du produit;Référence de déclinaison;Nom du fournisseur par défaut;Fabricant;EAN13;UPC;Ecotaxe;Largeur;Hauteur;Profondeur;Quantité;Quantité minimale;Visibilité;Frais de port supplémentaires;Unité;Prix à l'unité HT;Description courte;Description;Tous les mots-clés;Meta titre;Meta mots-clefs;Meta description;URL simplifiée;Message quand en stock;Message lorsque hors-stock mais commandable;Disponible à l'achat;Date de mise à jour;Date de création;Afficher le prix ;URLs de toutes les images;Delete existing images (0 = No, 1 = Yes);Caractéristiques;Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
1611;1;Gant Five RFX3;226;131.06;1;0;;;;;;FI40RFX3B;FI40RFX3BS;Parts-World;Five;;;;;;;4;;;;;;<h2><span>Le gant de sport pour les puristes.</span></h2>;<p><span>Tout nouveau modèle. Gant orienté sport et route, destiné à ceux qui souhaitent des protections qui savent rester discrètes. Les coques de protection de phalanges en PU sont positionnées sous un panneau de cuir, perforé pour l'esthétique, et les protections de doigts en mousse à mémoire de forme sont insérées sous la surface supérieure du gant pour offrir un ensemble harmonieux qui fait la part belle au cuir. Structure cuir pleine fleur. Protection de manchette et coque de protection de paume TPR. Patte d'ajustement par velcro dissimulée sous un panneau de protection en cuir pour palier aux risques d'arrachement en cas de chute. Le RFX 3 Replica offre un excellent compromis entre confort et protection, modernisme et tradition. Signature V-Five.</span></p> <p></p>;moto,cuir,sport,gants,protection,route,five,rfx3,coque;;;gant, five, rfx3, cuir, suisse, qualité, ;gant-five-rfx3;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Fabricant:Five:1;Etanchéité:Non:2;Matière:Cuir:3;Saisonnalité:Mi-saison:4";;Neuf;0;0;0;2;0;0;0;0
1612;1;Gant Five RFX4 Airflow;226;87.08;1;0;;;;;;FI40RFX4AIRB;FI40RFX4AIRB;Parts-World;Five;;;;;;;3;;;;;;<h2><span>Inspiré course / Totalement ventilé !</span></h2>;<p><span>Nouveau Modèle. Le gant routier urbain ultra polyvalent entièrement ventilé grâce à sa structure composée de cuir perforé et tissus mesh favorisant la circulation de l'air. Coque de phalanges en PU (résine injectée) pour une protection efficace. Fermeture par large patte velcro. Très agréable pour rouler par forte chaleur et efficace sur tout type de machines, du scooter à la routière. Signature V-Five.</span></p> <p></p>;suisse,genève,gant,cuir,protection,five,rfx4 airflow;;;gant, five, rfx4 airflow, moto, sport, cuir, protection, ;gant-five-rfx4-airflow;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Noir:1;Genre:Homme:2;Etanchéité:Non:3;Matière:Cuir:4;Saisonnalité:été:5";;Neuf;0;0;0;2;0;0;0;0
1613;1;Gant Five SF1;440;157.45;1;0;;;;;;FI50SF1B;FI50SF1B;Parts-World;Five;;;;;;;2;;;;;;<p>Destinés aux amateurs de performance recherchant un niveau de protection équivalent aux gants racing haut de gamme, l'encombrement en moins.</p>;"<p><span>Destinés aux amateurs de performance recherchant un niveau de protection équivalent aux gants racing haut de gamme, l'encombrement en moins. Assure une protection optimum du cubitus. Paume intégrant renfort en cuir Pittard(TM) pour une adhérence optimum en toutes circonstances. Doublure Kevlar®, renforts carbone, cuir pleine fleur, stretch kevlar(TM) pour l'aisance, protecteur tant au niveau de la paume que de la zone supérieure de la main. Look résolument sportif.</span></p> <p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/TktOlFtf35k"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,cuir,racing,sport,sécurité,urbain,noir,five,sf1;;;gant, five, sf1, cuir, sport, moto, scouter, 2016,;gant-five-sf1;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Fabricant:Five:2;Etanchéité:Non:3;Matière:Cuir:4;Saisonnalité:été:5";;Neuf;0;0;0;2;0;0;0;0
1614;1;Gant Five Stunt Leather;440;104.68;1;0;;;;;;FI50STLEB;FI50STLEB;Parts-World;Five;;;;;;;2;;;;;;<h2>Concept  de gant inventé par FIVE, souvent copié mais jamais égalé.</h2>;"<p>Le STUNT est considéré, à juste titre, comme l'original. Le voici dans sa version tout cuir. Gant court urbain routier. Maxi fitting. Haut niveau de protection de la paume et coque de phalanges en 3 parties ventilées caractéristique. Fermeture par scratch velcro. Languette facilitant l'enfilage. Idéal pour une utilisation urbaine ou parcours routier au quotidien.</p><br><p><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/7OZUi_LIBDg"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,noir,2016,stunt,five,leather;;;gant de moto five stunt leather;gant-five-stunt-leather;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Noir:1;Genre:Homme:2;Etanchéité:Non:3;Matière:Cuir:4";;Neuf;0;0;0;2;0;0;0;0
1615;1;Gant Five Sportcity;223;78.29;1;0;;;;;;FI50SPCB;FI50SPCB;Parts-World;Five;;;;;;;0;;;;;;<p>Usage urbain!</p>;"<p><span>Protection des phalanges monocoque intégrée sous cuir. Cuir pleine fleur perforé pour l'esthétique. Excellent niveau de protection. Conçu pour offrir un fitting exceptionnel. Le gant idéal pour piloter une moto basique, scooter, custom ou classique. A reçu la meilleure note technique (9/10) lors des tests de gants urbains par Moto Magazine 2014.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Rf9s-4CJmK4"" frameborder=""0"" allowfullscreen></iframe></p>";moto,suisse,gant,cuir,été,qualité,nouveauté,noir,2016,five;;;Gant de moto five sportcity;gant-five-sportcity;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Fabricant:Five:1;Etanchéité:Non:2;Matière:Cuir:3;Saisonnalité:été:4";;Neuf;0;0;0;2;0;0;0;0
1616;1;Gant Five Sportcity Air;440;78.29;1;0;;;;;;FI50SPCAB;FI50SPCAB;Parts-World;Five;;;;;;;0;;;;;;<h2><span>Le gant de ville ventillé !</span></h2>;"<p><span class=""s1"">Version ventilée du SPORT CITY. </span><span>Dessus en tissus Mesh. Usage urbain. Protection des phalanges monocoque intégrée sous cuir. Cuir pleine fleur perforé pour l'esthétique. Excellent niveau de protection. Conçu pour offrir un fitting exceptionnel. Le gant idéal pour piloter une moto basique, scooter, custom ou classique. A reçu la meilleure note technique (9/10) lors des tests de gants urbains par Moto Magazine en 2014.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Rf9s-4CJmK4"" frameborder=""0"" allowfullscreen></iframe></p>";moto,suisse,gant,ventilé,urbain,été,qualité,ville,chaud,five;;;Five sportcity Handschuhe;gant-five-sportcity;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Fabricant:Five:2;Matière:Cuir et Textile:3;Saisonnalité:été:4";;Neuf;0;0;0;2;0;0;0;0
1634;1;Gant Five Arizona - noir;223;95.88;1;0;;;;;;FI10ARZBO;FI10ARZB;Parts-World;Five;;;;;;;1;;;;;;;"<p><strong><span>ARIZONA</span></strong></p> <p><span><span>Nouveau gant 100% cuir pleine fleur à la personnalité affirmée, associant harmonieusement cuir matelassé et cuir perforé, et alliant design et protection. </span></span><span>Il bénéficie, en effet, de renforts de cuir épais surpiqués sur la tranche de la main, dont la fonction n'est pas seulement esthétique mais vise à préserver la main de son pilote en cas de chute. Fermeture par patte de cuir dotée d'un bouton pression estampillé FIVE. Par son caractère unique, sa superbe finition et ses matériaux nobles, il respire à plein la culture vintage.</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/COVxUHD6d8c"" frameborder=""0"" allowfullscreen></iframe></p>";moto,suisse,pas cher,gant,cuir,homme,femme,qualité,textil,five;;;;gant-five-arizona;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Genre:Homme:1;Fabricant:Five:2;Etanchéité:Non:3;Matière:Cuir:4;Saisonnalité:été:5";;Neuf;0;0;0;2;0;0;0;0
1635;1;Gants Five RFX4 Vented;226;78.29;1;0;;;;;;FI40RFX4VB;FI40RFX4VB;Parts-World;Five;;;;;;;1;;;;;;<h2><span>Standard ou Ventilé Gant routier urbain ultra polyvalent.</span></h2>;<p><span>Destiné à tout type de machines, du scooter à la routière. Cuir souple. Coque de phalanges en PU (résine injectée) pour une protection efficace.</span></p>;moto,équipement,suisse,genève,sport,urbain,motard,scouter,guide des motard;;;;gants-five-rfx4-vented;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:noir:1;Genre:Homme:2;Fabricant:Five:3;Matière:Cuir:4;Saisonnalité:été:5";;Neuf;0;0;0;2;0;0;0;0
1636;1;Gant Five GT2 WP;217;148.66;1;0;;;;;;FI60GT2B ;FI60GT2B ;Parts-World;Five;;;;;;;2;;;;;;<p><strong>GT2 WP </strong>(Homologation PPE)</p> <p>Une innovation appréciable selon le type de vêtement porté pour piloter. Coque sur métacarpes. Léger. Etanche. Aussi à l'aise en ville que lors des longues virées.</p>;"<p><strong>GT2 WP </strong>(Homologation PPE)</p> <p>Dessus Stretch Cordura(TM). Paume cuir. Coques PU intégrer sur phalanges et doigts. Ce gant est caractérisé par son double système de fermeture, dont une sangle élastique qui permet de positionner le gant par-dessus ou en dessous du blouson. Une innovation appréciable selon le type de vêtement porté pour piloter. Coque sur métacarpes. Léger. Etanche. Aussi à l'aise en ville que lors des longues virées.</p> <p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/WVJZRMhsAkA"" frameborder=""0"" allowfullscreen></iframe></p>";moto,suisse,waterproof,étanche,gants,qualité,scouter,numéro 1 en suisse,five,wp;;;;gant-five-gt2-wp;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Noir:1;Genre:Homme:2;Fabricant:Five:3;Etanchéité:Etanche:4;Matière:Cuir et Textile:5;Saisonnalité:Hiver:6";;Neuf;0;0;0;2;0;0;0;0
1638;1;Gant Five Sportcity Woman;225;87.08;1;0;;;;;;FI80SPCB;FI80SPCB;Parts-World;Five;;;;;;;4;;;;;;<h2><span>Le gant idéal pour piloter une moto basique, scooter, custom ou classique.</span></h2>;"<p><strong><span>SPORTCITY WOMAN </span></strong><span>(Homologation PPE)</span></p> <p><span>Usage urbain. Protection des phalanges monocoque intégrée sous cuir. Cuir pleine fleur surpiqué pour l'esthétique. Excellent niveau de protection. Conçu pour offrir un fitting exceptionnel. Paume en cuir avec renfort PU intégré. Fermeture par zip. Le gant idéal pour piloter une moto basique, scooter, custom ou classique. Forme adaptée à la morphologie féminine</span></p><p><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/Rf9s-4CJmK4"" frameborder=""0"" allowfullscreen></iframe></p>";moto,gant,femme,urbain,noir,scouter,jaune,bleu,vert,blanc;;;;gant-five-sportcity-woman;En Stock;Disponibilité: Délai sur demande;1;;;1;;;"Couleur:Noir:1;Genre:Femme:2;Fabricant:Five:3;Etanchéité:Non:4;Matière:Cuir:5;Saisonnalité:Mi-saison:6";;Neuf;0;0;0;2;0;0;0;0
