ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85461;1;Casque Shark Ridill Blank Mat - Noir-mat;192;184.2592593;1;131.6137566;1;;10;;;HE0502EKMA;HE0502EKMA;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Un nouveau nom pour le S700-S, il devient le RIDILL !
4 étoiles au SHARP Test !";"<p><strong>Caractèristiques:</strong><ul><li>Écran pare-soleil intégré.</li><li>Ecran 2,2mm extra souple et résistant, pré-équipé Pinlock®.</li><li>Casque intégral adulte Shark Ridill</li><li>Remplaçant de l'intégral S700 S</li><li>4 étoiles au Sharp Test</li><li>Matériau : calotte en résine thermoplastique injectée</li><li>Intérieur : en tissu microfibre antibactérien, démontable et lavable</li><li>Système ""Easy Fit"" pour les porteurs de lunettes : mousses détachables par scratch</li><li>Ecran à changement rapide et facile, sans outil</li><li>Visière interne pare-soleil anti-rayure</li><li>Ventilations optimisées par simulation numérique (CFD)</li><li>Livré avec sa housse</li><li>Jugulaire : boucle micrométrique</li><li>Poids : 1550 gr (+/- 50 gr)</li></ul>";Shark,casque,collection 2017,Ridill,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Ridill Blank Mat ¦ à bas prix chez Motogoodeal.ch;"Un nouveau nom pour le S700-S, il devient le RIDILL!
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/1_RIDILL_blank_KMA_34Lfront_HE0502.png,https://www.motogoodeal.ch/img/import/Shark/ridill-blank-mat-kma_1-s3.jpg;0;"Couleur:Noir:1;Type de caque:Intégral:2;Genre:Unisexe:3;Coque:Résine Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1550 gr:11;";0;new;0;0;0;2;0;0;0;0
85462;1;Casque Shark Ridill Tyka Mat - Noir-anthracite;192;212.037037;1;151.4550265;1;;10;;;HE0504EKAW;HE0504EKAW;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Un nouveau nom pour le S700-S, il devient le RIDILL !
4 étoiles au SHARP Test !";"<p><strong>Caractèristiques:</strong><ul><li>Écran pare-soleil intégré.</li><li>Ecran 2,2mm extra souple et résistant, pré-équipé Pinlock®.</li><li>Casque intégral adulte Shark Ridill</li><li>Remplaçant de l'intégral S700 S</li><li>4 étoiles au Sharp Test</li><li>Matériau : calotte en résine thermoplastique injectée</li><li>Intérieur : en tissu microfibre antibactérien, démontable et lavable</li><li>Système ""Easy Fit"" pour les porteurs de lunettes : mousses détachables par scratch</li><li>Ecran à changement rapide et facile, sans outil</li><li>Visière interne pare-soleil anti-rayure</li><li>Ventilations optimisées par simulation numérique (CFD)</li><li>Livré avec sa housse</li><li>Jugulaire : boucle micrométrique</li><li>Poids : 1550 gr (+/- 50 gr)</li></ul>";Shark,casque,collection 2017,Ridill,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Ridill Tyka Mat ¦ à bas prix chez Motogoodeal.ch;"Un nouveau nom pour le S700-S, il devient le RIDILL !
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/1_RIDILL_tyka_mat_KAW_34Lfront_HE0504.png,https://www.motogoodeal.ch/img/import/Shark/ridill-tika-mat-kaw_1-s3.jpg;0;"Couleur:noir:1;Type de caque:Intégral:2;Genre:Unisexe:3;Coque:Résine Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1550 gr:11;";0;new;0;0;0;2;0;0;0;0
85463;1;Casque Shark Ridill Spring - Blanc-rose;192;212.037037;1;151.4550265;1;;10;;;HE0510EWKV;HE0510EWKV;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Un nouveau nom pour le S700-S, il devient le RIDILL !
4 étoiles au SHARP Test !";"<p><strong>Caractèristiques:</strong><ul><li>Écran pare-soleil intégré.</li><li>Ecran 2,2mm extra souple et résistant, pré-équipé Pinlock®.</li><li>Casque intégral adulte Shark Ridill</li><li>Remplaçant de l'intégral S700 S</li><li>4 étoiles au Sharp Test</li><li>Matériau : calotte en résine thermoplastique injectée</li><li>Intérieur : en tissu microfibre antibactérien, démontable et lavable</li><li>Système ""Easy Fit"" pour les porteurs de lunettes : mousses détachables par scratch</li><li>Ecran à changement rapide et facile, sans outil</li><li>Visière interne pare-soleil anti-rayure</li><li>Ventilations optimisées par simulation numérique (CFD)</li><li>Livré avec sa housse</li><li>Jugulaire : boucle micrométrique</li><li>Poids : 1550 gr (+/- 50 gr)</li></ul>";Shark,casque,collection 2017,Ridill,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Ridill Spring ¦ à bas prix chez Motogoodeal.ch;"Un nouveau nom pour le S700-S, il devient le RIDILL !
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/1_RIDILL_spring_WKV_34Lfront_HE00510.png,https://www.motogoodeal.ch/img/import/Shark/5_RIDILL_spring_WKV_34Rback_HE0000.png;0;"Couleur:Blanc:1;Type de caque:Intégral:2;Genre:Unisexe:3;Coque:Résine Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1550 gr:11;";0;new;0;0;0;2;0;0;0;0
85464;1;Casque Shark Ridill Kengal - Blanc-noir;192;212.037037;1;151.4550265;1;;10;;;HE0512EWKS;HE0512EWKS;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Un nouveau nom pour le S700-S, il devient le RIDILL !
4 étoiles au SHARP Test !";"<p><strong>Caractèristiques:</strong><ul><li>Écran pare-soleil intégré.</li><li>Ecran 2,2mm extra souple et résistant, pré-équipé Pinlock®.</li><li>Casque intégral adulte Shark Ridill</li><li>Remplaçant de l'intégral S700 S</li><li>4 étoiles au Sharp Test</li><li>Matériau : calotte en résine thermoplastique injectée</li><li>Intérieur : en tissu microfibre antibactérien, démontable et lavable</li><li>Système ""Easy Fit"" pour les porteurs de lunettes : mousses détachables par scratch</li><li>Ecran à changement rapide et facile, sans outil</li><li>Visière interne pare-soleil anti-rayure</li><li>Ventilations optimisées par simulation numérique (CFD)</li><li>Livré avec sa housse</li><li>Jugulaire : boucle micrométrique</li><li>Poids : 1550 gr (+/- 50 gr)</li></ul>";Shark,casque,collection 2017,Ridill,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Ridill Kengal ¦ à bas prix chez Motogoodeal.ch;"Un nouveau nom pour le S700-S, il devient le RIDILL !
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/HE0512EWKS-1.jpg,https://www.motogoodeal.ch/img/import/Shark/2_RIDILL_kengal_WKS_34back_HE0512.png;0;"Couleur:Blanc:1;Type de caque:Intégral:2;Genre:Unisexe:3;Coque:Résine Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1550 gr:11;";0;new;0;0;0;2;0;0;0;0
85465;1;Casque Shark Ridill Skyd Mat - Noir-anthracite;192;212.037037;1;151.4550265;1;;10;;;HE0516EKAS;HE0516EKAS;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Un nouveau nom pour le S700-S, il devient le RIDILL !
4 étoiles au SHARP Test !";"<p><strong>Caractèristiques:</strong><ul><li>Écran pare-soleil intégré.</li><li>Ecran 2,2mm extra souple et résistant, pré-équipé Pinlock®.</li><li>Casque intégral adulte Shark Ridill</li><li>Remplaçant de l'intégral S700 S</li><li>4 étoiles au Sharp Test</li><li>Matériau : calotte en résine thermoplastique injectée</li><li>Intérieur : en tissu microfibre antibactérien, démontable et lavable</li><li>Système ""Easy Fit"" pour les porteurs de lunettes : mousses détachables par scratch</li><li>Ecran à changement rapide et facile, sans outil</li><li>Visière interne pare-soleil anti-rayure</li><li>Ventilations optimisées par simulation numérique (CFD)</li><li>Livré avec sa housse</li><li>Jugulaire : boucle micrométrique</li><li>Poids : 1550 gr (+/- 50 gr)</li></ul>";Shark,casque,collection 2017,Ridill,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Ridill Skyd Mat ¦ à bas prix chez Motogoodeal.ch;"Un nouveau nom pour le S700-S, il devient le RIDILL !
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/1_RIDILL_skyd_mat_KAS_34Lfront_HE0516.png,https://www.motogoodeal.ch/img/import/Shark/ridill-skyd-mat-kas_1-s3.jpg;0;"Couleur:Noir:1;Type de caque:Intégral:2;Genre:Unisexe:3;Coque:Résine Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1550 gr:11;";0;new;0;0;0;2;0;0;0;0
85466;1;Casque Shark Sx2 Wacken - Noir-blanc;282;175;1;125;1;;10;;;HE2215EKWA;HE2215EKWA;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Le motocross est une question de passion. Chez Shark, nous comprenons que pour certains, satisfaire cette passion requiert un casque au meilleur rapport qualité/prix. Le SX2, très compétitif en terme de tarif.

Collection 2016";<p><strong>Caractèristiques:</strong><ul><li>Coque off-road thermoplastique injectée.</li><li>Casquette flexible</li><li>Jugulaire : boucle double D</li><li>Extracteur d’air pour une aération optimale.</li><li>Intérieur confort avec textile respirant.</li><li>Visière amovible et réglable.</li><li>Poids : 1350 gr (+/- 50 gr)</li></ul>;Shark,casque,collection 2017,SX2,sharktooth,casque pour lunettes de vue,Sécurité,routière,cross;Casque Shark Sx2 Wacken ¦ à bas prix chez Motogoodeal.ch;"Le motocross est une question de passion. Le SX2, très compétitif en terme de tarif.
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/SX2-Wacken-KWA-Lsidep.jpg,https://www.motogoodeal.ch/img/import/Shark/sx2-wacken-okw_2-s6.jpg;0;"Couleur:Noir:1;Type de caque:Cross:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Non:;Cache-nez:Oui:6;Double écran solaire:Non:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Non:10;Bavette:Oui:11;Jugulaire:Boucle Double-D:12;Poids:1350 gr:11;";0;new;0;0;0;2;0;0;0;0
85467;1;Casque Shark Sx2 Wacken - Orange-noir;282;175;1;125;1;;10;;;HE2215EOKW;HE2215EOKW;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Le motocross est une question de passion. Chez Shark, nous comprenons que pour certains, satisfaire cette passion requiert un casque au meilleur rapport qualité/prix. Le SX2, très compétitif en terme de tarif.

Collection 2016";<p><strong>Caractèristiques:</strong><ul><li>Coque off-road thermoplastique injectée.</li><li>Casquette flexible</li><li>Jugulaire : boucle double D</li><li>Extracteur d’air pour une aération optimale.</li><li>Intérieur confort avec textile respirant.</li><li>Visière amovible et réglable.</li><li>Poids : 1350 gr (+/- 50 gr)</li></ul>;Shark,casque,collection 2017,SX2,sharktooth,casque pour lunettes de vue,Sécurité,routière,cross;Casque Shark Sx2 Wacken ¦ à bas prix chez Motogoodeal.ch;"Le motocross est une question de passion. Le SX2, très compétitif en terme de tarif.
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/SX2-Wacken-OKW-Rsidep.jpg,https://www.motogoodeal.ch/img/import/Shark/sx2-wacken-okw_1-s3.jpg;0;"Couleur:Orange:1;Type de caque:Cross:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Non:;Cache-nez:Oui:6;Double écran solaire:Non:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Non:10;Bavette:Oui:11;Jugulaire:Boucle Double-D:12;Poids:1350 gr:11;";0;new;0;0;0;2;0;0;0;0
85468;1;Casque Shark Nano Blank Mat - Noir-mat;197;202.7777778;1;144.8412698;1;;10;;;HE2805EKMA;HE2805EKMA;Philippe Coulon;Shark;;;;;;;;0;;;;;;Un look urbain avec un intérieur confortable et un style délicieusement néo rétro. SHARK Nano est « so essential ».;"<p><strong>Caractèristiques:</strong><ul><li>Écran ""Long Trip"". Son entrée d'air avec diffuseurs permet une plus grande surface de désambulage. Il possède aussi 2 sorties d'air profilées et des déflecteurs pour les écoulements d'air </li><li>Intérieur confortable en fibre naturelle et aération par canaux et diffuseurs</li><li>Commande pare soleil ergonomique</li><li>Calotte aérodynamique </li><li>Easy fit: passage de lunette facilité</li><li>Intérieur en fibre naturelle de bambou</li><li>Calotte slim fit spécialement étudiée pour épouser au plus près la forme du crâne.</li><li>Écran pare-soleil intégré à manipulation «soft touch».</li></ul>";Shark,casque,collection 2017,Nano,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Nano Blank Mat ¦ à bas prix chez Motogoodeal.ch;"Un look urbain avec un intérieur confortable et un style néo rétro.
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/Nano Blank Mat (KMA).jpg,https://www.motogoodeal.ch/img/import/Shark/Nano-Blank-Mat-KMA_1-s3.jpg;0;"Couleur:Noir:1;Type de caque:Jet:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1250 gr:11;";0;new;0;0;0;2;0;0;0;0
85469;1;Casque Shark Nano 72 - Blanc-noir;197;230.5555556;1;164.6825397;1;;10;;;HE2830EWXK;HE2830EWXK;Philippe Coulon;Shark;;;;;;;;0;;;;;;Un look urbain avec un intérieur confortable et un style délicieusement néo rétro. SHARK Nano est « so essential ».;"<p><strong>Caractèristiques:</strong><ul><li>Écran ""Long Trip"". Son entrée d'air avec diffuseurs permet une plus grande surface de désambulage. Il possède aussi 2 sorties d'air profilées et des déflecteurs pour les écoulements d'air </li><li>Intérieur confortable en fibre naturelle et aération par canaux et diffuseurs</li><li>Commande pare soleil ergonomique</li><li>Calotte aérodynamique </li><li>Easy fit: passage de lunette facilité</li><li>Intérieur en fibre naturelle de bambou</li><li>Calotte slim fit spécialement étudiée pour épouser au plus près la forme du crâne.</li><li>Écran pare-soleil intégré à manipulation «soft touch».</li></ul>";Shark,casque,collection 2017,Nano,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet;Casque Shark Nano 72 ¦ à bas prix chez Motogoodeal.ch;"Un look urbain avec un intérieur confortable et un style néo rétro.
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/1_NANO_72_WXK_34Lfront_HE2830.jpg,https://www.motogoodeal.ch/img/import/Shark/nano-72-wxk_1-s3.jpg;0;"Couleur:Blanc:1;Type de caque:Jet:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Non:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1250 gr:11;";0;new;0;0;0;2;0;0;0;0
85470;1;Casque Shark Drak Tribute Rm Mat - Noir-anthracite;197;323.1481481;1;230.8201058;1;;10;;;HE2906EKAA;HE2906EKAA;Philippe Coulon;Shark;;;;;;;;0;;;;;;"Plus qu’une mode, un casque iconique déjà adopté par des dizaines de milliers de motards et scootéristes. Le design SHARK a son apogée.
Le Drak (anciennement appelé Raw) est un ovni tout droit débarqué du film Mad Max ou d’une partie de Paint Ball, il bouleverse les codes établis.";<p><strong>Caractèristiques:</strong><ul><li>Goggle avec double écran anti-buée et anti-rayure by Carl Zeiss, leader mondial de la qualité optique.</li><li>Ventilations optimisées par simulation numérique (CFD).</li><li>Calotte slim fit spécialement étudiée pour épouser au plus près la forme du crâne.</li><li>Matériau : résine thermoplastique</li><li>2 tailles de calotte</li><li>Calotte aérodynamique</li><li>EPS interne à densités multiples pour une absorption maximale des chocs en cas d'impact</li><li>Intérieur : démontable et lavable, avec tissu confortable en fibres naturelles</li><li>Aération par canaux et diffuseurs</li><li>Système Easy-fit pour les porteurs de lunettes</li><li>Goggles QRGS : (Quick Release Goggle System) mécanisme à démontage rapide</li><li>Double écran antibuée et anti rayure</li><li>Masque de protection du visage</li><li>Prédisposé pour intégrer le système de communication Bluetooth Sharktooth</li><li>Livré avec une housse de transport</li><li>Jugulaire : boucle micrométrique</li><li>Poids : 1250 gr </li></ul>;Shark,casque,collection 2017,drak,sharktooth,casque pour lunettes de vue,Sécurité,routière,Jet,raw,masque,;Casque Shark Drak Tribute Rm Mat ¦ à bas prix chez Motogoodeal.ch;"Plus qu’une mode, un casque iconique déjà adopté par des milliers de motards
Retrait gratuit magasin · Satisfait ou remboursé · Expédition sous 72h · Paiement sécurisé";;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/Shark/HE2906EKAA-1.jpg;0;"Couleur:Noir:1;Type de caque:Jet:2;Genre:Unisexe:3;Coque:Résine Thermoplastique:4;Ecran anti-buée:Oui:;Cache-nez:Oui:6;Double écran solaire:Optionelle:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Bavette:Non:11;Jugulaire:Boucle micrométrique:12;Poids:1250 gr:11;";0;new;0;0;0;2;0;0;0;0
