Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85461;;Taille:select:0;L:4;HE0502EKMAL;HE0502EKMAL;3599181859288;17;;;;1;;;;;;;;;;;
85461;;Taille:select:0;M:3;HE0502EKMAM;HE0502EKMAM;3599181859301;;;;;1;;;;;;;;;;;
85461;;Taille:select:0;S:2;HE0502EKMAS;HE0502EKMAS;3599181859325;;;;;1;;;;;;;;;;;
85461;;Taille:select:0;XL:5;HE0502EKMAXL;HE0502EKMAXL;3599181859349;;;;;1;;;;;;;;;;;
85461;;Taille:select:0;XS:1;HE0502EKMAXS;HE0502EKMAXS;3599181859363;;;;;1;;;;;;;;;;;
85462;;Taille:select:0;L:4;HE0504EKAWL;HE0504EKAWL;3599181860185;;;;;1;;;;;;;;;;;
85462;;Taille:select:0;M:3;HE0504EKAWM;HE0504EKAWM;3599181860208;;;;;1;;;;;;;;;;;
85462;;Taille:select:0;S:2;HE0504EKAWS;HE0504EKAWS;3599181860222;;;;;1;;;;;;;;;;;
85462;;Taille:select:0;XL:5;HE0504EKAWXL;HE0504EKAWXL;3599181860246;;;;;1;;;;;;;;;;;
85462;;Taille:select:0;XS:1;HE0504EKAWXS;HE0504EKAWXS;3599181860260;;;;;1;;;;;;;;;;;
85463;;Taille:select:0;M:3;HE0510EWKVM;HE0510EWKVM;3599181863728;;;;;1;;;;;;;;;;;
85463;;Taille:select:0;S:2;HE0510EWKVS;HE0510EWKVS;3599181863742;;;;;1;;;;;;;;;;;
85463;;Taille:select:0;XS:1;HE0510EWKVXS;HE0510EWKVXS;3599181863766;;;;;1;;;;;;;;;;;
85464;;Taille:select:0;L:4;HE0512EWKSL;HE0512EWKSL;3599181864602;;;;;1;;;;;;;;;;;
85464;;Taille:select:0;M:3;HE0512EWKSM;HE0512EWKSM;3599181864626;;;;;1;;;;;;;;;;;
85464;;Taille:select:0;S:2;HE0512EWKSS;HE0512EWKSS;3599181864640;;;;;1;;;;;;;;;;;
85464;;Taille:select:0;XL:5;HE0512EWKSXL;HE0512EWKSXL;3599181864664;;;;;1;;;;;;;;;;;
85464;;Taille:select:0;XS:1;HE0512EWKSXS;HE0512EWKSXS;3599181864688;;;;;1;;;;;;;;;;;
85465;;Taille:select:0;L:4;HE0516EKASL;HE0516EKASL;3599181867207;;;;;1;;;;;;;;;;;
85465;;Taille:select:0;M:3;HE0516EKASM;HE0516EKASM;3599181867221;;;;;1;;;;;;;;;;;
85465;;Taille:select:0;S:2;HE0516EKASS;HE0516EKASS;3599181867245;;;;;1;;;;;;;;;;;
85465;;Taille:select:0;XL:5;HE0516EKASXL;HE0516EKASXL;3599181867269;;;;;1;;;;;;;;;;;
85465;;Taille:select:0;XS:1;HE0516EKASXS;HE0516EKASXS;3599181867283;;;;;1;;;;;;;;;;;
85466;;Taille:select:0;L:4;HE2215EKWAL;HE2215EKWAL;3599181703697;;;;;1;;;;;;;;;;;
85466;;Taille:select:0;M:3;HE2215EKWAM;HE2215EKWAM;3599181703710;;;;;1;;;;;;;;;;;
85466;;Taille:select:0;S:2;HE2215EKWAS;HE2215EKWAS;3599181703734;;;;;1;;;;;;;;;;;
85466;;Taille:select:0;XL:5;HE2215EKWAXL;HE2215EKWAXL;3599181703758;;;;;1;;;;;;;;;;;
85466;;Taille:select:0;XS:1;HE2215EKWAXS;HE2215EKWAXS;3599181703772;;;;;1;;;;;;;;;;;
85467;;Taille:select:0;L:4;HE2215EOKWL;HE2215EOKWL;3599181703796;;;;;1;;;;;;;;;;;
85467;;Taille:select:0;M:3;HE2215EOKWM;HE2215EOKWM;3599181703819;;;;;1;;;;;;;;;;;
85467;;Taille:select:0;S:2;HE2215EOKWS;HE2215EOKWS;3599181703833;;;;;1;;;;;;;;;;;
85467;;Taille:select:0;XL:5;HE2215EOKWXL;HE2215EOKWXL;3599181703857;;;;;1;;;;;;;;;;;
85467;;Taille:select:0;XS:1;HE2215EOKWXS;HE2215EOKWXS;3599181703871;;;;;1;;;;;;;;;;;
85468;;Taille:select:0;L:4;HE2805EKMAL;HE2805EKMAL;3599181307925;;;;;1;;;;;;;;;;;
85468;;Taille:select:0;M:3;HE2805EKMAM;HE2805EKMAM;3599181307901;;;;;1;;;;;;;;;;;
85468;;Taille:select:0;S:2;HE2805EKMAS;HE2805EKMAS;3599181307888;;;;;1;;;;;;;;;;;
85468;;Taille:select:0;XL:5;HE2805EKMAXL;HE2805EKMAXL;3599181307949;;;;;1;;;;;;;;;;;
85468;;Taille:select:0;XS:1;HE2805EKMAXS;HE2805EKMAXS;3599181307864;;;;;1;;;;;;;;;;;
85469;;Taille:select:0;L:4;HE2830EWXKL;HE2830EWXKL;3599181721363;;;;;1;;;;;;;;;;;
