ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85461;;Shark Helm Ridill Blank Mat - Mattschwarz;;;;;;;;;;HE0502EKMA;;;;;;;;;;;;;;;;;"Neuer Name, neues Design, der S700-S wird zum Ridill!
4 Sterne im Shark Test -  Top Produkt!";<h2><strong><Eigenschaften:</h2></<strong></p><ul><li>optimierte Belüftungen dank Computersimulation (CFD)</li><li>Mit integrierte Sonnenblende</li><li>Sehr flexibles und robustes, 2,2 Millimeter dickes Pinlock®-fähiges Visier</li><li>kratzfestes Visier</li><li>Material: Thermoplastik</li><li>Kinnriemenverschluß</li><li>Ece 22.05</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85462;;Shark Helm Ridill Tyka Mat - Schwarz-anthr.;;;;;;;;;;HE0504EKAW;;;;;;;;;;;;;;;;;"Neuer Name, neues Design, der S700-S wird zum Ridill!
4 Sterne im Shark Test -  Top Produkt!";<h2><strong><Eigenschaften:</h2></<strong></p><ul><li>optimierte Belüftungen dank Computersimulation (CFD)</li><li>Mit integrierte Sonnenblende</li><li>Sehr flexibles und robustes, 2,2 Millimeter dickes Pinlock®-fähiges Visier</li><li>kratzfestes Visier</li><li>Material: Thermoplastik</li><li>Kinnriemenverschluß</li><li>Ece 22.05</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85463;;Shark Helm Ridill Spring - Weiss-rosa;;;;;;;;;;HE0510EWKV;;;;;;;;;;;;;;;;;"Neuer Name, neues Design, der S700-S wird zum Ridill!
4 Sterne im Shark Test -  Top Produkt!";<h2><strong><Eigenschaften:</h2></<strong></p><ul><li>optimierte Belüftungen dank Computersimulation (CFD)</li><li>Mit integrierte Sonnenblende</li><li>Sehr flexibles und robustes, 2,2 Millimeter dickes Pinlock®-fähiges Visier</li><li>kratzfestes Visier</li><li>Material: Thermoplastik</li><li>Kinnriemenverschluß</li><li>Ece 22.05</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85464;;Shark Helm Ridill Kengal - Weiss-schwarz;;;;;;;;;;HE0512EWKS;;;;;;;;;;;;;;;;;"Neuer Name, neues Design, der S700-S wird zum Ridill!
4 Sterne im Shark Test -  Top Produkt!";<h2><strong><Eigenschaften:</h2></<strong></p><ul><li>optimierte Belüftungen dank Computersimulation (CFD)</li><li>Mit integrierte Sonnenblende</li><li>Sehr flexibles und robustes, 2,2 Millimeter dickes Pinlock®-fähiges Visier</li><li>kratzfestes Visier</li><li>Material: Thermoplastik</li><li>Kinnriemenverschluß</li><li>Ece 22.05</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85465;;Shark Helm Ridill Skyd Mat - Schwarz-anthr.;;;;;;;;;;HE0516EKAS;;;;;;;;;;;;;;;;;"Neuer Name, neues Design, der S700-S wird zum Ridill!
4 Sterne im Shark Test -  Top Produkt!";<h2><strong><Eigenschaften:</h2></<strong></p><ul><li>optimierte Belüftungen dank Computersimulation (CFD)</li><li>Mit integrierte Sonnenblende</li><li>Sehr flexibles und robustes, 2,2 Millimeter dickes Pinlock®-fähiges Visier</li><li>kratzfestes Visier</li><li>Material: Thermoplastik</li><li>Kinnriemenverschluß</li><li>Ece 22.05</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85466;;Shark Helm Sx2 Wacken - Schwarz-weiss;;;;;;;;;;HE2215EKWA;;;;;;;;;;;;;;;;;Der extrem wettbewerbsfähige Shark SX2 hat eine PolyCarbonat Schale und komfortablere Polster spendiert bekommen.;<ul><li>Abnehmbares und einstellbares Visier</li><li>Flexibler Schirm und Nasendeflektor</li><li>Verbessere Belüftung dank zwei Entlüftungen</li><li>komfortable, atmungsaktive Innenpolster aus Textil</li><li>Schockabsorber aus Polstern in Rippenform, für effektiveres Absorbieren von Stößen</li><li>aus gepritztem, thermoplastischem Kunststoff</li><li>Doppel-D Ringverschluss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85467;;Shark Helm Sx2 Wacken - Orange-schwarz;;;;;;;;;;HE2215EOKW;;;;;;;;;;;;;;;;;Der extrem wettbewerbsfähige Shark SX2 hat eine PolyCarbonat Schale und komfortablere Polster spendiert bekommen.;<ul><li>Abnehmbares und einstellbares Visier</li><li>Flexibler Schirm und Nasendeflektor</li><li>Verbessere Belüftung dank zwei Entlüftungen</li><li>komfortable, atmungsaktive Innenpolster aus Textil</li><li>Schockabsorber aus Polstern in Rippenform, für effektiveres Absorbieren von Stößen</li><li>aus gepritztem, thermoplastischem Kunststoff</li><li>Doppel-D Ringverschluss</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85468;;Shark Helm Nano Blank Mat - Mattschwarz;;;;;;;;;;HE2805EKMA;;;;;;;;;;;;;;;;;Ein Muss für Ihren urbanen Style: praktische, Naturfasern und komfortables Design;<p><h1>Das Langstreckenvisier mit seinem Lufteinlass-Diffusor verhindert das Beschlagen. Es besitzt auch 2 profilierte Luftauslässe zum Ausströmen der Luft</h1></p><br><ul><li>Innenpolster aus komfortablen Naturfasern und die Belüftung nutz Windkanäle und Lufttrichter</li><li>Ergonomische Handhabung des Sonnenvisiers</li><li>Aerodynamische Aussenschale</li><li>Easy fit: Mehr Komfort für Brillenträger</li><li>Innenpolster aus natürlichen Bambufasern</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85469;;Shark Helm Nano 72 - Weiss-schwarz;;;;;;;;;;HE2830EWXK;;;;;;;;;;;;;;;;;Ein Muss für Ihren urbanen Style: praktische, Naturfasern und komfortables Design;<p><h1>Das Langstreckenvisier mit seinem Lufteinlass-Diffusor verhindert das Beschlagen. Es besitzt auch 2 profilierte Luftauslässe zum Ausströmen der Luft</h1></p><br><ul><li>Innenpolster aus komfortablen Naturfasern und die Belüftung nutz Windkanäle und Lufttrichter</li><li>Ergonomische Handhabung des Sonnenvisiers</li><li>Aerodynamische Aussenschale</li><li>Easy fit: Mehr Komfort für Brillenträger</li><li>Innenpolster aus natürlichen Bambufasern</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85470;;Shark Helm Drak Tribute Rm Mat - Schwarz-anth.;;;;;;;;;;HE2906EKAA;;;;;;;;;;;;;;;;;Dieser Helm ist ein echtes Statement. Eine Ikone, die schon das Herz zehntausender von Motorrad- und Rollerfahrern gewonnen hat. Eine Sternstunde des SHARK Designs.;"<ul><li>Brille des Helms ist mit einem doppelwandigen kratzfesten Antibeschlag-Visier von Carl Zeiss (Weltmarktführer für optische Qualität) ausgestattet</li><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Helmschale ""Slim Fit"" speziell konzipiert, um so eng wie möglich am Kopf anzuliegen.</li><li>Innenpolster aus komfortablen Naturfasern und die Belüftung nutzt Windkanäle und Lufttrichter</li><li>QRGS: quick release goggle system = schnell austauschbares Visiersystem</li><li>Kratzfestes Antibeschlagvisier</li><li>Schutzmaske für das Gesicht</li><li>Aerodynamische Außenschale</li><li>Easy fit für Brillenträger</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85471;;Shark Helm Drak Blank Mat - Mattschwarz;;;;;;;;;;HE2912EKMA;;;;;;;;;;;;;;;;;Dieser Helm ist ein echtes Statement. Eine Ikone, die schon das Herz zehntausender von Motorrad- und Rollerfahrern gewonnen hat. Eine Sternstunde des SHARK Designs.;"<ul><li>Brille des Helms ist mit einem doppelwandigen kratzfesten Antibeschlag-Visier von Carl Zeiss (Weltmarktführer für optische Qualität) ausgestattet</li><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Helmschale ""Slim Fit"" speziell konzipiert, um so eng wie möglich am Kopf anzuliegen.</li><li>Innenpolster aus komfortablen Naturfasern und die Belüftung nutzt Windkanäle und Lufttrichter</li><li>QRGS: quick release goggle system = schnell austauschbares Visiersystem</li><li>Kratzfestes Antibeschlagvisier</li><li>Schutzmaske für das Gesicht</li><li>Aerodynamische Außenschale</li><li>Easy fit für Brillenträger</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85472;;Shark Helm Drak Kurtz Mat - Mattgrün-beige;;;;;;;;;;HE2927EGEK;;;;;;;;;;;;;;;;;Dieser Helm ist ein echtes Statement. Eine Ikone, die schon das Herz zehntausender von Motorrad- und Rollerfahrern gewonnen hat. Eine Sternstunde des SHARK Designs.;"<ul><li>Brille des Helms ist mit einem doppelwandigen kratzfesten Antibeschlag-Visier von Carl Zeiss (Weltmarktführer für optische Qualität) ausgestattet</li><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Helmschale ""Slim Fit"" speziell konzipiert, um so eng wie möglich am Kopf anzuliegen.</li><li>Innenpolster aus komfortablen Naturfasern und die Belüftung nutzt Windkanäle und Lufttrichter</li><li>QRGS: quick release goggle system = schnell austauschbares Visiersystem</li><li>Kratzfestes Antibeschlagvisier</li><li>Schutzmaske für das Gesicht</li><li>Aerodynamische Außenschale</li><li>Easy fit für Brillenträger</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85473;;Shark Helm Vantime  Blank Mat - Mattschwarz;;;;;;;;;;HE3146EKMA;;;;;;;;;;;;;;;;;Motogoodeal präsentiert den Shark Vantime Helm, ein Helm für Fahrten in der Stadt, der Kompaktheit mit einem super Aussehen kombiniert;"<ul><li>Die Innenpolster sind aus komfortablen Naturfaser und die Belüftung nutzt Windkanäle und Luftrichter</li><li>Kratzfestes Antibeschlagvisier</li><li>Aerodynamische Aussenschale</li><li>Easy fit: mehr Komfort für Brillenträger</li></ul><br><iframe width=""560"" height=""315"" src=""https://www.youtube.com/embed/SU4-8Qw3znc"" frameborder=""0"" allowfullscreen></iframe>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85474;;Shark Helm Vancore Mat - Mattschwarz;;;;;;;;;;HE3910EKMA;;;;;;;;;;;;;;;;;Motogoodeal präsentiert den Shark Vancore Integralhelm, ein Helm für Fahrten in der Stadt, der Kompaktheit mit einem super Aussehen kombiniert;<p>Der Integralhelm mit umwerfendem Design, subversiver Ausstrahlung und maximaler Schutzwirkung. Ein Helm, der beim Fahren kaum zu spüren ist, der aber einen bleibenden Eindruck hinterlässt. Die Formgebung des Vancore scheint allein ästhetischen Vorgaben zu folgen, und trotzdem profitiert der Helm von allen aktuellen SHARK Innovationen.</p><h2><strong>Eigenschaften:</h2></strong><ul><li>Die Brille des Helms ist mit einem doppelwandigen kratzfesten Antibeschlag-Visier von Carl Zeiss ausgestattet, dem Weltmarktführer in Sachen optischer Qualität.</li><li>Das neue Wangenpolsterdesign erleichtert das Aufsetzen.</li><li>Die Helmschale „Slim Fit“ wurde speziell konzipiert, um so eng wie möglich am Kopf anzuliegen.</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85475;;Shark Helm Vancore Wipeout Mat - Mattgrün-gelb;;;;;;;;;;HE3922EGGY;;;;;;;;;;;;;;;;;Motogoodeal präsentiert den Shark Vancore Integralhelm, ein Helm für Fahrten in der Stadt, der Kompaktheit mit einem super Aussehen kombiniert;<p>Der Integralhelm mit umwerfendem Design, subversiver Ausstrahlung und maximaler Schutzwirkung. Ein Helm, der beim Fahren kaum zu spüren ist, der aber einen bleibenden Eindruck hinterlässt. Die Formgebung des Vancore scheint allein ästhetischen Vorgaben zu folgen, und trotzdem profitiert der Helm von allen aktuellen SHARK Innovationen.</p><h2><strong>Eigenschaften:</h2></strong><ul><li>Die Brille des Helms ist mit einem doppelwandigen kratzfesten Antibeschlag-Visier von Carl Zeiss ausgestattet, dem Weltmarktführer in Sachen optischer Qualität.</li><li>Das neue Wangenpolsterdesign erleichtert das Aufsetzen.</li><li>Die Helmschale „Slim Fit“ wurde speziell konzipiert, um so eng wie möglich am Kopf anzuliegen.</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85476;;Shark Helm D-Skwal Blank Mat - Mattschwarz;;;;;;;;;;HE4002EKMA;;;;;;;;;;;;;;;;;Der Shark D-Skwal löst den recht populären S700 der französischen Helmspezialisten ab. Mit allen hervorragenden Eigenschaften des beliebten Skwal-Helms, nur ohne Beleuchtung. Allerdings mit einem neuentwickelten, herausnehm- und waschbaren Innenleben.;"<ul><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Visier saugt sich dank ""Autoseal"" System an der Dichtleiste des Helms fest, senkt so den Geräuschpegel und schützt noch besser vor Regen und Zugluft.</li><li>Bereits äußerst stabil, werden seine aerodynamischen Eigenschaften durch den Spoiler sogar noch verstärkt.</li><li>Sonnenvisier</li><li>Sharktooth vorbereitet</li><li>Rapid Antifog System : Das Visier bleibt in einer Stellung fixiert, in der zugeführte Frischluft sein Beschlagen verhindert</li><li>EASYFIT System für einen komfortablen Gebrauch mit Brille</li><li>Ece 22.05</li><li>Vorsicht: Beim D-Skwal wurde die auf die LED-Funktion verzichtet</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85477;;Shark Helm D-Skwal Hiwo - Schwarz-blau;;;;;;;;;;HE4006EKBK;;;;;;;;;;;;;;;;;Der Shark D-Skwal löst den recht populären S700 der französischen Helmspezialisten ab. Mit allen hervorragenden Eigenschaften des beliebten Skwal-Helms, nur ohne Beleuchtung. Allerdings mit einem neuentwickelten, herausnehm- und waschbaren Innenleben.;"<ul><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Visier saugt sich dank ""Autoseal"" System an der Dichtleiste des Helms fest, senkt so den Geräuschpegel und schützt noch besser vor Regen und Zugluft.</li><li>Bereits äußerst stabil, werden seine aerodynamischen Eigenschaften durch den Spoiler sogar noch verstärkt.</li><li>Sonnenvisier</li><li>Sharktooth vorbereitet</li><li>Rapid Antifog System : Das Visier bleibt in einer Stellung fixiert, in der zugeführte Frischluft sein Beschlagen verhindert</li><li>EASYFIT System für einen komfortablen Gebrauch mit Brille</li><li>Ece 22.05</li><li>Vorsicht: Beim D-Skwal wurde die auf die LED-Funktion verzichtet</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85478;;Shark Helm D-Skwal Hiwo - Schwarz-weiss;;;;;;;;;;HE4006EKWK;;;;;;;;;;;;;;;;;Der Shark D-Skwal löst den recht populären S700 der französischen Helmspezialisten ab. Mit allen hervorragenden Eigenschaften des beliebten Skwal-Helms, nur ohne Beleuchtung. Allerdings mit einem neuentwickelten, herausnehm- und waschbaren Innenleben.;"<ul><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Visier saugt sich dank ""Autoseal"" System an der Dichtleiste des Helms fest, senkt so den Geräuschpegel und schützt noch besser vor Regen und Zugluft.</li><li>Bereits äußerst stabil, werden seine aerodynamischen Eigenschaften durch den Spoiler sogar noch verstärkt.</li><li>Sonnenvisier</li><li>Sharktooth vorbereitet</li><li>Rapid Antifog System : Das Visier bleibt in einer Stellung fixiert, in der zugeführte Frischluft sein Beschlagen verhindert</li><li>EASYFIT System für einen komfortablen Gebrauch mit Brille</li><li>Ece 22.05</li><li>Vorsicht: Beim D-Skwal wurde die auf die LED-Funktion verzichtet</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85479;;Shark Helm D-Skwal Rakken - Schw.-weiss-rot;;;;;;;;;;HE4010EKWR;;;;;;;;;;;;;;;;;Der Shark D-Skwal löst den recht populären S700 der französischen Helmspezialisten ab. Mit allen hervorragenden Eigenschaften des beliebten Skwal-Helms, nur ohne Beleuchtung. Allerdings mit einem neuentwickelten, herausnehm- und waschbaren Innenleben.;"<ul><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Visier saugt sich dank ""Autoseal"" System an der Dichtleiste des Helms fest, senkt so den Geräuschpegel und schützt noch besser vor Regen und Zugluft.</li><li>Bereits äußerst stabil, werden seine aerodynamischen Eigenschaften durch den Spoiler sogar noch verstärkt.</li><li>Sonnenvisier</li><li>Sharktooth vorbereitet</li><li>Rapid Antifog System : Das Visier bleibt in einer Stellung fixiert, in der zugeführte Frischluft sein Beschlagen verhindert</li><li>EASYFIT System für einen komfortablen Gebrauch mit Brille</li><li>Ece 22.05</li><li>Vorsicht: Beim D-Skwal wurde die auf die LED-Funktion verzichtet</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85480;;Shark Helm D-Skwal Rakken Mat - Schwarz-grün;;;;;;;;;;HE4012EKAG;;;;;;;;;;;;;;;;;Der Shark D-Skwal löst den recht populären S700 der französischen Helmspezialisten ab. Mit allen hervorragenden Eigenschaften des beliebten Skwal-Helms, nur ohne Beleuchtung. Allerdings mit einem neuentwickelten, herausnehm- und waschbaren Innenleben.;"<ul><li>Durch Computersimulation (CFD) optimierte Belüftungen.</li><li>Visier saugt sich dank ""Autoseal"" System an der Dichtleiste des Helms fest, senkt so den Geräuschpegel und schützt noch besser vor Regen und Zugluft.</li><li>Bereits äußerst stabil, werden seine aerodynamischen Eigenschaften durch den Spoiler sogar noch verstärkt.</li><li>Sonnenvisier</li><li>Sharktooth vorbereitet</li><li>Rapid Antifog System : Das Visier bleibt in einer Stellung fixiert, in der zugeführte Frischluft sein Beschlagen verhindert</li><li>EASYFIT System für einen komfortablen Gebrauch mit Brille</li><li>Ece 22.05</li><li>Vorsicht: Beim D-Skwal wurde die auf die LED-Funktion verzichtet</li></ul>";;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
