Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
141547;;Taille:select:0;XL:5;HE0385ETKKXL;HE0385ETKKXL;;;;;;2;;;;;;;;;;;
83880;;Taille:select:0;L:4;HE0415EYKWL;HE0415EYKWL;;;;;;4;;;;;;;;;;;
83880;;Taille:select:0;M:3;HE0415EYKWM;HE0415EYKWM;;;;;;4;;;;;;;;;;;
83880;;Taille:select:0;S:2;HE0415EYKWS;HE0415EYKWS;;;;;;1;;;;;;;;;;;
83880;;Taille:select:0;XL:5;HE0415EYKWXL;HE0415EYKWXL;;;;;;2;;;;;;;;;;;
83880;;Taille:select:0;XS:1;HE0415EYKWXS;HE0415EYKWXS;;;;;;1;;;;;;;;;;;
83650;;Taille:select:0;XS:1;HE0427EKKWXS;HE0427EKKWXS;;;;;;1;;;;;;;;;;;
141565;;Taille:select:0;M:3;HE0437EKSAM;HE0437EKSAM;;;;;;1;;;;;;;;;;;
141565;;Taille:select:0;XL:5;HE0437EKSAXL;HE0437EKSAXL;;;;;;1;;;;;;;;;;;
427;;Taille:select:0;L:4;HE0440EKLUL;HE0440EKLUL;;;;;;1;;;;;;;;;;;
83651;;Taille:select:0;L:4;HE0445EWKVL;HE0445EWKVL;;;;;;2;;;;;;;;;;;
83651;;Taille:select:0;XS:1;HE0445EWKVXS;HE0445EWKVXS;;;;;;1;;;;;;;;;;;
83648;;Taille:select:0;M:3;HE0450EKVWM;HE0450EKVWM;;;;;;5;;;;;;;;;;;
83648;;Taille:select:0;S:2;HE0450EKVWS;HE0450EKVWS;;;;;;5;;;;;;;;;;;
