ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
141547;1;Casque Shark S900C SIGNATURE STEEL;192,461;323.15;1;222.862069;1;;40;;;HE0385ETKK;HE0385ETKK;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</p>;<p>o Mousse de joues gonflables pour un ajustement parfait <br /> o Système EASYFIT pour une utilisation confortable avec des lunettes<br /> o Coque thermoplastique injectée<br /> o Écran solaire intégré<br /> o Écran 2,2mm avec double traitement « Total vision »<br /> o Intérieur entièrement démontable et lavable</p>;;;;;casque-shark-s900c-signature-steel;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Intégral:1;Couleur:blanc rouge noir:2;Genre:Unisexe:3;Coque:Polycarbonate:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Non:10;Jugulaire:Boucle micrométrique:11";0;new;0;0;0;0;0;0;0;0
83650;1;Casque Shark S700S Legion Mat;192,461;230.56;1;159.0068966;1;;40;;;HE0427EKKW;HE0427EKKW;Philippe Coulon;Shark;;;;;;;;0;;;;;;0;0;;;;;casque-shark-s700s-legion-mat;En Stock;Plus disponible;1;;;1;;0;"Couleur:noir-mat-blanc:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;new;0;0;0;0;0;0;0;0
141565;1;Casque Shark S700S Trax Mat;192,461;249.07;1;171.7724138;1;;40;;;HE0437EKSA;HE0437EKSA;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p>Le petit frère du S 900 C, le S 700 S, reçoit certaines fonctions du très plébiscité S 900 original, auxquelles s'ajoute l'écran<br />solaire intégré.</p>;<p>o Écran solaire intégré.<br />o Nouvelle ventilation pour une ergonomie optimisée avec les gants.<br />o Coque thermoplastique injectée.</p>;;;;;casque-shark-s700s-trax-mat;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Intégral:1;Couleur:chrome-noir:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Oui:10;Jugulaire:Boucle micrométrique:11";0;new;0;0;0;0;0;0;0;0
427;1;Casque Shark S700S Jost Lumi Mat;192,461;267.59;1;184.5448276;1;;40;;;HE0440EKLU;HE0440EKLU;Philippe Coulon;Shark;;;;;;;;0;;;;;;"<p><span>Le petit frère du S900C, le S700S, est upgradé pour 2014. Il reçoit certaines fonctions du très plébiscité S900 original, auxquelles s'ajoute l'</span><a title=""Click to Continue &gt; by shopndrop"" href=""http://www.motogoodeal.ch/fr/home/425-casque-shark-s700s-guintoli.html#"">écran</a><span> solaire intégré</span><";<ul><li>Écran solaire intégré</li> <li>Nouvelle ventilation pour une ergonomie optimisée avec les gants</li> <li>Coque thermoplastique injectée</li> </ul>;;;;;casque-s700s-jost-lumi-mat;En Stock;Plus disponible;1;;;1;;0;"Couleur:noir lumineux mat:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;new;0;0;0;0;0;0;0;0
83651;1;Casque Shark S700S Spring WKV;192,461;249.07;1;171.7724138;1;;30;;;HE0445EWKV;HE0445EWKV;Philippe Coulon;Shark;;;;;;;;0;;;;;;0;0;;;;;casque-shark-s700s-spring-wkv;En Stock;Plus disponible;1;;;1;;0;"Couleur:Deco:1;Genre:Femme:2;Coque:Polycarbonate:3";0;new;0;0;0;0;0;0;0;0
83648;1;Casque Shark S700S Nasty;192,461;276.85;1;190.9310345;1;;40;;;HE0450EKVW;HE0450EKVW;Philippe Coulon;Shark;;;;;;;;0;;;;;;0;0;;;;;casque-shark-s700s-nasty;En Stock;Plus disponible;1;;;1;;0;"Couleur:noir-rose:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;new;0;0;0;0;0;0;0;0
83649;1;Casque Shark S700S Nasty;192,461;276.85;1;190.9310345;1;;40;;;HE0450EKYW;HE0450EKYW;Philippe Coulon;Shark;;;;;;;;0;;;;;;0;0;;;;;casque-shark-s700s-nasty;En Stock;Plus disponible;1;;;1;;0;"Couleur:noir-rose:1;Genre:Unisexe:2;Coque:Polycarbonate:3";0;new;0;0;0;0;0;0;0;0
83568;1;Casque Shark S700S Full Mat;192,461;230.56;1;159.0068966;1;;40;;;HE0456EKMA;HE0456EKMA;Philippe Coulon;Shark;;;;;;;;0;;;;;;0;0;;;;;casque-shark-s700s-full-mat;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Intégral:1;Couleur:noir-mat:2;Genre:Unisexe:3;Coque:Thermoplastique:4;Ecran anti-buée:Oui:5;Double écran solaire:Oui:6;Intérieur démontable et lavable:Oui:7;Livré avec une housse:Oui:8;Ecran anti-rayures:Oui:9;Jugulaire:Boucle micrométrique:10";0;new;0;0;0;0;0;0;0;0
141543;1;Casque Shark S900C GLOW;192,461;350.93;1;242.0206897;1;;40;;;HE0672EKRK;HE0672EKRK;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</p>;<p>o Mousse de joues gonflables pour un ajustement parfait <br /> o Système EASYFIT pour une utilisation confortable avec des lunettes<br /> o Coque thermoplastique injectée<br /> o Écran solaire intégré<br /> o Écran 2,2mm avec double traitement « Total vision »<br /> o Intérieur entièrement démontable et lavable</p>;;;;;casque-shark-s900c-glow;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Intégral:1;Couleur:blanc rouge noir:2;Genre:Unisexe:3;Coque:Polycarbonate:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Non:10;Jugulaire:Boucle micrométrique:11";0;new;0;0;0;0;0;0;0;0
141545;1;Casque Shark S900C FINKS;192,461;323.15;1;222.862069;1;;40;;;HE0955EWKR;HE0955EWKR;Philippe Coulon;Shark;;;;;;;;0;;;;;;<p>Le nouveau S900C incarne la nouvelle génération de notre très polyvalent S900. Ce casque agressif et parfaitement équilibré possède toutes les fonctions pratiques, le confort et la sécurité, auxquels s'ajoute un nouveau système de pompe à air pour un ajustement parfait et un confort encore accru</p>;<p>o Mousse de joues gonflables pour un ajustement parfait <br /> o Système EASYFIT pour une utilisation confortable avec des lunettes<br /> o Coque thermoplastique injectée<br /> o Écran solaire intégré<br /> o Écran 2,2mm avec double traitement « Total vision »<br /> o Intérieur entièrement démontable et lavable</p>;;;;;casque-shark-s900c-finks;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Intégral:1;Couleur:blanc rouge noir:2;Genre:Unisexe:3;Coque:Polycarbonate:4;Ecran anti-buée:Oui:5;Cache-nez:Oui:6;Double écran solaire:Oui:7;Intérieur démontable et lavable:Oui:8;Livré avec une housse:Oui:9;Ecran anti-rayures:Non:10;Jugulaire:Boucle micrométrique:11";0;new;0;0;0;0;0;0;0;0
