ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
766;;New Max Helm Slim;;;;;;;;;;N171030;;;;;;;;;;;;;;;;;;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
771;;New Max Helm Scratch Cromato;;;;;;;;;;N171020;;;;;;;;;;;;;;;;;;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
781;;New Max Helm POSH  NERO OPACO;;;;;;;;;;N111650;;;;;;;;;;;;;;;;;;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
782;;New Max Helm POSH BIANCO OPACO;;;;;;;;;;N111640;;;;;;;;;;;;;;;;;"<p>""Posh"" ist der ultimative Ausdruck von Raffinesse und italienischem Stil. Handverarbeitetes Alcantara und edle Swarovski Steine verleihen ihm einen smarten und zugleich eleganten Look.</p>";<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
916;;New Max Helm GROUPIE VIOLA PERLATO;;;;;;;;;;N111560;;;;;;;;;;;;;;;;;;"<p>Groupie<span>-Design.</span><span id=""result_box"" class=""hps"" lang=""de"" xml:lang=""de""><br />- Mit Alcantara Applikationen und mit echten Swarovski Steinen besetzt. <br />- <span lang=""de"" xml:lang=""de""><span class=""hps"">Extra</span> <span class=""hps"">glänzend.</span></span><br />- <span class=""hps"" lang=""de"" xml:lang=""de"">Polycarbonat Visier kratzfest</span><br />- Kinnriemen mit Mikrometer Schnalle<br />- Innenseite antiallergisch und anti-Schweiss.<br /><span lang=""de"" xml:lang=""de""><span class=""hps"">- Made in Italy</span><span>.</span></span><br /><span class=""hps"">Homologation:</span><br /><span class=""hps"">ONU</span> <span class=""hps"">ECE</span> <span class=""hps"">22em.05</span></span></p><br><p>Ausnahmeangebot ohne Rückgaberecht";;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
917;;New Max Helm POSH NERO LUCIDO;;;;;;;;;;N111620;;;;;;;;;;;;;;;;;"<p>""Posh"" ist der ultimative Ausdruck von Raffinesse und italienischem Stil. Handverarbeitetes Alcantara und edle Swarovski Steine verleihen ihm einen smarten und zugleich eleganten Look.</p>";"<p>Groupie<span>-Design.</span><span id=""result_box"" class=""hps"" lang=""de"" xml:lang=""de""><br />- Mit Alcantara Applikationen und mit echten Swarovski Steinen besetzt. <br />- <span lang=""de"" xml:lang=""de""><span class=""hps"">Extra</span> <span class=""hps"">glänzend.</span></span><br />- <span class=""hps"" lang=""de"" xml:lang=""de"">Polycarbonat Visier kratzfest</span><br />- Kinnriemen mit Mikrometer Schnalle<br />- Innenseite antiallergisch und anti-Schweiss.<br /><span lang=""de"" xml:lang=""de""><span class=""hps"">- Made in Italy</span><span>.</span></span><br /><span class=""hps"">Homologation:</span><br /><span class=""hps"">ONU</span> <span class=""hps"">ECE</span> <span class=""hps"">22em.05</span></span></p><br><p>Ausnahmeangebot ohne Rückgaberecht";;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
918;;New Max Helm MARTINI;;;;;;;;;;N151010;;;;;;;;;;;;;;;;;<p>Wer kennt sie nicht die klassischen von Martini gesponserten Rally und Langstreckenrennwagen - das unverkennbare Design ging um die ganze Welt. Der neue Martini Helm richtet vor allem an Nostalgiker une Menschen die das aussergewöhnlichen Suchen. Wird in einer einmaligen limitierten Edition weltweit hergestellt, ein Sammlerstatus ist dadurch bereits schon fast garantiert.</p>;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
919;;New Max Helm HEIDI.COM;;;;;;;;;;N151020;;;;;;;;;;;;;;;;;<p><strong>Heidi.com Swiss Edition</strong></p> <p>Der neue IDI Helm spricht jung und alt gleich an. Die harmonische Formgebung und der trendig Look garantieren ein freches und modernes Auftreten auf ihrem Zweirad, sei es am Stopplicht in der Stadt oder im Ausgang am Samstagabend. Wird in einer streng limitierten Auflage hergestellt.</p>;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
920;;New Max Helm MOSCHINO LOGO BORDEA;;;;;;;;;;N131030;;;;;;;;;;;;;;;;;<p>Moschino ist ein weltberühmtes Modelabel, bestens bekannt für seine avantgardistische ideen und Farbgebung. Wer anders als newmax konnte einen neuen Kulthelm für die Firma Moschino kreieren.</p>;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
923;;New Max Helm MOSCHINO PEACE AND LOVE;;;;;;;;;;N131010;;;;;;;;;;;;;;;;;<p>Moschino ist ein weltberühmtes Modelabel, bestens bekannt für seine avantgardistische ideen und Farbgebung. Wer anders als newmax konnte einen neuen Kulthelm für die Firma Moschino kreieren.</p>;<br><p>Ausnahmeangebot ohne Rückgaberecht;;;;;;Auf Lager;Nicht mehr Verfügbar;;;;;;;;;;;;;;;;;
