Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
944;;Taille:select:0;M:3;N1610103;N1610103;;;;;;4;;;;;;;;;;;
945;;Taille:select:0;XS:1;N1710101;N1710101;;;;;;5;;;;;;;;;;;
945;;Taille:select:0;S:2;N1710102;N1710102;;;;;;2;;;;;;;;;;;
945;;Taille:select:0;XXL:6;N1710106;N1710106;;;;;;4;;;;;;;;;;;
916;;Taille:select:0;L:4;N1115604;N1115604;;;;;;2;;;;;;;;;;;
932;;Taille:select:0;L:4;N1116104;N1116104;;;;;;2;;;;;;;;;;;
782;;Taille:select:0;L:4;N1116404;N1116404;;;;;;1;;;;;;;;;;;
929;;Taille:select:0;XS:1;N1210301;N1210301;;;;;;1;;;;;;;;;;;
931;;Taille:select:0;XS:1;N1210501;N1210501;;;;;;3;;;;;;;;;;;
931;;Taille:select:0;S:2;N1210502;N1210502;;;;;;3;;;;;;;;;;;
771;;Taille:select:0;XS:1;N1710201;N1710201;;;;;;2;;;;;;;;;;;
771;;Taille:select:0;S:2;N1710202;N1710202;;;;;;1;;;;;;;;;;;
771;;Taille:select:0;M:3;N1710203;N1710203;;;;;;3;;;;;;;;;;;
771;;Taille:select:0;L:4;N1710204;N1710204;;;;;;8;;;;;;;;;;;
771;;Taille:select:0;XL:5;N1710205;N1710205;;;;;;5;;;;;;;;;;;
771;;Taille:select:0;XL:5;N1710205;N1710205;;;;;;3;;;;;;;;;;;
766;;Taille:select:0;XS:1;N1710301;N1710301;;;;;;2;;;;;;;;;;;
766;;Taille:select:0;S:2;N1710302;N1710302;;;;;;6;;;;;;;;;;;
766;;Taille:select:0;XL:5;N1710305;N1710305;;;;;;2;;;;;;;;;;;
766;;Taille:select:0;XXL:6;N1710306;N1710306;;;;;;2;;;;;;;;;;;
945;;Taille:select:0;XL:5;N1710105;N1710105;;;;;;4;;;;;;;;;;;
944;;Taille:select:0;XL:5;N1610105;N1610105;;;;;;3;;;;;;;;;;;
944;;Taille:select:0;S:2;N1610102;N1610102;;;;;;5;;;;;;;;;;;
945;;Taille:select:0;M:3;N1710103;N1710103;;;;;;4;;;;;;;;;;;
944;;Taille:select:0;XL:5;N1610105;N1610105;;;;;;3;;;;;;;;;;;
944;;Taille:select:0;XS:1;N1610101;N1610101;;;;;;3;;;;;;;;;;;
944;;Taille:select:0;L:4;N1610104;N1610104;;;;;;3;;;;;;;;;;;
945;;Taille:select:0;L:4;N1710104;N1710104;;;;;;4;;;;;;;;;;;
920;;Taille:select:0;XL:5;N1310305;N1310305;;;;;;3;;;;;;;;;;;
923;;Taille:select:0;XL:5;N1310105;N1310105;;;;;;2;;;;;;;;;;;
923;;Taille:select:0;XS:1;N1310101;N1310101;;;;;;3;;;;;;;;;;;
923;;Taille:select:0;M:3;N1310103;N1310103;;;;;;3;;;;;;;;;;;
935;;Taille:select:0;S:2;N1410102;N1410102;;;;;;2;;;;;;;;;;;
936;;Taille:select:0;M:3;N1410203;N1410203;;;;;;2;;;;;;;;;;;
937;;Taille:select:0;M:3;N1410303;N1410303;;;;;;2;;;;;;;;;;;
938;;Taille:select:0;L:4;N1410404;N1410404;;;;;;1;;;;;;;;;;;
938;;Taille:select:0;M:3;N1410403;N1410403;;;;;;3;;;;;;;;;;;
935;;Taille:select:0;M:3;N1410103;N1410103;;;;;;1;;;;;;;;;;;
938;;Taille:select:0;S:2;N1410402;N1410402;;;;;;1;;;;;;;;;;;
935;;Taille:select:0;XS:1;N1410101;N1410101;;;;;;3;;;;;;;;;;;
936;;Taille:select:0;L:4;N1410204;N1410204;;;;;;1;;;;;;;;;;;
940;;Taille:select:0;S:2;N1420202;N1420202;;;;;;4;;;;;;;;;;;
940;;Taille:select:0;M:3;N1420203;N1420203;;;;;;4;;;;;;;;;;;
937;;Taille:select:0;S:2;N1410302;N1410302;;;;;;4;;;;;;;;;;;
939;;Taille:select:0;S:2;N1420102;N1420102;;;;;;4;;;;;;;;;;;
938;;Taille:select:0;XS:1;N1410401;N1410401;;;;;;2;;;;;;;;;;;
936;;Taille:select:0;S:2;N1410202;N1410202;;;;;;1;;;;;;;;;;;
936;;Taille:select:0;XS:1;N1410201;N1410201;;;;;;3;;;;;;;;;;;
941;;Taille:select:0;XS:1;N1420301;N1420301;;;;;;4;;;;;;;;;;;
940;;Taille:select:0;XS:1;N1420201;N1420201;;;;;;5;;;;;;;;;;;
942;;Taille:select:0;S:2;N1112002;N1112002;;;;;;4;;;;;;;;;;;
925;;Taille:select:0;XL:5;N1113905;N1113905;;;;;;4;;;;;;;;;;;
925;;Taille:select:0;XS:1;N1113901;N1113901;;;;;;4;;;;;;;;;;;
925;;Taille:select:0;S:2;N1113902;N1113902;;;;;;2;;;;;;;;;;;
925;;Taille:select:0;M:3;N1113903;N1113903;;;;;;2;;;;;;;;;;;
927;;Taille:select:0;XL:5;N1114205;N1114205;;;;;;1;;;;;;;;;;;
943;;Taille:select:0;S:2;N1112102;N1112102;;;;;;2;;;;;;;;;;;
943;;Taille:select:0;XS:1;N1112101;N1112101;;;;;;2;;;;;;;;;;;
943;;Taille:select:0;M:3;N1112103;N1112103;;;;;;2;;;;;;;;;;;
942;;Taille:select:0;XS:1;N1112001;N1112001;;;;;;2;;;;;;;;;;;
943;;Taille:select:0;XL:5;N1112105;N1112105;;;;;;1;;;;;;;;;;;
927;;Taille:select:0;M:3;N1114203;N1114203;;;;;;1;;;;;;;;;;;
926;;Taille:select:0;XS:1;N1114101;N1114101;;;;;;5;;;;;;;;;;;
943;;Taille:select:0;L:4;N1112104;N1112104;;;;;;4;;;;;;;;;;;
