ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
766;1;Casque New Max Slim;198,466;137.962963;1;0;1;;70;;;N171030;N171030;Rush;New Max;;;;;;;;;;;;;;;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Jet:1;Couleur:Noir:2;Coque:Polycarbonate:3;Ecran anti-buée:Non:4;Cache-nez:Non:5;Livré avec une housse:Oui:6;Jugulaire:Boucle micrométrique:7";0;new;0;0;0;0;0;0;0;0
771;1;Casque New Max Scratch Cromato;198,466;175;1;0;1;;70;;;N171020;N171020;Rush;New Max;;;;;;;;;;;;;;;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Jet:1;Couleur:Chrome:2;Coque:Polycarbonate:3;Livré avec une housse:Oui:4;Jugulaire:Boucle micrométrique:5";0;new;0;0;0;0;0;0;0;0
781;0;Casque New Max POSH   NERO OPACO;198,466;276.8518519;1;0;1;;70;;;N111650;N111650;Rush;New Max;;;;;;;;;;;;;;<p>La casque Posh est l'expression ultime du raffinement et du bon goût à l'italienne. Ses finitions en véritable Alcantara travaillé à la main et ses diamants Swarovski lui coufèrent un look smart.</p>;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Jet:1;Couleur:noir-mat:2;Genre:Femme:3;Coque:Polycarbonate:4;Jugulaire:Boucle micrométrique:5";0;new;0;0;0;0;0;0;0;0
782;1;Casque New Max POSH BIANCO OPACO;198,466;276.8518519;1;0;1;;70;;;N111640;N111640;Rush;New Max;;;;;;;;;;;;;;<p>La casque Posh est l'expression ultime du raffinement et du bon goût à l'italienne. Ses finitions en véritable Alcantara travaillé à la main et ses diamants Swarovski lui coufèrent un look smart.</p>;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Jet:1;Couleur:noir-mat:2;Genre:Femme:3;Coque:Polycarbonate:4;Livré avec une housse:Oui:5;Jugulaire:Boucle micrométrique:6";0;new;0;0;0;0;0;0;0;0
916;1;Casque New Max GROUPIE VIOLA PERLATO;198,466;202.7777778;1;0;1;;70;;;N111560;N111560;Rush;New Max;;;;;;;;;;;;;;<p><strong>La casque groupie avec son design raffiné et ses véritables diaments Swarovski est le casque parfait pour les utilisatrices de deux roues urbaine et chic.</strong></p>;"<p><br />- Avec applications Alcantara et de pierres Swarovski.<br />- Finition brillante supplémentaire.<br />- Anti-rayure visière en polycarbonate<br />- Avec une jugulaire à boucle micrométrique<br />- Intérieur anti-allergique et résistant à la transpiration.<br />- Made in Italy.<br /><span class=""hps"">homologation:</span><br /><span class=""hps"">ONU</span> <span class=""hps"">ECE</span> <span class=""hps"">22em.05</span></p><br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour";;;;;;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Jet:1;Couleur:Violet:2;Coque:Polycarbonate:3;Livré avec une housse:Oui:4;Jugulaire:Boucle micrométrique:5";0;new;0;0;0;0;0;0;0;0
917;0;Casque New Max POSH NERO LUCIDO;198,466;276.8518519;1;0;1;;70;;;N111620;N111620;Rush;New Max;;;;;;;;;;;;;;<p><strong><strong>La casque Posh est l'expression ultime du raffinement et du bon goût à l'italienne. Ses finitions en véritable Alcantara travaillé à la main et ses diamants Swarovski lui coufèrent un look smart.</strong></strong></p>;"<p><br />- Avec applications Alcantara et de pierres Swarovski.<br />- Finition brillante supplémentaire.<br />- Anti-rayure visière en polycarbonate<br />- Avec une jugulaire à boucle micrométrique<br />- Intérieur anti-allergique et résistant à la transpiration.<br />- Made in Italy.<br /><span class=""hps"">homologation:</span><br /><span class=""hps"">ONU</span> <span class=""hps"">ECE</span> <span class=""hps"">22em.05</span></p><br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour";;;;;;En Stock;Plus disponible;1;;;1;;0;"Type de casque:Jet:1;Coque:Polycarbonate:2;Livré avec une housse:Oui:3;Jugulaire:Boucle micrométrique:4";0;new;0;0;0;0;0;0;0;0
918;0;Casque MARTINI;198,466;138.8888889;1;0;1;;70;;;N151010;N151010;Rush;New Max;;;;;;;;;;;;;;<p>Les couleurs<strong> </strong>de la légendaire marque Martini se posent sur un casque pour les nostalgiques de la grande époque des rallyes, des courses d'endurance et des belles mécaniques. Son style vintage conviendra parfaitement aux plus hype des utilisateurs de deux-roues.</p>;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Couleur:blanc-bleu-rouge:1;Genre:Unisexe:2;Coque:Polycarbonate:3;Fabricant:New Max:4";0;new;0;0;0;0;0;0;0;0
919;0;Casque HEIDI.COM;198,466;258.3333333;1;0;1;;70;;;N151020;N151020;Rush;New Max;;;;;;;;;;;;;;"<p>L'idée de la Swiss Limited Edition n'est pas nouvelle ; lorsque la première édition avait été réalisée, le succès avait été retentissant. Normal dès lorsque l'opération soit reconduite cette fois sur un support s'adressant aux plus jeunes, avec un motif un peu plus décalé mais toujours dans l'esprit d'un collector helvétique.</p> <div style=""background:none;margin:0px;padding:0px;width:90px;height:20px;line-height:normal;text-indent:0px;font-size:1px;vertical-align:baseline;float:none;""><iframe width=""100%"" height=""240"" style=""margin:0px;width:90px;height:20px;"" id=""I0_1416219283398"" title=""+1"" src=""https://apis.google.com/u/0/se/0/_/+1/fastbutton?usegapi=1%E2%8C%A9=&amp;size=medium&amp;hl=en-US&amp;origin=http%3A%2F%2Fwww.redpointgear.ch&amp;url=http%3A%2F%2Fwww.redpointgear.ch%2Ffr%2FOnline-Shop%2FCasques-1%2FHeidi-com-Heidi-com-Swiss-Edition.html&amp;gsrc=3p&amp;ic=1&amp;jsh=m%3B%2F_%2Fscs%2Fapps-static%2F_%2Fjs%2Fk%3Doz.gapi.fr.fsYqFdE7xsI.O%2Fm%3D__features__%2Fam%3DAQ%2Frt%3Dj%2Fd%3D1%2Ft%3Dzcms%2Frs%3DAGLTcCMvGo3BXB7LcoHXvYJ33hag2WOoXw#_methods=onPlusOne%2C_ready%2C_close%2C_open%2C_resizeMe%2C_renderstart%2Concircled%2Cdrefresh%2Cerefresh&amp;id=I0_1416219283398&amp;parent=http%3A%2F%2Fwww.redpointgear.ch&amp;pfname=&amp;rpctoken=87701860"" frameborder=""0"" marginwidth=""0"" marginheight=""0"" scrolling=""no""></iframe></div> <p><a class=""addthis_button_tweet at300b""><iframe width=""320"" height=""240"" style=""width:118px;height:20px;"" id=""twitter-widget-0"" title=""Twitter Tweet Button"" src=""http://platform.twitter.com/widgets/tweet_button.d58098f8a7f0ff5a206e7f15442a6b30.fr.html#_=1416219283422&amp;count=horizontal&amp;counturl=http%3A%2F%2Fwww.redpointgear.ch%2Ffr%2FOnline-Shop%2FCasques-1%2FHeidi-com-Heidi-com-Swiss-Edition.html&amp;id=twitter-widget-0%E2%8C%A9=fr&amp;original_referer=http%3A%2F%2Fwww.redpointgear.ch%2Ffr%2FOnline-Shop%2FCasques-1%2FHeidi-com-Heidi-com-Swiss-Edition.html&amp;size=m&amp;text=Casques%20-%20Redpoint%20Gear%20-%20Votre%20distributeur%20suisse%20Arai%2C%20Alpinestars%2C%20Ixon%20et%20Newmax%3A&amp;url=http%3A%2F%2Fwww.redpointgear.ch%2Ffr%2FOnline-Shop%2FCasques-1%2FHeidi-com-Heidi-com-Swiss-Edition.html%";<p>Qui d'autre qu'heidi.com alors pour incarner toutes les valeurs réunies dans cet objet bientôt culte ? Ils sont jeunes, ils sont beaux, ils sont suisses et ils sont passionnés de deux roues et leur petite protégée, la petite Heidi est au panthéon des symboles nationaux. Ils ont concocté tout spécialement pour ce casque une petite perle à l'esprit vintage racing à la sauce hévétique. Cette édition est limitée dans le monde, les places seront chères !</p><br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Couleur:blanc-bleu-rouge:1;Genre:Unisexe:2;Coque:Polycarbonate:3;Fabricant:New Max:4";0;new;0;0;0;0;0;0;0;0
920;1;Casque MOSCHINO LOGO BORDEA;198,466;258.3333333;1;0;1;;70;;;N131030;N131030;Rush;New Max;;;;;;;;;;;;;;<p>Moschino est une marque italienne réputée dans le monde de la mode. Reconnue pour ses idées avant-gardistes et novatrices, quelle autre marque de mode ne pouvait mieux s'associer à NEWMAX pour créer un nouvel objet culte que Moschino ?</p>;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Couleur:noir-rose:1;Genre:Unisexe:2;Coque:Polycarbonate:3;Fabricant:New Max:4";0;new;0;0;0;0;0;0;0;0
923;1;Casque MOSCHINO PEACE AND LOVE;198,466;258.3333333;1;0;1;;70;;;N131010;N131010;Rush;New Max;;;;;;;;;;;;;;<p>Moschino est une marque italienne réputée dans le monde de la mode. Reconnue pour ses idées avant-gardistes et novatrices, quelle autre marque de mode ne pouvait mieux s'associer à NEWMAX pour créer un nouvel objet culte que Moschino ?</p>;<br><p>Offre exeptionnelle New Max, veuillez noter que sur ces casques, nous n'accepterons pas de retour;;;;;;En Stock;Plus disponible;1;;;1;;0;"Couleur:noir-or:1;Genre:Unisexe:2;Coque:Polycarbonate:3;Fabricant:New Max:4";0;new;0;0;0;0;0;0;0;0
