Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
81689;;Taille:select:0;XS:2;RPGARIN16101001;RPGARIN16101001;;;;;;1;;;;;;;;;;;
81689;;Taille:select:0;S:3;RPGARIN16101002;RPGARIN16101002;;;;;;9;;;;;;;;;;;
81689;;Taille:select:0;M:4;RPGARIN16101003;RPGARIN16101003;;;;;;0;;;;;;;;;;;
81689;;Taille:select:0;L:5;RPGARIN16101004;RPGARIN16101004;;;;;;6;;;;;;;;;;;
81689;;Taille:select:0;XL:6;RPGARIN16101005;RPGARIN16101005;;;;;;9;;;;;;;;;;;
81689;;Taille:select:0;XXL:7;RPGARIN16101006;RPGARIN16101006;;;;;;6;;;;;;;;;;;
81690;;Taille:select:0;XS:2;RPGARIN16103301;RPGARIN16103301;;;;;;6;;;;;;;;;;;
81690;;Taille:select:0;S:3;RPGARIN16103302;RPGARIN16103302;;;;;;1;;;;;;;;;;;
81690;;Taille:select:0;M:4;RPGARIN16103303;RPGARIN16103303;;;;;;0;;;;;;;;;;;
81690;;Taille:select:0;L:5;RPGARIN16103304;RPGARIN16103304;;;;;;0;;;;;;;;;;;
81690;;Taille:select:0;XL:6;RPGARIN16103305;RPGARIN16103305;;;;;;11;;;;;;;;;;;
81690;;Taille:select:0;XXL:7;RPGARIN16103306;RPGARIN16103306;;;;;;6;;;;;;;;;;;
81691;;Taille:select:0;XS:2;RPGARIN16116201;RPGARIN16116201;;;;;;6;;;;;;;;;;;
81691;;Taille:select:0;S:3;RPGARIN16116202;RPGARIN16116202;;;;;;7;;;;;;;;;;;
81691;;Taille:select:0;M:4;RPGARIN16116203;RPGARIN16116203;;;;;;10;;;;;;;;;;;
81691;;Taille:select:0;L:5;RPGARIN16116204;RPGARIN16116204;;;;;;8;;;;;;;;;;;
81691;;Taille:select:0;XL:6;RPGARIN16116205;RPGARIN16116205;;;;;;4;;;;;;;;;;;
81692;;Taille:select:0;XS:2;RPGARIN16116401;RPGARIN16116401;;;;;;0;;;;;;;;;;;
81692;;Taille:select:0;S:3;RPGARIN16116402;RPGARIN16116402;;;;;;4;;;;;;;;;;;
81692;;Taille:select:0;M:4;RPGARIN16116403;RPGARIN16116403;;;;;;2;;;;;;;;;;;
81692;;Taille:select:0;L:5;RPGARIN16116404;RPGARIN16116404;;;;;;6;;;;;;;;;;;
81692;;Taille:select:0;XL:6;RPGARIN16116405;RPGARIN16116405;;;;;;8;;;;;;;;;;;
81692;;Taille:select:0;XXL:7;RPGARIN16116406;RPGARIN16116406;;;;;;2;;;;;;;;;;;
