ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85520;;DMD Helm Vintage Weiss;;;;;;;;;;DMD104-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
85521;;DMD Helm Vintage Schwarz Glanz;;;;;;;;;;DMD105-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85522;;DMD Helm Vintage Schwarz Matt;;;;;;;;;;DMD106-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85523;;DMD Helm Vintage Grau Matt;;;;;;;;;;DMD107-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85524;;DMD Helm Vintage Gelb Fluo;;;;;;;;;;DMD126-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
85525;;DMD Helm Vintage Pink Fluo;;;;;;;;;;DMD127-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
85526;;DMD Helm Vintage Grün Fluo;;;;;;;;;;DMD128-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
85527;;DMD Helm Vintage Orange Fluo;;;;;;;;;;DMD129-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
85528;;DMD Helm Vintage Glitter Pink;;;;;;;;;;DMD131-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
85529;;DMD Helm Vintage Glitter Schwarz ;;;;;;;;;;DMD132-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Verfügbarkeit: Auf Anfrage;;;;;;;;;;;;;;;;;
85530;;DMD Helm Vintage Glitter Gold;;;;;;;;;;DMD133-;;;;;;;;;;;;;;;;;"Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehmbar- und waschbar";<ul><li>Jethelm</li><li>3 Helmschalengrössen</li><li>integrierte Druckknöpfe für Visier und Helmschild</li><li>gepolsteter Kinnriemen mit Doppel-D Verschluss</li><li>Gewicht ca. 1.025 g</li><li>Prüfung ECE-DOT</li></ul>;;;;;;Auf Lager;Produkt auf Bestellung: 2-4 Wochen / ohne Rückgaberecht;;;;;;;;;;;;;;;;;
