Product ID*;;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85558;;Taille Casque:select:0;L:4;DMD351-L;DMD351-L;;;;;;0;;;;;;;;;;;
85558;;Taille Casque:select:0;M:3;DMD351-M;DMD351-M;;;;;;0;;;;;;;;;;;
85558;;Taille Casque:select:0;S:2;DMD351-S;DMD351-S;;;;;;0;;;;;;;;;;;
85558;;Taille Casque:select:0;XL:6;DMD351-XL;DMD351-XL;;;;;;0;;;;;;;;;;;
85558;;Taille Casque:select:0;XS:1;DMD351-XS;DMD351-XS;;;;;;0;;;;;;;;;;;
85559;;Taille Casque:select:0;L:4;DMD352-L;DMD352-L;;;;;;0;;;;;;;;;;;
85559;;Taille Casque:select:0;M:3;DMD352-M;DMD352-M;;;;;;0;;;;;;;;;;;
85559;;Taille Casque:select:0;S:2;DMD352-S;DMD352-S;;;;;;0;;;;;;;;;;;
85559;;Taille Casque:select:0;XL:6;DMD352-XL;DMD352-XL;;;;;;0;;;;;;;;;;;
85559;;Taille Casque:select:0;XS:1;DMD352-XS;DMD352-XS;;;;;;0;;;;;;;;;;;
85560;;Taille Casque:select:0;L:4;DMD353-L;DMD353-L;;;;;;0;;;;;;;;;;;
85560;;Taille Casque:select:0;M:3;DMD353-M;DMD353-M;;;;;;0;;;;;;;;;;;
85560;;Taille Casque:select:0;S:2;DMD353-S;DMD353-S;;;;;;0;;;;;;;;;;;
85560;;Taille Casque:select:0;XL:6;DMD353-XL;DMD353-XL;;;;;;0;;;;;;;;;;;
85560;;Taille Casque:select:0;XS:1;DMD353-XS;DMD353-XS;;;;;;0;;;;;;;;;;;
85561;;Taille Casque:select:0;2XL:5;DMD701-2XL;DMD701-2XL;;;;;;0;;;;;;;;;;;
85561;;Taille Casque:select:0;L:4;DMD701-L;DMD701-L;;;;;;0;;;;;;;;;;;
85561;;Taille Casque:select:0;M:3;DMD701-M;DMD701-M;;;;;;0;;;;;;;;;;;
85561;;Taille Casque:select:0;S:2;DMD701-S;DMD701-S;;;;;;0;;;;;;;;;;;
85561;;Taille Casque:select:0;XL:6;DMD701-XL;DMD701-XL;;;;;;0;;;;;;;;;;;
85561;;Taille Casque:select:0;XS:1;DMD701-XS;DMD701-XS;;;;;;0;;;;;;;;;;;
85562;;Taille Casque:select:0;2XL:5;DMD702-2XL;DMD702-2XL;;;;;;0;;;;;;;;;;;
85562;;Taille Casque:select:0;L:4;DMD702-L;DMD702-L;;;;;;0;;;;;;;;;;;
85562;;Taille Casque:select:0;M:3;DMD702-M;DMD702-M;;;;;;0;;;;;;;;;;;
85562;;Taille Casque:select:0;S:2;DMD702-S;DMD702-S;;;;;;0;;;;;;;;;;;
85562;;Taille Casque:select:0;XL:6;DMD702-XL;DMD702-XL;;;;;;0;;;;;;;;;;;
85562;;Taille Casque:select:0;XS:1;DMD702-XS;DMD702-XS;;;;;;0;;;;;;;;;;;
85563;;Taille Casque:select:0;2XL:5;DMD703-2XL;DMD703-2XL;;;;;;0;;;;;;;;;;;
85563;;Taille Casque:select:0;L:4;DMD703-L;DMD703-L;;;;;;0;;;;;;;;;;;
85563;;Taille Casque:select:0;M:3;DMD703-M;DMD703-M;;;;;;0;;;;;;;;;;;
85563;;Taille Casque:select:0;S:2;DMD703-S;DMD703-S;;;;;;0;;;;;;;;;;;
85563;;Taille Casque:select:0;XL:6;DMD703-XL;DMD703-XL;;;;;;0;;;;;;;;;;;
85563;;Taille Casque:select:0;XS:1;DMD703-XS;DMD703-XS;;;;;;0;;;;;;;;;;;
85564;;Taille Casque:select:0;2XL:5;DMD721-2XL;DMD721-2XL;;;;;;0;;;;;;;;;;;
85564;;Taille Casque:select:0;L:4;DMD721-L;DMD721-L;;;;;;0;;;;;;;;;;;
85564;;Taille Casque:select:0;M:3;DMD721-M;DMD721-M;;;;;;0;;;;;;;;;;;
85564;;Taille Casque:select:0;S:2;DMD721-S;DMD721-S;;;;;;0;;;;;;;;;;;
85564;;Taille Casque:select:0;XL:6;DMD721-XL;DMD721-XL;;;;;;0;;;;;;;;;;;
85564;;Taille Casque:select:0;XS:1;DMD721-XS;DMD721-XS;;;;;;0;;;;;;;;;;;
85565;;Taille Casque:select:0;2XL:5;DMD751-2XL;DMD751-2XL;;;;;;0;;;;;;;;;;;
85565;;Taille Casque:select:0;L:4;DMD751-L;DMD751-L;;;;;;0;;;;;;;;;;;
85565;;Taille Casque:select:0;M:3;DMD751-M;DMD751-M;;;;;;0;;;;;;;;;;;
85565;;Taille Casque:select:0;S:2;DMD751-S;DMD751-S;;;;;;0;;;;;;;;;;;
85565;;Taille Casque:select:0;XL:6;DMD751-XL;DMD751-XL;;;;;;0;;;;;;;;;;;
85565;;Taille Casque:select:0;XS:1;DMD751-XS;DMD751-XS;;;;;;0;;;;;;;;;;;
85566;;Taille Casque:select:0;2XL:5;DMD752-2XL;DMD752-2XL;;;;;;0;;;;;;;;;;;
85566;;Taille Casque:select:0;L:4;DMD752-L;DMD752-L;;;;;;0;;;;;;;;;;;
85566;;Taille Casque:select:0;M:3;DMD752-M;DMD752-M;;;;;;0;;;;;;;;;;;
85566;;Taille Casque:select:0;S:2;DMD752-S;DMD752-S;;;;;;0;;;;;;;;;;;
85566;;Taille Casque:select:0;XL:6;DMD752-XL;DMD752-XL;;;;;;0;;;;;;;;;;;
85566;;Taille Casque:select:0;XS:1;DMD752-XS;DMD752-XS;;;;;;0;;;;;;;;;;;
85567;;Taille Casque:select:0;2XL:5;DMD753-2XL;DMD753-2XL;;;;;;0;;;;;;;;;;;
85567;;Taille Casque:select:0;L:4;DMD753-L;DMD753-L;;;;;;0;;;;;;;;;;;
85567;;Taille Casque:select:0;M:3;DMD753-M;DMD753-M;;;;;;0;;;;;;;;;;;
85567;;Taille Casque:select:0;S:2;DMD753-S;DMD753-S;;;;;;0;;;;;;;;;;;
85567;;Taille Casque:select:0;XL:6;DMD753-XL;DMD753-XL;;;;;;0;;;;;;;;;;;
85567;;Taille Casque:select:0;XS:1;DMD753-XS;DMD753-XS;;;;;;0;;;;;;;;;;;
85568;;Taille Casque:select:0;2XL:5;DMD754-2XL;DMD754-2XL;;;;;;0;;;;;;;;;;;
85568;;Taille Casque:select:0;L:4;DMD754-L;DMD754-L;;;;;;1;;;;;;;;;;;
85568;;Taille Casque:select:0;M:3;DMD754-M;DMD754-M;;;;;;0;;;;;;;;;;;
85568;;Taille Casque:select:0;S:2;DMD754-S;DMD754-S;;;;;;0;;;;;;;;;;;
85568;;Taille Casque:select:0;XL:6;DMD754-XL;DMD754-XL;;;;;;0;;;;;;;;;;;
85568;;Taille Casque:select:0;XS:1;DMD754-XS;DMD754-XS;;;;;;0;;;;;;;;;;;
85569;;Taille Casque:select:0;2XL:5;DMD771-2XL;DMD771-2XL;;;;;;0;;;;;;;;;;;
85569;;Taille Casque:select:0;L:4;DMD771-L;DMD771-L;;;;;;0;;;;;;;;;;;
85569;;Taille Casque:select:0;M:3;DMD771-M;DMD771-M;;;;;;0;;;;;;;;;;;
85569;;Taille Casque:select:0;S:2;DMD771-S;DMD771-S;;;;;;0;;;;;;;;;;;
85569;;Taille Casque:select:0;XL:6;DMD771-XL;DMD771-XL;;;;;;0;;;;;;;;;;;
85569;;Taille Casque:select:0;XS:1;DMD771-XS;DMD771-XS;;;;;;0;;;;;;;;;;;
85570;;Taille Casque:select:0;2XL:5;DMD801-2XL;DMD801-2XL;;;;;;0;;;;;;;;;;;
85570;;Taille Casque:select:0;L:4;DMD801-L;DMD801-L;;;;;;0;;;;;;;;;;;
85570;;Taille Casque:select:0;M:3;DMD801-M;DMD801-M;;;;;;0;;;;;;;;;;;
