ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85520;1;Casque DMD Vintage Blanc;198;230.56;1;138.336;1;;10;;;DMD104-;DMD104-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Produit sur commande: 2-4 semaines / sans droit au retour;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85521;1;Casque DMD Vintage Noir Brillant;198;230.56;1;138.336;1;;10;;;DMD105-;DMD105-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85522;1;Casque DMD Vintage Noir Mat;198;230.56;1;138.336;1;;10;;;DMD106-;DMD106-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85523;1;Casque DMD Vintage Gris Mat;198;230.56;1;138.336;1;;10;;;DMD107-;DMD107-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85524;1;Casque DMD Vintage Gelb Fluo;198;267.59;1;160.554;1;;10;;;DMD126-;DMD126-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Produit sur commande: 2-4 semaines / sans droit au retour;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85525;0;Casque DMD Vintage Pink Fluo;198;267.59;1;160.554;1;;10;;;DMD127-;DMD127-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Produit sur commande: 2-4 semaines / sans droit au retour;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85526;0;Casque DMD Vintage Vert Fluo;198;267.59;1;160.554;1;;10;;;DMD128-;DMD128-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Produit sur commande: 2-4 semaines / sans droit au retour;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85527;0;Casque DMD Vintage Orange Fluo;198;267.59;1;160.554;1;;10;;;DMD129-;DMD129-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Produit sur commande: 2-4 semaines / sans droit au retour;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85528;1;Casque DMD Vintage Glitter Pink;198;267.59;1;160.554;1;;10;;;DMD131-;DMD131-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Produit sur commande: 2-4 semaines / sans droit au retour;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
85529;1;Casque DMD Vintage Glitter Noir ;198;267.59;1;160.554;1;;10;;;DMD132-;DMD132-;Freidig;DMD;;;;;;;;0;;;;;;"Matériel: fibre de verre
Intérieur: de haute qualité, antibactérien, amovible et lavable";<ul><li>Casque jet<li></li>3 tailles de coque<li></li>clips intégrés pour visière et visière offroad<li></li>sangle de menton rembourrée avec fermeture double-D<li></li>poids env. 1.025 g<li></li>homolgation ECE-DOT</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Genre:Unisex:1,Coque:Fibre de verre:2,écran anti-buée:Non:3,Cache-Nez:Non:4,Double écran solaire:Non:5,Intérieur démontable et lavable:Oui:6,Jugulaire:Boucle Double D:7;0;new;0;0;0;2;0;0;0;0
