ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
87184;1;Kit Interphone pour auto;232;249.0740741;1;159.4074074;1;;5;;;Z5681-CARKIT;Z5681-CARKIT;Motochic;Interphone;;;;;;;;;;;;;;;<B><H2>TROUSSE POUR L?AUTO</B></H2>Mains libres pour auto pour INTERPHONE série F.<BR><BR><B>POUR DIALOGUER ENTRE MOTO ET AUTO</B><BR>TROUSSE D?AUTO INTERPHONE est un mains libres pour auto doté d?interphone qui permet de converser à mains libres via Bluetooth® avec n?importe quel motocycliste doté d?INTERPHONE F4 CELLULAR LINE®*.<BR><BR>*Interphone F4 non inclus dans la confection<BR><BR><B>Caractéristiques</B><UL><LI> Technologie sans fil Bluetooth®</LI><LI> Distance moto-auto: 500m en champ ouvert </LI><LI> Communication bidirectionnelle simultanée avec filtre DSP</LI><LI> Haut-parleur externe à haut rendement</LI><LI> Prédisposé pour interface à dispositifs avec entrée AUX</LI><LI> Autonomie conversation: Jusqu?à 10 heures</LI><LI> Autonomie mise en attente: Jusqu?à 700 heures</LI></UL>;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5681-CARKIT.jpg,http://shop.motochic.ch/shopimages/super/Z5681-CARKIT_01.jpg,http://shop.motochic.ch/shopimages/super/Z5681-CARKIT_02.jpg,http://shop.motochic.ch/shopimages/super/Z5681-CARKIT_03.jpg;0;;0;new;0;0;0;2;0;0;0;0
87188;1;F4 Chargeur de batterie voiture et moto;232;28.7037037;1;18.37037037;1;;5;;;Z5681-F4-CHARG02;Z5681-F4-CHARG02;Motochic;Interphone;;;;;;;;;;;;;;Divers accessoires pour la gamme des appareils Bluetooth de chez Interphone.;<B><H2>CHARGE BATTERIE POUR PRISE ALLUME-CIGARETTES SERIE F</B></H2>Charge batteries INTERPHONE série F pour prise allume cigarettes avec câbles réembobinables. Recharge INTERPHONE F4 / F3 / F2 de n?importe quel alimenteur pour allume-cigarettes de 12 ou 24V.<BR>Une fois la charge effectuée, il suffit d?appuyer sur une touche pour enrouler complètement le câble et le reposer avec le maximum de pratique et commodité.<BR><BR><B>Caractéristiques</B><UL><LI>Entrée: 12/24V</LI><LI>Sortie: spécifique pour INTERPHONE série F</LI><LI>Câble réembobinable escamotable</LI><LI>Touche pour le rembobinage automatique</LI><LI>Circuit électronique de protection de surcharge et courts circuits</LI><LI>Circuit pour l?optimisation des temps de chargement</LI><LI>Conception ergonomique</LI></UL><B><BR>Compatibilité</B><BR>Compatible avec INTERPHONE F4/F3/F2;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5681-F4-CHARG02.jpg;0;;0;new;0;0;0;2;0;0;0;0
87190;1;F5 Câble Charge USB;232;14.81481481;1;9.481481481;1;;5;;;Z5681-F5-CHARG03;Z5681-F5-CHARG03;Motochic;Interphone;;;;;;;;;;;;;;Divers accessoires pour la gamme des appareils Bluetooth de chez Interphone.;"<B><H2>CABLE DONNEES/RECHARGEMENT USB F5</B></H2>Câble pour rechargement au moyen de USB.<BR><BR><B>Caractéristiques</B><UL><LI>Câble USB longueur 1mt. avec connecteur
INTERPHONE F5</LI></UL><B>Compatibilité</B><UL><LI>Tous les INTERPHONE F5</LI></UL>";;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5681-F5-CHARG03.jpg;0;;0;new;0;0;0;2;0;0;0;0
87191;1;F5 Pièces de rechange;232;13.88888889;1;8.888888889;1;;5;;;Z5681-F5-SPARE;Z5681-F5-SPARE;Motochic;Interphone;;;;;;;;;;;;;;Divers accessoires pour la gamme des appareils Bluetooth de chez Interphone.;<B><H2>TROUSSE PIECES DE RECHANGE POUR INTERPHONEF5</B></H2>Pièces de rechange assorties:<BR>1 étrier adhésif<BR>1 étrier clip<BR>1 pop anti-vent <BR>Velcro adhésifs <BR><BR><B>Compatibilité</B><BR>Tous les INTERPHONE F5;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5681-F5-SPARE.jpg;0;;0;new;0;0;0;2;0;0;0;0
87200;1;Adaptateur pour prise électrique avec câble;232;21.2962963;1;13.62962963;1;;5;;;Z5682-001-00;Z5682-001-00;Motochic;Interphone;;;;;;;;;;;;;;Adaptateur pour prise électrique avec câble;<B><H2>MINI CONNECTEUR POUR PRISE ALLUME-CIGARETTES</B></H2>ACCMOTOADAPTER est un adaptateur à 12 V avec connecteur DIN, permettant de recharger plusieurs dispositifs électroniques sur la moto comme des téléphones intelligents, GPS, numériseurs, tablets, caméras numériques, interphones Bluetooth®, powerbanks etc.<BR>ACCMOTOADAPTER est équipé de câbles de rallonge permettant de charger les dispositifs durant la marche et d?un bouchon amovible en caoutchouc qui en garantit l?étanchéité. D?utilisation facile, il est compatible avec la majeure partie des modèles plus récents qui adoptent un connecteur DIN.<BR><BR><B>Utilisation conseillée avec MICROCBRUSB et MICROCBRUSBDUAL</B><BR>* Non compris dans la trousse.;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5682-001-00.jpg;0;;0;new;0;0;0;2;0;0;0;0
87205;1;Chargeur USB pour allume-cigare;232;17.59259259;1;11.25925926;1;;5;;;Z5682-CHARGER02;Z5682-CHARGER02;Motochic;Interphone;;;;;;;;;;;;;;Chargeur USB pour allume-cigare;<br>;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5682-CHARGER02.jpg;0;;0;new;0;0;0;2;0;0;0;0
87206;1;Chargeur de batterie avec port USB;232;20.37037037;1;13.03703704;1;;5;;;Z5682-CHARGER03;Z5682-CHARGER03;Motochic;Interphone;;;;;;;;;;;;;;;<ul><li>Adaptateur automatique jpour prises de courant de 110 à 240V</li><li>Circuit de protection contre surcharges et courts-circuits</li><li>Prise USB standard de 1000mA</li></ul>;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5682-CHARGER03.jpg;0;;0;new;0;0;0;2;0;0;0;0
87207;1;Chargeur pour GPS-Safe tracker pour la voiture ou la moto;232;45.37037037;1;29.03703704;1;;5;;;Z5683-CHARGER01;Z5683-CHARGER01;Motochic;Interphone;;;;;;;;;;;;;;Pour une localisation facile de votre véhicule par GPS.;"<B><H2>LOCALISATEUR SATELLITAIRE DE SECURITE</B></H2>Ce dispositif, grâce aux réseaux GSM, GPRS au capteur satellitaire GPS, permet de localiser les choses et les personnes en n?importe
quel point de la terre, simplement en utilisant un téléphone intelligent ou un pc avec connexion à Internet.<BR>Les utilisations de GPS SAFE sont multiples:<BR><BR><B>SATELLITAIRE CONTRE LE VOL POUR AUTO, MOTO OU AUTRE VÉHICULE</B><BR>Si utilisé sur un autre véhicule, opportunément configuré et activé, GPS SAFE, en cas de déplacement, enverra un lien à travers SMS; en cliquant sur le lien reçu, la carte avec la zone et position du véhicule même s?ouvre. En cas d?utilisation en mouvement, grâce au capteur de mouvement accidentel, l?alarme sera envoyée à travers SMS même si la moto est uniquement enlevée du trépied.<BR><BR><B>ALARME SALVAVITA</B><BR>Grâce à la touche SOS le dispositif peut être utilisé comme salvavita. En appuyant sur la touche SOS, GPS SAFE appellera tour à tour 5 numéros téléphonique sauvegardés jusqu?à ce que vous receviez une
réponse d?un des 5.<BR><BR><B>CONTRÔLE ENFANTS</B><BR>Si placé dans le sac d?école de votre fils il vous permet de connaître en temps réel sa position simplement en envoyant un SMS.<BR><BR><B>CONTRÔLE ANIMAUXI</B><BR>Si placé sur collier ou selles (chavaux) il permet de connaître dans quel endroit se trouve votre animal simplement en envoyant un SMS.<BR><BR><B>SÉCURITÉ AMBIENTALE</B><BR>Grâce à la fonction de surveillance à distance il permet d?écouter ce qui se produit dans le lieu où le dispositif est placé.<BR><BR><B>LOCALISATION DE GROUPES</B><BR>Utile pour connaître la position des équipes de travail, excursionnistes,
équipes de secours, sports extrêmes, trekking, parapente, etc.<BR><BR><B>PISTAGE D?EXPÉDITIONS DE VALEUR</B><BR>Si bien caché dans la marchandise d?expédition, permet d?effectuer le pistage en temps réel de l?expédition.<BR><BR><B>AUCUN ABONNEMENT AUX CENTRALES D?EXPLOITATION</B><BR>Il est suffisant d?installer une carte Sim active et avec crédit suffisant
pour l?envoi de sms ou appels.<BR><BR><B>Fonctions</B><BR><UL><LI>Alarme SOS d?urgence avec appel téléphonique</LI><LI>Surveillance audio pour assistance immédiate</LI><LI>Protection imperméable IPX7 pour détection en situations environnementales adverses</LI><LI>Positionnement GPS et GSM pour une meilleure détermination de la position</LI><LI>Capteur intégré pour la détection des mouvements accidentels</LI><LI>Alarme géo périmétrique pour la protection des biens de valeur</LI><LI>Sauvetage des déplacements sur carte mémoire Micro SD</LI><LI>Commande à distance par SMS des fonctions de localisation</LI><LI>Logiciel de gestion de piste avec visualisation des déplacement sur la carte</LI></UL>";;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5683-CHARGER01.jpg;0;;0;new;0;0;0;2;0;0;0;0
87208;1;Supports pour guidons non-tubulaires;232;25;1;16;1;;5;;;Z5684-011-00;Z5684-011-00;Motochic;Interphone;;;;;;;;;;;;;;Divers accessoires pour GPS et sacs smartphones ou Interphone.;"<B><H2>SSC, SUPPORT POUR GUIDONS NON-TUBULAIRES</B></H2>Système de fixation pour guidons non tubulaires. Grâce au précieux mécanisme de serrage à conduite obligée et au micro-réglage du dispositif de blocage de la ceinture, il permet d?obtenir la stabilité maximale sur les guidons non tubulaires de scooters et motos. La bande de caoutchouc en dotation doit être appliquée dans la partie interne de la ceinture micrométrique en protégeant le guidon de traction ou des frottements et doit être retaillée préalablement sur la mesure de la circonférence du guidon même. L??illet terminal robuste et la ceinture micrométrique permettent une traction progressive pour rejoindre la stabilité définitive de l?entier système de fixation.
Le système de réglage de l?étrier de support permet un réglage précis de l?angle du dispositif d?encliquetage à baïonnette pour les produits dédiés de la gamme Interphone. SSC est intelligente et robuste et ne requiert pas d?installation par un personnel qualififié.<BR><BR><B>Fonctions</B><BR><UL><LI>Pour guidon avec section non tubulaire jusqu?à 50 cm</LI><LI>Support universel avec système de décrochage rapide</LI><LI>Ceinture micrométrique</LI><LI>Étrier de montage avec angle réglable (360°)</LI><LI>Étanche</LI></UL>";;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5684-011-00.jpg,http://shop.motochic.ch/shopimages/super/Z5684-011-00_01.jpg,http://shop.motochic.ch/shopimages/super/Z5684-011-00_02.jpg;0;;0;new;0;0;0;2;0;0;0;0
87209;1;Supports pour guidons tubulaires;232;15.74074074;1;10.07407407;1;;5;;;Z5684-012-00;Z5684-012-00;Motochic;Interphone;;;;;;;;;;;;;;Divers accessoires pour GPS et sacs smartphones ou Interphone.;<B><H2>SM, SUPPORT POUR SÉRIE SM</B></H2>Support pour guidons tubulaires de moto et vélo pour SMSMARTPHONE, SMGPS35, SMGPS43.<BR><UL><LI>Support pour guidons tubulaires de 12 à 30 mm de diamètre</LI><LI>Système d?accrochage/décrochage rapide</LI><LI>Rotation du support à 360°</LI></UL>;;;;;;En Stock;Disponibilité: Sur demande;1;;;1;http://shop.motochic.ch/shopimages/super/Z5684-012-00.jpg;0;;0;new;0;0;0;2;0;0;0;0
