ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85605;;Acerbis Schuhe Corporate Schwarz-Orange ;;;;;;;;;;0017806.313;;;;;;;;;;;;;;;;;;Laufschuhe, mit Netzinnenfutter, mit Synthetikleder verstärkt, EVA-Fussbett, Sohle mit Gummi-Einlagen;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85606;;Acerbis Stiefel Adventure Schwarz ;;;;;;;;;;0022200.090;;;;;;;;;;;;;;;;;;"- Enduro-Stiefel aus Leder
- Membran wasserdicht und atmungsaktiv
- Verschluss per 3 mikrometrische Schnallen für eine perfekte Einstellung
- Laufsohle aus Gummi
- Wärme- und abriebfeste Verstärkungen auf der Innenseite des Stiefels
- Protektoren aus TPR
";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85607;;Acerbis Stiefel X-Move 2.0 Grau ;;;;;;;;;;0017719.070;;;;;;;;;;;;;;;;;;Leder, Gelenk im Knöchelbereich, Gummieinsätze an der Innenseite der Wade, Innenfutter aus hypoallergenem Gewebe, extra Posterung zum Schutz der Knöchel, austauschbarer Zehenschutz aus Stahl, Aluminiumschnallen, rutschfeste Vibram Gummisohle, geprüft nach EN 13634:2010 L2;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85608;;Acerbis Stiefel X-Move 2.0 Schwarz ;;;;;;;;;;0017719.090;;;;;;;;;;;;;;;;;;Leder, Gelenk im Knöchelbereich, Gummieinsätze an der Innenseite der Wade, Innenfutter aus hypoallergenem Gewebe, extra Posterung zum Schutz der Knöchel, austauschbarer Zehenschutz aus Stahl, Aluminiumschnallen, rutschfeste Vibram Gummisohle, geprüft nach EN 13634:2010 L2;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85609;;Acerbis Stiefel X-Move 2.0 Weiss ;;;;;;;;;;0017719.030;;;;;;;;;;;;;;;;;;Leder, Gelenk im Knöchelbereich, Gummieinsätze an der Innenseite der Wade, Innenfutter aus hypoallergenem Gewebe, extra Posterung zum Schutz der Knöchel, austauschbarer Zehenschutz aus Stahl, Aluminiumschnallen, rutschfeste Vibram Gummisohle, geprüft nach EN 13634:2010 L2;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85610;;Acerbis Stiefel X-Move 2.0 Neon Gelb-Schwarz ;;;;;;;;;;0017719.443;;;;;;;;;;;;;;;;;;Leder, Gelenk im Knöchelbereich, Gummieinsätze an der Innenseite der Wade, Innenfutter aus hypoallergenem Gewebe, extra Posterung zum Schutz der Knöchel, austauschbarer Zehenschutz aus Stahl, Aluminiumschnallen, rutschfeste Vibram Gummisohle, geprüft nach EN 13634:2010 L2;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85611;;Acerbis Stiefel Shark Kinder Weiss-Schwarz ;;;;;;;;;;0017934.237;;;;;;;;;;;;;;;;;;Bedrucktes Leder, Schutzplastik, Hitzeschutz, Zehenschutz aus Stahl, Aluminium-Schnallen, rutschfeste, benzin- und oelresistente Gummisohle, geprüft nach EN 13634;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85612;;Acerbis Stiefel Shark Kinder Neon Gelb ;;;;;;;;;;0017934.443;;;;;;;;;;;;;;;;;;Bedrucktes Leder, Schutzplastik, Hitzeschutz, Zehenschutz aus Stahl, Aluminium-Schnallen, rutschfeste, benzin- und oelresistente Gummisohle, geprüft nach EN 13634;;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85613;;Acerbis Regen Set Rain Suit Logo Gelb Fluo-Schwarz ;;;;;;;;;;0016428.318;;;;;;;;;;;;;;;;;;"- Ensemble, das aus einer Regenjacke und einer Hose besteht, die aus Polyester und PVC gefertigt sind, Reflektoren vorhanden, die den Normen CE EN 471 entsprechen
- Regenjacke mit Reißverschluss, Einstellung per Klettverschluss an den Handgelenken mit ein";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85614;;Acerbis Regen Set Rain Suit Logo Blau-Schwarz ;;;;;;;;;;0016428.251;;;;;;;;;;;;;;;;;;"- Ensemble, das aus einer Regenjacke und einer Hose besteht, die aus Polyester und PVC gefertigt sind, Reflektoren vorhanden, die den Normen CE EN 471 entsprechen
- Regenjacke mit Reißverschluss, Einstellung per Klettverschluss an den Handgelenken mit ein";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85615;;Acerbis Regen Set Rain Suit Logo Rot-Schwarz ;;;;;;;;;;0016428.349;;;;;;;;;;;;;;;;;;"- Ensemble, das aus einer Regenjacke und einer Hose besteht, die aus Polyester und PVC gefertigt sind, Reflektoren vorhanden, die den Normen CE EN 471 entsprechen
- Regenjacke mit Reißverschluss, Einstellung per Klettverschluss an den Handgelenken mit ein";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85616;;Acerbis Regen Set Rain Suit Logo Schwarz ;;;;;;;;;;0016428.090;;;;;;;;;;;;;;;;;;"- Ensemble, das aus einer Regenjacke und einer Hose besteht, die aus Polyester und PVC gefertigt sind, Reflektoren vorhanden, die den Normen CE EN 471 entsprechen
- Regenjacke mit Reißverschluss, Einstellung per Klettverschluss an den Handgelenken mit ein";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85617;;Acerbis Regen Set Rain Suit Logo Orange Fluo-Schwarz ;;;;;;;;;;0016428.209;;;;;;;;;;;;;;;;;;"- Ensemble, das aus einer Regenjacke und einer Hose besteht, die aus Polyester und PVC gefertigt sind, Reflektoren vorhanden, die den Normen CE EN 471 entsprechen
- Regenjacke mit Reißverschluss, Einstellung per Klettverschluss an den Handgelenken mit ein";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85618;;Acerbis Ottano Neon Gelb Jethelm ;;;;;;;;;;0022212.061;;;;;;;;;;;;;;;;;;"Verschluss mit Doppel D-Ring, weiches, anallergisches Futter, 3 Schalen für 6 Grössen, um maximalen Komfort zu garantieren, Sonnenvisier inbegriffen, Zulassung ECE/ONU 2205, Gewicht +/- 1000g

Material: ABS 100%";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85619;;Acerbis Offroadhelm Impact 3.0 Schwarz-Gelb Fluo ;;;;;;;;;;0022100.318;;;;;;;;;;;;;;;;;;"2 Helmschalengrössen, Belüftung vorne und hinten, einstellbares Helmschild, Verschluss Doppel-D, Gewicht ca. 1.090 g, Prüfung ece 22-05

Material: Fiberglas
Innenfutter: hochwertig, antibakteriell, herausnehm- und waschbar";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85620;;Acerbis Pants Spacelord Schwarz-Grün ;;;;;;;;;;0022439.325;;;;;;;;;;;;;;;;;;"ZUSAMMENSETZUNG:
• 95% polyester; 5% kevlar
MATERIAL:
• Innen: Meshfutter bis zum Knie.
• Außen: Hochwertiges Polyester 600D
DETAILS:
• Reißverschluss, Überlappung und Doppelknopf
• Doppelte Bundweitenregulierung mittels Band und Klettverschluss
• Beidseitige Kevlar®-Verstärkung an Knie-Innenseite
• Schaumverstärkung im Kniebereich
• Hochdichtes Polyester im Gesäßbereich für maximalen Grip, Komfort und Festigkeit
• Stretcheinsätze über dem Knie, an der Vorder- und Hinterseite und Waden, für maximale Bewegungsfreiheit
• Innovative Digitaltechnologie für Fluo-Farben
• Doppel- und Dreifachnähte an kritischen Bereichen
• Gewicht 700 Gr.";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85621;;Acerbis Pants X-Flex Orange Fluo-Schwarz ;;;;;;;;;;0021670.209;;;;;;;;;;;;;;;;;;"COMPONENTS:
Shell: 84% Polyester, 7% Nylon, 5% Spandex, 4% Kevlar
Lining: 100% Polyester
MATERIALS:
Inner Mesh lining to the knee
Outer High density poyester 600D
DETAILS:
- Zipper closure, double snap with hook and plastic micro adjustments
- Double waist adjustments with Velcro
-Reinforcement with Kevlar Shoeller for the inside of the knee
- Foam reinforcements on the knee
- Cordura in the area of contact with the seat to provide greater grip, comfort and durability
-Elastic bands above the knee, front, lower back and calf area for macimum mobility
- Innovative digital technology that has the ability to obtain fluorescent colors
- double and triple stitching in critical areas
- Weight 700 gr";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85622;;Acerbis Pants Profile Orange-Blau ;;;;;;;;;;0022126.204;;;;;;;;;;;;;;;;;;"COMPONENTS:
- 95% Polyester, 5% Kevlar
MATERIALS:
- Inner mesh lining to the knee
- Outer Polyester 600D
DETAILS:
- Fly closure with zipper and double snap.
- Double waist adjustment with Velcro straps
- Foam reinforcement and soft TPR patches on the knee
- Kevlar Armortex reinforcement on the inside of the knee
- Double and triple stitching in critical areas
- Weight 800 gr";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
85623;;Acerbis Pants X-Flex Schwarz-Gelb Fluo ;;;;;;;;;;0021670.318;;;;;;;;;;;;;;;;;;"COMPONENTS:
Shell: 84% Polyester, 7% Nylon, 5% Spandex, 4% Kevlar
Lining: 100% Polyester
MATERIALS:
Inner Mesh lining to the knee
Outer High density poyester 600D
DETAILS:
- Zipper closure, double snap with hook and plastic micro adjustments
- Double waist adjustments with Velcro
-Reinforcement with Kevlar Shoeller for the inside of the knee
- Foam reinforcements on the knee
- Cordura in the area of contact with the seat to provide greater grip, comfort and durability
-Elastic bands above the knee, front, lower back and calf area for macimum mobility
- Innovative digital technology that has the ability to obtain fluorescent colors
- double and triple stitching in critical areas
- Weight 700 gr";;;;;;Auf Lager;Verfügbarkeit: Lieferzeit auf Anfrage;;;;;;;;;;;;;;;;;
