Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
85695;;Taille:select:0;XS:1;0022035.111.061;0022035.111.061;;;;;;1;;;;;;;;;;;
85695;;Taille:select:0;S:2;0022035.111.062;0022035.111.062;;;;;;0;;;;;;;;;;;
85695;;Taille:select:0;M:4;0022035.111.064;0022035.111.064;;;;;;0;;;;;;;;;;;
85695;;Taille:select:0;L:5;0022035.111.066;0022035.111.066;;;;;;0;;;;;;;;;;;
85695;;Taille:select:0;XL:7;0022035.111.068;0022035.111.068;;;;;;0;;;;;;;;;;;
85697;;Taille:select:0;XS:1;0022035.807.061;0022035.807.061;;;;;;3;;;;;;;;;;;
85697;;Taille:select:0;S:2;0022035.807.062;0022035.807.062;;;;;;2;;;;;;;;;;;
85697;;Taille:select:0;M:4;0022035.807.064;0022035.807.064;;;;;;0;;;;;;;;;;;
85697;;Taille:select:0;L:5;0022035.807.066;0022035.807.066;;;;;;2;;;;;;;;;;;
85616;;Taille:select:0;XS:1;0016428.090.061;0016428.090.061;;;;;;2;;;;;;;;;;;
85616;;Taille:select:0;S:2;0016428.090.062;0016428.090.062;;;;;;2;;;;;;;;;;;
85616;;Taille:select:0;M:4;0016428.090.064;0016428.090.064;;;;;;3;;;;;;;;;;;
85616;;Taille:select:0;L:5;0016428.090.066;0016428.090.066;;;;;;3;;;;;;;;;;;
85616;;Taille:select:0;XL:7;0016428.090.068;0016428.090.068;;;;;;3;;;;;;;;;;;
85616;;Taille:select:0;2XL:8;0016428.090.069;0016428.090.069;;;;;;3;;;;;;;;;;;
85616;;Taille:select:0;3XL:9;0016428.090.070;0016428.090.070;;;;;;2;;;;;;;;;;;
85617;;Taille:select:0;XS:1;0016428.209.061;0016428.209.061;;;;;;2;;;;;;;;;;;
85617;;Taille:select:0;S:2;0016428.209.062;0016428.209.062;;;;;;2;;;;;;;;;;;
85617;;Taille:select:0;M:4;0016428.209.064;0016428.209.064;;;;;;2;;;;;;;;;;;
85617;;Taille:select:0;L:5;0016428.209.066;0016428.209.066;;;;;;2;;;;;;;;;;;
85617;;Taille:select:0;XL:7;0016428.209.068;0016428.209.068;;;;;;3;;;;;;;;;;;
85617;;Taille:select:0;2XL:8;0016428.209.069;0016428.209.069;;;;;;2;;;;;;;;;;;
85617;;Taille:select:0;3XL:9;0016428.209.070;0016428.209.070;;;;;;2;;;;;;;;;;;
85614;;Taille:select:0;XS:1;0016428.251.061;0016428.251.061;;;;;;0;;;;;;;;;;;
85614;;Taille:select:0;S:2;0016428.251.062;0016428.251.062;;;;;;0;;;;;;;;;;;
85614;;Taille:select:0;M:4;0016428.251.064;0016428.251.064;;;;;;0;;;;;;;;;;;
85614;;Taille:select:0;L:5;0016428.251.066;0016428.251.066;;;;;;0;;;;;;;;;;;
85614;;Taille:select:0;XL:7;0016428.251.068;0016428.251.068;;;;;;0;;;;;;;;;;;
85614;;Taille:select:0;2XL:8;0016428.251.069;0016428.251.069;;;;;;0;;;;;;;;;;;
85614;;Taille:select:0;3XL:9;0016428.251.070;0016428.251.070;;;;;;0;;;;;;;;;;;
