Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
83100;;Taille:select:0;2XL:8;Z10004-312-2XL;Z10004-312-2XL;;;;;;5;;;;;;;;;;;
83100;;Taille:select:0;XL:7;Z10004-312-XL;Z10004-312-XL;;;;;;3;;;;;;;;;;;
83100;;Taille:select:0;S:4;Z10004-312-S;Z10004-312-S;;;;;;0;;;;;;;;;;;
83100;;Taille:select:0;XS:3;Z10004-312-XS;Z10004-312-XS;;;;;;4;;;;;;;;;;;
83113;;Taille:select:0;L:6;Z11500-M99-L;Z11500-M99-L;;;;;;0;;;;;;;;;;;
83113;;Taille:select:0;2XS:1;Z11500-M99-2XS;Z11500-M99-2XS;;;;;;0;;;;;;;;;;;
83113;;Taille:select:0;M:5;Z11500-M99-M;Z11500-M99-M;;;;;;7;;;;;;;;;;;
83113;;Taille:select:0;2XL:8;Z11500-M99-2XL;Z11500-M99-2XL;;;;;;0;;;;;;;;;;;
83113;;Taille:select:0;XS:3;Z11500-M99-XS;Z11500-M99-XS;;;;;;1;;;;;;;;;;;
83113;;Taille:select:0;S:4;Z11500-M99-S;Z11500-M99-S;;;;;;15;;;;;;;;;;;
83113;;Taille:select:0;XL:7;Z11500-M99-XL;Z11500-M99-XL;;;;;;0;;;;;;;;;;;
83114;;Taille:select:0;XL:7;Z11501-239-XL;Z11501-239-XL;;;;;;2;;;;;;;;;;;
83114;;Taille:select:0;L:6;Z11501-239-L;Z11501-239-L;;;;;;3;;;;;;;;;;;
83114;;Taille:select:0;M:5;Z11501-239-M;Z11501-239-M;;;;;;2;;;;;;;;;;;
83114;;Taille:select:0;2XL:8;Z11501-239-2XL;Z11501-239-2XL;;;;;;0;;;;;;;;;;;
83114;;Taille:select:0;S:4;Z11501-239-S;Z11501-239-S;;;;;;8;;;;;;;;;;;
83115;;Taille:select:0;XL:7;Z11501-391-XL;Z11501-391-XL;;;;;;8;;;;;;;;;;;
83115;;Taille:select:0;M:5;Z11501-391-M;Z11501-391-M;;;;;;3;;;;;;;;;;;
83115;;Taille:select:0;S:4;Z11501-391-S;Z11501-391-S;;;;;;5;;;;;;;;;;;
83115;;Taille:select:0;L:6;Z11501-391-L;Z11501-391-L;;;;;;1;;;;;;;;;;;
83116;;Taille:select:0;S:4;Z11502-239-S;Z11502-239-S;;;;;;15;;;;;;;;;;;
83116;;Taille:select:0;XL:7;Z11502-239-XL;Z11502-239-XL;;;;;;2;;;;;;;;;;;
83116;;Taille:select:0;M:5;Z11502-239-M;Z11502-239-M;;;;;;14;;;;;;;;;;;
83116;;Taille:select:0;2XL:8;Z11502-239-2XL;Z11502-239-2XL;;;;;;0;;;;;;;;;;;
83116;;Taille:select:0;L:6;Z11502-239-L;Z11502-239-L;;;;;;3;;;;;;;;;;;
83116;;Taille:select:0;XS:3;Z11502-239-XS;Z11502-239-XS;;;;;;4;;;;;;;;;;;
83116;;Taille:select:0;2XS:1;Z11502-239-2XS;Z11502-239-2XS;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;L:6;Z11502-439-L;Z11502-439-L;;;;;;6;;;;;;;;;;;
83117;;Taille:select:0;S:4;Z11502-439-S;Z11502-439-S;;;;;;17;;;;;;;;;;;
83117;;Taille:select:0;2XL:8;Z11502-439-2XL;Z11502-439-2XL;;;;;;0;;;;;;;;;;;
83117;;Taille:select:0;XL:7;Z11502-439-XL;Z11502-439-XL;;;;;;12;;;;;;;;;;;
83117;;Taille:select:0;2XS:1;Z11502-439-2XS;Z11502-439-2XS;;;;;;1;;;;;;;;;;;
83117;;Taille:select:0;M:5;Z11502-439-M;Z11502-439-M;;;;;;8;;;;;;;;;;;
83117;;Taille:select:0;XS:3;Z11502-439-XS;Z11502-439-XS;;;;;;8;;;;;;;;;;;
83118;;Taille:select:0;L:6;Z11502-739-L;Z11502-739-L;;;;;;8;;;;;;;;;;;
83118;;Taille:select:0;M:5;Z11502-739-M;Z11502-739-M;;;;;;4;;;;;;;;;;;
83118;;Taille:select:0;S:4;Z11502-739-S;Z11502-739-S;;;;;;19;;;;;;;;;;;
83118;;Taille:select:0;2XS:1;Z11502-739-2XS;Z11502-739-2XS;;;;;;1;;;;;;;;;;;
83118;;Taille:select:0;XS:3;Z11502-739-XS;Z11502-739-XS;;;;;;2;;;;;;;;;;;
83118;;Taille:select:0;2XL:8;Z11502-739-2XL;Z11502-739-2XL;;;;;;2;;;;;;;;;;;
83118;;Taille:select:0;XL:7;Z11502-739-XL;Z11502-739-XL;;;;;;7;;;;;;;;;;;
83119;;Taille:select:0;S:4;Z11503-329-S;Z11503-329-S;;;;;;18;;;;;;;;;;;
83119;;Taille:select:0;XS:3;Z11503-329-XS;Z11503-329-XS;;;;;;6;;;;;;;;;;;
83119;;Taille:select:0;M:5;Z11503-329-M;Z11503-329-M;;;;;;14;;;;;;;;;;;
83119;;Taille:select:0;XL:7;Z11503-329-XL;Z11503-329-XL;;;;;;12;;;;;;;;;;;
83119;;Taille:select:0;2XS:1;Z11503-329-2XS;Z11503-329-2XS;;;;;;0;;;;;;;;;;;
83119;;Taille:select:0;L:6;Z11503-329-L;Z11503-329-L;;;;;;12;;;;;;;;;;;
83119;;Taille:select:0;2XL:8;Z11503-329-2XL;Z11503-329-2XL;;;;;;1;;;;;;;;;;;
83120;;Taille:select:0;2XL:8;Z11504-M31-2XL;Z11504-M31-2XL;;;;;;8;;;;;;;;;;;
83120;;Taille:select:0;S:4;Z11504-M31-S;Z11504-M31-S;;;;;;18;;;;;;;;;;;
83120;;Taille:select:0;2XS:1;Z11504-M31-2XS;Z11504-M31-2XS;;;;;;0;;;;;;;;;;;
83120;;Taille:select:0;L:6;Z11504-M31-L;Z11504-M31-L;;;;;;18;;;;;;;;;;;
83120;;Taille:select:0;XL:7;Z11504-M31-XL;Z11504-M31-XL;;;;;;10;;;;;;;;;;;
83120;;Taille:select:0;XS:3;Z11504-M31-XS;Z11504-M31-XS;;;;;;12;;;;;;;;;;;
83120;;Taille:select:0;M:5;Z11504-M31-M;Z11504-M31-M;;;;;;17;;;;;;;;;;;
83121;;Taille:select:0;S:4;Z11505-124-S;Z11505-124-S;;;;;;6;;;;;;;;;;;
83121;;Taille:select:0;2XL:8;Z11505-124-2XL;Z11505-124-2XL;;;;;;1;;;;;;;;;;;
83121;;Taille:select:0;M:5;Z11505-124-M;Z11505-124-M;;;;;;8;;;;;;;;;;;
83121;;Taille:select:0;XL:7;Z11505-124-XL;Z11505-124-XL;;;;;;2;;;;;;;;;;;
83121;;Taille:select:0;L:6;Z11505-124-L;Z11505-124-L;;;;;;0;;;;;;;;;;;
83121;;Taille:select:0;2XS:1;Z11505-124-2XS;Z11505-124-2XS;;;;;;0;;;;;;;;;;;
83122;;Taille:select:0;L:6;Z11506-M23-L;Z11506-M23-L;;;;;;24;;;;;;;;;;;
83122;;Taille:select:0;S:4;Z11506-M23-S;Z11506-M23-S;;;;;;30;;;;;;;;;;;
83122;;Taille:select:0;XL:7;Z11506-M23-XL;Z11506-M23-XL;;;;;;18;;;;;;;;;;;
83122;;Taille:select:0;M:5;Z11506-M23-M;Z11506-M23-M;;;;;;24;;;;;;;;;;;
83122;;Taille:select:0;XS:3;Z11506-M23-XS;Z11506-M23-XS;;;;;;12;;;;;;;;;;;
83122;;Taille:select:0;2XS:1;Z11506-M23-2XS;Z11506-M23-2XS;;;;;;0;;;;;;;;;;;
83122;;Taille:select:0;2XL:8;Z11506-M23-2XL;Z11506-M23-2XL;;;;;;4;;;;;;;;;;;
83123;;Taille:select:0;XS:3;Z11507-M83-XS;Z11507-M83-XS;;;;;;7;;;;;;;;;;;
83123;;Taille:select:0;2XS:1;Z11507-M83-2XS;Z11507-M83-2XS;;;;;;0;;;;;;;;;;;
83123;;Taille:select:0;M:5;Z11507-M83-M;Z11507-M83-M;;;;;;0;;;;;;;;;;;
83123;;Taille:select:0;S:4;Z11507-M83-S;Z11507-M83-S;;;;;;18;;;;;;;;;;;
83124;;Taille:select:0;2XL:8;Z11509-M39-2XL;Z11509-M39-2XL;;;;;;5;;;;;;;;;;;
83124;;Taille:select:0;2XS:1;Z11509-M39-2XS;Z11509-M39-2XS;;;;;;1;;;;;;;;;;;
83124;;Taille:select:0;S:4;Z11509-M39-S;Z11509-M39-S;;;;;;0;;;;;;;;;;;
83124;;Taille:select:0;XS:3;Z11509-M39-XS;Z11509-M39-XS;;;;;;0;;;;;;;;;;;
83124;;Taille:select:0;L:6;Z11509-M39-L;Z11509-M39-L;;;;;;13;;;;;;;;;;;
83124;;Taille:select:0;XL:7;Z11509-M39-XL;Z11509-M39-XL;;;;;;18;;;;;;;;;;;
83124;;Taille:select:0;M:5;Z11509-M39-M;Z11509-M39-M;;;;;;1;;;;;;;;;;;
83125;;Taille:select:0;2XL:8;Z11510-129-2XL;Z11510-129-2XL;;;;;;0;;;;;;;;;;;
83125;;Taille:select:0;2XS:1;Z11510-129-2XS;Z11510-129-2XS;;;;;;0;;;;;;;;;;;
83125;;Taille:select:0;L:6;Z11510-129-L;Z11510-129-L;;;;;;3;;;;;;;;;;;
83125;;Taille:select:0;XS:3;Z11510-129-XS;Z11510-129-XS;;;;;;1;;;;;;;;;;;
83125;;Taille:select:0;XL:7;Z11510-129-XL;Z11510-129-XL;;;;;;6;;;;;;;;;;;
83125;;Taille:select:0;M:5;Z11510-129-M;Z11510-129-M;;;;;;6;;;;;;;;;;;
83125;;Taille:select:0;S:4;Z11510-129-S;Z11510-129-S;;;;;;9;;;;;;;;;;;
83126;;Taille:select:0;2XS:1;Z11511-129-2XS;Z11511-129-2XS;;;;;;2;;;;;;;;;;;
