ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
85605;1;Acerbis Chaussure Corporate Noir-Orange ;214;73.15;1;40.964;1;;;10;;0017806.313;0017806.313;Freidig;Acerbis;;;;;;;;0;;;;;;;"Chaussures de course, avec doublure maille, Semelle EVA, avec inserts en caoutchouc

Tailles italiennes: À commander 1 taille plus grande";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017806.313_0.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Nylon:5;0;new;0;0;0;2;0;0;0;0
85606;1;Acerbis Bottes Adventure Noir ;359;212.04;1;148.428;1;;;5;;0022200.090;0022200.090;Freidig;Acerbis;;;;;;;;1;;;;;;;"- Bottes enduro/tout chemin fabriquées en cuir
- Membrane étanche et respirante
- Fermeture par 3 boucles micrométriques pour un ajustement parfait
- Semelle extérieure en caoutchouc
- Renforts résistants à la chaleur et à l'abrasion sur la face intérieur";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0022200.090_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0022200.090_1.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Oui:3,Ventilé:Oui:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85607;1;Acerbis Bottes X-Move 2.0 Gris ;359;313.89;1;175.7784;1;;;10;;0017719.070;0017719.070;Freidig;Acerbis;;;;;;;;1;;;;;;;Cuir, joint flexibl au niveau de la cheville, inserts en caoutchouc à l’intérieur, doublure en tissu hypoallergénique, rembourrage à la cheville, protection des orteils en acier, boucles en aluminium échangeables, semelle en caoutchouc anti-dérapante Vibram®, homologué EN 13634:2010 L2;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017719.070_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017719.070_1.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85608;1;Bottes Acerbis X-Move 2.0 Noir ;359;313.89;1;175.7784;1;;;10;;0017719.090;0017719.090;Freidig;Acerbis;;;;;;;;1;;;;;;;Cuir, joint flexibl au niveau de la cheville, inserts en caoutchouc à l’intérieur, doublure en tissu hypoallergénique, rembourrage à la cheville, protection des orteils en acier, boucles en aluminium échangeables, semelle en caoutchouc anti-dérapante Vibram®, homologué EN 13634:2010 L2;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017719.090_0.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85609;1;Acerbis Bottes X-Move 2.0 Blanc ;359;313.89;1;175.7784;1;;;10;;0017719.030;0017719.030;Freidig;Acerbis;;;;;;;;2;;;;;;;Cuir, joint flexibl au niveau de la cheville, inserts en caoutchouc à l’intérieur, doublure en tissu hypoallergénique, rembourrage à la cheville, protection des orteils en acier, boucles en aluminium échangeables, semelle en caoutchouc anti-dérapante Vibram®, homologué EN 13634:2010 L2;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017719.030_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017719.030_1.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017719.030_2.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85610;1;Acerbis Bottes X-Move 2.0 Neon Jaune-Noir ;359;313.89;1;175.7784;1;;;10;;0017719.443;0017719.443;Freidig;Acerbis;;;;;;;;0;;;;;;;Cuir, joint flexibl au niveau de la cheville, inserts en caoutchouc à l’intérieur, doublure en tissu hypoallergénique, rembourrage à la cheville, protection des orteils en acier, boucles en aluminium échangeables, semelle en caoutchouc anti-dérapante Vibram®, homologué EN 13634:2010 L2;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017719.443_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017719.443_1.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017719.443_2.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85611;1;Acerbis Bottes Shark Enfants Blanc-Noir ;359;184.26;1;103.1856;1;;;10;;0017934.237;0017934.237;Freidig;Acerbis;;;;;;;;1;;;;;;;cuir imprimé, caoutchouc vulcanisé, protection thermique, protection des orteils en acier et boucles en aluminium échangeables, semelle antidérapante et résistant à l’huile et à l’essence, homologue EN 13634;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017934.237_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017934.237_1.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85612;1;Acerbis Bottes Shark Enfants Neon Jaune ;359;184.26;1;103.1856;1;;;10;;0017934.443;0017934.443;Freidig;Acerbis;;;;;;;;1;;;;;;;cuir imprimé, caoutchouc vulcanisé, protection thermique, protection des orteils en acier et boucles en aluminium échangeables, semelle antidérapante et résistant à l’huile et à l’essence, homologue EN 13634;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0017934.443_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0017934.443_1.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Non:3,Ventilé:Non:4,Matière:Cuir:5;0;new;0;0;0;2;0;0;0;0
85613;1;Acerbis Set De Pluie Rain Suit Logo Jaune Fluo-Noir ;228;63.89;1;35.7784;1;;;10;;0016428.318;0016428.318;Freidig;Acerbis;;;;;;;;3;;;;;;;"- Ensemble comprenant une veste de pluie et un pantalon, fabriqué en polyester et PVC, présence de rétro réfléchissant répondants aux normes CE EN 471
- Veste de pluie zippée, ajustement par velcro au niveau des poignets, avec une poche étanche sur la poi";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0016428.318_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0016428.318_1.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Oui:3,Ventilé:Non:4,Matière:Polyester:5;0;new;0;0;0;2;0;0;0;0
85614;1;Acerbis Set De Pluie Rain Suit Logo Bleu-Noir ;228;63.89;1;35.7784;1;;;10;;0016428.251;0016428.251;Freidig;Acerbis;;;;;;;;0;;;;;;;"- Ensemble comprenant une veste de pluie et un pantalon, fabriqué en polyester et PVC, présence de rétro réfléchissant répondants aux normes CE EN 471
- Veste de pluie zippée, ajustement par velcro au niveau des poignets, avec une poche étanche sur la poi";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;https://www.motogoodeal.ch/img/import/FREIDIG/0016428.251_0.jpg,https://www.motogoodeal.ch/img/import/FREIDIG/0016428.251_1.jpg;1;Genre:Unisex:1,Gore-Tex:Non:2,Etanchéité:Oui:3,Ventilé:Non:4,Matière:Polyester:5;0;new;0;0;0;2;0;0;0;0
