ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
87227;1;Cardo Scala Rider Freecom 1;232;128.7;1;91.92857143;1;;10;;;800001;800001;B+B Motoport;Cardo;0828831840035;;;;;;;3;;;;;;<strong>Que vous fassiez tous les jours de la moto ou rouliez uniquement les week-ends, </strong>comme passe-temps favori, le scala rider FREECOM 1 a été conçu pour offrir aux motards roulant seuls une gamme complète de fonctions essentielles haute performance pour les motards d’aujourd’hui.;<p><strong>Si vous parcourez un trajet seul en moto le FREECOM 1 est votre partenaire idéal.</strong> Doté d’un nouveau design élégant et aérodynamique, il est facile à utiliser et convient pratiquement à tous les types de casques. Cet appareil robuste est étanche à l’eau et à la poussière (IP67), ce qui constitue un avantage évident lorsque vous roulez dans des conditions météorologiques difficiles. Un son exceptionnel garanti grâce aux nouveaux haut-parleurs stéréo HD ultra-minces de 40 mm et ainsi qu’une autonomie largement améliorée, jusqu’à 13 heures.</p><br><p><strong>Avec plusieurs options de connectivité possibles, vous ne vous sentirez plus jamais seul en moto.</strong> Équipé de 2 canaux Bluetooth, vous pouvez connecter chacun d’eux à un appareil distinct, tel qu’un téléphone mobile ou un système de navigation GPS. Le lecteur de musique A2DP est également disponible à partir d’un téléphone mobile ou de tout autre appareil sans fil.</p><br><p><strong>Profitez d’une technologie de pointe pour une expérience de conduite sans soucis. </strong>Avec la technologie AGC à bord, le volume de votre FREECOM 1 se règle automatiquement en fonction du bruit ambiant et de la route. En gardant toujours la sécurité à l’esprit, la technologie d’activation vocale (VOX) vous permet de répondre sans l’usage des mains. Personnalisez les paramètres et contrôlez votre appareil « nomade » avec l’application Cardo SmartSet, compatible avec les téléphones iOS et Android. La plate-forme en ligne de la Communauté Cardo offre aux utilisateurs des mises à niveau logicielles et des options supplémentaires pour configurer les paramètres de votre appareil depuis leur domicile.</p><br><ul><li>Connectivité Bluetooth avec 2 appareils</li><li>VOX: Accept / Reject incoming calls hands-free</li><li>Opérations de téléphonie mobile - Passer, recevoir, rejeter des appels</li><li>Numérotation Rapide</li><li>Réception d’instructions de navigation depuis le GPS</li><li>Diffusion de musique en stéréo (A2DP) à partir de Smartphones/lecteurs mp3</li><li>Diffusion audio en parallèle</li><li>Numérotation vocale</li><li>Cardo Community® Plateforme Web pour les mises à jour logicielles et la personnalisation des paramètres.</li><li>Application Cardo SmartSet™ (iOS/Android)</li><li>Réglage automatique du volume du haut-parleur par technologie AGC</li><li>Hybrid microphone</li><li>Haut-parleurs stéréo HD ultra-fins 40 mm</li><li>Temps de conversation/Veille</li><li>Étanche à l’eau et à la poussière</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87228;1;Cardo Scala Rider Freecom 2;232;165.75;1;118.3928571;1;;10;;;800002;800002;B+B Motoport;Cardo;0828831840172;;;;;;;5;;;;;;<strong>Qu’ils roulent en couple ou qu’ils voyagent seuls, les motard aiment rester connectés,</strong> écouter de la musique, recevoir des instructions de navigation du GPS ou tout simplement signaler des sites intéressants le long du chemin, sans avoir à utiliser la langue des signes ou à crier pour être entendus.;<p><strong>Doté d’un nouveau design élégant et aérodynamique, le scala rider FREECOM 2 est facile à utiliser et convient pratiquement à tous les types de casques.</strong> Cet appareil robuste est étanche à l’eau et à la poussière (IP67), ce qui constitue un avantage évident lorsque vous roulez dans des conditions météorologiques difficiles. Un son exceptionnel garanti grâce aux nouveaux haut-parleurs stéréo HD ultra-minces de 40 mm et ainsi qu’une autonomie largement améliorée, jusqu’à 13 heures.</p><br><p><strong>Avec plusieurs options de connectivité possibles, le FREECOM 2 est le système de communication idéal pour le conducteur et le passager.</strong> Équipé de 2 canaux Bluetooth, vous pouvez parler à votre passager, passer ou recevoir des appels téléphoniques et écouter les instructions de navigation du GPS. Par ailleurs, partagez la musique que vous écoutez avec votre passager avec un appareil A2DP ou écoutez les mêmes stations de radio FM.</p><br><p><strong>Grâce à sa technologie de pointe, le FREECOM 2 rend la conduite en moto plus souple que jamais.</strong> La technologie AGC règle automatiquement le volume en fonction du bruit ambiant et de la route. En gardant toujours la sécurité à l’esprit, la technologie d’activation vocale (VOX) vous permet de répondre sans l’usage des mains.</p><br><p><strong>Personnalisez les paramètres et contrôlez votre appareil “nomade” avec l’application Cardo SmartSet,</strong> compatible avec les téléphones iOS et Android. La plate-forme en ligne de la Communauté Cardo offre aux utilisateurs des mises à niveau logicielles et des options supplémentaires pour configurer les paramètres de votre appareil depuis leur domicile.</p><br><ul><li>Intercom de conducteur à passager</li><li>Cardo Gateway</li><li>Click-to-Link®</li><li>Connectivité Bluetooth avec 2 appareils</li><li>Opérations de téléphonie mobile - Passer, recevoir, rejeter des appels</li><li>Réception d’instructions de navigation depuis le GPS</li><li>Radio FM intégrée avec RDS et partage de radio</li><li>Music Sharing™ de conducteur à passager</li><li>Diffusion audio en parallèle</li><li>Numérotation vocale</li><li>Cardo Community® Plateforme Web pour les mises à jour logicielles et la personnalisation des paramètres.</li><li>Application Cardo SmartSet™ (iOS/Android)</li><li>Réglage automatique du volume du haut-parleur par technologie AGC.</li><li>VOX: Accept / Reject incoming calls hands-free</li><li>Numérotation rapide</li><li>Micro interchangeable hybride et filaire</li><li>Haut-parleurs stéréo HD ultra-fins 40 mm</li><li>Temps de conversation/Veille</li><li>Étanche à l’eau et à la poussière</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87229;1;Cardo Scala Rider Freecom 4;232;221.3;1;158.0714286;1;;10;;;800004;800004;B+B Motoport;Cardo;0828831840455;;;;;;;3;;;;;;<strong>Rouler avec un groupe d’amis peut être un excellent moyen de profiter de la route</strong> et communiquer entre eux est devenue une exigence de base pour les motards. Avec scala rider FREECOM 4, au design élégant et aérodynamique, vous pouvez converser de moto à moto entre 4 motards, chacun à une portée pouvant atteindre 1,2 km*.;"<p><strong>Equipé de 2 canaux Bluetooth, profitez des options de connectivité multiples que le FREECOM 4 peut vous offrir: </strong><p><ul><li>Effectuez des conversations Intercom entre 4 motards maximum, même avec des casques non Cardo </li><li> Testez la nouvelle expérience de partage FM entre 2 motards, même lorsque vous êtes éloignés </li><li> Partagez une expérience de conduite commune avec votre passager en écoutant la même musique avec un appareil A2DP </li><li> Connectez-vous à un téléphone mobile pour passer ou recevoir des appels ou tout simplement rester sur le bon chemin avec les instructions du GPS.</li></ul></p><br><p><strong>Grâce à sa technologie de pointe, cet appareil est fiable et il fait tout.</strong> Le FREECOM 4 est à la fois étanche à l’eau et à la poussière (IP67) et peut être utilisé quelles que soient les conditions météo. Les nouveaux haut-parleurs stéréo HD ultra-minces de 40 mm garantissent un son clair et cristallin grâce à la technologie AGC qui permet de régler automatiquement le volume de l’appareil en fonction des bruits de fond. L’activation vocale des appels entrants mains libres (VOX) assure votre sécurité sur la route. Avec la diffusion audio en parallèle, vous pouvez poursuivre vos conversations Intercom sans interrompre les instructions du GPS et continuer d’écouter de la musique ou de la radio en arrière-plan.</p><br><p><strong>Personnalisez les paramètres et contrôlez votre appareil “nomade” avec l’application Cardo SmartSet™,</strong> pour les téléphones iOS et Android. La plate-forme en ligne de la Communauté Cardo offre aux utilisateurs des mises à niveau logicielles et des options supplémentaires pour configurer les paramètres de votre appareil depuis leur domicile.</p><br><ul><li>Conférence Intercom 4 voies
Cardo Gateway</li><li>Bascule d'un dispositif Intercom à l'autre, entre 1+3</li><li>Click-to-Link®</li><li>Connectivité Bluetooth avec 2 appareils</li><li>Radio FM intégrée avec RDS et partage de radio</li><li>Opérations de téléphonie mobile - Passer, recevoir, rejeter des appels</li><li>Numérotation rapide</li><li>Réception d’instructions de navigation depuis le GPS</li><li>Diffusion audio en parallèle</li><li>Numérotation vocale</li><li>VOX: Accept / Reject incoming calls hands-free</li><li>Réglage automatique du volume du haut-parleur par technologie AGC.</li><li>Application Cardo SmartSet™ (iOS/Android)</li><li>Cardo Community® Plateforme Web pour les mises à jour logicielles et la personnalisation des paramètres.</li><li>Annonces vocales du statut</li><li>Haut-parleurs stéréo HD ultra-fins 40 mm</li><li>Micro interchangeable - hybride et filaire</li><li>Étanche à l’eau et à la poussière</li><li>Temps de conversation/Veille</li></ul><p>*Les résultats peuvent varier en fonction du terrain";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87230;1;Cardo Scala Rider Sho-1;232;295.35;1;210.9642857;1;;10;;;800006;800006;B+B Motoport;Cardo;;;;;;;;0;;;;;;Le cardo SHO-1 est conçu sur mesure pour les casques SHOEI. Ce système de communication haut de gamme comprend une batterie remplaçable et est parfaitement conçu pour offrir aux utilisateurs SHOEI un maximum de confort et de fonctionnalité. Connectez-vous à 8 motards supplémentaires sur un rayon de 1,6 km, utilisez la fonction partage de musique ou connectez-vous via Bluetooth à votre natel.;"<p><strong>Le cardo SHO-1 a été conçu sur mesure pour votre casque SHOEI premium*</strong> et comprend une batterie remplaçable pour ces extra-longues excursions.</p><br><p><strong>Dans un rayon de 1,6 km*, vous pouvez vous connecter avec 8 motards supplémentaires,</strong> recevoir un appel-conférence intercom en duplex complet à 4 voies ou 2 voies. En utilisant la fonction Partage de Musique vous et votre passager peuvent profiter ensemble des mêmes grands airs musicaux pendant que vous roulez.</p><br><p><strong>Pairez jusqu’à deux téléphones portables simultanément</strong> à votre SHO-1 via Bluetooth, écoutez de la musique via A2DP ou MP3, connectez-vous à votre GPS et profitez de la radio FM intégrée. Le tout, les mains libres!</p><br><p><strong>Gardez votre logiciel à jour en utilisant la plate-forme sociale sur internet Cardo Community</strong> ou encore rejoindre des excursions. Sur la route, personnalisez vos paramètres à l'aide de l'application Cardo SmartSet, disponible gratuitement pour les téléphones Android et appareils iOS.</p><br><ul><li>Conception modulaire unique (breveté)</li><li>Intercom moto à moto jusqu’à 1.6 km</li><li>Mode conférence Intercom entre 4 interlocuteurs (Full Duplex)</li><li>Intercom Commutateur “1+8” Se connecter à 8 motards supplémentaires</li><li>Commande vocale: la technologie de reconnaissance vocale pour garder les mains au guidon</li><li>Click-to-Link® Démarrez une conversation Intercom spontanée avec d’autres scala riders à proximité</li><li>Portail Cardo Community® pour interactivités du réseau social, personnalisation et mises à jour de l’unité</li><li>Music Sharing™- (partage de musique) : Le conducteur et le passager écoutent la même musique en stéréo (via A2DP)</li><li>Signal de groupe : Envoyer simultanément des signaux audio à jusqu’à 8 autres motards</li><li>Instructions vocales pour une utilisation simplifiée</li><li>Accepter ou rejeter les appels entrants par commande vocale (personnalisable)</li><li>«Digital Signal Processing» pour une meilleure qualité audio</li><li>Volume Per Mode: Le volume est réglé et sauvegardé à différents niveaux pour chaque fonction audio</li><li>Recevez / Initiez / Rejetez des appels par commande vocale ou par pression d’un bouton, Double profil mains-libres pour connecter 2 téléphones mobiles simultanément, Profil A2DP/AVRCP pour écouter en Bluetooth STEREO à partir d’un iPhone ou autre Smartphone, Audioconférence entre l’appel entrant, le pilote et le passager, Numéro favori (personnalisable)</li><li>
Réception Bluetooth des instructions vocales du GPS</li><li>Radio FM Stéréo intégrée avec RDS: 6 stations mémorisables avec auto scan, Coupure automatique de la radio en cas d’appel entrant</li><li>Profil A2DP/AVRCP pour écouter en Bluetooth STEREO a partir des Smartphones et lecteurs MP3</li><li>Microphones hybride et filaire interchangeables inclus pour s’adapter à presque tous les casques</li><li>Batterie amovible - autonomie 13 heures en communication, 1 semaine en veille</li><li>Deux écouteurs HD ultra fins
</li><li>Imperméable à l’eau et à la poussière</li></ul><p>* Les résultats peuvent varier en fonction du terrain.</p>";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87231;1;Cardo Scala Rider Smartpack;232;295.35;1;210.9642857;1;;10;;;800007;800007;B+B Motoport;Cardo;0828831836571;;;;;;;1;;;;;;Cardo est fier de mener la révolution en termes de communication de groupe pour les motards, visant cette fois de petits groupes. En mode intercom DMC avec SMARTPACK, un groupe de 4 motards peut communiquer sur une distance de 5km. Ceci, en plus de la connectivité Bluetooth avec les téléphones mobiles, GPS, musique, radio FM et d'autres systèmes de communication Bluetooth.;<p>Le scala rider® SMARTPACK™ intègre les deux technologies DMC™ (Dynamic Meshwork Communication) et Bluetooth® pour vous offrir le meilleur. Le mode Bluetooth vous permet de communiquer avec des motards n’utilisant pas SMARTPACK, d’utiliser votre téléphone portable, recevoir les instructions de navigation de votre GPS, et écouter de la musique (via AD2P).</p><br><p><strong>Qu’est ce que DMC et en quoi est ce différent de la traditionnelle technologie Bluetooth ?</strong></p><p>DMC est une technologie sans précédent mise au point par Cardo afin de révolutionner la manière dont les motards communiquent les uns avec les autres. En remplaçant la traditionnelle connexion intercom ‘en guirlande’ de Bluetooth, le groupe est connecté de manière dynamique afin d’assurer une communication constante sans coupure. En mode intercom DMC avec SMARTPACK, un groupe de 4 motards peut communiquer sur une distance de 5km, et chaque membre peut quitter/rejoindre le groupe, ou recevoir des appels téléphoniques à tous moments, sans mettre en péril la conversation du groupe.</p><p>Avec la Cardo SmartSet App et sa fonction télécommande, vous pouvez choisir d’utiliser votre smartphone ou tablette pour commander votre SMARTPACK. Passez des appels téléphoniques ou via intercom, écoutez la radio ou de la musique et réglez vos préférences – Et tout ça, à partir de votre Android ou appareil mobile iOS.</p><br><ul><li>Technologie DMC™ pour des appels intercom multi-acteurs - jusqu’à 4 motards</li><li>Système de molette unique et panneau de contrôle pour un fonctionnement intuitif</li><li>Intercom moto à moto jusqu’à 1,6 km et jusqu’à 5 km avec 4 motards</li><li>Mode conférence Intercom entre 4 interlocuteurs: 2 pilotes et leurs 2 passagers, ou entre 3 motards distincts (Full Duplex)</li><li>Intercom Commutateur «1+8»: Se connecter à 8 motards supplémentaires</li><li>Click-to-Link®: Démarrez une conversation Intercom spontanée avec d’autres motards à proximité</li><li>Commande vocale : la technologie de reconnaissance vocale pour garder les mains au guidon</li><li>Cardo Gateway™: Permet aux appareils non-Cardo de se connecter via intercom</li><li>Intercom-à-téléphone: Transfert automatique lorsque la portée est dépassée</li><li>Application Cardo SmartSet™ pour télécommander et configurer votre appareil</li><li>Portail Cardo Community® pour interactivité du réseau social, personnalisation et mises à jour de l’unité</li><li>Music Sharing™- (partage de musique) : Le conducteur et le passager écoutent la même musique en stéréo (via A2DP)</li><li>Diffusion de l’Audio en Parallèle: L’audio continue en arrière plan pendant les appels intercom</li><li>Numéro favori / d’urgence (personnalisable)</li><li>Recevez / Initiez / Rejetez des appels par commande vocale ou par pression d’un bouton: Double profile mains-libres pour connecter 2 téléphones, mobiles simultanément, Profile A2DP/AVRCP pour écouter en Bluetooth stéréo à partir d’un iPhone ou autre Smartphone</li><li>Réception Bluetooth des instructions vocales du GPS</li><li>Radio FM Stéréo intégrée avec RDS: 6 stations mémorisables avec auto scan, Coupure automatique de la radio en cas d’appel entrant</li><li>Connexion MP3 sans fil en Bluetooth stéréo par A2DP/AVRCP</li><li>Ajustement automatique du volume en fonction de la vitesse et de l’environnement sonore (personnalisable)</li><li>Accepter ou rejeter les appels entrants par commande vocale (personnalisable)</li><li>Instructions vocales pour une utilisation simplifiée</li><li>Microphones hybride et filaire interchangeables inclus</li><li>Écouteurs détachables : Les utilisateurs peuvent connecter leurs propres écouteurs (prise jack de 3.5 mm)</li><li><strong>Autonomie 13 heures en communication,</strong> 1 semaine en veille. Recharge par prise murale ou USB</li><li>Imperméable à l’eau et à la poussière</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87232;1;Cardo Scala Rider Packtalk;232;332.4;1;237.4285714;1;;10;;;800008;800008;B+B Motoport;Cardo;0828831836205;;;;;;;1;;;;;;scala rider PACKTALK introduit la technologie révolutionnaire DMC™ pour une conduite dynamique en groupe, permettant à 15 motards de se connecter ensemble sur un rayon allant jusqu'à 8 km. Ceci, en plus de la connectivité Bluetooth avec les téléphones mobiles, GPS, musique, radio FM et d'autres systèmes de communication Bluetooth.;"<p><strong>Rouler en groupe n’a jamais été aussi facile.</strong> Le scala rider® PACKTALK™, en introduisant la technologie révolutionnaire DMC ™ (Dynamic Meshwork Communication - communication dynamique en réseau) va redé nir votre expérience de la conduite. Cette nouvelle et innovante technologie introduit la 3e génération de système de communication pour les motards, permettant à de grands groupes de maintenir une connectivité constante à travers un réseau virtuel, connectivité à la fois spontanée et  uide. Tout membre peut aléatoirement rejoindre, quitter et retourner à la conversation sans toutefois la compromettre.</p><br><p><strong>Le PACKTALK intègre les technologies DMC et Bluetooth® qui se complétent mutuellement.</strong> Le mode intercom DMC o re une technologie innovante pour la communication de groupe. La nature auto-adaptatif de la technologie DMC forme et ré-assemble constamment son réseau virtuel, et assure que la communication entre grands groupes reste ininterrompue, indépendamment de l’environnement en constante évolution. Le mode Bluetooth vous o re la liberté de passer des appels téléphoniques, recevoir des instructions de navigation, écouter de la musique via A2DP ou via la radio FM intégrée et se connecter via intercom à des systèmes de communication Bluetooth supplémentaires.<ul><li>Technologie DMC™ pour des appels intercom multi-acteurs - jusqu’à 15 motards</li><li>Système de molette unique et panneau de contrôle pour un fonctionnement intuitif</li><li>DMC Bridge™ Permet à un passager utilisateur de l’Intercom Bluetooth ou à un appel téléphonique extérieur de rejoinder une conversation PACKTALK</li><li>Chat Privé: conversation en tête à tête avec un membre alors que les autres membres ne peuvent entendre</li><li>Intercom moto à moto jusqu’à 1,6 km et jusqu’à 8 km avec 5 motards ou plus</li><li>Mode conférence Intercom entre 4 interlocuteurs: 2 pilotes et leurs 2 passagers, ou entre 3 motards distincts (Full Duplex)</li><li>Intercom Commutateur «1+8»: Se connecter à 8 motards supplémentaires</li><li>Click-to-Link®: Démarrez une conversation Intercom spontanée avec d’autres motards à proximité</li><li>Commande vocale : la technologie de reconnaissance vocale pour garder les mains au guidon</li><li>Cardo Gateway™: Permet aux appareils non-Cardo de se connecter via intercom</li><li>Intercom-à-téléphone: Transfert automatique lorsque la portée est dépassée</li><li>Application Cardo SmartSet™ pour télécommander et configurer votre appareil</li><li>Portail Cardo Community® pour interactivité du réseau social, personnalisation et mises à jour de l’unité</li><li>Music Sharing™- (partage de musique) : Le conducteur et le passager écoutent la même musique en stéréo (via A2DP)</li><li>Diffusion de l’Audio en Parallèle: L’audio continue en arrière plan pendant les appels intercom</li><li>Numéro favori / d’urgence (personnalisable)</li><li>Recevez / Initiez / Rejetez des appels par commande vocale ou par pression d’un bouton: Double profile mains-libres pour connecter 2 téléphones, mobiles simultanément, Profile A2DP/AVRCP pour écouter en Bluetooth stéréo à partir d’un iPhone ou autre Smartphone</li><li>Réception Bluetooth des instructions vocales du GPS</li><li>Radio FM Stéréo intégrée avec RDS: 6 stations mémorisables avec auto scan, Coupure automatique de la radio en cas d’appel entrant</li><li>Connexion MP3 sans fil en Bluetooth stéréo par A2DP/AVRCP</li><li>Ajustement automatique du volume en fonction de la vitesse et de l’environnement sonore (personnalisable)</li><li>Accepter ou rejeter les appels entrants par commande vocale (personnalisable)</li><li>Instructions vocales pour une utilisation simplifiée</li><li>Microphones hybride et filaire interchangeables inclus</li><li>Écouteurs détachables : Les utilisateurs peuvent connecter leurs propres écouteurs (prise jack de 3.5 mm)</li><li><strong>Autonomie 13 heures en communication,</strong> 1 semaine en veille. Recharge par prise murale ou USB</li><li>Imperméable à l’eau et à la poussière</li></ul><br><div style=""position:relative;height:0;padding-bottom:56.25%""><iframe src=""https://www.youtube-nocookie.com/embed/EUh0OUaRTsE?rel=0?ecver=2"" width=""640"" height=""360"" frameborder=""0"" style=""position:absolute;width:100%;height:100%;left:0"" allowfullscreen></iframe></div>";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87233;1;Cardo Scala Rider Smarth;232;295.35;1;210.9642857;1;;10;;;800009;800009;B+B Motoport;Cardo;;;;;;;;0;;;;;;;<ul><li>Conçu pour une utilisation optimale avec les casques HJC, le CARDO SMARTH intègre les toutes dernières innovations technologiques  de CARDO.</li><li>Le Bluetooth pour les appels téléphoniques, l’instruction de navigation GPS, l’écoute de la musique en stéréo (via A2DP) ou radio FM intégrée, communication avec les systèmes non Cardo ou Cardo non équipés du DMC.</li><li>Le DMC (Dynamic Meshwork Communication) pour des conférences intercom fluides, flexibles, instinctives et sans interruption jusqu’à 4 utilisateurs.</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87234;1;Cardo Scala Rider Audiokit Q1/Q3;232;71.3;1;50.92857143;1;;;;;800020;800020;B+B Motoport;Cardo;;;;;;;;0;;;;;;Vous possédez un casque secondaire (casque jet pour l'été par exemple) et vous souhaiter profiter de votre intercom sur celui-ci en toute simplicité ?;<p>Avec le support Supplémentaire pour SCALA RIDER Q1 /Q3, l'ensemble récepteurs, écouteurs et micro reste installé sur votre second casque. Il vous suffit de déclipser le module de votre casque principal et de le reclipser sur votre second casque.</p><ul><li>Pour Cardo SCALA RIDER Q1 et Q3</li><li>Micro filaire (pour les intégraux) et perche (pour les jets et les modulables)</li><li>Écouteurs 32 mm</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87235;1;Cardo Scala Rider Audiokit Freecom 1,2,4;232;71.3;1;50.92857143;1;;;;;800021;800021;B+B Motoport;Cardo;;;;;;;;0;;;;;;;"Notre hybride + câble
Pour la rénovation ou pour un deuxième casque

2 haut-parleurs ultra plats
Incl. ENTREE pour lecteur MP3 (2,5 mm)
Nouveau micro spécial
Microphone de cou intégré pour notre";;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
87236;1;Cardo Scala Rider Audiokit G9;232;71.3;1;50.92857143;1;;;;;800022;800022;B+B Motoport;Cardo;;;;;;;;0;;;;;;;<p>Microphone et haut-parleur pour la fonction interphone Cardo Scala Rider G9X, boîte de Kit audio avec accessoires de montage</p><p>Applications kit audio cardo scala rider G9X:</p><ul><li>Microphone et haut-parleurs pour Scala Rider G4 (compatibilité complète)</li><li>Microphone et haut-parleurs pour Scala Rider G9 (compatibilité complète)</li><li>Microgono et haut-parleurs pour Scala Rider G9X</li></ul><p>G9X Contenu de l'emballage Audio Kit</p><ul><li>Scala Rider G9X microphone flexible (indiqué pour Jet et modulaire)</li><li>Scala Rider G9X fil de microphone (indiqué par casque intégral)</li><li>unité de commande du système de couplage G9X</li><li>2 x remplacement éponge micro Scala Rider G9X</li><li>2 x alimentation haut-parleurs d'appoint scala rider G9X</li><li>Haut-parleurs 2 x 32 mm scala rider G9X</li><li>1 x kit de montage dédiées à micro flexible G9X Scala Rider</li><li>Adhésif 1 x standard pour le montage système de fixation de la plaque sur le casque scala rider G9X</li><li>1 x plaque adhésive transparente BIGSystème de fixation pour la fixation au casque SCALA RIDER G9X</li></ul>;;;;;;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;;0;new;0;0;0;2;0;0;0;0
