Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
82103;;Taille:select:0;M:7;X10002-333-M;X10002-333-M;;;;;;1;;;;;;;;;;;
82104;;Taille:select:0;XS:2;X10002-848-XS;X10002-848-XS;;;;;;1;;;;;;;;;;;
82107;;Taille:select:0;M:7;X10009-003-M;X10009-003-M;;;;;;1;;;;;;;;;;;
82109;;Taille:select:0;L:11;X10010-003-L;X10010-003-L;;;;;;1;;;;;;;;;;;
82145;;Taille:select:0;M:7;X10801-003-M;X10801-003-M;;;;;;1;;;;;;;;;;;
82145;;Taille:select:0;XL:14;X10801-003-XL;X10801-003-XL;;;;;;1;;;;;;;;;;;
82849;;Taille:select:0;XXS:1;Z4004-001-XXS;Z4004-001-XXS;;;;;;1;;;;;;;;;;;
82850;;Taille:select:0;2XL:19;Z4004-003-2XL;Z4004-003-2XL;;;;;;1;;;;;;;;;;;
82850;;Taille:select:0;3XL:20;Z4004-003-3XL;Z4004-003-3XL;;;;;;1;;;;;;;;;;;
82851;;Taille:select:0;L:11;Z4004-333-L;Z4004-333-L;;;;;;0;;;;;;;;;;;
82851;;Taille:select:0;M:7;Z4004-333-M;Z4004-333-M;;;;;;1;;;;;;;;;;;
82853;;Taille:select:0;L:11;Z4004-848-L;Z4004-848-L;;;;;;1;;;;;;;;;;;
82853;;Taille:select:0;2XS:2;Z4004-848-XXS;Z4004-848-XXS;;;;;;1;;;;;;;;;;;
82854;;Taille:select:0;3XL:20;Z4005-210-3XL;Z4005-210-3XL;;;;;;0;;;;;;;;;;;
82854;;Taille:select:0;XS:2;Z4005-210-XS;Z4005-210-XS;;;;;;1;;;;;;;;;;;
82856;;Taille:select:0;3XL:20;Z4005-M39-3XL;Z4005-M39-3XL;;;;;;0;;;;;;;;;;;
82856;;Taille:select:0;S:6;Z4005-M39-S;Z4005-M39-S;;;;;;0;;;;;;;;;;;
82860;;Taille:select:0;L:11;Z4018-333-L;Z4018-333-L;;;;;;1;;;;;;;;;;;
82860;;Taille:select:0;XS:2;Z4018-333-XS;Z4018-333-XS;;;;;;1;;;;;;;;;;;
82861;;Taille:select:0;S:6;Z4018-822-S;Z4018-822-S;;;;;;1;;;;;;;;;;;
82862;;Taille:select:0;L:11;Z4018-848-L;Z4018-848-L;;;;;;1;;;;;;;;;;;
82862;;Taille:select:0;M:7;Z4018-848-M;Z4018-848-M;;;;;;1;;;;;;;;;;;
82863;;Taille:select:0;XS:2;Z5261-003-XS;Z5261-003-XS;;;;;;1;;;;;;;;;;;
82102;;Taille:select:0;S:6;X10002-003-S;X10002-003-S;;;;;;1;;;;;;;;;;;
82850;;Taille:select:0;M:7;Z4004-003-M;Z4004-003-M;;;;;;1;;;;;;;;;;;
82850;;Taille:select:0;S:6;Z4004-003-S;Z4004-003-S;;;;;;1;;;;;;;;;;;
82852;;Taille:select:0;XL:14;Z4004-822-XL;Z4004-822-XL;;;;;;0;;;;;;;;;;;
82861;;Taille:select:0;XS:2;Z4018-822-XS;Z4018-822-XS;;;;;;0;;;;;;;;;;;
82849;;Taille:select:0;2XL:19;Z4004-001-2XL;Z4004-001-2XL;;;;;;1;;;;;;;;;;;
82849;;Taille:select:0;3XL:20;Z4004-001-3XL;Z4004-001-3XL;;;;;;0;;;;;;;;;;;
82849;;Taille:select:0;L:11;Z4004-001-L;Z4004-001-L;;;;;;1;;;;;;;;;;;
82849;;Taille:select:0;M:7;Z4004-001-M;Z4004-001-M;;;;;;1;;;;;;;;;;;
82850;;Taille:select:0;XL:14;Z4004-003-XL;Z4004-003-XL;;;;;;1;;;;;;;;;;;
82853;;Taille:select:0;M:7;Z4004-848-M;Z4004-848-M;;;;;;0;;;;;;;;;;;
82854;;Taille:select:0;L:11;Z4005-210-L;Z4005-210-L;;;;;;0;;;;;;;;;;;
82854;;Taille:select:0;XL:14;Z4005-210-XL;Z4005-210-XL;;;;;;1;;;;;;;;;;;
82855;;Taille:select:0;2XL:19;Z4005-390-2XL;Z4005-390-2XL;;;;;;0;;;;;;;;;;;
82855;;Taille:select:0;XL:14;Z4005-390-XL;Z4005-390-XL;;;;;;0;;;;;;;;;;;
82856;;Taille:select:0;XL:14;Z4005-M39-XL;Z4005-M39-XL;;;;;;0;;;;;;;;;;;
82856;;Taille:select:0;XS:2;Z4005-M39-XS;Z4005-M39-XS;;;;;;1;;;;;;;;;;;
