Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
81013;;Taille:select:0;L:9;RPGASBA1412304;RPGASBA1412304;;;;;;0;;;;;;;;;;;
81017;;Taille:select:0;4XL:17;RPGASBA14125108;RPGASBA14125108;;;;;;0;;;;;;;;;;;
81033;;Taille:select:0;42:25;RPGASBC1412102;RPGASBC1412102;;;;;;0;;;;;;;;;;;
81037;;Taille:select:0;50:35;RPGASBC14127103;RPGASBC14127103;;;;;;0;;;;;;;;;;;
81037;;Taille:select:0;52:36;RPGASBC14127104;RPGASBC14127104;;;;;;0;;;;;;;;;;;
81037;;Taille:select:0;54:37;RPGASBC14127105;RPGASBC14127105;;;;;;0;;;;;;;;;;;
81037;;Taille:select:0;56:38;RPGASBC14127106;RPGASBC14127106;;;;;;0;;;;;;;;;;;
81037;;Taille:select:0;58:39;RPGASBC14127107;RPGASBC14127107;;;;;;0;;;;;;;;;;;
81037;;Taille:select:0;60:40;RPGASBC14127108;RPGASBC14127108;;;;;;0;;;;;;;;;;;
81115;;Taille:select:0;42:25;RPGASBR1512142;RPGASBR1512142;;;;;;0;;;;;;;;;;;
81125;;Taille:select:0;39:21;RPGASBT1210339;RPGASBT1210339;;;;;;0;;;;;;;;;;;
81132;;Taille:select:0;43:26;RPGASBT1510143;RPGASBT1510143;;;;;;0;;;;;;;;;;;
81139;;Taille:select:0;L:9;RPGASBW1412104;RPGASBW1412104;;;;;;0;;;;;;;;;;;
81175;;Taille:select:0;36:18;RPGASCR15105136;RPGASCR15105136;;;;;;0;;;;;;;;;;;
81195;;Taille:select:0;S:4;RPGASEP1101102;RPGASEP1101102;;;;;;0;;;;;;;;;;;
81195;;Taille:select:0;M:6;RPGASEP1101103;RPGASEP1101103;;;;;;0;;;;;;;;;;;
81195;;Taille:select:0;L:9;RPGASEP1101104;RPGASEP1101104;;;;;;0;;;;;;;;;;;
81195;;Taille:select:0;XL:12;RPGASEP1101105;RPGASEP1101105;;;;;;0;;;;;;;;;;;
81195;;Taille:select:0;XXL:11;RPGASEP1101106;RPGASEP1101106;;;;;;0;;;;;;;;;;;
81195;;Taille:select:0;3XL:16;RPGASEP1101107;RPGASEP1101107;;;;;;0;;;;;;;;;;;
81221;;Taille:select:0;M:6;RPGASGL14108103;RPGASGL14108103;;;;;;0;;;;;;;;;;;
81221;;Taille:select:0;3XL:16;RPGASGL14108107;RPGASGL14108107;;;;;;0;;;;;;;;;;;
81224;;Taille:select:0;S:4;RPGASGL1510102;RPGASGL1510102;;;;;;0;;;;;;;;;;;
81224;;Taille:select:0;M:6;RPGASGL1510103;RPGASGL1510103;;;;;;0;;;;;;;;;;;
81224;;Taille:select:0;L:9;RPGASGL1510104;RPGASGL1510104;;;;;;0;;;;;;;;;;;
81224;;Taille:select:0;XL:12;RPGASGL1510105;RPGASGL1510105;;;;;;0;;;;;;;;;;;
81224;;Taille:select:0;2XL:14;RPGASGL1510106;RPGASGL1510106;;;;;;0;;;;;;;;;;;
81224;;Taille:select:0;3XL:16;RPGASGL1510107;RPGASGL1510107;;;;;;0;;;;;;;;;;;
81240;;Taille:select:0;L:9;RPGASGR1310104;RPGASGR1310104;;;;;;0;;;;;;;;;;;
81240;;Taille:select:0;XL:12;RPGASGR1310105;RPGASGR1310105;;;;;;0;;;;;;;;;;;
81240;;Taille:select:0;2XL:14;RPGASGR1310106;RPGASGR1310106;;;;;;0;;;;;;;;;;;
81246;;Taille:select:0;M:6;RPGASGR1312103;RPGASGR1312103;;;;;;0;;;;;;;;;;;
81246;;Taille:select:0;L:9;RPGASGR1312104;RPGASGR1312104;;;;;;0;;;;;;;;;;;
81246;;Taille:select:0;XL:12;RPGASGR1312105;RPGASGR1312105;;;;;;0;;;;;;;;;;;
81246;;Taille:select:0;2XL:14;RPGASGR1312106;RPGASGR1312106;;;;;;0;;;;;;;;;;;
81246;;Taille:select:0;3XL:16;RPGASGR1312107;RPGASGR1312107;;;;;;0;;;;;;;;;;;
81249;;Taille:select:0;L:9;RPGASGR13123104;RPGASGR13123104;;;;;;0;;;;;;;;;;;
81249;;Taille:select:0;XL:12;RPGASGR13123105;RPGASGR13123105;;;;;;0;;;;;;;;;;;
81253;;Taille:select:0;L:9;RPGASGR13125104;RPGASGR13125104;;;;;;0;;;;;;;;;;;
81253;;Taille:select:0;XL:12;RPGASGR13125105;RPGASGR13125105;;;;;;0;;;;;;;;;;;
81271;;Taille:select:0;L:9;RPGASGT1310404;RPGASGT1310404;;;;;;0;;;;;;;;;;;
81271;;Taille:select:0;XL:12;RPGASGT1310405;RPGASGT1310405;;;;;;0;;;;;;;;;;;
81274;;Taille:select:0;L:9;RPGASGT1310704;RPGASGT1310704;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;48:33;RPGASL214140102;RPGASL214140102;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;50:35;RPGASL214140103;RPGASL214140103;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;52:36;RPGASL214140104;RPGASL214140104;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;54:37;RPGASL214140105;RPGASL214140105;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;56:38;RPGASL214140106;RPGASL214140106;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;58:39;RPGASL214140107;RPGASL214140107;;;;;;0;;;;;;;;;;;
81314;;Taille:select:0;60:40;RPGASL214140108;RPGASL214140108;;;;;;0;;;;;;;;;;;
81315;;Taille:select:0;50:35;RPGASL21512103;RPGASL21512103;;;;;;0;;;;;;;;;;;
81315;;Taille:select:0;52:36;RPGASL21512104;RPGASL21512104;;;;;;0;;;;;;;;;;;
81315;;Taille:select:0;54:37;RPGASL21512105;RPGASL21512105;;;;;;0;;;;;;;;;;;
81315;;Taille:select:0;62:41;RPGASL21512109;RPGASL21512109;;;;;;0;;;;;;;;;;;
81322;;Taille:select:0;48:33;RPGASLS1310102;RPGASLS1310102;;;;;;0;;;;;;;;;;;
81322;;Taille:select:0;50:35;RPGASLS1310103;RPGASLS1310103;;;;;;0;;;;;;;;;;;
