ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
87241;1;Blouson Alpinestars T-GP PLUS R V2 Noir-Blanc;462,196;249.0740741;1;170.5986809;1;;15;;;RPGASBA1712;RPGASBA1712;Redpoint;Alpinestars;;;;;;;;;;;;;;Avec une enveloppe principale en polyester hautement endurante et résistante à l’abrasion et des protections de première qualité ingénieusement intégrées, la veste en tissu T-GP Plus R V2 Jacket est conçue pour vous maintenir au sec et à l’aise quand vous roulez plein gaz. Les prises d’air zippées offrent une ventilation suprême.;<p>Réalisée à partir d’une enveloppe principale en polyester 450/600 deniers hautement endurante et résistante à l’abrasion pour résister à l’eau et durer dans le temps.</p><ul><li>Prises d’air avec fermeture éclair stratégiquement placées en haut des manches pour garantir différents niveaux de ventilation quand les températures augmentent.</li><li>Doublure intérieure à manches longues amovible avec poches pour pouvoir utiliser la veste dans différentes conditions climatiques.</li><li>Doublure intérieure entièrement en tissu mesh pour augmenter la circulation de l’air et la respirabilité de la veste.</li><li>Protections coudes et épaules légères et certifiées CE pour une coupe élégante mais offrant une protection contre les chocs de premier ordre.</li><li>Compartiments avec rembourrage en mousse PE sur thorax et dos (protection thorax et dos Nucleon d’Alpinestars certifiées CE disponibles en option).</li><li>Système à boutons pression pour intégrer la protection dorsale Nucleon d’Alpinestars certifiée CE niveau 2.</li><li>Nouveau dispositif de protection au niveau des épaules avec protection TPU surmoulée stratifiée sous le tissu extérieur pour des niveaux optimaux de protection et de confort.</li><li>Coupe sportive avec construction à manches préformées pour réduire la fatigue et augmenter le confort pendant le pilotage.</li><li>Inserts extensible en polyester en position stratégique aux épaules pour un ajustement performant et flexible.</li><li>Col en tissu mesh souple avec Velcro pour une fermeture sécurisée et confortable.</li><li>Velcro et boucles de réglage en D à la taille pour un ajustement sûr et personnalisé.</li><li>Manchettes fermées par Velcro pour un ajustement encore plus précis.</li><li>Pan arrière postérieur plus long pour couvrir la région lombaire et empêcher la veste de remonter en dessus du pantalon.</li><li>Pratique poche intérieure imperméable pour garder les documents importants secs et saufs.</li><li>Poches extérieures repose-mains sur le devant avec large ouverture pourvue de fermeture éclair pour les fermer en toute sécurité.</li><li>Multiples poches/compartiments intérieurs fermés par velcro pour davantage de sécurité.</li><li>Fermeture éclair de connexion pour raccorder le blouson aux pantalons techniques Alpinestars.</li><li>Détails réfléchissants pour rendre le motard plus visible.</li></ul>;Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,T-GP,PLUS,R,V2,Noir-Blanc,Route;;;;t-gp-plus-r-v2-noir-blanc;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Route:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Textile:6,Saisonalité:Toutes saisons:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87242;1;Blouson Alpinestars T-GP PLUS R V2 Noir-Blanc-Rouge;462,196;249.0740741;1;170.5986809;1;;15;;;RPGASBA17123;RPGASBA17123;Redpoint;Alpinestars;;;;;;;;;;;;;;Avec une enveloppe principale en polyester hautement endurante et résistante à l’abrasion et des protections de première qualité ingénieusement intégrées, la veste en tissu T-GP Plus R V2 Jacket est conçue pour vous maintenir au sec et à l’aise quand vous roulez plein gaz. Les prises d’air zippées offrent une ventilation suprême.;<p>Réalisée à partir d’une enveloppe principale en polyester 450/600 deniers hautement endurante et résistante à l’abrasion pour résister à l’eau et durer dans le temps.</p><ul><li>Prises d’air avec fermeture éclair stratégiquement placées en haut des manches pour garantir différents niveaux de ventilation quand les températures augmentent.</li><li>Doublure intérieure à manches longues amovible avec poches pour pouvoir utiliser la veste dans différentes conditions climatiques.</li><li>Doublure intérieure entièrement en tissu mesh pour augmenter la circulation de l’air et la respirabilité de la veste.</li><li>Protections coudes et épaules légères et certifiées CE pour une coupe élégante mais offrant une protection contre les chocs de premier ordre.</li><li>Compartiments avec rembourrage en mousse PE sur thorax et dos (protection thorax et dos Nucleon d’Alpinestars certifiées CE disponibles en option).</li><li>Système à boutons pression pour intégrer la protection dorsale Nucleon d’Alpinestars certifiée CE niveau 2.</li><li>Nouveau dispositif de protection au niveau des épaules avec protection TPU surmoulée stratifiée sous le tissu extérieur pour des niveaux optimaux de protection et de confort.</li><li>Coupe sportive avec construction à manches préformées pour réduire la fatigue et augmenter le confort pendant le pilotage.</li><li>Inserts extensible en polyester en position stratégique aux épaules pour un ajustement performant et flexible.</li><li>Col en tissu mesh souple avec Velcro pour une fermeture sécurisée et confortable.</li><li>Velcro et boucles de réglage en D à la taille pour un ajustement sûr et personnalisé.</li><li>Manchettes fermées par Velcro pour un ajustement encore plus précis.</li><li>Pan arrière postérieur plus long pour couvrir la région lombaire et empêcher la veste de remonter en dessus du pantalon.</li><li>Pratique poche intérieure imperméable pour garder les documents importants secs et saufs.</li><li>Poches extérieures repose-mains sur le devant avec large ouverture pourvue de fermeture éclair pour les fermer en toute sécurité.</li><li>Multiples poches/compartiments intérieurs fermés par velcro pour davantage de sécurité.</li><li>Fermeture éclair de connexion pour raccorder le blouson aux pantalons techniques Alpinestars.</li><li>Détails réfléchissants pour rendre le motard plus visible.</li></ul>;Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,T-GP,PLUS,R,V2,Noir-Blanc-Rouge,Route;;;;t-gp-plus-r-v2-noir-blanc-rouge;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Route:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Textile:6,Saisonalité:Toutes saisons:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87243;1;Blouson Alpinestars AVANT PERFORATED Noir;196,462;369.4444444;1;253.04414;1;;15;;;RPGASBC13101;RPGASBC13101;Redpoint;Alpinestars;;;;;;;;;;;;;;;<ul><li>Construction en cuir 1.1 mm pour une excellente résistance dans le temps et a l'abrasion</li><li>Soufflets d'aisance en cuir stretch au niveau des coudes</li><li>Panneaux en microfibre stretch sous les bras et dans le dos pour une excellente mobilité</li><li>Panneaux perforés sur le devant et dans le dos</li><li>Protections coudes et épaules Bio Armor amovibles et certifiées CE</li><li>Poche pour protection dorsale Bionic Back Protector certifiée CE (non fournie)</li><li>Emplacement pour protection pectorale Bionic Chest Pad (non fournie)</li><li>Doublure entièrement en mesh pour augmenter le confort et la ventilation</li><li>Poches internes avec fermeture de sécurité Velcro®</li><li>Zone densément perforée sur le devant, le dos, les bras et les épaules pour un rafraichissement efficace</li><li>Réglages des manchettes par Velcro® et fermetures éclair semi autobloquantes pour améliorer l'ajustement et le confort</li><li>Réglages a la taille par Velcro et boucle en D pour un ajustement hautement personnalisé</li><li>Détails réfléchissants sur le devant et sur le dos pour une meilleure visibilité du motard</li><li>Zip pour raccorder le blouson à certains modèles spécifiques de pantalon en cuir ou textile Alpinestars</li><li>Logos brodes sur le devant et sur les manches</li></ul>;Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,AVANT,PERFORATED,Noir,Route;;;;avant-perforated-noir;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Route:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Été:7,Gore-Tex:Non:8,Doublure amovible:Non:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87244;1;Blouson Alpinestars DEVON Noir;196,462;462.037037;1;316.463724;1;;15;;;RPGASBC17101;RPGASBC17101;Redpoint;Alpinestars;;;;;;;;;;;;;;Construction principale en cuir pleine fleur 1,1 de première qualité extrêmement endurante pour une excellente résistance à l'abrasion et coutures multiples renforcées pour une résistance à la déchirure optimale en cas de choc.;"<ul><li>Protections épaules et coudes amovibles et approuvées CE à l'intérieur de la veste pour une sécurité hors pair.</li><li>Compartiments thorax et dos garnis d'empiècements confortables en mousse de polyester amovibles qui peuvent être remplacés par la protection Nucleon certifiée CE pour un complément de protection et des niveaux de sécurité sans égal.</li><li>Panneaux polyester extensibles en position stratégique sous les aisselles et sur le dos pour un ajustement excellent en position de pilotage.</li><li>Doublure intérieure multi-panneau et zones stretch à l'extérieur de la veste pour augmenter la liberté de mouvement. Inserts en mesh 3D pour améliorer confort et ajustement.</li><li>Veste thermique intérieure amovible pour porter la veste par temps frais.</li><li>Zone lombaire postérieure plus longue pour assurer une couverture maximale du bas du dos à tout moment, un plus confortable essentiel.</li><li>Manchettes avec fermetures éclair YKK semi-autobloquantes pour un ajustement sûr et personnalisable.</li><li>Construction à manches préformées pour prévenir la fatigue pendant le pilotage et favoriser un ajustement performant.</li><li>Velcro® et boucle en D tout au long de la taille pour une fermeture sûre et personnalisée.</li><li>Détails réfléchissants sur le devant et sur le derrière pour rendre le motard plus visible.</li><li>Col en tissu confortable et mesh ; fermeture par bouton pression pour confort.</li><li>Fermeture éclair de connexion tout au long de la taille pour raccorder cette veste aux pantalons techniques d'Alpinestars.</li></ul>";Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,DEVON,Noir,Route;;;;devon-noir;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Route:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Été:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87245;1;Blouson Alpinestars SP-1 Noir;195,465;434.2592593;1;297.4378488;1;;15;;;RPGASBC17102;RPGASBC17102;Redpoint;Alpinestars;;;;;;;;;;;;;;Équipé d’une vaste gamme d’innovations au niveau des performances et de la protection testées sur piste, le blouson SP-1 Jacket est fabriqué en cuir de première qualité et intègre des panneaux élastiques en cuir en accordéon et tissu de polyester en position stratégique pour un ajustement pour la conduite sportive excellent tout en offrant confort et flexibilité.;"<p>Construction en cuir 1,3 mm de première qualité résistante avec panneaux en cuir en accordéon souple et élastique sur coudes et haut du bras pour ajustement près du corps et confort.</p><ul><li>Protections intérieures amovibles, certifiées CE et développées en compétition pour légèreté accrue et une meilleure protection contre les chocs sur épaules et coudes.</li><li>Nouveau dispositif de protection au niveau des épaules avec protection TPU surmoulée stratifiée sous le tissu extérieur pour des niveaux optimaux de protection et de confort.</li><li>Compartiments sur thorax et dos avec rembourrage en mousse de polyester innovante (protection dorsale et thorax Nucleon d’Alpinestars disponibles en option pour un complément de protection).</li><li>Système à boutons pression pour intégrer la protection dorsale Nucleon d’Alpinestars certifiée CE niveau 2.</li><li>Amples inserts élastiques en cuir en accordéon sur coude et haut du bras pour mouvement sur la moto et favorisant la réduction de la fatigue sur les bras du pilote.</li><li>Panneaux élastiques en tissu de polyester en position stratégique sous les aisselles, sur thorax et partie postérieure des épaules favorisant mouvement et confort en selle.</li><li>Poche intérieure imperméable et compartiments intérieurs pour stocker les effets personnels de manière sûre et pratique.</li><li>Boucle de réglage en D à la taille pour maintenir le blouson dans la position correcte et garantir un ajustement précis.</li><li>Inserts intérieurs en mesh sur col et manchettes pour davantage de confort et circulation de l’air.</li><li>Manchettes avec réglage par bouton pression, fermetures à glissière semi-autobloquantes pour un large éventail d’ajustements et davantage de confort ; bouton pression sur col et taille.</li><li>Fermeture éclair de connexion pour raccorder le blouson aux pantalons techniques Alpinestars.</li><li>Doublure fixe en mesh pour davantage de confort et de ventilation avec poches multi-compartiment.</li><li>Poches extérieures zippées ; compartiment intérieur imperméable pour stocker les effets personnels de manière sûre et pratique.</li></ul>";Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,SP-1,Noir,Racing;;;;sp-1-noir;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Racing:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Toutes saisons:7,Gore-Tex:Non:8,Doublure amovible:Non:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87246;1;Blouson Alpinestars STELLA DEVON Noir;195,441;480.5555556;1;329.1476408;1;;15;;;RPGASBC17103;RPGASBC17103;Redpoint;Alpinestars;;;;;;;;;;;;;;Conçu et optimisé expressément pour garantir un ajustement performant pour les pilotes femme.;"<ul><li>Construction principale en cuir pleine fleur 1,1 de première qualité extrêmement endurante pour une excellente résistance à l'abrasion et coutures multiples renforcées pour une résistance à la déchirure optimale en cas de choc.</li><li>Protections épaules et coudes amovibles et approuvées CE à l'intérieur du blouson pour une sécurité hors pair.</li><li>Compartiments thorax et dos garnis d'empiècements confortables en mousse de polyester amovibles qui peuvent être remplacés par la protection Nucleon certifiée CE pour un complément de protection et des niveaux de sécurité sans égal.</li><li>Panneaux polyester extensibles en position stratégique sous les aisselles et sur le dos pour un ajustement excellent en position de pilotage.</li><li>Doublure intérieure multi-panneau et zones stretch à l'extérieur du blouson pour augmenter la liberté de mouvement. Inserts en mesh 3D pour améliorer confort et ajustement.</li><li>Veste thermique intérieure amovible pour porter le blouson par temps frais.</li><li>Zone lombaire postérieure plus longue pour assurer une couverture maximale du bas du dos à tout moment, un plus confortable essentiel pendant les longues balades sur route.</li><li>Manchettes fermées par zips YKK semi-autobloquantes pour un ajustement sûr et personnalisable.</li><li>Construction à manches préformées pour prévenir la fatigue pendant le pilotage et favoriser un ajustement performant.</li><li>Velcro® et boucle en D tout au long de la taille pour une fermeture sécurisée et personnalisée.</li><li>Détails réfléchissants sur le devant et sur le derrière pour rendre la motarde plus visible.</li><li>Col en tissu confortable et mesh ; fermeture par bouton pression pour confort.</li><li>Fermeture éclair de connexion tout au long de la taille pour raccorder ce blouson et pantalons</li></ul>";Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,STELLA,DEVON,Noir,Femme,Motarde;;;;stella-devon-noir;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Femme:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Femme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Été:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87247;1;Blouson Alpinestars GP TECH V2 Noir-Blanc;195,465;878.7037037;1;601.8518519;1;;15;;;RPGASBC17121;RPGASBC17121;Redpoint;Alpinestars;;;;;;;;;;;;;;Blouson en cuir pour la conduite haute performance de première qualité compatible avec la technologie d’airbag d’Alpinestars, leader dans sa catégorie, le Tech-Air™, le blouson GP TECH V2 intègre un large éventail de dispositifs de protection développés et testés sur piste.;"<p>Le blouson GP Tech V2 est le blouson haut de gamme d’Alpinestars inspiré aux compétitions et pourvu de ventilation excellente ainsi que d’ajustement et de caractéristiques techniques soigneusement développés pour vous garantir ajustement et confort pendant les sorties sur route.</p><ul><li>Construction multi-panneau en cuir de bovin de première qualité extrêmement endurante pour une excellente résistance à l’abrasion et coutures renforcées pour une résistance à la déchirure optimale en cas de choc.</li><ul><li>Écran LED sur la manche affichant l’état de fonctionnement de l’airbag ; passages internes pour le système UCE du gilet.</li><li>Fixations velcro à l’intérieur et fermeture éclair pour loger le gilet du système d’airbag.</li><li>Inserts élastiques en accordéon aux épaules et sous les aisselles pour héberger l’airbag gonflé tout en offrant une performance anatomique pendant la conduite sans airbag.</li></ul><li>Le blouson GP Tech est équipé de dispositifs de protection – intérieurs et extérieurs – de premier ordre :</li><ul><li>Protections épaules et coudes Alpinestars issues de la course et approuvées CE.</li><li>Nouvelle protection au niveau des épaules exclusivement développée par Alpinestars au profil anatomique et intégrant un mélange de polymère à triple densité pour de meilleures performances en cas de glissade. La protection est ergonomique pour une flexibilité du haut du corps accrue et pourvue de prises d’air en tissu mesh surinjectées pour une excellente circulation de l’air.</li><li>Protections coude avec protection moulée par injection et rembourrage en mousse à double densité.</li></ul><li>Compartiments sur thorax et dos avec rembourrage PE (empiècements de protection dorsale et thorax Nucleon d’Alpinestars certifiés CE disponibles en option pour un complément de protection).</li><li>Système de connexion avec boutons pression pour fixer la protection dorsale Nucleon Race, certifiée CE niveau 2, pour une protection maximale (pour un usage sans système Tech-Air™).</li><li>Col et manchette en tissu mesh 3D souple pour davantage de confort et de respirabilité.</li><li>Nouvelle bosse dorsale évoluée, ventilée et aérodynamique conçue pour intégrer le sac d’hydratation et pourvue d’ouverture pour insérer le tuyau d’hydratation.</li><li>Doublure intérieure fixe avec construction multi-panneau et inserts en mesh 3D pour augmenter confort et ventilation.</li><li>Amples panneaux en tissu stretch renforcé de fibres d’aramide en position stratégique sous les aisselles et partie latérale de la taille pour ajustement et sensibilité excellents.</li><li>Renforts ergonomiques ARSHIELD, composés de fibres d’aramide et polyamide, en position stratégique sur les manches.</li><li>Construction à manches préformées pour réduire la fatigue pendant le pilotage.</li><li>Velcro et boucles de réglage en D à la taille pour un ajustement hautement personnalisé à l’intérieur du blouson pour un profil anatomique amélioré.</li><li>Poches repose-mains extérieures avec fermeture éclair pour les fermer en toute sécurité.</li><li>Poche portefeuille intérieure imperméable et poches intérieures avec velcro pour les fermer en toute sécurité.</li><li>Fermeture éclair de connexion à l’intérieur de la taille pour pouvoir le raccorder aux pantalons Alpinestars.</li><li>Détails réfléchissants pour rendre le motard plus visible.</li><li>Détails et logos imprimés pour un look agressif unique idéal pour la conduite haute performance.</li></ul>";Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,GP,TECH,V2,Noir-Blanc,Racing;;;;gp-tech-v2-noir-blanc;En Stock;Produit sur commande: 3 à 4 semaines;1;;;1;;0;Style de conduite:Racing:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Mi-Saison:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87248;1;Blouson Alpinestars CHARLIE Noir-Blanc;195,449;545.3703704;1;373.5413496;1;;15;;;RPGASBC17122;RPGASBC17122;Redpoint;Alpinestars;;;;;;;;;;;;;;Enveloppe principale en cuir pleine fleur au fini naturel pour résistance à l'abrasion, durabilité et toucher souple et luxueux.;<ul><li>Protections épaules et coudes minces, amovibles et certifiées CE Bio Armor pour des niveaux de protection optimaux.</li><li>Doublure flanelle amovible isolée thermiquement (80 g) offrant une protection polyvalente contre les intempéries par temps froid.</li><li>Poche pour protection dorsale avec rembourrage de confort pouvant héberger la protection dorsale Nucleon d'Alpinestars pour un complément de protection.</li><li>Manche préformée pour confort et liberté de mouvement en position de pilotage.</li><li>Manchettes et réglages avec fermeture éclair et bouton pression pour un ajustement personnalisé et sûr.</li><li>Poches repose-mains avec fermeture éclair pour les fermer en toute tranquillité.</li><li>Poche portefeuille/porte documents intérieure.</li><li>Zips, bordures et détails gaufrés OSCAR By Alpinestars aux épaules.</li></ul>;Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,CHARLIE,Noir-Blanc,Vintage;;;;charlie-noir-blanc;En Stock;Disponibilité: Délais sur demande;1;;;1;;0;Style de conduite:Vintage:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Été:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87249;1;Blouson Alpinestars GP TECH V2 Noir-Blanc-Rouge;195,465;878.7037037;1;601.8518519;1;;15;;;RPGASBC171231;RPGASBC171231;Redpoint;Alpinestars;;;;;;;;;;;;;;Blouson en cuir pour la conduite haute performance de première qualité compatible avec la technologie d’airbag d’Alpinestars, leader dans sa catégorie, le Tech-Air™, le blouson GP TECH V2 intègre un large éventail de dispositifs de protection développés et testés sur piste.;"<p>Le blouson GP Tech V2 est le blouson haut de gamme d’Alpinestars inspiré aux compétitions et pourvu de ventilation excellente ainsi que d’ajustement et de caractéristiques techniques soigneusement développés pour vous garantir ajustement et confort pendant les sorties sur route.</p><ul><li>Construction multi-panneau en cuir de bovin de première qualité extrêmement endurante pour une excellente résistance à l’abrasion et coutures renforcées pour une résistance à la déchirure optimale en cas de choc.</li><ul><li>Écran LED sur la manche affichant l’état de fonctionnement de l’airbag ; passages internes pour le système UCE du gilet.</li><li>Fixations velcro à l’intérieur et fermeture éclair pour loger le gilet du système d’airbag.</li><li>Inserts élastiques en accordéon aux épaules et sous les aisselles pour héberger l’airbag gonflé tout en offrant une performance anatomique pendant la conduite sans airbag.</li></ul><li>Le blouson GP Tech est équipé de dispositifs de protection – intérieurs et extérieurs – de premier ordre :</li><ul><li>Protections épaules et coudes Alpinestars issues de la course et approuvées CE.</li><li>Nouvelle protection au niveau des épaules exclusivement développée par Alpinestars au profil anatomique et intégrant un mélange de polymère à triple densité pour de meilleures performances en cas de glissade. La protection est ergonomique pour une flexibilité du haut du corps accrue et pourvue de prises d’air en tissu mesh surinjectées pour une excellente circulation de l’air.</li><li>Protections coude avec protection moulée par injection et rembourrage en mousse à double densité.</li></ul><li>Compartiments sur thorax et dos avec rembourrage PE (empiècements de protection dorsale et thorax Nucleon d’Alpinestars certifiés CE disponibles en option pour un complément de protection).</li><li>Système de connexion avec boutons pression pour fixer la protection dorsale Nucleon Race, certifiée CE niveau 2, pour une protection maximale (pour un usage sans système Tech-Air™).</li><li>Col et manchette en tissu mesh 3D souple pour davantage de confort et de respirabilité.</li><li>Nouvelle bosse dorsale évoluée, ventilée et aérodynamique conçue pour intégrer le sac d’hydratation et pourvue d’ouverture pour insérer le tuyau d’hydratation.</li><li>Doublure intérieure fixe avec construction multi-panneau et inserts en mesh 3D pour augmenter confort et ventilation.</li><li>Amples panneaux en tissu stretch renforcé de fibres d’aramide en position stratégique sous les aisselles et partie latérale de la taille pour ajustement et sensibilité excellents.</li><li>Renforts ergonomiques ARSHIELD, composés de fibres d’aramide et polyamide, en position stratégique sur les manches.</li><li>Construction à manches préformées pour réduire la fatigue pendant le pilotage.</li><li>Velcro et boucles de réglage en D à la taille pour un ajustement hautement personnalisé à l’intérieur du blouson pour un profil anatomique amélioré.</li><li>Poches repose-mains extérieures avec fermeture éclair pour les fermer en toute sécurité.</li><li>Poche portefeuille intérieure imperméable et poches intérieures avec velcro pour les fermer en toute sécurité.</li><li>Fermeture éclair de connexion à l’intérieur de la taille pour pouvoir le raccorder aux pantalons Alpinestars.</li><li>Détails réfléchissants pour rendre le motard plus visible.</li><li>Détails et logos imprimés pour un look agressif unique idéal pour la conduite haute performance.</li></ul>";Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,GP,TECH,V2,Noir-Blanc-Rouge,Racing;;;;gp-tech-v2-noir-blanc-rouge;En Stock;Produit sur commande: 3 à 4 semaines;1;;;1;;0;Style de conduite:Racing:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Homme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Mi-Saison:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
87250;1;Blouson Alpinestars STELLA DEVON Noir-Fushia;195,441;480.5555556;1;329.1476408;1;;15;;;RPGASBC171239;RPGASBC171239;Redpoint;Alpinestars;;;;;;;;;;;;;;Conçu et optimisé expressément pour garantir un ajustement performant pour les pilotes femme.;"<ul><li>Construction principale en cuir pleine fleur 1,1 de première qualité extrêmement endurante pour une excellente résistance à l'abrasion et coutures multiples renforcées pour une résistance à la déchirure optimale en cas de choc.</li><li>Protections épaules et coudes amovibles et approuvées CE à l'intérieur du blouson pour une sécurité hors pair.</li><li>Compartiments thorax et dos garnis d'empiècements confortables en mousse de polyester amovibles qui peuvent être remplacés par la protection Nucleon certifiée CE pour un complément de protection et des niveaux de sécurité sans égal.</li><li>Panneaux polyester extensibles en position stratégique sous les aisselles et sur le dos pour un ajustement excellent en position de pilotage.</li><li>Doublure intérieure multi-panneau et zones stretch à l'extérieur du blouson pour augmenter la liberté de mouvement. Inserts en mesh 3D pour améliorer confort et ajustement.</li><li>Veste thermique intérieure amovible pour porter le blouson par temps frais.</li><li>Zone lombaire postérieure plus longue pour assurer une couverture maximale du bas du dos à tout moment, un plus confortable essentiel pendant les longues balades sur route.</li><li>Manchettes fermées par zips YKK semi-autobloquantes pour un ajustement sûr et personnalisable.</li><li>Construction à manches préformées pour prévenir la fatigue pendant le pilotage et favoriser un ajustement performant.</li><li>Velcro® et boucle en D tout au long de la taille pour une fermeture sécurisée et personnalisée.</li><li>Détails réfléchissants sur le devant et sur le derrière pour rendre la motarde plus visible.</li><li>Col en tissu confortable et mesh ; fermeture par bouton pression pour confort.</li><li>Fermeture éclair de connexion tout au long de la taille pour raccorder ce blouson et pantalons.</li></ul>";Alpinestars,Collection,2017,Sécurité,Équipement,Blouson,Alpinestars,STELLA,DEVON,Noir-Fushia,Femme,Motarde;;;;stella-devon-noir-fushia;En Stock;Produit sur commande: 3 à 4 semaines;1;;;1;;0;Style de conduite:Femme:1,Type de Produit:Blouson:2,Couleur:Noir:3,Genre:Femme:4,Etanchéité:Non:5,Matière:Cuir:6,Saisonalité:Été:7,Gore-Tex:Non:8,Doublure amovible:Oui:9,Dorsale:Non:10;0;new;0;0;0;2;0;0;0;0
