Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
87241;;Taille:select:0;S:3;RPGASBA171202;RPGASBA171202;;;;;;2;;;;;;;;;;;
87241;;Taille:select:0;M:4;RPGASBA171203;RPGASBA171203;;;;;;6;;;;;;;;;;;
87241;;Taille:select:0;L:6;RPGASBA171204;RPGASBA171204;;;;;;10;;;;;;;;;;;
87241;;Taille:select:0;XL:7;RPGASBA171205;RPGASBA171205;;;;;;10;;;;;;;;;;;
87241;;Taille:select:0;XXL:9;RPGASBA171206;RPGASBA171206;;;;;;6;;;;;;;;;;;
87241;;Taille:select:0;3XL:11;RPGASBA171207;RPGASBA171207;;;;;;2;;;;;;;;;;;
87241;;Taille:select:0;4XL:12;RPGASBA171208;RPGASBA171208;;;;;;1;;;;;;;;;;;
87242;;Taille:select:0;S:3;RPGASBA1712302;RPGASBA1712302;;;;;;2;;;;;;;;;;;
87242;;Taille:select:0;M:4;RPGASBA1712303;RPGASBA1712303;;;;;;6;;;;;;;;;;;
87242;;Taille:select:0;L:6;RPGASBA1712304;RPGASBA1712304;;;;;;10;;;;;;;;;;;
87242;;Taille:select:0;XL:7;RPGASBA1712305;RPGASBA1712305;;;;;;10;;;;;;;;;;;
87242;;Taille:select:0;XXL:9;RPGASBA1712306;RPGASBA1712306;;;;;;4;;;;;;;;;;;
87242;;Taille:select:0;3XL:11;RPGASBA1712307;RPGASBA1712307;;;;;;4;;;;;;;;;;;
87242;;Taille:select:0;4XL:12;RPGASBA1712308;RPGASBA1712308;;;;;;1;;;;;;;;;;;
87243;;Taille:select:0;48:12;RPGASBC1310102;RPGASBC1310102;;;;;;7;;;;;;;;;;;
87243;;Taille:select:0;50:13;RPGASBC1310103;RPGASBC1310103;;;;;;0;;;;;;;;;;;
87243;;Taille:select:0;52:14;RPGASBC1310104;RPGASBC1310104;;;;;;0;;;;;;;;;;;
87243;;Taille:select:0;54:15;RPGASBC1310105;RPGASBC1310105;;;;;;0;;;;;;;;;;;
87243;;Taille:select:0;56:16;RPGASBC1310106;RPGASBC1310106;;;;;;2;;;;;;;;;;;
87243;;Taille:select:0;58:17;RPGASBC1310107;RPGASBC1310107;;;;;;5;;;;;;;;;;;
87243;;Taille:select:0;60:18;RPGASBC1310108;RPGASBC1310108;;;;;;0;;;;;;;;;;;
87243;;Taille:select:0;62:19;RPGASBC1310109;RPGASBC1310109;;;;;;0;;;;;;;;;;;
87243;;Taille:select:0;64:20;RPGASBC1310110;RPGASBC1310110;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;46:11;RPGASBC1710101;RPGASBC1710101;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;48:12;RPGASBC1710102;RPGASBC1710102;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;50:13;RPGASBC1710103;RPGASBC1710103;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;52:14;RPGASBC1710104;RPGASBC1710104;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;54:15;RPGASBC1710105;RPGASBC1710105;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;56:16;RPGASBC1710106;RPGASBC1710106;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;58:17;RPGASBC1710107;RPGASBC1710107;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;60:18;RPGASBC1710108;RPGASBC1710108;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;62:19;RPGASBC1710109;RPGASBC1710109;;;;;;0;;;;;;;;;;;
87244;;Taille:select:0;64:20;RPGASBC1710110;RPGASBC1710110;;;;;;0;;;;;;;;;;;
87245;;Taille:select:0;46:11;RPGASBC1710201;RPGASBC1710201;;;;;;0;;;;;;;;;;;
87245;;Taille:select:0;48:12;RPGASBC1710202;RPGASBC1710202;;;;;;1;;;;;;;;;;;
87245;;Taille:select:0;50:13;RPGASBC1710203;RPGASBC1710203;;;;;;0;;;;;;;;;;;
87245;;Taille:select:0;52:14;RPGASBC1710204;RPGASBC1710204;;;;;;3;;;;;;;;;;;
87245;;Taille:select:0;54:15;RPGASBC1710205;RPGASBC1710205;;;;;;1;;;;;;;;;;;
87245;;Taille:select:0;56:16;RPGASBC1710206;RPGASBC1710206;;;;;;2;;;;;;;;;;;
87245;;Taille:select:0;58:17;RPGASBC1710207;RPGASBC1710207;;;;;;0;;;;;;;;;;;
87245;;Taille:select:0;60:18;RPGASBC1710208;RPGASBC1710208;;;;;;0;;;;;;;;;;;
87245;;Taille:select:0;62:19;RPGASBC1710209;RPGASBC1710209;;;;;;0;;;;;;;;;;;
87245;;Taille:select:0;64:20;RPGASBC1710210;RPGASBC1710210;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;38:6;RPGASBC1710300;RPGASBC1710300;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;40:8;RPGASBC1710301;RPGASBC1710301;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;42:9;RPGASBC1710302;RPGASBC1710302;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;44:10;RPGASBC1710303;RPGASBC1710303;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;46:11;RPGASBC1710304;RPGASBC1710304;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;48:12;RPGASBC1710305;RPGASBC1710305;;;;;;0;;;;;;;;;;;
87246;;Taille:select:0;50:13;RPGASBC1710306;RPGASBC1710306;;;;;;0;;;;;;;;;;;
87247;;Taille:select:0;48:12;RPGASBC1712102;RPGASBC1712102;;;;;;0;;;;;;;;;;;
87247;;Taille:select:0;50:13;RPGASBC1712103;RPGASBC1712103;;;;;;0;;;;;;;;;;;
87247;;Taille:select:0;52:14;RPGASBC1712104;RPGASBC1712104;;;;;;0;;;;;;;;;;;
87247;;Taille:select:0;54:15;RPGASBC1712105;RPGASBC1712105;;;;;;0;;;;;;;;;;;
87247;;Taille:select:0;56:16;RPGASBC1712106;RPGASBC1712106;;;;;;0;;;;;;;;;;;
