Product ID*;Reference Produit;Attribute (Name:Type:Position)*;Value (Value:Position)*;Supplier reference;Reference;EAN13;UPC;Wholesale price;Impact on price;Ecotax;Quantity;Minimal quantity;Impact on weight;Default (0 = No, 1 = Yes);Combination available date;Image position;Image URL;Delete existing images (0 = No, 1 = Yes);ID / Name of shop;Advanced Stock Managment;Depends on stock;Warehouse
87366;;Taille:select:0;XS:1;RPGARCR11090101;RPGARCR11090101;;;;;;2;;;;;;;;;;;
87366;;Taille:select:0;S:2;RPGARCR11090102;RPGARCR11090102;;;;;;4;;;;;;;;;;;
87366;;Taille:select:0;M:3;RPGARCR11090103;RPGARCR11090103;;;;;;1;;;;;;;;;;;
87366;;Taille:select:0;L:4;RPGARCR11090104;RPGARCR11090104;;;;;;3;;;;;;;;;;;
87366;;Taille:select:0;XL:5;RPGARCR11090105;RPGARCR11090105;;;;;;2;;;;;;;;;;;
87366;;Taille:select:0;XXL:6;RPGARCR11090106;RPGARCR11090106;;;;;;0;;;;;;;;;;;
87367;;Taille:select:0;XS:1;RPGARCR11090501;RPGARCR11090501;;;;;;2;;;;;;;;;;;
87367;;Taille:select:0;S:2;RPGARCR11090502;RPGARCR11090502;;;;;;4;;;;;;;;;;;
87367;;Taille:select:0;M:3;RPGARCR11090503;RPGARCR11090503;;;;;;3;;;;;;;;;;;
87367;;Taille:select:0;L:4;RPGARCR11090504;RPGARCR11090504;;;;;;3;;;;;;;;;;;
87367;;Taille:select:0;XL:5;RPGARCR11090505;RPGARCR11090505;;;;;;5;;;;;;;;;;;
87367;;Taille:select:0;XXL:6;RPGARCR11090506;RPGARCR11090506;;;;;;3;;;;;;;;;;;
87368;;Taille:select:0;XS:1;RPGARIN12701001;RPGARIN12701001;;;;;;1;;;;;;;;;;;
87368;;Taille:select:0;S:2;RPGARIN12701002;RPGARIN12701002;;;;;;3;;;;;;;;;;;
87368;;Taille:select:0;M:3;RPGARIN12701003;RPGARIN12701003;;;;;;7;;;;;;;;;;;
87368;;Taille:select:0;L:4;RPGARIN12701004;RPGARIN12701004;;;;;;5;;;;;;;;;;;
87368;;Taille:select:0;XL:5;RPGARIN12701005;RPGARIN12701005;;;;;;5;;;;;;;;;;;
