"ProductNo";"Brand";"Model";"CCM";"From_"
"LEH.00.039.160/B";"Suzuki";"GSX 1400";"1400";"2003"
"LEH.00.039.160/B";"Suzuki";"GSX 1400";"1400";"2004"
"LEH.00.039.160/B";"Suzuki";"GSX 1400";"1400";"2005"
"LEH.00.039.160/B";"Suzuki";"GSX 1400";"1400";"2006"
"LEH.00.039.160/S";"Suzuki";"GSX 1400";"1400";"2001"
"LEH.00.039.160/S";"Suzuki";"GSX 1400";"1400";"2002"
"LEH.00.039.160/S";"Suzuki";"GSX 1400";"1400";"2003"
"LEH.00.039.160/S";"Suzuki";"GSX 1400";"1400";"2004"
"LEH.00.039.160/S";"Suzuki";"GSX 1400";"1400";"2005"
"LEH.00.039.160/S";"Suzuki";"GSX 1400";"1400";"2006"
"STM-001-00-BK";"Suzuki";"GSX 1400";"1400";"2001"
"STM-001-00-BK";"Suzuki";"GSX 1400";"1400";"2002"
"STM-001-00-BK";"Suzuki";"GSX 1400";"1400";"2003"
"STM-001-00-BK";"Suzuki";"GSX 1400";"1400";"2004"
"STM-001-00-BK";"Suzuki";"GSX 1400";"1400";"2005"
"STM-001-00-BK";"Suzuki";"GSX 1400";"1400";"2006"
"SVL.00.505.101";"Suzuki";"GSX 1400";"1400";"2001"
"SVL.00.505.101";"Suzuki";"GSX 1400";"1400";"2002"
"SVL.00.505.101";"Suzuki";"GSX 1400";"1400";"2003"
"SVL.00.505.101";"Suzuki";"GSX 1400";"1400";"2004"
"SVL.00.505.101";"Suzuki";"GSX 1400";"1400";"2005"
"SVL.00.505.101";"Suzuki";"GSX 1400";"1400";"2006"
"TRT.00.475.11500/B";"Suzuki";"GSX 1400";"1400";"2001"
"TRT.00.475.11500/B";"Suzuki";"GSX 1400";"1400";"2002"
"TRT.00.475.11500/B";"Suzuki";"GSX 1400";"1400";"2003"
"TRT.00.475.11500/B";"Suzuki";"GSX 1400";"1400";"2004"
"TRT.00.475.11500/B";"Suzuki";"GSX 1400";"1400";"2005"
"TRT.00.475.11500/B";"Suzuki";"GSX 1400";"1400";"2006"
"TRT.00.640.11500/B";"Suzuki";"GSX 1400";"1400";"2001"
"TRT.00.640.11500/B";"Suzuki";"GSX 1400";"1400";"2002"
"TRT.00.640.11500/B";"Suzuki";"GSX 1400";"1400";"2003"
"TRT.00.640.11500/B";"Suzuki";"GSX 1400";"1400";"2004"
"TRT.00.640.11500/B";"Suzuki";"GSX 1400";"1400";"2005"
"TRT.00.640.11500/B";"Suzuki";"GSX 1400";"1400";"2006"
"BC.HTA.00.404.10000";"Suzuki";"VS 1400 Intruder";"1400";"1997"
"BC.HTA.00.405.10000";"Suzuki";"VS 1400 Intruder";"1400";"1997"
"BC.TRS.00.401.10000";"Suzuki";"VS 1400 Intruder";"1400";"1997"
"BBZ-001-00-BK";"Suzuki";"DR 200 SE";"200";"2008"
"BC.HTA.00.301.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.HTA.00.304.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.HTA.00.306.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.HTA.00.307.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.001.10001";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.001.10001/Y";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.006.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.008.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.009.10000";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.010.10001";"Suzuki";"DR 200 SE";"200";"2008"
"BC.WPB.00.018.10000";"Suzuki";"DR 200 SE";"200";"2008"
"EGO-001-00-BK";"Suzuki";"DR 200 SE";"200";"2008"
"HPR.00.666.20500/BK";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.150/20/B";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.150/20/S";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.150/25/B";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.150/25/S";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.150/30/B";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.150/30/S";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.152/B";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.152/S";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.160/B";"Suzuki";"DR 200 SE";"200";"2008"
"LEH.00.039.160/S";"Suzuki";"DR 200 SE";"200";"2008"
"SVL.00.505.101";"Suzuki";"DR 200 SE";"200";"2008"
"BC.HTA.00.307.10000";"Suzuki";"Burgman UH 200";"200";"2003"
"BBZ-001-00-BK";"Suzuki";"GW 250 Inazuma";"250";
"HPR.00.220.15200/B";"Suzuki";"GW 250 Inazuma";"250";
"STM-005-01-BK";"Suzuki";"GW 250 Inazuma";"250";
"HPR.00.220.25200/B";"Suzuki";"GW 250 Inazuma";"250";
"BC.HTA.00.301.10000";"Suzuki";"GZ 250";"250";"2008"
"BC.HTA.00.302.10000";"Suzuki";"GZ 250";"250";"2008"
"BC.HTA.00.304.10000";"Suzuki";"GZ 250";"250";"2008"
"BC.HTA.00.306.10000";"Suzuki";"GZ 250";"250";"2008"
"BC.HTA.00.307.10000";"Suzuki";"GZ 250";"250";"2008"
"BC.WPB.00.001.10001";"Suzuki";"GZ 250";"250";"2008"
